ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
X60_X84_Y87.0,2006_2010,5,Cluster_EQI_A_SVI+UN+PD+DB,0.00,"4.60(3.08,6.09)","9.29(7.61,10.95)","10.00(7.90,12.03)",0.0002,1.0017,2681,3579,0.0002,1.0030,1882,2694,0.0002,1.0025,1349,2569
"X60_X84_Y87.0","2011_2015",10,"Cluster_EQI_A_SVI+UN+PD+DB","0.00","4.79(3.09,6.51)","9.50(7.66,11.35)","10.96(8.69,13.25)","0.0002","1.0010",2916,3386,"0.0002","1.0033",2224,3016,"0.0002","1.0037",2044,2873
"X60_X84_Y87.0","2016_2020",15,"Cluster_EQI_A_SVI+UN+PD+DB","0.00","4.11(2.14,6.05)","9.08(6.99,11.22)","9.82(7.19,12.41)","0.0002","1.0009",3143,3530,"0.0002","1.0007",2492,3145,"0.0002","1.0007",2257,3035
"X60_X84_Y87.0","2021_2024",20,"Cluster_EQI_A_SVI+UN+PD+DB","0.00","5.02(2.71,7.28)","11.37(8.82,13.84)","13.61(10.55,16.60)","0.0002","1.0013",3912,3877,"0.0002","1.0021",3318,3686,"0.0002","1.0020",2772,3622
"X60_X84_Y87.0","2006_2010",5,"Cluster_EQI_B_SVI+UN+PD+DB","0.00","2.95(1.87,4.00)","3.83(2.57,5.09)","3.42(1.65,5.20)","0.0002","1.0005",2931,3202,"0.0002","1.0015",2214,3314,"0.0002","1.0015",2094,2770
"X60_X84_Y87.0","2011_2015",10,"Cluster_EQI_B_SVI+UN+PD+DB","0.00","2.98(1.79,4.17)","3.71(2.25,5.13)","2.98(0.97,4.98)","0.0002","1.0017",2621,3683,"0.0002","1.0033",2036,2959,"0.0023","1.0033",1761,2633
"X60_X84_Y87.0","2016_2020",15,"Cluster_EQI_B_SVI+UN+PD+DB","0.00","3.63(2.37,4.89)","4.94(3.36,6.51)","3.93(1.80,6.02)","0.0002","1.0024",2361,3263,"0.0002","1.0035",1688,2787,"0.0002","1.0041",1436,2527
"X60_X84_Y87.0","2021_2024",20,"Cluster_EQI_B_SVI+UN+PD+DB","0.00","4.53(2.84,6.12)","5.81(3.86,7.70)","5.61(2.98,8.29)","0.0002","1.0006",3055,3786,"0.0002","1.0024",2482,3079,"0.0002","1.0020",2067,2826
"X60_X84_Y87.0","2006_2010",5,"Cluster_EQI_C_SVI+UN+PD+DB","0.00","1.24(0.62,1.85)","2.29(1.49,3.10)","2.18(0.93,3.48)","0.0002","1.0032",2126,2742,"0.0002","1.0037",1636,2536,"0.0010","1.0028",1468,2343
"X60_X84_Y87.0","2011_2015",10,"Cluster_EQI_C_SVI+UN+PD+DB","0.00","1.52(0.84,2.21)","2.60(1.73,3.51)","2.08(0.70,3.53)","0.0002","1.0013",2183,2892,"0.0002","1.0018",1653,2212,"0.0052","1.0024",1604,2321
"X60_X84_Y87.0","2016_2020",15,"Cluster_EQI_C_SVI+UN+PD+DB","0.00","2.00(1.27,2.72)","2.96(1.96,3.91)","1.99(0.41,3.51)","0.0002","1.0028",1866,2884,"0.0002","1.0033",1407,2406,"0.0148","1.0032",1241,2024
"X60_X84_Y87.0","2021_2024",20,"Cluster_EQI_C_SVI+UN+PD+DB","0.00","2.42(1.58,3.26)","3.54(2.44,4.66)","3.08(1.30,4.91)","0.0002","1.0020",2073,2901,"0.0002","1.0020",1487,2277,"0.0023","1.0019",1288,2039
"X60_X84_Y87.0","2006_2010",5,"Cluster_NLCD_A_SVI+UN+PD+DB","0.00","3.98(3.06,4.88)","7.21(6.16,8.25)","7.84(6.37,9.24)","0.0002","1.0012",2114,3295,"0.0002","1.0033",1603,2652,"0.0002","1.0036",1371,2279
"X60_X84_Y87.0","2011_2015",10,"Cluster_NLCD_A_SVI+UN+PD+DB","0.00","3.43(2.38,4.48)","6.87(5.62,8.14)","7.98(6.28,9.72)","0.0002","1.0023",2309,3189,"0.0002","1.0017",1788,2599,"0.0002","1.0015",1650,2133
"X60_X84_Y87.0","2016_2020",15,"Cluster_NLCD_A_SVI+UN+PD+DB","0.00","4.05(2.91,5.26)","7.42(6.06,8.79)","7.43(5.66,9.32)","0.0002","1.0002",3251,3655,"0.0002","0.9997",2289,3075,"0.0002","1.0008",2009,2690
"X60_X84_Y87.0","2021_2024",20,"Cluster_NLCD_A_SVI+UN+PD+DB","0.00","4.92(3.42,6.34)","8.76(7.02,10.48)","10.52(8.32,12.84)","0.0002","1.0003",3023,3324,"0.0002","1.0015",2086,2950,"0.0002","1.0014",1800,2772
"X60_X84_Y87.0","2006_2010",5,"Cluster_NLCD_B_SVI+UN+PD+DB","0.00","0.62(-0.98,2.24)","1.12(-0.63,2.87)","1.12(-1.30,3.53)","0.4389","1.0012",2982,3394,"0.2206","1.0023",2319,3011,"0.3589","1.0018",1957,2764
"X60_X84_Y87.0","2011_2015",10,"Cluster_NLCD_B_SVI+UN+PD+DB","0.00","1.82(0.12,3.57)","2.75(0.80,4.71)","1.77(-0.94,4.53)","0.0344","1.0003",2808,3194,"0.0069","1.0021",1973,2978,"0.2031","1.0011",1687,2508
"X60_X84_Y87.0","2016_2020",15,"Cluster_NLCD_B_SVI+UN+PD+DB","0.00","1.53(-0.37,3.43)","2.07(-0.13,4.24)","1.11(-1.96,4.02)","0.1206","1.0007",3015,3500,"0.0673","1.0020",2508,3160,"0.4659","1.0010",2291,3205
"X60_X84_Y87.0","2021_2024",20,"Cluster_NLCD_B_SVI+UN+PD+DB","0.00","1.82(-0.57,4.24)","2.23(-0.51,4.93)","2.52(-1.20,6.25)","0.1331","1.0002",3913,3623,"0.1131","1.0014",3284,3757,"0.1839","1.0010",2951,3514
"X60_X84_Y87.0","2006_2010",5,"Cluster_NLCD_C_SVI+UN+PD+DB","0.00","2.34(1.59,3.06)","3.77(2.77,4.76)","3.56(1.81,5.33)","0.0002","1.0012",2835,3389,"0.0002","1.0015",2327,2922,"0.0002","1.0028",1758,3039
"X60_X84_Y87.0","2011_2015",10,"Cluster_NLCD_C_SVI+UN+PD+DB","0.00","3.29(2.46,4.15)","4.82(3.71,5.96)","3.59(1.57,5.58)","0.0002","1.0001",3299,3197,"0.0002","1.0010",2593,3023,"0.0006","1.0017",2356,2974
"X60_X84_Y87.0","2016_2020",15,"Cluster_NLCD_C_SVI+UN+PD+DB","0.00","2.99(2.07,3.92)","4.88(3.65,6.13)","4.20(2.05,6.42)","0.0002","1.0011",2821,2985,"0.0002","1.0016",2182,2820,"0.0002","1.0019",1903,2613
"X60_X84_Y87.0","2021_2024",20,"Cluster_NLCD_C_SVI+UN+PD+DB","0.00","4.41(3.26,5.52)","7.09(5.59,8.57)","7.69(5.06,10.31)","0.0002","1.0002",3340,3322,"0.0002","1.0003",2428,3469,"0.0002","1.0027",2331,3011
"X60_X84_Y87.0","2006_2010",5,"Cluster_NLCD_D_SVI+UN+PD+DB","0.00","-0.38(-1.98,1.21)","-0.60(-2.42,1.22)","-0.34(-2.90,2.27)","0.6338","1.0013",2405,3452,"0.5268","1.0008",1922,2633,"0.7946","1.0012",1768,2527
"X60_X84_Y87.0","2011_2015",10,"Cluster_NLCD_D_SVI+UN+PD+DB","0.00","0.18(-1.68,1.95)","-0.27(-2.30,1.84)","-2.26(-5.07,0.63)","0.8292","1.0002",1857,3000,"0.7813","1.0010",1405,2425,"0.1339","1.0020",1428,2452
"X60_X84_Y87.0","2016_2020",15,"Cluster_NLCD_D_SVI+UN+PD+DB","0.00","-0.23(-2.29,1.78)","0.08(-2.21,2.29)","-1.18(-4.35,1.87)","0.8246","1.0008",2170,2851,"0.9367","1.0019",1668,2521,"0.4651","1.0015",1578,2420
"X60_X84_Y87.0","2021_2024",20,"Cluster_NLCD_D_SVI+UN+PD+DB","0.00","-1.58(-4.13,0.94)","-0.81(-3.50,1.89)","-0.57(-4.46,3.13)","0.2314","1.0006",2944,3266,"0.5659","1.0032",2180,2686,"0.7825","1.0029",1964,2682
