ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
N00_N29_C64_C65,2006_2010,5,Cluster_EQI_A_SVI+SM+UN,"1.00(1.00,1.00)","1.43(1.25,1.67)","1.56(1.35,1.84)","1.94(1.66,2.29)",NA,0.0002,0.0002,0.0002,1.0008,1.0011,1.0018,2272,1836,1780,3162,2760,2534
"N00_N29_C64_C65","2011_2015",10,"Cluster_EQI_A_SVI+SM+UN","1.00(1.00,1.00)","1.23(1.06,1.44)","1.42(1.21,1.69)","1.75(1.48,2.08)",NA,"0.0027","0.0002","0.0002","1.0046","1.0051","1.0047",1783,1515,1484,2901,2352,2237
"N00_N29_C64_C65","2016_2020",15,"Cluster_EQI_A_SVI+SM+UN","1.00(1.00,1.00)","1.17(1.02,1.36)","1.36(1.17,1.59)","1.72(1.47,2.02)",NA,"0.0265","0.0002","0.0002","1.0009","1.0019","1.0018",2924,2245,2194,3390,3385,2963
"N00_N29_C64_C65","2021_2024",20,"Cluster_EQI_A_SVI+SM+UN","1.00(1.00,1.00)","1.13(0.98,1.30)","1.31(1.13,1.53)","1.67(1.44,1.95)",NA,"0.1006","0.0002","0.0002","1.0003","1.0014","1.0011",2532,1901,1978,3470,3129,3338
"N00_N29_C64_C65","2006_2010",5,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.08(1.01,1.15)","1.11(1.03,1.20)","1.31(1.20,1.43)",NA,"0.0323","0.0065","0.0002","1.0014","1.0026","1.0014",2325,2128,1979,3206,3093,3006
"N00_N29_C64_C65","2011_2015",10,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.13(1.04,1.22)","1.21(1.10,1.33)","1.38(1.24,1.54)",NA,"0.0027","0.0002","0.0002","1.0006","1.0007","1.0005",2642,2239,2364,3653,3133,3409
"N00_N29_C64_C65","2016_2020",15,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.13(1.05,1.22)","1.21(1.11,1.33)","1.44(1.30,1.59)",NA,"0.0015","0.0002","0.0002","1.0002","1.0012","1.0009",3107,2511,2486,3607,3299,3262
"N00_N29_C64_C65","2021_2024",20,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.03(0.95,1.11)","1.12(1.02,1.22)","1.30(1.18,1.45)",NA,"0.5734","0.0148","0.0002","0.9999","1.0000","1.0006",2694,2261,2205,3175,3277,3066
"N00_N29_C64_C65","2006_2010",5,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.04(1.00,1.08)","1.15(1.10,1.20)","1.31(1.24,1.39)",NA,"0.0310","0.0002","0.0002","1.0012","1.0017","1.0022",2729,2273,2324,3513,3252,3342
"N00_N29_C64_C65","2011_2015",10,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.07(1.03,1.11)","1.16(1.11,1.22)","1.33(1.25,1.41)",NA,"0.0006","0.0002","0.0002","1.0030","1.0030","1.0023",2258,1865,2033,3079,2954,2446
"N00_N29_C64_C65","2016_2020",15,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.11(1.07,1.15)","1.24(1.18,1.29)","1.45(1.37,1.54)",NA,"0.0002","0.0002","0.0002","1.0023","1.0030","1.0018",2166,1709,1904,3210,2262,3223
"N00_N29_C64_C65","2021_2024",20,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.08(1.04,1.13)","1.19(1.14,1.25)","1.45(1.36,1.55)",NA,"0.0010","0.0002","0.0002","1.0014","1.0028","1.0011",2832,2399,2429,3575,2785,3086
"N00_N29_C64_C65","2006_2010",5,"Cluster_NLCD_A_SVI+SM+UN","1.00(1.00,1.00)","1.18(1.11,1.26)","1.33(1.24,1.44)","1.59(1.47,1.73)",NA,"0.0002","0.0002","0.0002","1.0021","1.0029","1.0035",2001,1569,1663,3322,2497,2674
"N00_N29_C64_C65","2011_2015",10,"Cluster_NLCD_A_SVI+SM+UN","1.00(1.00,1.00)","1.14(1.07,1.23)","1.29(1.20,1.40)","1.53(1.41,1.67)",NA,"0.0002","0.0002","0.0002","1.0015","1.0048","1.0030",2403,1777,1813,3448,2662,2882
