ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
K70_K76_C22,2006_2010,5,Cluster_EQI_A_SVI+SM+UN,"1.00(1.00,1.00)","1.47(1.19,1.84)","1.88(1.51,2.37)","2.43(1.96,3.09)",NA,0.0002,0.0002,0.0002,1.0015,1.0011,1.0010,2866,2063,2165,3843,3360,2924
"K70_K76_C22","2011_2015",10,"Cluster_EQI_A_SVI+SM+UN","1.00(1.00,1.00)","1.47(1.21,1.80)","1.85(1.51,2.31)","2.34(1.91,2.94)",NA,"0.0006","0.0002","0.0002","1.0013","1.0017","1.0017",3408,2547,2643,2963,3375,3350
"K70_K76_C22","2016_2020",15,"Cluster_EQI_A_SVI+SM+UN","1.00(1.00,1.00)","1.21(1.03,1.43)","1.53(1.29,1.82)","1.92(1.63,2.31)",NA,"0.0202","0.0002","0.0002","1.0018","1.0025","1.0030",2616,2090,1986,3481,3174,3033
"K70_K76_C22","2021_2024",20,"Cluster_EQI_A_SVI+SM+UN","1.00(1.00,1.00)","1.15(1.00,1.32)","1.43(1.25,1.66)","1.70(1.48,1.97)",NA,"0.0535","0.0002","0.0002","1.0007","1.0018","1.0009",4779,3727,3667,4095,3558,3391
"K70_K76_C22","2006_2010",5,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.13(1.05,1.21)","1.27(1.17,1.38)","1.34(1.22,1.46)",NA,"0.0006","0.0002","0.0002","1.0020","1.0024","1.0033",2496,2075,2023,3301,3329,3237
"K70_K76_C22","2011_2015",10,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.12(1.05,1.19)","1.27(1.18,1.37)","1.28(1.18,1.40)",NA,"0.0002","0.0002","0.0002","1.0003","0.9996","1.0007",2574,1991,2270,3506,2780,3299
"K70_K76_C22","2016_2020",15,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.11(1.04,1.18)","1.21(1.13,1.29)","1.24(1.14,1.33)",NA,"0.0006","0.0002","0.0002","1.0017","1.0020","1.0019",3599,2993,2679,3647,3388,3648
"K70_K76_C22","2021_2024",20,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.13(1.06,1.20)","1.21(1.12,1.30)","1.23(1.13,1.33)",NA,"0.0006","0.0002","0.0002","1.0014","1.0022","1.0018",3396,2745,3069,3730,3428,3315
"K70_K76_C22","2006_2010",5,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.10(1.06,1.14)","1.21(1.16,1.26)","1.36(1.29,1.44)",NA,"0.0002","0.0002","0.0002","1.0022","1.0013","1.0014",3122,2643,2818,3300,3242,3105
"K70_K76_C22","2011_2015",10,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.07(1.04,1.11)","1.18(1.14,1.23)","1.29(1.23,1.36)",NA,"0.0002","0.0002","0.0002","1.0036","1.0029","1.0032",2737,2384,2470,4025,3352,3237
"K70_K76_C22","2016_2020",15,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.05(1.02,1.09)","1.14(1.09,1.18)","1.26(1.20,1.33)",NA,"0.0044","0.0002","0.0002","1.0005","1.0009","1.0009",2695,2241,2329,3865,3286,3446
"K70_K76_C22","2021_2024",20,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.05(1.02,1.09)","1.11(1.07,1.16)","1.22(1.15,1.29)",NA,"0.0052","0.0002","0.0002","1.0014","1.0007","1.0001",3086,2522,2648,3493,3655,3428
"K70_K76_C22","2006_2010",5,"Cluster_NLCD_A_SVI+SM+UN","1.00(1.00,1.00)","1.28(1.17,1.39)","1.52(1.37,1.67)","1.85(1.66,2.05)",NA,"0.0002","0.0002","0.0002","1.0025","1.0003","1.0004",2668,2084,2204,3020,3052,3153
"K70_K76_C22","2011_2015",10,"Cluster_NLCD_A_SVI+SM+UN","1.00(1.00,1.00)","1.20(1.11,1.31)","1.42(1.30,1.56)","1.66(1.51,1.83)",NA,"0.0002","0.0002","0.0002","1.0017","1.0034","1.0026",2769,2036,2024,3587,3156,3333
"K70_K76_C22","2016_2020",15,"Cluster_NLCD_A_SVI+SM+UN","1.00(1.00,1.00)","1.16(1.08,1.23)","1.35(1.25,1.45)","1.54(1.42,1.67)",NA,"0.0002","0.0002","0.0002","1.0011","1.0018","1.0016",2827,2285,2465,3757,3141,3145
"K70_K76_C22","2021_2024",20,"Cluster_NLCD_A_SVI+SM+UN","1.00(1.00,1.00)","1.15(1.07,1.24)","1.34(1.23,1.45)","1.54(1.41,1.68)",NA,"0.0002","0.0002","0.0002","0.9999","1.0008","1.0004",3403,2819,2667,3766,3428,3737
"K70_K76_C22","2006_2010",5,"Cluster_NLCD_B_SVI+SM+UN","1.00(1.00,1.00)","1.14(1.02,1.28)","1.20(1.06,1.35)","1.24(1.08,1.41)",NA,"0.0148","0.0015","0.0006","1.0010","1.0021","1.0019",3475,2959,3124,3533,3746,3974
"K70_K76_C22","2011_2015",10,"Cluster_NLCD_B_SVI+SM+UN","1.00(1.00,1.00)","1.18(1.06,1.30)","1.23(1.11,1.38)","1.21(1.07,1.37)",NA,"0.0006","0.0002","0.0015","1.0027","1.0022","1.0024",2819,2560,2503,3168,3176,3190
"K70_K76_C22","2016_2020",15,"Cluster_NLCD_B_SVI+SM+UN","1.00(1.00,1.00)","1.05(0.97,1.15)","1.11(1.02,1.22)","1.13(1.01,1.26)",NA,"0.2477","0.0173","0.0306","1.0005","1.0005","1.0011",3901,3405,3734,4133,3636,3853
"K70_K76_C22","2021_2024",20,"Cluster_NLCD_B_SVI+SM+UN","1.00(1.00,1.00)","1.03(0.94,1.13)","1.12(1.01,1.23)","1.07(0.96,1.21)",NA,"0.5018","0.0277","0.2481","1.0001","1.0006","1.0000",3391,3291,3397,3920,3897,3680
"K70_K76_C22","2006_2010",5,"Cluster_NLCD_C_SVI+SM+UN","1.00(1.00,1.00)","1.14(1.07,1.22)","1.31(1.21,1.41)","1.62(1.46,1.79)",NA,"0.0002","0.0002","0.0002","1.0000","1.0006","1.0005",3749,2827,2731,3586,3758,3435
"K70_K76_C22","2011_2015",10,"Cluster_NLCD_C_SVI+SM+UN","1.00(1.00,1.00)","1.16(1.09,1.23)","1.34(1.24,1.44)","1.69(1.54,1.85)",NA,"0.0002","0.0002","0.0002","1.0006","1.0013","1.0010",3138,2588,2541,3811,3561,3185
"K70_K76_C22","2016_2020",15,"Cluster_NLCD_C_SVI+SM+UN","1.00(1.00,1.00)","1.14(1.08,1.21)","1.27(1.19,1.36)","1.50(1.37,1.63)",NA,"0.0002","0.0002","0.0002","1.0011","1.0011","1.0011",3259,2484,2620,3635,3036,3250
"K70_K76_C22","2021_2024",20,"Cluster_NLCD_C_SVI+SM+UN","1.00(1.00,1.00)","1.16(1.09,1.22)","1.26(1.18,1.35)","1.48(1.36,1.61)",NA,"0.0002","0.0002","0.0002","1.0005","1.0007","1.0014",4575,3422,3328,3698,3702,3888
"K70_K76_C22","2006_2010",5,"Cluster_NLCD_D_SVI+SM+UN","1.00(1.00,1.00)","1.05(0.95,1.17)","1.14(1.03,1.28)","1.26(1.11,1.44)",NA,"0.3510","0.0131","0.0006","1.0002","1.0005","1.0013",3002,2273,2394,3685,3537,3236
"K70_K76_C22","2011_2015",10,"Cluster_NLCD_D_SVI+SM+UN","1.00(1.00,1.00)","1.07(0.94,1.21)","1.18(1.04,1.35)","1.25(1.07,1.46)",NA,"0.3056","0.0115","0.0023","1.0007","1.0010","1.0007",3949,3181,3285,3694,3519,3569
"K70_K76_C22","2016_2020",15,"Cluster_NLCD_D_SVI+SM+UN","1.00(1.00,1.00)","1.08(0.96,1.22)","1.13(1.00,1.29)","1.19(1.03,1.38)",NA,"0.2106","0.0485","0.0181","1.0009","1.0014","1.0007",3502,2686,2754,3640,3197,3285
"K70_K76_C22","2021_2024",20,"Cluster_NLCD_D_SVI+SM+UN","1.00(1.00,1.00)","1.03(0.90,1.17)","1.05(0.92,1.21)","1.10(0.94,1.28)",NA,"0.7155","0.4964","0.2485","1.0006","1.0006","1.0006",3372,2801,2836,3585,3464,3256
