ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
I00_I99,2006_2010,5,Cluster_EQI_A_SVI+SM+UN,0.00,"2.75(-3.93,9.27)","5.57(-1.10,12.09)","23.90(17.08,30.68)",0.4014,1.0019,3763,3103,0.0952,1.0004,3142,3455,0.0002,1.0007,3340,3580
"I00_I99","2011_2015",10,"Cluster_EQI_A_SVI+SM+UN","0.00","0.21(-6.13,6.54)","9.96(3.79,15.93)","25.61(18.99,32.01)","0.9508","1.0013",4782,3400,"0.0023","1.0003",3775,3805,"0.0002","1.0004",3446,3758
"I00_I99","2016_2020",15,"Cluster_EQI_A_SVI+SM+UN","0.00","0.63(-5.61,6.71)","7.28(1.24,13.50)","33.16(26.87,39.48)","0.8404","1.0007",4018,3552,"0.0210","1.0017",3320,3532,"0.0002","1.0032",2990,3721
"I00_I99","2021_2024",20,"Cluster_EQI_A_SVI+SM+UN","0.00","-5.96(-13.71,1.88)","3.02(-4.50,10.72)","21.82(14.14,29.32)","0.1285","1.0004",6304,4075,"0.4380","1.0010",4243,3660,"0.0002","1.0006",4785,4145
"I00_I99","2006_2010",5,"Cluster_EQI_B_SVI+SM+UN","0.00","-0.96(-5.72,3.59)","11.54(6.45,16.64)","26.69(20.74,32.54)","0.6896","1.0005",4134,3906,"0.0002","1.0018",3830,3622,"0.0002","1.0015",4633,3750
"I00_I99","2011_2015",10,"Cluster_EQI_B_SVI+SM+UN","0.00","2.10(-2.39,6.47)","12.72(7.87,17.62)","26.82(21.01,32.41)","0.3485","1.0005",4184,3417,"0.0002","0.9996",4011,3710,"0.0002","1.0010",3951,3470
"I00_I99","2016_2020",15,"Cluster_EQI_B_SVI+SM+UN","0.00","1.91(-2.82,6.67)","14.40(9.15,19.51)","27.04(21.11,32.83)","0.4193","1.0002",3422,3254,"0.0002","1.0000",3172,3471,"0.0002","1.0003",2868,3473
"I00_I99","2021_2024",20,"Cluster_EQI_B_SVI+SM+UN","0.00","-8.35(-14.75,-1.91)","8.33(1.29,15.09)","21.61(13.92,29.13)","0.0110","1.0008",5222,4091,"0.0219","1.0012",4700,3582,"0.0002","1.0008",4503,3618
"I00_I99","2006_2010",5,"Cluster_EQI_C_SVI+SM+UN","0.00","0.99(-1.84,3.74)","7.17(3.91,10.51)","26.42(21.72,31.04)","0.4930","1.0018",1876,2482,"0.0002","1.0023",1141,1961,"0.0002","1.0036",1206,1631
"I00_I99","2011_2015",10,"Cluster_EQI_C_SVI+SM+UN","0.00","2.10(-0.65,4.79)","8.95(5.74,12.22)","28.05(23.64,32.42)","0.1298","1.0001",3102,3289,"0.0002","1.0009",2493,3063,"0.0002","1.0010",2399,3488
"I00_I99","2016_2020",15,"Cluster_EQI_C_SVI+SM+UN","0.00","2.87(0.27,5.47)","13.58(10.43,16.75)","33.68(29.36,38.03)","0.0319","1.0010",3396,3531,"0.0002","1.0025",2876,3590,"0.0002","1.0012",2996,3644
"I00_I99","2021_2024",20,"Cluster_EQI_C_SVI+SM+UN","0.00","0.11(-4.15,4.47)","10.82(5.76,15.64)","29.35(22.86,35.93)","0.9800","1.0002",3021,3566,"0.0002","1.0006",3000,3363,"0.0002","1.0001",3011,3047
"I00_I99","2006_2010",5,"Cluster_NLCD_A_SVI+SM+UN","0.00","6.74(2.22,11.14)","18.34(13.44,23.08)","32.83(27.46,38.25)","0.0027","1.0023",2791,3675,"0.0002","1.0052",2600,3096,"0.0002","1.0029",2501,2844
"I00_I99","2011_2015",10,"Cluster_NLCD_A_SVI+SM+UN","0.00","6.06(1.82,10.11)","21.04(16.51,25.38)","33.48(28.23,38.58)","0.0044","1.0008",3698,3519,"0.0002","1.0005",3315,3881,"0.0002","1.0007",3161,3488
"I00_I99","2016_2020",15,"Cluster_NLCD_A_SVI+SM+UN","0.00","7.74(3.61,11.88)","21.26(16.68,25.81)","37.20(32.19,42.33)","0.0006","1.0006",3502,3496,"0.0002","1.0014",3009,3205,"0.0002","1.0034",3120,3320
"I00_I99","2021_2024",20,"Cluster_NLCD_A_SVI+SM+UN","0.00","-2.95(-8.91,3.01)","14.04(7.90,20.25)","29.78(22.82,36.81)","0.3314","1.0016",3590,3664,"0.0002","1.0010",3311,3073,"0.0002","1.0003",3185,3182
"I00_I99","2006_2010",5,"Cluster_NLCD_B_SVI+SM+UN","0.00","-2.94(-9.32,3.63)","0.64(-6.04,7.28)","19.50(12.39,26.89)","0.3735","1.0021",3857,3704,"0.8367","1.0012",3603,3496,"0.0002","1.0001",3797,3657
"I00_I99","2011_2015",10,"Cluster_NLCD_B_SVI+SM+UN","0.00","-4.15(-10.44,2.00)","1.68(-4.77,7.94)","22.32(15.22,29.42)","0.1973","0.9999",4565,3529,"0.6034","1.0012",3911,3452,"0.0002","1.0008",3553,3819
"I00_I99","2016_2020",15,"Cluster_NLCD_B_SVI+SM+UN","0.00","-3.46(-9.61,2.86)","2.21(-3.86,8.49)","25.36(18.11,32.69)","0.2714","1.0014",3629,3328,"0.4972","1.0004",3371,3431,"0.0002","1.0004",3507,3494
"I00_I99","2021_2024",20,"Cluster_NLCD_B_SVI+SM+UN","0.00","-6.55(-14.47,1.20)","-1.76(-9.91,6.25)","15.37(6.48,24.12)","0.1069","1.0012",5111,3816,"0.6859","1.0006",5781,3438,"0.0015","1.0021",5316,3492
"I00_I99","2006_2010",5,"Cluster_NLCD_C_SVI+SM+UN","0.00","0.83(-2.68,4.40)","0.57(-3.79,4.89)","18.24(12.27,24.13)","0.6597","1.0008",4527,4101,"0.8067","1.0009",3485,3508,"0.0002","1.0025",3498,3636
"I00_I99","2011_2015",10,"Cluster_NLCD_C_SVI+SM+UN","0.00","3.38(0.09,6.65)","2.25(-1.66,6.27)","18.07(12.33,23.40)","0.0431","1.0004",4405,3818,"0.2652","1.0005",3683,3720,"0.0002","1.0001",3599,3562
"I00_I99","2016_2020",15,"Cluster_NLCD_C_SVI+SM+UN","0.00","2.76(-0.71,6.13)","6.27(2.05,10.41)","26.50(20.64,32.24)","0.1131","1.0005",3950,3442,"0.0019","1.0012",2846,3398,"0.0002","1.0013",2911,3321
