ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
I00_I99,2006_2010,5,Cluster_EQI_A_SVI+SM+UN,"1.00(1.00,1.00)","1.01(0.98,1.04)","1.02(1.00,1.05)","1.10(1.07,1.13)",NA,0.4014,0.0952,0.0002,1.0019,1.0004,1.0007,3763,3142,3340,3103,3455,3580
"I00_I99","2011_2015",10,"Cluster_EQI_A_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.97,1.03)","1.05(1.02,1.07)","1.12(1.08,1.15)",NA,"0.9508","0.0023","0.0002","1.0013","1.0003","1.0004",4782,3775,3446,3400,3805,3758
"I00_I99","2016_2020",15,"Cluster_EQI_A_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.97,1.03)","1.03(1.01,1.06)","1.15(1.12,1.19)",NA,"0.8404","0.0210","0.0002","1.0007","1.0017","1.0032",4018,3320,2990,3552,3532,3721
"I00_I99","2021_2024",20,"Cluster_EQI_A_SVI+SM+UN","1.00(1.00,1.00)","0.98(0.95,1.01)","1.01(0.98,1.04)","1.08(1.05,1.11)",NA,"0.1285","0.4380","0.0002","1.0004","1.0010","1.0006",6304,4243,4785,4075,3660,4145
"I00_I99","2006_2010",5,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.98,1.01)","1.05(1.03,1.07)","1.11(1.08,1.14)",NA,"0.6896","0.0002","0.0002","1.0005","1.0018","1.0015",4134,3830,4633,3906,3622,3750
"I00_I99","2011_2015",10,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.01(0.99,1.03)","1.06(1.03,1.08)","1.12(1.09,1.15)",NA,"0.3485","0.0002","0.0002","1.0005","0.9996","1.0010",4184,4011,3951,3417,3710,3470
"I00_I99","2016_2020",15,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.01(0.99,1.03)","1.06(1.04,1.09)","1.12(1.09,1.15)",NA,"0.4193","0.0002","0.0002","1.0002","1.0000","1.0003",3422,3172,2868,3254,3471,3473
"I00_I99","2021_2024",20,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","0.97(0.95,0.99)","1.03(1.00,1.05)","1.08(1.05,1.11)",NA,"0.0110","0.0219","0.0002","1.0008","1.0012","1.0008",5222,4700,4503,4091,3582,3618
"I00_I99","2006_2010",5,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.99,1.02)","1.03(1.02,1.05)","1.13(1.10,1.16)",NA,"0.4930","0.0002","0.0002","1.0018","1.0023","1.0036",1876,1141,1206,2482,1961,1631
"I00_I99","2011_2015",10,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.01(1.00,1.02)","1.04(1.03,1.06)","1.13(1.11,1.16)",NA,"0.1298","0.0002","0.0002","1.0001","1.0009","1.0010",3102,2493,2399,3289,3063,3488
"I00_I99","2016_2020",15,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.01(1.00,1.03)","1.07(1.05,1.08)","1.17(1.14,1.19)",NA,"0.0319","0.0002","0.0002","1.0010","1.0025","1.0012",3396,2876,2996,3531,3590,3644
"I00_I99","2021_2024",20,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.98,1.02)","1.04(1.02,1.07)","1.12(1.09,1.15)",NA,"0.9800","0.0002","0.0002","1.0002","1.0006","1.0001",3021,3000,3011,3566,3363,3047
"I00_I99","2006_2010",5,"Cluster_NLCD_A_SVI+SM+UN","1.00(1.00,1.00)","1.03(1.01,1.05)","1.09(1.06,1.11)","1.15(1.13,1.19)",NA,"0.0027","0.0002","0.0002","1.0023","1.0052","1.0029",2791,2600,2501,3675,3096,2844
"I00_I99","2011_2015",10,"Cluster_NLCD_A_SVI+SM+UN","1.00(1.00,1.00)","1.03(1.01,1.05)","1.10(1.08,1.13)","1.16(1.13,1.19)",NA,"0.0044","0.0002","0.0002","1.0008","1.0005","1.0007",3698,3315,3161,3519,3881,3488
