ICD_Code,Model,Lag,MRD_Q_Improved,MRD_Q_Worsened,Intercept_Baseline_Change,Control_delta_Smoking_Rate,N_Counties,Rhat_max
C00_C97,Cluster0_EQI,5,"-0.70(-6.89,8.31)","2.40(-4.12,6.91)","-10.16(-15.17,-5.19)***","-0.80(-3.27,1.75)",1010,1.007
C00_C97,Cluster0_Air,5,"-5.84(-11.23,0.90)","3.01(-1.75,8.33)","-9.52(-14.00,-5.54)***","-1.42(-3.66,1.09)",1010,1.0204
C00_C97,Cluster0_Water,5,"-1.79(-9.43,5.59)","3.51(-2.93,9.86)","-12.48(-16.06,-8.97)***","-1.13(-3.67,1.53)",1010,1.0212
C00_C97,Cluster0_Land,5,"-3.32(-10.55,3.10)","-1.40(-6.56,4.03)","-9.16(-14.06,-4.39)***","-1.35(-3.79,1.19)",1010,1.0574
C00_C97,Cluster0_Built,5,"-5.66(-11.77,1.24)","-1.18(-6.41,4.14)","-9.35(-14.09,-4.66)***","-1.74(-3.99,0.82)",1010,1.005
C00_C97,Cluster0_Social,5,"-2.62(-10.39,5.61)","1.77(-4.53,8.29)","-13.11(-19.10,-7.34)***","-0.71(-3.42,2.08)",1010,1.0348
C00_C97,Cluster1_EQI,5,"-3.21(-6.15,-1.71)*","3.06(-0.45,6.32)","-10.37(-13.17,-7.53)***","0.42(-0.44,1.31)",747,1.0011
C00_C97,Cluster1_Air,5,"-3.08(-5.60,-1.61)*","-0.34(-4.77,4.10)","-10.41(-12.91,-7.89)***","0.41(-0.44,1.30)",747,1.0018
C00_C97,Cluster1_Water,5,"-2.78(-7.02,1.41)","-0.47(-4.06,3.05)","-11.25(-13.28,-9.24)***","0.40(-0.47,1.26)",747,1.002
C00_C97,Cluster1_Land,5,"0.56(-2.56,3.65)","1.26(-1.75,4.34)","-12.23(-14.87,-9.53)***","0.39(-0.51,1.33)",747,1.0006
C00_C97,Cluster1_Built,5,"-1.22(-4.40,1.85)","1.61(-2.14,5.25)","-11.23(-14.39,-8.02)***","0.41(-0.49,1.30)",747,1.0005
C00_C97,Cluster1_Social,5,"-3.98(-7.36,-0.68)*","3.92(-0.10,7.92)","-10.55(-13.72,-7.31)***","-0.32(-1.22,0.58)",747,1.0005
C00_C97,Cluster2_EQI,5,"-2.32(-4.38,-0.33)*","3.36(0.62,4.39)*","-12.95(-14.88,-11.03)***","-0.15(-0.93,0.59)",1380,1.0011
