"ICD_Code","Model","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"C76_C80","Cluster0_EQI",5,"-2.88(-10.11,4.90)","-4.11(-7.26,-1.00)*","3.70(0.83,6.63)*","0.23(-0.94,1.43)",457,1.002
"C76_C80","Cluster0_Air",5,"-1.57(-5.32,2.10)","2.03(-0.85,4.83)","0.36(-2.02,2.79)","0.47(-0.71,1.68)",457,1.0018
"C76_C80","Cluster0_Water",5,"1.02(-3.60,5.67)","-2.87(-7.30,1.52)","1.25(-0.92,3.90)","0.44(-0.73,1.63)",457,1.0013
"C76_C80","Cluster0_Land",5,"1.19(-2.65,5.01)","-1.20(-4.16,1.68)","1.12(-1.50,3.84)","0.33(-0.88,1.58)",457,1.0017
"C76_C80","Cluster0_Built",5,"2.55(-2.11,7.34)","-2.21(-5.79,1.34)","2.06(-1.52,5.70)","0.33(-0.82,1.51)",457,1.0017
"C76_C80","Cluster0_Social",5,"1.66(-3.73,7.11)","1.31(-2.77,5.32)","-0.35(-4.63,3.95)","0.37(-0.85,1.57)",457,1.0009
"C76_C80","Cluster1_EQI",5,"-1.57(-3.41,0.26)","-1.50(-3.15,0.16)","-0.18(-1.86,1.43)","-0.53(-1.16,0.12)",964,1.0023
"C76_C80","Cluster1_Air",5,"-1.47(-3.32,0.36)","-0.88(-2.47,0.74)","-0.55(-2.18,0.90)","-0.51(-1.17,0.12)",964,1.0025
"C76_C80","Cluster1_Water",5,"2.36(-0.02,4.78)","0.19(-2.44,2.78)","-1.45(-2.78,-0.19)*","-0.46(-1.09,0.18)",964,1.0019
"C76_C80","Cluster1_Land",5,"0.80(-1.07,2.60)","-0.29(-2.04,1.43)","-1.46(-3.19,0.27)","-0.53(-1.18,0.12)",964,1.0002
"C76_C80","Cluster1_Built",5,"-2.77(-4.74,-0.69)**","-2.07(-4.01,-0.21)*","0.75(-1.21,2.68)","-0.51(-1.19,0.16)",964,1.001
"C76_C80","Cluster1_Social",5,"-1.65(-4.41,1.06)","-0.28(-2.17,1.62)","-0.91(-2.95,1.08)","-0.56(-1.21,0.10)",964,1.0004
"C76_C80","Cluster2_EQI",5,"-0.41(-1.32,0.51)","-0.17(-1.30,0.90)","-0.30(-1.35,0.71)","0.03(-0.27,0.35)",663,1.0016
"C76_C80","Cluster2_Air",5,"0.47(-0.40,1.34)","2.12(0.95,3.28)***","-1.17(-2.20,-0.18)*","-0.01(-0.31,0.30)",663,1.002
"C76_C80","Cluster2_Water",5,"-0.23(-1.63,1.17)","1.70(0.70,2.70)***","-0.70(-1.55,0.07)","0.05(-0.23,0.35)",663,1.0011
"C76_C80","Cluster2_Land",5,"-0.31(-1.31,0.67)","-0.41(-1.41,0.61)","-0.28(-1.31,0.74)","0.04(-0.27,0.34)",663,1.0017
"C76_C80","Cluster2_Built",5,"0.46(-0.54,1.45)","1.24(0.03,2.41)*","-1.11(-2.28,0.08)","0.04(-0.27,0.34)",663,1.0006
"C76_C80","Cluster2_Social",5,"-0.40(-1.62,0.82)","-0.33(-1.73,1.10)","-0.23(-1.47,0.99)","0.02(-0.30,0.33)",663,1.001
"C76_C80","Cluster3_EQI",5,"-0.01(-0.47,0.44)","0.37(-0.38,1.16)","-1.06(-1.67,-0.46)***","-0.04(-0.25,0.17)",1053,1.0049
"C76_C80","Cluster3_Air",5,"-0.42(-0.87,0.02)","0.28(-0.81,1.33)","-0.74(-1.31,-0.16)*","-0.02(-0.23,0.18)",1053,1.0031
"C76_C80","Cluster3_Water",5,"0.11(-0.79,1.01)","-0.05(-0.71,0.66)","-1.04(-1.55,-0.56)***","-0.04(-0.26,0.16)",1053,1.0029
"C76_C80","Cluster3_Land",5,"-0.31(-0.82,0.19)","0.04(-0.60,0.67)","-0.85(-1.49,-0.22)**","-0.04(-0.26,0.17)",1053,1.0008
"C76_C80","Cluster3_Built",5,"-0.12(-0.85,0.57)","0.24(-0.51,0.98)","-0.99(-1.78,-0.21)*","-0.03(-0.23,0.17)",1053,1.0014
"C76_C80","Cluster3_Social",5,"0.30(-0.61,1.18)","0.98(-1.37,3.32)","-1.30(-2.20,-0.35)**","-0.03(-0.25,0.18)",1053,1.0017
"C76_C80","Cluster0_EQI",10,"-0.25(-7.66,7.14)","0.47(-2.80,3.62)","-1.07(-3.97,1.92)","-0.32(-1.47,0.83)",457,1.0022
"C76_C80","Cluster0_Air",10,"-0.68(-4.32,3.05)","-1.75(-4.55,1.15)","-0.02(-2.24,2.17)","-0.44(-1.60,0.76)",457,1.0029
"C76_C80","Cluster0_Water",10,"-2.24(-6.40,1.85)","-1.11(-5.22,2.97)","-0.31(-2.30,1.68)","-0.28(-1.50,0.89)",457,1.0008
"C76_C80","Cluster0_Land",10,"5.97(2.22,9.88)**","3.20(0.46,5.96)*","-3.15(-5.56,-0.83)*","-0.26(-1.38,0.83)",457,1.0017
"C76_C80","Cluster0_Built",10,"-3.21(-8.06,1.62)","0.58(-2.96,4.15)","-0.87(-4.39,2.59)","-0.35(-1.50,0.80)",457,1.0013
"C76_C80","Cluster0_Social",10,"-0.47(-5.55,4.48)","2.83(-0.99,6.78)","-3.00(-6.97,0.98)","-0.42(-1.58,0.77)",457,1.0014
"C76_C80","Cluster1_EQI",10,"2.65(1.00,4.27)**","1.51(0.03,2.98)*","-1.71(-3.05,-0.31)*","0.56(0.02,1.08)*",964,1.0003
"C76_C80","Cluster1_Air",10,"0.99(-0.62,2.53)","0.80(-0.65,2.25)","-0.87(-2.12,0.46)","0.54(0.02,1.09)*",964,1.0018
"C76_C80","Cluster1_Water",10,"-1.30(-3.56,1.11)","0.53(-1.94,2.91)","-0.21(-1.14,0.77)","0.54(-0.00,1.09)",964,1.0019
"C76_C80","Cluster1_Land",10,"1.52(-0.13,3.09)","1.44(-0.09,2.94)","-1.39(-2.78,-0.01)*","0.57(0.03,1.11)*",964,1.001
"C76_C80","Cluster1_Built",10,"2.32(0.45,4.06)*","2.35(0.47,4.10)*","-2.29(-3.87,-0.56)**","0.55(0.03,1.08)*",964,1.0027
"C76_C80","Cluster1_Social",10,"1.56(-0.82,3.87)","-0.32(-2.05,1.41)","-0.19(-1.82,1.43)","0.59(0.06,1.15)*",964,1.0011
"C76_C80","Cluster2_EQI",10,"0.37(-0.49,1.16)","0.36(-0.66,1.41)","-1.70(-2.51,-0.88)***","-0.27(-0.54,0.04)",662,1.0015
"C76_C80","Cluster2_Air",10,"0.69(-0.12,1.49)","0.25(-1.08,1.55)","-1.92(-2.75,-1.07)***","-0.30(-0.57,-0.03)*",662,1.0019
"C76_C80","Cluster2_Water",10,"0.29(-1.04,1.56)","-1.20(-2.11,-0.24)*","-1.37(-1.99,-0.69)***","-0.31(-0.59,-0.02)*",662,1.0037
"C76_C80","Cluster2_Land",10,"0.13(-0.78,1.08)","-0.29(-1.17,0.60)","-1.38(-2.23,-0.53)**","-0.26(-0.54,0.03)",662,1.0007
"C76_C80","Cluster2_Built",10,"-0.75(-1.67,0.19)","-0.86(-1.94,0.20)","-0.78(-1.79,0.29)","-0.25(-0.52,0.04)",662,1.0014
"C76_C80","Cluster2_Social",10,"0.75(-0.37,1.85)","0.37(-0.93,1.63)","-1.99(-3.05,-0.91)***","-0.24(-0.52,0.06)",662,1.0006
"C76_C80","Cluster3_EQI",10,"-0.04(-0.46,0.37)","0.31(-0.54,1.13)","-0.68(-1.16,-0.21)**","-0.09(-0.27,0.08)",1053,1.0016
"C76_C80","Cluster3_Air",10,"-0.16(-0.59,0.27)","-0.76(-1.67,0.23)","-0.56(-1.07,-0.05)*","-0.10(-0.27,0.09)",1053,1.0009
"C76_C80","Cluster3_Water",10,"0.22(-0.48,0.84)","-0.76(-1.37,-0.13)*","-0.70(-1.08,-0.32)**","-0.12(-0.30,0.05)",1053,1.0016
"C76_C80","Cluster3_Land",10,"-0.03(-0.57,0.49)","-0.23(-0.92,0.43)","-0.62(-1.24,0.03)","-0.09(-0.26,0.09)",1053,1.0014
"C76_C80","Cluster3_Built",10,"-0.20(-0.81,0.40)","0.25(-0.42,0.92)","-0.61(-1.25,0.04)","-0.08(-0.25,0.09)",1053,1.0009
"C76_C80","Cluster3_Social",10,"-0.60(-1.30,0.11)","-1.07(-2.40,0.23)","-0.17(-0.88,0.60)","-0.11(-0.29,0.08)",1053,1.002
