"ICD_Code","Model","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"C30_C39","Cluster0_EQI",5,"1.04(-7.61,9.63)","1.12(-3.85,6.11)","-9.14(-13.63,-4.59)***","-0.71(-2.75,1.35)",457,1.0013
"C30_C39","Cluster0_Air",5,"0.58(-5.02,6.14)","0.29(-4.68,5.06)","-8.48(-12.38,-4.53)***","-0.74(-2.86,1.33)",457,1.0024
"C30_C39","Cluster0_Water",5,"1.38(-5.16,7.75)","4.24(-1.95,10.53)","-9.02(-12.38,-5.34)***","-0.82(-2.83,1.26)",457,1.0013
"C30_C39","Cluster0_Land",5,"1.71(-4.83,8.28)","1.59(-3.04,6.16)","-9.31(-13.40,-4.93)***","-0.71(-2.78,1.32)",457,1.0027
"C30_C39","Cluster0_Built",5,"-2.15(-8.47,4.46)","-1.60(-6.87,3.67)","-6.96(-12.11,-1.75)**","-0.83(-2.82,1.15)",457,1.0026
"C30_C39","Cluster0_Social",5,"0.23(-6.29,6.41)","-2.08(-7.35,3.29)","-6.90(-12.27,-1.58)**","-0.77(-2.76,1.24)",457,1.0017
"C30_C39","Cluster1_EQI",5,"0.07(-3.45,3.55)","-1.56(-4.55,1.35)","-3.16(-6.03,-0.41)*","0.27(-0.86,1.41)",964,1.001
"C30_C39","Cluster1_Air",5,"-1.42(-4.47,1.73)","0.95(-2.04,3.92)","-3.59(-6.20,-0.96)**","0.44(-0.71,1.63)",964,1.0019
"C30_C39","Cluster1_Water",5,"0.48(-4.82,5.77)","-1.60(-5.89,2.84)","-3.66(-5.69,-1.60)***","0.41(-0.77,1.57)",964,1.0016
"C30_C39","Cluster1_Land",5,"1.13(-2.16,4.39)","-2.43(-5.67,0.85)","-3.47(-6.51,-0.53)*","0.18(-1.02,1.39)",964,1.0026
"C30_C39","Cluster1_Built",5,"0.63(-2.89,4.02)","-0.99(-4.34,2.37)","-3.66(-6.85,-0.51)*","0.28(-0.88,1.42)",964,1.0031
"C30_C39","Cluster1_Social",5,"1.19(-3.34,5.53)","1.86(-1.26,5.12)","-5.15(-8.17,-2.01)***","0.47(-0.70,1.61)",964,1.0006
"C30_C39","Cluster2_EQI",5,"-1.12(-3.02,0.67)","1.20(-1.40,3.29)","-4.55(-6.75,-2.31)***","0.39(-0.18,1.08)",663,1.0842
"C30_C39","Cluster2_Air",5,"0.06(-1.71,1.91)","2.30(-0.79,5.17)","-5.39(-7.82,-3.05)***","0.38(-0.27,1.12)",663,1.0771
"C30_C39","Cluster2_Water",5,"-0.03(-3.24,3.02)","1.43(-1.08,3.88)","-5.20(-7.13,-3.02)***","0.52(-0.18,1.24)",663,1.0131
"C30_C39","Cluster2_Land",5,"0.17(-1.96,2.19)","0.71(-1.55,2.85)","-5.27(-7.45,-3.05)***","0.47(-0.23,1.18)",663,1.0404
"C30_C39","Cluster2_Built",5,"1.70(-0.48,3.81)","2.91(0.29,5.52)*","-6.72(-9.52,-3.83)***","0.48(-0.26,1.21)",663,1.0042
"C30_C39","Cluster2_Social",5,"-1.98(-4.48,0.51)","3.96(0.94,6.96)*","-4.47(-7.29,-1.55)**","0.33(-0.36,1.04)",663,1.0013
"C30_C39","Cluster3_EQI",5,"0.38(-0.57,1.31)","1.64(-0.54,3.76)","-6.15(-7.31,-4.95)***","0.10(-0.33,0.53)",1053,1.0014
"C30_C39","Cluster3_Air",5,"0.01(-0.95,0.98)","1.13(-0.49,2.77)","-5.97(-7.13,-4.81)***","0.10(-0.32,0.52)",1053,1.0016
"C30_C39","Cluster3_Water",5,"-0.05(-1.80,1.77)","0.17(-1.31,1.52)","-5.84(-6.81,-4.83)***","0.13(-0.29,0.55)",1053,1.0026
"C30_C39","Cluster3_Land",5,"0.46(-0.62,1.55)","0.25(-1.30,1.79)","-6.19(-7.40,-4.96)***","0.12(-0.29,0.55)",1053,1.0014
"C30_C39","Cluster3_Built",5,"-1.03(-2.42,0.38)","-0.97(-2.50,0.64)","-4.93(-6.50,-3.42)***","0.13(-0.27,0.55)",1053,1.0012
"C30_C39","Cluster3_Social",5,"-5.15(-6.63,-3.54)***","-2.85(-5.37,-0.41)*","-1.28(-2.98,0.37)","-0.05(-0.47,0.37)",1053,1.0017
"C30_C39","Cluster0_EQI",10,"-1.42(-9.34,6.24)","1.05(-3.43,5.55)","-6.64(-10.76,-2.56)***","-0.47(-2.25,1.30)",457,1.0022
"C30_C39","Cluster0_Air",10,"-2.23(-7.42,2.89)","-1.89(-6.25,2.50)","-5.14(-8.56,-1.89)**","-0.71(-2.56,1.15)",457,1.0017
"C30_C39","Cluster0_Water",10,"-0.25(-5.73,5.56)","-1.01(-6.93,5.16)","-5.85(-8.78,-2.79)***","-0.50(-2.28,1.39)",457,1.0014
"C30_C39","Cluster0_Land",10,"2.97(-2.80,8.71)","0.78(-3.42,5.08)","-6.74(-10.49,-3.09)**","-0.51(-2.33,1.33)",457,1.0016
"C30_C39","Cluster0_Built",10,"0.59(-5.20,6.21)","-0.36(-5.24,4.40)","-5.86(-10.47,-1.11)*","-0.54(-2.29,1.25)",457,1.0013
"C30_C39","Cluster0_Social",10,"-3.56(-9.09,2.20)","-3.71(-8.76,1.34)","-2.77(-7.71,2.18)","-0.46(-2.27,1.31)",457,1.0051
"C30_C39","Cluster1_EQI",10,"1.88(-1.17,4.94)","2.03(-0.61,4.63)","-9.65(-12.20,-7.03)***","-0.45(-1.45,0.60)",964,1.0014
"C30_C39","Cluster1_Air",10,"0.09(-2.61,2.84)","-1.55(-4.04,0.96)","-7.57(-9.98,-5.16)***","-0.46(-1.49,0.63)",964,1.0018
