"ICD_Code","Model","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"C34","Cluster0_EQI",5,"2.76(-2.23,7.60)","0.46(-2.89,3.87)","-7.27(-10.41,-4.09)***","-0.71(-2.09,0.67)",1010,1.0027
"C34","Cluster0_Air",5,"0.48(-3.81,4.53)","1.34(-1.90,4.67)","-7.23(-10.00,-4.34)***","-0.65(-2.01,0.73)",1010,1.0013
"C34","Cluster0_Water",5,"0.84(-4.29,6.14)","2.93(-2.00,7.64)","-6.98(-9.34,-4.60)***","-0.69(-2.05,0.68)",1010,1.0009
"C34","Cluster0_Land",5,"2.78(-1.19,6.66)","-0.33(-3.83,3.19)","-7.27(-10.48,-4.22)***","-0.71(-2.08,0.65)",1010,1.0024
"C34","Cluster0_Built",5,"0.89(-3.77,5.83)","-0.47(-4.48,3.51)","-6.56(-10.40,-2.67)**","-0.72(-2.07,0.62)",1010,1.001
"C34","Cluster0_Social",5,"2.01(-3.69,7.58)","-0.43(-4.62,3.82)","-6.47(-10.64,-2.30)**","-0.69(-2.05,0.62)",1010,1.0021
"C34","Cluster1_EQI",5,"-2.11(-3.90,-0.32)*","0.13(-2.25,2.31)","-3.84(-6.26,-1.38)**","0.28(-0.27,0.85)",747,1.1136
"C34","Cluster1_Air",5,"-0.32(-1.99,1.26)","3.31(0.63,5.65)*","-5.41(-7.79,-3.25)***","0.15(-0.36,0.67)",747,1.1323
"C34","Cluster1_Water",5,"-0.42(-3.44,2.58)","1.25(-1.15,3.57)","-5.03(-7.18,-3.03)***","0.39(-0.25,1.10)",747,1.0235
"C34","Cluster1_Land",5,"-0.03(-2.03,1.91)","1.03(-0.82,2.70)","-5.32(-7.27,-3.45)***","0.33(-0.23,0.91)",747,1.071
"C34","Cluster1_Built",5,"0.86(-1.30,3.23)","2.34(-0.14,4.75)","-5.95(-8.59,-3.56)***","0.35(-0.26,1.06)",747,1.1267
"C34","Cluster1_Social",5,"-1.92(-3.81,-0.07)*","3.22(0.79,6.19)**","-4.44(-6.78,-2.06)***","0.10(-0.39,0.74)",747,1.1979
"C34","Cluster2_EQI",5,"0.61(-0.36,1.60)","1.16(-0.43,2.73)","-5.92(-7.06,-4.77)***","0.16(-0.26,0.60)",1380,1.0008
"C34","Cluster2_Air",5,"-0.37(-1.36,0.64)","0.47(-1.24,2.11)","-5.25(-6.44,-4.06)***","0.21(-0.21,0.65)",1380,1.0013
"C34","Cluster2_Water",5,"-0.09(-1.93,1.80)","-0.18(-1.70,1.31)","-5.40(-6.37,-4.37)***","0.21(-0.22,0.64)",1380,1.0031
"C34","Cluster2_Land",5,"0.10(-0.94,1.16)","-0.24(-1.75,1.24)","-5.45(-6.71,-4.21)***","0.20(-0.22,0.64)",1380,1.0004
"C34","Cluster2_Built",5,"-1.24(-2.51,0.07)","-1.19(-2.62,0.26)","-4.33(-5.76,-2.92)***","0.21(-0.20,0.63)",1380,1.0014
"C34","Cluster2_Social",5,"-3.82(-5.46,-2.11)***","-2.45(-4.46,-0.42)*","-2.18(-3.89,-0.44)**","0.04(-0.43,0.49)",1380,1.0014
"C34","Cluster0_EQI",10,"1.63(-2.92,6.39)","2.51(-0.68,5.64)","-8.74(-11.67,-5.83)***","-0.12(-1.40,1.13)",1010,1.0009
"C34","Cluster0_Air",10,"-0.83(-4.63,2.83)","-1.76(-4.74,1.27)","-6.38(-8.93,-3.79)***","-0.27(-1.58,1.02)",1010,1.0019
"C34","Cluster0_Water",10,"-1.88(-6.21,2.61)","-0.82(-5.88,3.86)","-6.98(-9.07,-4.87)***","-0.22(-1.41,1.03)",1010,1.0027
"C34","Cluster0_Land",10,"-0.02(-3.48,3.57)","0.77(-2.43,3.96)","-7.52(-10.32,-4.79)***","-0.21(-1.41,1.00)",1010,1.0014
"C34","Cluster0_Built",10,"-1.12(-5.54,2.95)","0.09(-3.62,3.59)","-7.04(-10.58,-3.42)***","-0.19(-1.50,1.10)",1010,1.0024
"C34","Cluster0_Social",10,"-3.20(-8.29,1.85)","-3.91(-7.59,-0.14)*","-3.92(-7.74,-0.26)*","-0.28(-1.48,0.96)",1010,1.0023
"C34","Cluster1_EQI",10,"-0.67(-1.86,0.60)","0.83(-0.72,2.32)","-7.90(-9.44,-6.31)***","-0.03(-0.47,0.39)",746,1.0029
"C34","Cluster1_Air",10,"-0.90(-2.02,0.23)","0.23(-1.82,2.26)","-7.75(-9.20,-6.41)***","-0.05(-0.49,0.39)",746,1.0009
"C34","Cluster1_Water",10,"-0.43(-2.75,2.01)","0.67(-0.82,2.09)","-8.34(-9.56,-7.14)***","-0.08(-0.51,0.35)",746,1.0016
"C34","Cluster1_Land",10,"-0.58(-1.84,0.70)","-0.19(-1.78,1.51)","-8.09(-9.49,-6.67)***","-0.14(-0.61,0.30)",746,1.0012
"C34","Cluster1_Built",10,"-0.42(-1.97,1.16)","-0.61(-2.56,1.30)","-7.91(-9.90,-6.03)***","-0.08(-0.52,0.37)",746,1.002
"C34","Cluster1_Social",10,"-0.42(-1.81,0.96)","-0.99(-3.37,1.56)","-7.92(-9.53,-6.32)***","-0.09(-0.54,0.34)",746,1.0021
"C34","Cluster2_EQI",10,"-0.15(-0.90,0.60)","0.69(-0.75,2.09)","-7.66(-8.90,-6.40)***","0.05(-0.37,0.47)",1380,1.0016
"C34","Cluster2_Air",10,"-0.14(-0.93,0.64)","-0.03(-1.67,1.68)","-7.60(-8.77,-6.46)***","0.06(-0.36,0.48)",1380,1.0015
"C34","Cluster2_Water",10,"-1.18(-2.64,0.29)","0.19(-1.01,1.41)","-7.56(-8.61,-6.50)***","0.08(-0.32,0.51)",1380,1.0015
"C34","Cluster2_Land",10,"-0.62(-1.38,0.17)","-0.22(-1.40,0.98)","-7.25(-8.53,-5.97)***","0.07(-0.35,0.48)",1380,1.0015
"C34","Cluster2_Built",10,"-0.36(-1.43,0.73)","0.76(-0.41,1.97)","-7.55(-8.94,-6.14)***","0.09(-0.31,0.49)",1380,1.0015
"C34","Cluster2_Social",10,"0.66(-0.78,2.06)","1.63(-0.39,3.56)","-8.33(-9.89,-6.71)***","0.07(-0.35,0.48)",1380,1.0023
