"ICD_Code","Model","Lag","MRD_Q_Improved","MRD_Q_Worsened","Intercept_Baseline_Change","Control_delta_Smoking_Rate","N_Counties","Rhat_max"
"C25","EQI",5,"-0.24(-0.76,0.29)","-0.13(-0.78,0.53)","0.35(-0.17,0.89)","-0.04(-0.22,0.15)",3137,1.002
"C25","Air",5,"-0.21(-0.71,0.30)","0.71(0.05,1.40)*","0.16(-0.37,0.67)","-0.07(-0.26,0.12)",3137,1.0015
"C25","Water",5,"0.02(-0.83,0.86)","0.20(-0.58,0.98)","0.20(-0.21,0.63)","-0.04(-0.22,0.16)",3137,1.001
"C25","Land",5,"-0.21(-0.82,0.38)","0.11(-0.55,0.73)","0.28(-0.31,0.85)","-0.04(-0.24,0.15)",3137,1.0031
"C25","Built",5,"0.18(-0.52,0.88)","0.22(-0.52,0.96)","0.05(-0.65,0.75)","-0.04(-0.23,0.15)",3137,1.0027
"C25","Social",5,"-0.88(-1.68,-0.11)*","-0.09(-0.96,0.75)","0.67(-0.08,1.45)","-0.12(-0.32,0.07)",3137,1.0008
"C25","EQI",10,"0.55(-0.01,1.10)","0.66(0.02,1.28)*","-0.13(-0.66,0.39)","0.02(-0.17,0.22)",3136,1.0017
"C25","Air",10,"-0.12(-0.66,0.43)","-0.10(-0.84,0.64)","0.36(-0.17,0.86)","0.04(-0.15,0.23)",3136,1.0017
"C25","Water",10,"0.08(-0.82,0.95)","0.22(-0.54,0.97)","0.25(-0.15,0.66)","0.05(-0.14,0.23)",3136,1.0047
"C25","Land",10,"-0.51(-1.10,0.07)","-0.07(-0.68,0.57)","0.52(-0.05,1.08)","0.04(-0.15,0.22)",3136,1.0032
"C25","Built",10,"-0.05(-0.74,0.67)","0.11(-0.61,0.83)","0.27(-0.43,0.95)","0.04(-0.14,0.23)",3136,1.0017
"C25","Social",10,"-0.15(-0.90,0.62)","-0.96(-1.81,-0.11)*","0.68(-0.07,1.41)","0.10(-0.10,0.29)",3136,1.0059
"C25","EQI",5,"-0.25(-0.80,0.30)","-0.14(-0.81,0.51)","0.36(-0.18,0.90)","-0.03(-0.23,0.16)",3137,1.001
"C25","Air",5,"-0.21(-0.73,0.30)","0.72(0.03,1.38)*","0.16(-0.36,0.67)","-0.07(-0.26,0.12)",3137,1.0012
"C25","Water",5,"0.01(-0.80,0.80)","0.21(-0.56,0.97)","0.20(-0.23,0.64)","-0.04(-0.23,0.16)",3137,1.001
"C25","Land",5,"-0.21(-0.81,0.41)","0.11(-0.56,0.80)","0.28(-0.31,0.86)","-0.04(-0.24,0.15)",3137,1.002
"C25","Built",5,"0.17(-0.54,0.88)","0.21(-0.53,0.93)","0.06(-0.63,0.76)","-0.04(-0.23,0.15)",3137,1.0019
"C25","Social",5,"-0.88(-1.66,-0.12)*","-0.09(-0.91,0.73)","0.67(-0.07,1.42)","-0.12(-0.32,0.07)",3137,1.002
"C25","EQI",10,"0.56(0.01,1.10)*","0.67(0.03,1.32)*","-0.14(-0.66,0.40)","0.02(-0.16,0.21)",3136,1.0007
"C25","Air",10,"-0.12(-0.66,0.43)","-0.09(-0.81,0.66)","0.35(-0.21,0.88)","0.04(-0.15,0.23)",3136,1.0009
"C25","Water",10,"0.09(-0.79,0.96)","0.24(-0.50,1.00)","0.24(-0.17,0.65)","0.04(-0.14,0.23)",3136,1.0025
"C25","Land",10,"-0.51(-1.12,0.09)","-0.07(-0.72,0.57)","0.51(-0.09,1.10)","0.04(-0.15,0.23)",3136,1.0006
"C25","Built",10,"-0.07(-0.76,0.65)","0.10(-0.62,0.84)","0.28(-0.41,0.96)","0.04(-0.15,0.24)",3136,1.0022
"C25","Social",10,"-0.16(-0.95,0.64)","-0.96(-1.84,-0.06)*","0.69(-0.08,1.44)","0.10(-0.10,0.29)",3136,1.0014
