ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a1s3,a2s1,a2s2,a2s3,a3s1,a3s2,a3s3,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a1s3_p,a1s3_rhat,a1s3_ess_bulk,a1s3_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,a2s3_p,a2s3_rhat,a2s3_ess_bulk,a2s3_ess_tail,a3s1_p,a3s1_rhat,a3s1_ess_bulk,a3s1_ess_tail,a3s2_p,a3s2_rhat,a3s2_ess_bulk,a3s2_ess_tail,a3s3_p,a3s3_rhat,a3s3_ess_bulk,a3s3_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"X60_X84_Y87.0","2011_2015",10,"AirSVI+OB+UN+DB","0.00","5.50(4.52,6.43)","7.42(6.21,8.57)","6.10(5.16,7.03)","8.96(8.02,9.91)","9.31(8.27,10.33)","5.90(4.89,6.89)","7.37(6.43,8.28)","7.81(6.77,8.80)","0.0002","1.0015",2076,2581,"0.0002","1.0035",1416,2619,"0.0002","1.0017",2016,2974,"0.0002","1.0023",1508,2326,"0.0002","1.0032",1389,2481,"0.0002","1.0044",1283,2502,"0.0002","1.0041",1225,2056,"0.0002","1.0038",1230,1694,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.12(0.04,0.21)","0.0040","1.0042",2100,2791,"-0.19(-0.27,-0.12)","0.0002","1.0006",2023,3129,"",NA,"NA",NA,NA,"-0.74(-1.00,-0.50)","0.0002","1.0026",1913,2920
"X60_X84_Y87.0","2011_2015",10,"AirSVI+OB+PD+DB","0.00","5.20(4.25,6.13)","7.04(5.89,8.23)","6.54(5.61,7.46)","9.06(8.12,9.98)","9.27(8.22,10.30)","6.65(5.73,7.53)","7.83(6.91,8.75)","8.08(6.97,9.13)","0.0002","1.0011",2155,3373,"0.0002","1.0040",1799,2612,"0.0002","1.0004",2097,3054,"0.0002","1.0025",1761,3079,"0.0002","1.0046",1556,2548,"0.0002","1.0021",1602,2722,"0.0002","1.0027",1391,2475,"0.0002","1.0037",1359,2429,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.09(-0.00,0.18)","0.0510","1.0005",2530,3084,"",NA,"NA",NA,NA,"-0.00(-0.00,-0.00)","0.0219","1.0000",4322,4054,"-0.81(-1.06,-0.57)","0.0002","1.0033",2457,3143
"X60_X84_Y87.0","2011_2015",10,"AirSVI+UN+PD+DB","0.00","5.61(4.63,6.60)","7.55(6.35,8.75)","6.10(5.21,7.00)","9.02(8.12,9.96)","9.50(8.44,10.62)","5.84(4.90,6.78)","7.49(6.56,8.39)","8.10(7.07,9.19)","0.0002","1.0027",1519,2349,"0.0002","1.0041",1225,1972,"0.0002","1.0022",1336,1913,"0.0002","1.0047",1166,2139,"0.0002","1.0058",971,1702,"0.0002","1.0040",1104,1967,"0.0002","1.0051",1020,1891,"0.0002","1.0065",1024,1755,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.21(-0.29,-0.14)","0.0002","1.0058",1745,2495,"-0.00(-0.00,-0.00)","0.0002","1.0011",3516,3690,"-0.59(-0.78,-0.40)","0.0002","1.0042",1430,2264
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PA+OB+UN","0.00","3.86(2.94,4.78)","5.43(4.40,6.46)","5.44(4.56,6.31)","7.04(6.16,7.93)","7.12(6.16,8.08)","5.41(4.54,6.33)","5.77(4.98,6.60)","5.75(4.89,6.62)","0.0002","1.0008",2822,3045,"0.0002","1.0027",2385,3125,"0.0002","1.0014",2647,3407,"0.0002","1.0028",2194,3152,"0.0002","1.0024",2223,2993,"0.0002","1.0021",2310,3014,"0.0002","1.0023",1891,2503,"0.0002","1.0026",1989,2720,"0.87(0.79,0.94)","0.0002","1.0000",3448,3035,"0.17(0.11,0.24)","0.0002","1.0025",2374,2978,"-0.35(-0.42,-0.28)","0.0002","1.0014",2971,3361,"-0.26(-0.34,-0.18)","0.0002","1.0009",2817,2806,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PA+OB+PD","0.00","3.41(2.49,4.36)","4.74(3.68,5.82)","5.88(4.98,6.73)","7.04(6.10,7.93)","6.82(5.84,7.79)","6.07(5.17,6.96)","5.97(5.08,6.84)","5.58(4.63,6.51)","0.0002","1.0011",2176,2824,"0.0002","1.0025",1913,2788,"0.0002","1.0018",2296,3214,"0.0002","1.0014",1517,2744,"0.0002","1.0012",1510,2531,"0.0002","1.0013",1802,2867,"0.0002","1.0007",1445,2277,"0.0002","1.0013",1388,2153,"0.86(0.78,0.93)","0.0002","1.0005",3442,3309,"0.21(0.14,0.28)","0.0002","1.0007",2168,2745,"-0.35(-0.43,-0.27)","0.0002","1.0004",2724,3112,"",NA,"NA",NA,NA,"-0.00(-0.00,0.00)","0.5868","1.0003",4431,3740,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PA+OB+DB","0.00","3.51(2.61,4.46)","5.26(4.14,6.38)","5.97(5.09,6.85)","7.24(6.31,8.18)","7.20(6.21,8.23)","6.29(5.37,7.22)","6.26(5.38,7.17)","6.01(5.01,7.03)","0.0002","1.0037",2158,3364,"0.0002","1.0045",1835,3211,"0.0002","1.0043",2232,3167,"0.0002","1.0075",1766,2714,"0.0002","1.0065",1645,2965,"0.0002","1.0082",1657,3301,"0.0002","1.0097",1517,2539,"0.0002","1.0096",1415,2509,"0.85(0.77,0.93)","0.0002","1.0022",3083,3977,"0.19(0.12,0.25)","0.0002","1.0011",2717,2756,"-0.28(-0.37,-0.19)","0.0002","1.0034",2352,3540,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.29(-0.54,-0.05)","0.0144","1.0041",2223,3244
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PA+UN+PD","0.00","3.92(2.99,4.83)","4.92(3.85,6.00)","5.57(4.67,6.47)","7.21(6.29,8.17)","6.81(5.82,7.82)","5.77(4.87,6.71)","6.01(5.14,6.88)","5.55(4.61,6.52)","0.0002","1.0053",1750,3029,"0.0002","1.0042",1549,2567,"0.0002","1.0051",1617,2552,"0.0002","1.0048",1522,2002,"0.0002","1.0059",1154,2052,"0.0002","1.0056",1548,2255,"0.0002","1.0086",1232,2330,"0.0002","1.0084",1011,1700,"0.74(0.66,0.81)","0.0002","1.0007",2540,2912,"0.28(0.21,0.34)","0.0002","1.0003",1797,2592,"",NA,"NA",NA,NA,"-0.25(-0.32,-0.17)","0.0002","1.0020",2551,3267,"0.00(-0.00,0.00)","0.0610","1.0002",4040,4003,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PA+UN+DB","0.00","4.19(3.27,5.11)","6.49(5.36,7.62)","5.83(4.96,6.74)","7.74(6.86,8.63)","8.08(7.06,9.07)","6.35(5.46,7.25)","6.89(6.04,7.73)","7.01(6.08,7.94)","0.0002","1.0004",2396,2879,"0.0002","1.0029",2146,2936,"0.0002","1.0024",2244,2948,"0.0002","1.0033",1629,2446,"0.0002","1.0033",1653,2672,"0.0002","1.0028",1738,2409,"0.0002","1.0031",1459,2611,"0.0002","1.0046",1448,2253,"0.75(0.68,0.82)","0.0002","1.0009",3404,3559,"0.19(0.12,0.26)","0.0002","1.0018",2473,2806,"",NA,"NA",NA,NA,"-0.23(-0.30,-0.15)","0.0002","1.0001",2856,3209,"",NA,"NA",NA,NA,"-0.70(-0.92,-0.49)","0.0002","1.0018",2346,2851
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PA+PD+DB","0.00","3.73(2.81,4.66)","5.84(4.71,6.99)","6.20(5.33,7.06)","7.67(6.76,8.58)","7.72(6.71,8.77)","6.87(6.01,7.74)","6.93(6.02,7.80)","6.70(5.68,7.70)","0.0002","1.0026",2174,3378,"0.0002","1.0018",1933,3017,"0.0002","1.0022",2083,3461,"0.0002","1.0025",1785,2944,"0.0002","1.0029",1576,2718,"0.0002","1.0051",1722,2947,"0.0002","1.0053",1436,2571,"0.0002","1.0046",1494,2552,"0.75(0.68,0.83)","0.0002","1.0036",3260,3492,"0.20(0.13,0.27)","0.0002","1.0017",2084,2811,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.2518","1.0008",3703,3955,"-0.74(-0.96,-0.52)","0.0002","1.0008",2053,3115
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+OB+UN+PD","0.00","3.70(2.74,4.65)","4.85(3.81,5.90)","5.54(4.69,6.42)","6.86(5.95,7.78)","6.65(5.69,7.60)","5.66(4.75,6.55)","5.87(5.00,6.73)","5.56(4.65,6.50)","0.0002","1.0017",2444,3219,"0.0002","1.0015",2105,3051,"0.0002","1.0022",2164,2760,"0.0002","1.0016",1909,2756,"0.0002","1.0011",1741,2848,"0.0002","1.0028",1897,2675,"0.0002","1.0032",1563,2498,"0.0002","1.0022",1578,2598,"0.84(0.76,0.92)","0.0002","1.0008",3624,3290,"",NA,"NA",NA,NA,"-0.42(-0.50,-0.35)","0.0002","1.0004",3021,2855,"-0.29(-0.36,-0.21)","0.0002","1.0012",2737,2870,"-0.00(-0.00,0.00)","0.7950","1.0002",4619,3880,"",NA,"NA",NA,NA
