ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a1s3,a2s1,a2s2,a2s3,a3s1,a3s2,a3s3,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a1s3_p,a1s3_rhat,a1s3_ess_bulk,a1s3_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,a2s3_p,a2s3_rhat,a2s3_ess_bulk,a2s3_ess_tail,a3s1_p,a3s1_rhat,a3s1_ess_bulk,a3s1_ess_tail,a3s2_p,a3s2_rhat,a3s2_ess_bulk,a3s2_ess_tail,a3s3_p,a3s3_rhat,a3s3_ess_bulk,a3s3_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"K70_K76_C22","2011_2015",10,"AirSVI+SM+OB+DB","0.00","5.28(4.07,6.52)","7.90(6.52,9.33)","4.39(3.32,5.47)","5.81(4.66,6.94)","6.44(5.16,7.71)","5.34(4.25,6.44)","6.29(5.19,7.39)","6.72(5.42,8.01)","0.0002","1.0025",2273,3249,"0.0002","1.0044",1756,3002,"0.0002","1.0029",1987,2692,"0.0002","1.0040",1599,2666,"0.0002","1.0058",1449,1905,"0.0002","1.0048",1573,2869,"0.0002","1.0042",1312,2465,"0.0002","1.0045",1435,2663,"0.71(0.61,0.81)","0.0002","1.0023",2696,3028,"",NA,"NA",NA,NA,"-0.36(-0.48,-0.24)","0.0002","1.0011",2005,3056,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.50(1.17,1.84)","0.0002","1.0024",1645,2706
"K70_K76_C22","2011_2015",10,"AirSVI+SM+UN+PD","0.00","6.04(4.83,7.27)","10.94(9.63,12.25)","4.16(3.06,5.24)","6.57(5.44,7.67)","8.79(7.57,9.95)","5.32(4.20,6.40)","7.01(5.92,8.10)","8.66(7.48,9.84)","0.0002","1.0030",1939,2784,"0.0002","1.0037",1686,2960,"0.0002","1.0025",1592,2855,"0.0002","1.0032",1386,2440,"0.0002","1.0044",1211,2365,"0.0002","1.0038",1280,2407,"0.0002","1.0040",1239,2556,"0.0002","1.0038",1251,2433,"0.73(0.65,0.82)","0.0002","1.0025",1796,2569,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.12(-0.22,-0.02)","0.0152","1.0005",1869,2796,"0.01(0.00,0.01)","0.0002","1.0018",3869,3590,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM+UN+DB","0.00","5.94(4.67,7.17)","9.13(7.65,10.59)","4.37(3.26,5.47)","6.44(5.33,7.51)","7.46(6.16,8.70)","5.65(4.54,6.76)","7.16(6.12,8.21)","7.96(6.75,9.15)","0.0002","1.0009",1981,2568,"0.0002","1.0017",1491,2191,"0.0002","1.0004",1852,2793,"0.0002","1.0012",1309,2150,"0.0002","1.0003",1195,1636,"0.0002","1.0013",1442,2034,"0.0002","1.0025",1198,1898,"0.0002","1.0024",1246,1713,"0.58(0.49,0.66)","0.0002","1.0011",3013,2789,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.18(-0.28,-0.08)","0.0002","1.0017",2279,3037,"",NA,"NA",NA,NA,"0.89(0.66,1.12)","0.0002","1.0001",2200,3228
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PD+DB","0.00","5.23(4.02,6.47)","7.79(6.37,9.24)","4.30(3.23,5.40)","5.80(4.65,6.91)","6.23(4.95,7.53)","5.34(4.21,6.42)","6.11(4.99,7.19)","6.24(4.97,7.51)","0.0002","1.0041",1677,2943,"0.0002","1.0016",1221,2479,"0.0002","1.0030",1555,2769,"0.0002","1.0038",1207,2660,"0.0002","1.0035",1090,2170,"0.0002","1.0025",1281,2316,"0.0002","1.0032",1124,2087,"0.0002","1.0029",1093,2162,"0.65(0.57,0.74)","0.0002","1.0009",2453,2819,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.01,0.01)","0.0002","1.0018",3098,3266,"1.03(0.80,1.27)","0.0002","1.0006",1643,2204
"K70_K76_C22","2011_2015",10,"AirSVI+PA+OB+UN","0.00","7.37(6.10,8.61)","12.03(10.64,13.41)","4.67(3.51,5.76)","7.99(6.86,9.11)","10.07(8.80,11.28)","5.65(4.45,6.81)","8.29(7.20,9.36)","10.18(8.98,11.31)","0.0002","1.0013",1998,2949,"0.0002","1.0018",2008,2707,"0.0002","1.0031",1958,3028,"0.0002","1.0027",1649,2604,"0.0002","1.0023",1634,2339,"0.0002","1.0022",1575,2542,"0.0002","1.0036",1404,2519,"0.0002","1.0029",1544,2521,"",NA,"NA",NA,NA,"-0.05(-0.12,0.03)","0.2185","1.0008",2143,2637,"0.28(0.20,0.36)","0.0002","1.0010",2458,3154,"-0.07(-0.17,0.02)","0.1343","1.0006",2195,2709,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+PA+OB+PD","0.00","7.04(5.85,8.33)","11.33(10.00,12.74)","4.61(3.50,5.75)","7.70(6.53,8.87)","9.40(8.17,10.64)","5.51(4.36,6.68)","7.77(6.67,8.92)","9.26(8.08,10.48)","0.0002","1.0012",1987,3253,"0.0002","1.0020",1604,2782,"0.0002","1.0014",1626,2500,"0.0002","1.0022",1398,2446,"0.0002","1.0016",1323,2553,"0.0002","1.0019",1564,2562,"0.0002","1.0027",1291,2514,"0.0002","1.0028",1317,2530,"",NA,"NA",NA,NA,"-0.07(-0.15,0.00)","0.0635","1.0017",1878,2932,"0.34(0.25,0.43)","0.0002","1.0008",2664,2894,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","1.0002",4505,3861,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+PA+OB+DB","0.00","6.84(5.62,8.05)","9.80(8.32,11.30)","4.49(3.41,5.62)","7.26(6.15,8.37)","8.27(6.96,9.53)","4.90(3.79,6.04)","7.03(5.93,8.15)","8.13(6.92,9.38)","0.0002","1.0024",2667,3106,"0.0002","1.0010",1937,3071,"0.0002","1.0004",2259,3341,"0.0002","1.0019",1903,2791,"0.0002","1.0029",1714,2698,"0.0002","1.0011",1719,2736,"0.0002","1.0016",1581,2321,"0.0002","1.0028",1559,2733,"",NA,"NA",NA,NA,"0.03(-0.05,0.10)","0.4822","1.0002",3005,3083,"0.03(-0.08,0.14)","0.5922","1.0013",3034,3302,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.20(0.89,1.51)","0.0002","1.0023",2151,3285
"K70_K76_C22","2011_2015",10,"AirSVI+PA+UN+PD","0.00","7.42(6.17,8.66)","12.58(11.25,13.95)","4.54(3.40,5.65)","7.92(6.77,9.07)","10.40(9.19,11.62)","5.05(3.86,6.20)","7.80(6.71,8.92)","10.05(8.85,11.23)","0.0002","1.0014",1629,2920,"0.0002","1.0003",1503,2527,"0.0002","1.0031",1557,2691,"0.0002","1.0031",1198,1957,"0.0002","1.0021",1209,2262,"0.0002","1.0041",1189,2114,"0.0002","1.0043",1049,2060,"0.0002","1.0039",1133,2066,"",NA,"NA",NA,NA,"-0.16(-0.23,-0.09)","0.0002","1.0025",1555,2420,"",NA,"NA",NA,NA,"-0.04(-0.14,0.05)","0.3431","1.0002",1878,2775,"0.00(-0.00,0.00)","0.1293","1.0006",4100,3400,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+PA+UN+DB","0.00","7.04(5.84,8.23)","10.04(8.58,11.45)","4.29(3.19,5.38)","7.26(6.15,8.36)","8.37(7.14,9.57)","4.52(3.38,5.66)","6.86(5.79,7.94)","8.12(6.95,9.28)","0.0002","1.0010",2442,3320,"0.0002","1.0013",2032,2916,"0.0002","1.0019",2417,3017,"0.0002","1.0015",1912,2735,"0.0002","1.0018",1795,3022,"0.0002","1.0026",2097,2575,"0.0002","1.0021",1708,2456,"0.0002","1.0022",1727,2225,"",NA,"NA",NA,NA,"0.02(-0.06,0.09)","0.6334","1.0016",2645,3074,"",NA,"NA",NA,NA,"-0.11(-0.21,-0.01)","0.0248","1.0018",2322,2911,"",NA,"NA",NA,NA,"1.28(1.04,1.52)","0.0002","1.0014",2566,2863
"K70_K76_C22","2011_2015",10,"AirSVI+PA+PD+DB","0.00","6.67(5.44,7.89)","9.33(7.86,10.78)","4.33(3.21,5.41)","6.98(5.85,8.12)","7.74(6.44,9.05)","4.47(3.33,5.62)","6.41(5.26,7.52)","7.29(5.95,8.55)","0.0002","1.0056",2302,3045,"0.0002","1.0058",1987,2499,"0.0002","1.0034",2198,3622,"0.0002","1.0053",1664,2848,"0.0002","1.0057",1666,2498,"0.0002","1.0036",1620,2716,"0.0002","1.0073",1465,2632,"0.0002","1.0052",1531,2541,"",NA,"NA",NA,NA,"-0.01(-0.09,0.07)","0.8134","1.0012",2432,3035,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0010","1.0013",4348,3778,"1.33(1.08,1.58)","0.0002","1.0008",2703,3423
