ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
K70_K76_C22,CLD,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"2.00(1.37,2.64)","2.55(1.92,3.18)","2.52(1.88,3.13)","1.55(0.93,2.15)",0.0002,0.0002,0.0002,0.0002,1.0013,1.0018,1.0023,1.0021,1526,1451,1415,1365,2590,2354,2582,2375,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_SM+DB","popw_mean_rad+Matched_Pair+SM+DB",2,9414,51,3,"0.00","2.23(1.67,2.79)","3.25(2.68,3.80)","4.28(3.71,4.85)","4.97(4.39,5.53)","0.0002","0.0002","0.0002","0.0002","1.0027","1.0015","1.0012","1.0016",2138,2056,1885,1689,3044,2817,2761,2471,"1.14(1.07,1.20)","0.0002","1.0040",1660,2506,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.47(1.32,1.62)","0.0002","1.0037",1672,2781
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+OB","popw_mean_rad+Matched_Pair+PA+OB",2,9414,51,3,"0.00","2.54(1.90,3.15)","3.58(2.95,4.21)","4.30(3.69,4.93)","4.90(4.28,5.51)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0027","1.0022","1.0018",2361,2192,2106,2135,2710,2908,2369,2572,"",NA,"NA",NA,NA,"-0.40(-0.46,-0.34)","0.0002","1.0068",1657,2738,"0.58(0.51,0.65)","0.0002","1.0059",1376,2488,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+UN","popw_mean_rad+Matched_Pair+PA+UN",2,9414,51,3,"0.00","2.73(2.12,3.33)","3.83(3.19,4.43)","4.52(3.92,5.14)","4.41(3.80,5.02)","0.0002","0.0002","0.0002","0.0002","1.0003","1.0004","1.0015","1.0010",2062,2031,2015,1967,3097,2897,2972,2863,"",NA,"NA",NA,NA,"-0.64(-0.69,-0.59)","0.0002","1.0007",1531,2550,"",NA,"NA",NA,NA,"0.22(0.14,0.29)","0.0002","1.0013",1337,2201,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+PD","popw_mean_rad+Matched_Pair+PA+PD",2,9414,51,3,"0.00","2.63(2.02,3.25)","3.64(3.01,4.26)","4.24(3.64,4.85)","4.04(3.36,4.70)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0003","1.0011","1.0017",2493,2340,2232,2187,3013,2958,2981,2418,"",NA,"NA",NA,NA,"-0.70(-0.75,-0.66)","0.0002","1.0020",1664,2338,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.1139","1.0003",4816,4172,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+DB","popw_mean_rad+Matched_Pair+PA+DB",2,9414,51,3,"0.00","2.29(1.67,2.89)","2.99(2.38,3.62)","3.22(2.61,3.84)","2.58(1.96,3.19)","0.0002","0.0002","0.0002","0.0002","1.0036","1.0030","1.0039","1.0037",2113,2004,1916,1663,2845,2672,2644,2324,"",NA,"NA",NA,NA,"-0.22(-0.29,-0.16)","0.0002","1.0040",1254,2042,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.21(2.02,2.39)","0.0002","1.0043",1251,1970
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+UN","popw_mean_rad+Matched_Pair+OB+UN",2,9414,51,3,"0.00","2.42(1.81,3.03)","3.40(2.76,4.02)","4.07(3.45,4.67)","4.60(4.00,5.20)","0.0002","0.0002","0.0002","0.0002","1.0036","1.0045","1.0040","1.0036",1809,1507,1527,1415,2940,2857,2719,2510,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.81(0.75,0.87)","0.0002","1.0003",1421,2163,"0.32(0.25,0.39)","0.0002","1.0021",1195,2365,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+PD","popw_mean_rad+Matched_Pair+OB+PD",2,9414,51,3,"0.00","2.08(1.46,2.71)","2.84(2.19,3.48)","3.26(2.62,3.90)","3.48(2.79,4.16)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0012","1.0013","1.0014",1525,1509,1334,1406,1987,2501,2500,2408,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.93(0.87,0.99)","0.0002","1.0061",1190,1904,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","1.0008",3293,3497,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+DB","popw_mean_rad+Matched_Pair+OB+DB",2,9414,51,3,"0.00","2.14(1.53,2.75)","2.76(2.15,3.37)","2.91(2.30,3.52)","2.32(1.70,2.97)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0012","1.0019","1.0018",2594,2313,2093,1847,3349,2982,2983,2479,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.19(0.11,0.28)","0.0002","1.0019",1665,2461,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.27(2.05,2.50)","0.0002","1.0012",2016,2427
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+PD","popw_mean_rad+Matched_Pair+UN+PD",2,9414,51,3,"0.00","2.47(1.82,3.11)","3.37(2.71,4.01)","3.77(3.11,4.44)","3.31(2.60,4.01)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0014","1.0015","1.0011",2611,2474,2362,2449,3274,3348,3184,3062,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.55(0.48,0.62)","0.0002","1.0022",1653,2501,"-0.00(-0.01,-0.00)","0.0002","0.9998",5173,4499,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+DB","popw_mean_rad+Matched_Pair+UN+DB",2,9414,51,3,"0.00","2.22(1.62,2.81)","2.85(2.25,3.45)","2.98(2.37,3.56)","2.08(1.50,2.67)","0.0002","0.0002","0.0002","0.0002","1.0021","1.0012","1.0015","1.0015",2171,1978,1836,1847,2743,2983,3049,3197,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.20(0.13,0.27)","0.0002","1.0024",1517,2489,"",NA,"NA",NA,NA,"2.54(2.40,2.69)","0.0002","1.0051",2164,2755
