ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
K70_K76_C22,CLD,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"2.00(1.37,2.64)","2.55(1.92,3.18)","2.52(1.88,3.13)","1.55(0.93,2.15)",0.0002,0.0002,0.0002,0.0002,1.0013,1.0018,1.0023,1.0021,1526,1451,1415,1365,2590,2354,2582,2375,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PD+DB","popw_mean_rad+Matched_Pair+PD+DB",2,9414,51,3,"0.00","1.99(1.39,2.57)","2.45(1.85,3.04)","2.34(1.74,2.95)","1.05(0.37,1.72)","0.0002","0.0002","0.0002","0.0006","1.0007","1.0022","1.0011","1.0011",3103,2931,2929,2851,3582,3512,3384,3486,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","1.0022",4727,3916,"2.76(2.61,2.91)","0.0002","1.0012",2553,3147
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+OB","popw_mean_rad+Matched_Pair+SM+PA+OB",3,9414,51,3,"0.00","2.35(1.78,2.93)","3.60(3.01,4.18)","4.92(4.33,5.52)","6.22(5.64,6.82)","0.0002","0.0002","0.0002","0.0002","1.0030","1.0016","1.0037","1.0025",1225,1335,1296,1254,2300,2294,2523,2432,"1.21(1.13,1.28)","0.0002","1.0024",1762,2742,"-0.18(-0.24,-0.13)","0.0002","1.0049",1324,2116,"0.15(0.09,0.22)","0.0002","1.0030",1254,1940,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+UN","popw_mean_rad+Matched_Pair+SM+PA+UN",3,9414,51,3,"0.00","2.44(1.84,3.01)","3.73(3.14,4.32)","5.08(4.50,5.66)","6.23(5.64,6.80)","0.0002","0.0002","0.0002","0.0002","1.0020","1.0018","1.0027","1.0029",2003,1775,1744,1801,2970,3022,2746,2726,"1.26(1.19,1.32)","0.0002","1.0013",1742,2548,"-0.22(-0.28,-0.17)","0.0002","1.0040",1215,2329,"",NA,"NA",NA,NA,"0.11(0.05,0.18)","0.0027","1.0018",1247,1883,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+PD","popw_mean_rad+Matched_Pair+SM+PA+PD",3,9414,51,3,"0.00","2.26(1.68,2.83)","3.42(2.82,4.02)","4.62(4.03,5.23)","5.41(4.77,6.06)","0.0002","0.0002","0.0002","0.0002","1.0022","1.0025","1.0026","1.0030",1893,1607,1541,1450,3085,2148,2254,2399,"1.29(1.22,1.36)","0.0002","1.0046",1632,2749,"-0.28(-0.33,-0.23)","0.0002","1.0051",1337,2021,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","1.0012",4510,3386,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+DB","popw_mean_rad+Matched_Pair+SM+PA+DB",3,9414,51,3,"0.00","2.19(1.62,2.74)","3.17(2.59,3.74)","4.16(3.58,4.72)","4.78(4.17,5.38)","0.0002","0.0002","0.0002","0.0002","1.0019","1.0015","1.0021","1.0012",1896,1884,1504,1535,2898,2770,2596,2485,"1.16(1.09,1.23)","0.0002","1.0011",2283,2901,"0.07(0.01,0.13)","0.0252","1.0048",1270,1889,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.60(1.41,1.78)","0.0002","1.0044",1370,2093
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+UN","popw_mean_rad+Matched_Pair+SM+OB+UN",3,9414,51,3,"0.00","2.33(1.74,2.91)","3.57(2.98,4.15)","4.88(4.31,5.46)","6.17(5.60,6.75)","0.0002","0.0002","0.0002","0.0002","1.0032","1.0044","1.0060","1.0055",1977,1917,1770,1827,3284,2849,2600,3120,"1.24(1.17,1.31)","0.0002","1.0044",2106,2670,"",NA,"NA",NA,NA,"0.24(0.18,0.30)","0.0002","1.0035",1572,2431,"0.17(0.10,0.24)","0.0002","1.0027",1660,2088,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+PD","popw_mean_rad+Matched_Pair+SM+OB+PD",3,9414,51,3,"0.00","2.05(1.50,2.62)","3.11(2.53,3.68)","4.23(3.65,4.79)","5.12(4.49,5.73)","0.0002","0.0002","0.0002","0.0002","1.0025","1.0021","1.0020","1.0020",2009,1668,1663,1492,2734,3155,2989,2491,"1.27(1.20,1.34)","0.0002","1.0008",1695,2518,"",NA,"NA",NA,NA,"0.33(0.27,0.40)","0.0002","1.0031",1344,2089,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0017",3954,3783,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+DB","popw_mean_rad+Matched_Pair+SM+OB+DB",3,9414,51,3,"0.00","2.18(1.59,2.76)","3.11(2.52,3.68)","4.01(3.44,4.58)","4.20(3.59,4.79)","0.0002","0.0002","0.0002","0.0002","1.0025","1.0039","1.0039","1.0039",2156,1929,1739,1649,2991,2600,2823,2673,"1.24(1.17,1.31)","0.0002","1.0021",2106,2752,"",NA,"NA",NA,NA,"-0.35(-0.44,-0.27)","0.0002","1.0018",1377,2255,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.10(1.89,2.32)","0.0002","1.0011",1843,2915
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+UN+PD","popw_mean_rad+Matched_Pair+SM+UN+PD",3,9414,51,3,"0.00","2.20(1.61,2.80)","3.36(2.75,3.97)","4.56(3.94,5.15)","5.33(4.69,5.97)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0021","1.0030","1.0045",1996,1839,1739,1738,2703,2535,2508,2541,"1.41(1.35,1.47)","0.0002","1.0017",1872,2377,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.21(0.14,0.28)","0.0002","1.0012",1283,2296,"0.00(0.00,0.00)","0.0002","1.0000",4212,3918,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+UN+DB","popw_mean_rad+Matched_Pair+SM+UN+DB",3,9414,51,3,"0.00","2.28(1.71,2.85)","3.32(2.73,3.89)","4.37(3.78,4.96)","5.06(4.48,5.63)","0.0002","0.0002","0.0002","0.0002","1.0027","1.0019","1.0013","1.0020",1466,1418,1273,1270,2267,2117,2046,1949,"1.13(1.07,1.20)","0.0002","1.0011",1699,2513,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.06(-0.01,0.12)","0.0960","1.0029",1305,2370,"",NA,"NA",NA,NA,"1.44(1.29,1.58)","0.0002","1.0048",1492,2547
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PD+DB","popw_mean_rad+Matched_Pair+SM+PD+DB",3,9414,51,3,"0.00","2.02(1.45,2.60)","2.88(2.30,3.46)","3.69(3.11,4.26)","3.74(3.11,4.38)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0006","1.0008","1.0011",1314,1278,1215,1142,2235,1967,1972,2147,"1.17(1.11,1.24)","0.0002","1.0051",1458,2348,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.01,0.01)","0.0002","1.0003",3372,3744,"1.61(1.46,1.76)","0.0002","1.0042",1309,2176
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+UN","popw_mean_rad+Matched_Pair+PA+OB+UN",3,9414,51,3,"0.00","2.62(1.98,3.25)","3.71(3.07,4.33)","4.49(3.86,5.09)","5.05(4.43,5.67)","0.0002","0.0002","0.0002","0.0002","1.0047","1.0049","1.0058","1.0059",1465,1443,1338,1343,2108,2290,1836,2507,"",NA,"NA",NA,NA,"-0.35(-0.41,-0.29)","0.0002","1.0048",1151,1943,"0.58(0.51,0.64)","0.0002","1.0021",1130,2169,"0.20(0.12,0.27)","0.0002","1.0048",1255,1957,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+PD","popw_mean_rad+Matched_Pair+PA+OB+PD",3,9414,51,3,"0.00","2.39(1.79,2.98)","3.31(2.67,3.92)","3.88(3.27,4.49)","4.05(3.40,4.72)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0009","1.0016","1.0007",1613,1463,1405,1363,2515,2331,2565,2510,"",NA,"NA",NA,NA,"-0.41(-0.47,-0.35)","0.0002","1.0070",1135,1757,"0.64(0.57,0.71)","0.0002","1.0037",1139,2009,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0008",3430,3652,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+DB","popw_mean_rad+Matched_Pair+PA+OB+DB",3,9414,51,3,"0.00","2.29(1.68,2.89)","3.03(2.43,3.65)","3.34(2.72,3.97)","2.90(2.23,3.57)","0.0002","0.0002","0.0002","0.0002","1.0034","1.0030","1.0024","1.0034",2123,2021,2148,1893,3109,2768,2936,2205,"",NA,"NA",NA,NA,"-0.21(-0.27,-0.14)","0.0002","1.0014",1751,2412,"0.14(0.05,0.23)","0.0023","1.0025",1803,2661,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.97(1.72,2.21)","0.0002","1.0004",1892,2756
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+UN+PD","popw_mean_rad+Matched_Pair+PA+UN+PD",3,9414,51,3,"0.00","2.71(2.11,3.32)","3.78(3.15,4.41)","4.43(3.81,5.06)","4.21(3.54,4.88)","0.0002","0.0002","0.0002","0.0002","1.0025","1.0026","1.0022","1.0024",2199,2034,1893,2005,3217,2745,2925,2966,"",NA,"NA",NA,NA,"-0.65(-0.70,-0.60)","0.0002","1.0026",1628,2767,"",NA,"NA",NA,NA,"0.22(0.14,0.29)","0.0002","1.0035",1092,1995,"0.00(-0.00,0.00)","0.1427","1.0005",4475,3864,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+UN+DB","popw_mean_rad+Matched_Pair+PA+UN+DB",3,9414,51,3,"0.00","2.34(1.72,2.95)","3.08(2.45,3.70)","3.35(2.72,3.98)","2.69(2.08,3.33)","0.0002","0.0002","0.0002","0.0002","1.0038","1.0033","1.0049","1.0054",1984,1821,1673,1481,2779,3222,2811,2395,"",NA,"NA",NA,NA,"-0.19(-0.26,-0.13)","0.0002","1.0005",1482,2277,"",NA,"NA",NA,NA,"0.14(0.07,0.21)","0.0002","1.0064",1373,2070,"",NA,"NA",NA,NA,"2.18(2.00,2.37)","0.0002","1.0016",1590,2414
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+PD+DB","popw_mean_rad+Matched_Pair+PA+PD+DB",3,9414,51,3,"0.00","2.18(1.56,2.82)","2.78(2.16,3.42)","2.87(2.22,3.50)","1.80(1.12,2.51)","0.0002","0.0002","0.0002","0.0002","1.0055","1.0049","1.0047","1.0044",1677,1531,1460,1373,2108,2581,2518,2438,"",NA,"NA",NA,NA,"-0.24(-0.31,-0.18)","0.0002","1.0041",1120,1986,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","1.0006",3601,3429,"2.28(2.09,2.47)","0.0002","1.0038",1084,2130
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+UN+PD","popw_mean_rad+Matched_Pair+OB+UN+PD",3,9414,51,3,"0.00","2.26(1.65,2.88)","3.13(2.49,3.77)","3.67(3.04,4.30)","3.82(3.15,4.50)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0022","1.0032","1.0038",1656,1656,1529,1467,2535,2318,2705,2544,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.87(0.81,0.93)","0.0002","1.0024",1105,2055,"0.32(0.25,0.39)","0.0002","1.0055",1029,2196,"0.00(0.00,0.01)","0.0002","1.0005",3065,3563,"",NA,"NA",NA,NA
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+UN+DB","popw_mean_rad+Matched_Pair+OB+UN+DB",3,9414,51,3,"0.00","2.25(1.65,2.89)","2.95(2.33,3.57)","3.20(2.58,3.84)","2.64(2.01,3.30)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0010","1.0009","1.0002",2986,2521,2444,2085,3166,3120,3157,3020,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.19(0.11,0.28)","0.0002","1.0023",2049,2406,"0.19(0.12,0.27)","0.0002","1.0021",1838,2695,"",NA,"NA",NA,NA,"2.15(1.93,2.39)","0.0002","1.0018",2311,2918
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+PD+DB","popw_mean_rad+Matched_Pair+OB+PD+DB",3,9414,51,3,"0.00","1.98(1.36,2.60)","2.50(1.88,3.12)","2.51(1.90,3.13)","1.54(0.86,2.24)","0.0002","0.0002","0.0002","0.0002","1.0003","1.0008","1.0013","1.0030",2195,1913,1905,1660,2445,3078,2968,2633,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.25(0.17,0.34)","0.0002","1.0029",1597,2122,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","1.0006",4078,3577,"2.27(2.05,2.48)","0.0002","1.0027",1781,2592
"K70_K76_C22","CLD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_UN+PD+DB","popw_mean_rad+Matched_Pair+UN+PD+DB",3,9414,51,3,"0.00","2.11(1.49,2.72)","2.63(2.01,3.26)","2.62(2.01,3.25)","1.36(0.70,2.03)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0006","1.0018","1.0008",2273,2006,1686,1763,3351,3304,2610,2859,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.19(0.13,0.27)","0.0002","1.0031",1496,2330,"0.00(0.00,0.01)","0.0002","0.9997",3419,4122,"2.64(2.48,2.80)","0.0002","1.0006",1897,2459
