ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
X60_X84_Y87.0,Suicide,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"1.76(1.29,2.25)","2.03(1.55,2.52)","2.18(1.70,2.66)","1.57(1.08,2.03)",0.0002,0.0002,0.0002,0.0002,1.0011,1.0015,1.0020,1.0016,2066,1893,1905,1797,2799,2575,2799,2733,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_SM+DB","popw_mean_rad+Matched_Pair+SM+DB",2,9414,51,3,"0.00","1.85(1.40,2.30)","2.58(2.11,3.03)","3.54(3.10,3.99)","4.29(3.84,4.73)","0.0002","0.0002","0.0002","0.0002","1.0017","1.0011","1.0014","1.0013",2080,1886,1775,1521,2997,2629,2725,2514,"0.97(0.92,1.02)","0.0002","1.0008",1441,2343,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.83(-0.95,-0.72)","0.0002","1.0022",1570,2492
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+OB","popw_mean_rad+Matched_Pair+PA+OB",2,9414,51,3,"0.00","1.76(1.29,2.25)","2.07(1.58,2.57)","2.27(1.77,2.75)","1.74(1.25,2.22)","0.0002","0.0002","0.0002","0.0002","1.0031","1.0033","1.0048","1.0054",1713,1509,1454,1446,2524,2692,2264,2265,"",NA,"NA",NA,NA,"-0.05(-0.09,0.00)","0.0627","1.0026",935,1435,"0.01(-0.04,0.07)","0.6622","1.0041",804,1828,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+UN","popw_mean_rad+Matched_Pair+PA+UN",2,9414,51,3,"0.00","1.73(1.26,2.21)","2.01(1.51,2.51)","2.19(1.69,2.68)","1.66(1.17,2.13)","0.0002","0.0002","0.0002","0.0002","1.0029","1.0026","1.0038","1.0044",1846,2054,1575,1699,2785,2919,2599,2858,"",NA,"NA",NA,NA,"-0.09(-0.13,-0.05)","0.0002","1.0022",1440,2448,"",NA,"NA",NA,NA,"-0.14(-0.20,-0.09)","0.0002","1.0053",1187,2212,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+PD","popw_mean_rad+Matched_Pair+PA+PD",2,9414,51,3,"0.00","1.74(1.25,2.23)","2.03(1.53,2.53)","2.20(1.72,2.72)","1.56(1.03,2.11)","0.0002","0.0002","0.0002","0.0002","0.9998","1.0002","0.9996","1.0002",2868,2428,2558,2497,3210,3067,3050,3053,"",NA,"NA",NA,NA,"-0.06(-0.10,-0.02)","0.0023","1.0055",2055,2783,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.1252","1.0014",4353,3889,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+DB","popw_mean_rad+Matched_Pair+PA+DB",2,9414,51,3,"0.00","1.75(1.25,2.23)","2.04(1.55,2.56)","2.20(1.70,2.71)","1.61(1.10,2.09)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0016","1.0020","1.0016",1809,1759,1759,1561,2790,2622,2681,2527,"",NA,"NA",NA,NA,"-0.01(-0.06,0.04)","0.6022","1.0069",1228,2108,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.17(0.03,0.32)","0.0223","1.0075",1160,1993
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+UN","popw_mean_rad+Matched_Pair+OB+UN",2,9414,51,3,"0.00","1.69(1.21,2.19)","1.95(1.45,2.44)","2.10(1.64,2.58)","1.58(1.10,2.06)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0022","1.0028","1.0033",1897,1621,1583,1454,2722,2812,2608,2516,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.07(0.02,0.11)","0.0015","1.0018",1467,2388,"-0.11(-0.16,-0.05)","0.0002","1.0032",1550,2495,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+PD","popw_mean_rad+Matched_Pair+OB+PD",2,9414,51,3,"0.00","1.72(1.23,2.24)","1.99(1.48,2.48)","2.14(1.64,2.64)","1.52(0.99,2.06)","0.0002","0.0002","0.0002","0.0002","1.0036","1.0029","1.0018","1.0027",1690,1454,1460,1387,2794,2524,2659,2692,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.06(0.01,0.11)","0.0081","1.0049",1473,2238,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.1164","1.0012",3493,3669,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+DB","popw_mean_rad+Matched_Pair+OB+DB",2,9414,51,3,"0.00","1.74(1.25,2.24)","2.00(1.48,2.49)","2.12(1.63,2.60)","1.45(0.94,1.95)","0.0002","0.0002","0.0002","0.0002","1.0030","1.0044","1.0024","1.0040",1788,1639,1571,1492,2879,2363,2474,2583,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.04(-0.11,0.03)","0.3247","1.0031",1422,2240,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.27(0.09,0.44)","0.0023","1.0021",1768,2489
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+PD","popw_mean_rad+Matched_Pair+UN+PD",2,9414,51,3,"0.00","1.69(1.19,2.16)","1.92(1.44,2.40)","2.03(1.54,2.51)","1.36(0.83,1.88)","0.0002","0.0002","0.0002","0.0002","1.0019","1.0017","1.0007","1.0009",2845,2527,2407,2359,3425,3448,3167,3016,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.08(-0.14,-0.03)","0.0015","1.0031",1840,2780,"0.00(-0.00,0.00)","0.7092","1.0001",4650,4166,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+DB","popw_mean_rad+Matched_Pair+UN+DB",2,9414,51,3,"0.00","1.68(1.20,2.17)","1.90(1.42,2.38)","1.99(1.54,2.47)","1.35(0.88,1.80)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0014","1.0028","1.0032",2858,2738,2576,2407,3393,3480,3470,3406,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.13(-0.19,-0.07)","0.0002","1.0037",1822,2241,"",NA,"NA",NA,NA,"0.29(0.17,0.40)","0.0002","1.0018",2088,2799
