ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
X60_X84_Y87.0,Suicide,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"1.76(1.29,2.25)","2.03(1.55,2.52)","2.18(1.70,2.66)","1.57(1.08,2.03)",0.0002,0.0002,0.0002,0.0002,1.0011,1.0015,1.0020,1.0016,2066,1893,1905,1797,2799,2575,2799,2733,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PD+DB","popw_mean_rad+Matched_Pair+PD+DB",2,9414,51,3,"0.00","1.71(1.22,2.20)","1.95(1.45,2.46)","2.05(1.57,2.55)","1.32(0.77,1.85)","0.0002","0.0002","0.0002","0.0002","1.0024","1.0028","1.0029","1.0014",2226,2113,2075,2050,3488,2882,3059,2804,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.0669","1.0001",3641,3868,"0.23(0.11,0.34)","0.0002","1.0043",2004,2711
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+OB","popw_mean_rad+Matched_Pair+SM+PA+OB",3,9414,51,3,"0.00","1.67(1.22,2.12)","2.23(1.77,2.69)","2.91(2.46,3.36)","3.04(2.58,3.50)","0.0002","0.0002","0.0002","0.0002","1.0021","1.0031","1.0015","1.0038",1405,1222,1239,961,1770,2005,2304,2046,"1.16(1.11,1.22)","0.0002","1.0034",1838,2593,"0.20(0.15,0.25)","0.0002","1.0025",1113,1998,"-0.37(-0.42,-0.31)","0.0002","1.0043",902,1773,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+UN","popw_mean_rad+Matched_Pair+SM+PA+UN",3,9414,51,3,"0.00","1.58(1.12,2.03)","2.06(1.61,2.52)","2.73(2.27,3.17)","3.15(2.70,3.60)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0022","1.0034","1.0019",1620,1637,1482,1472,2444,2255,2314,2364,"1.05(1.00,1.10)","0.0002","1.0044",1694,2661,"0.32(0.27,0.36)","0.0002","1.0067",1090,2047,"",NA,"NA",NA,NA,"-0.17(-0.23,-0.12)","0.0002","1.0031",1410,2593,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+PD","popw_mean_rad+Matched_Pair+SM+PA+PD",3,9414,51,3,"0.00","1.55(1.10,2.00)","1.99(1.52,2.44)","2.58(2.10,3.05)","2.67(2.17,3.16)","0.0002","0.0002","0.0002","0.0002","1.0020","1.0014","1.0019","1.0024",1990,1808,1902,1741,2400,2498,2841,2504,"1.06(1.01,1.12)","0.0002","1.0029",1769,2909,"0.34(0.30,0.38)","0.0002","1.0038",1356,2302,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(0.00,0.00)","0.0002","1.0010",4303,3711,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+DB","popw_mean_rad+Matched_Pair+SM+PA+DB",3,9414,51,3,"0.00","1.67(1.22,2.11)","2.24(1.79,2.67)","3.00(2.53,3.44)","3.51(3.04,3.97)","0.0002","0.0002","0.0002","0.0002","1.0052","1.0049","1.0044","1.0059",1876,1561,1562,1419,2276,2504,1975,1818,"1.07(1.01,1.12)","0.0002","1.0041",1803,2883,"0.30(0.25,0.35)","0.0002","1.0025",1151,1658,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.30(-0.46,-0.16)","0.0002","1.0033",1140,1857
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+UN","popw_mean_rad+Matched_Pair+SM+OB+UN",3,9414,51,3,"0.00","1.65(1.20,2.10)","2.20(1.73,2.64)","2.87(2.43,3.31)","2.99(2.55,3.44)","0.0002","0.0002","0.0002","0.0002","1.0034","1.0045","1.0049","1.0052",1405,1135,1105,1078,2208,1605,1888,1481,"1.14(1.08,1.19)","0.0002","1.0044",1524,2555,"",NA,"NA",NA,NA,"-0.46(-0.51,-0.41)","0.0002","1.0037",1130,2056,"-0.24(-0.29,-0.20)","0.0002","1.0030",1336,2092,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+PD","popw_mean_rad+Matched_Pair+SM+OB+PD",3,9414,51,3,"0.00","1.73(1.27,2.17)","2.30(1.83,2.78)","2.99(2.52,3.44)","2.91(2.42,3.42)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0008","1.0023","1.0016",1774,1647,1498,1441,2855,2440,2254,2501,"1.11(1.06,1.16)","0.0002","1.0012",1714,2470,"",NA,"NA",NA,NA,"-0.47(-0.52,-0.42)","0.0002","1.0048",1352,2357,"",NA,"NA",NA,NA,"0.00(0.00,0.00)","0.0040","1.0012",3829,3805,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+DB","popw_mean_rad+Matched_Pair+SM+OB+DB",3,9414,51,3,"0.00","1.77(1.33,2.23)","2.38(1.93,2.82)","3.10(2.65,3.55)","3.14(2.67,3.62)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0005","1.0007","1.0008",2180,2056,1984,1636,3300,2905,2663,2930,"1.11(1.05,1.16)","0.0002","1.0004",2119,2726,"",NA,"NA",NA,NA,"-0.51(-0.58,-0.44)","0.0002","1.0035",1592,2375,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.06(-0.10,0.23)","0.4484","1.0038",1968,2528
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+UN+PD","popw_mean_rad+Matched_Pair+SM+UN+PD",3,9414,51,3,"0.00","1.55(1.09,2.01)","1.99(1.54,2.47)","2.58(2.11,3.03)","2.66(2.17,3.17)","0.0002","0.0002","0.0002","0.0002","1.0026","1.0034","1.0051","1.0041",1418,1398,1302,1373,2235,2391,2485,2357,"0.91(0.86,0.96)","0.0002","1.0036",1837,2730,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.31(-0.36,-0.26)","0.0002","1.0042",1554,2890,"0.01(0.00,0.01)","0.0002","1.0012",4735,3626,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+UN+DB","popw_mean_rad+Matched_Pair+SM+UN+DB",3,9414,51,3,"0.00","1.74(1.28,2.19)","2.38(1.92,2.84)","3.25(2.82,3.71)","3.99(3.54,4.44)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0022","1.0015","1.0029",1703,1669,1618,1442,2815,2754,2881,2531,"0.99(0.94,1.04)","0.0002","1.0016",1956,2621,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.24(-0.30,-0.19)","0.0002","1.0019",1463,2533,"",NA,"NA",NA,NA,"-0.70(-0.82,-0.58)","0.0002","1.0015",1290,2313
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PD+DB","popw_mean_rad+Matched_Pair+SM+PD+DB",3,9414,51,3,"0.00","1.72(1.28,2.19)","2.36(1.91,2.82)","3.20(2.74,3.66)","3.59(3.09,4.10)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0016","1.0021","1.0022",1460,1412,1302,1212,2194,2458,2072,1943,"0.99(0.94,1.04)","0.0002","1.0060",1363,2329,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","1.0026",3404,3521,"-0.75(-0.87,-0.64)","0.0002","1.0044",1375,2050
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+UN","popw_mean_rad+Matched_Pair+PA+OB+UN",3,9414,51,3,"0.00","1.73(1.24,2.22)","2.01(1.52,2.49)","2.19(1.69,2.67)","1.66(1.17,2.14)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0022","1.0012","1.0025",2405,2227,2124,1955,2862,2667,2855,2458,"",NA,"NA",NA,NA,"-0.09(-0.14,-0.04)","0.0006","1.0036",1350,2559,"0.01(-0.05,0.06)","0.7605","1.0036",1345,2551,"-0.14(-0.20,-0.08)","0.0002","1.0014",1560,2320,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+PD","popw_mean_rad+Matched_Pair+PA+OB+PD",3,9414,51,3,"0.00","1.74(1.26,2.21)","2.02(1.54,2.52)","2.19(1.70,2.68)","1.56(1.04,2.08)","0.0002","0.0002","0.0002","0.0002","1.0003","1.0017","1.0021","1.0011",1806,2010,1736,1649,3205,2700,2784,2767,"",NA,"NA",NA,NA,"-0.05(-0.10,0.00)","0.0623","1.0064",1119,1551,"0.03(-0.03,0.09)","0.3797","1.0052",1055,1646,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.0827","1.0022",4162,3515,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+DB","popw_mean_rad+Matched_Pair+PA+OB+DB",3,9414,51,3,"0.00","1.75(1.29,2.23)","2.03(1.54,2.52)","2.17(1.70,2.67)","1.51(0.97,2.02)","0.0002","0.0002","0.0002","0.0002","1.0022","1.0006","1.0009","1.0031",2378,2279,1995,1906,3111,3106,3176,2813,"",NA,"NA",NA,NA,"-0.02(-0.08,0.03)","0.4222","1.0037",1286,1710,"-0.04(-0.11,0.03)","0.2389","1.0022",1685,2288,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.24(0.05,0.42)","0.0165","1.0017",1769,2658
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+UN+PD","popw_mean_rad+Matched_Pair+PA+UN+PD",3,9414,51,3,"0.00","1.70(1.21,2.18)","1.96(1.45,2.43)","2.10(1.60,2.59)","1.47(0.94,2.00)","0.0002","0.0002","0.0002","0.0002","1.0003","1.0010","1.0005","1.0013",2322,2097,1935,1991,3117,2427,3067,2677,"",NA,"NA",NA,NA,"-0.10(-0.14,-0.06)","0.0002","1.0040",1625,2555,"",NA,"NA",NA,NA,"-0.14(-0.20,-0.08)","0.0002","1.0038",1326,2562,"0.00(-0.00,0.00)","0.1069","1.0004",4587,3098,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+UN+DB","popw_mean_rad+Matched_Pair+PA+UN+DB",3,9414,51,3,"0.00","1.71(1.23,2.19)","1.96(1.46,2.45)","2.09(1.59,2.58)","1.51(1.00,2.02)","0.0002","0.0002","0.0002","0.0002","1.0027","1.0035","1.0029","1.0021",1567,1543,1497,1471,2430,2602,2559,2729,"",NA,"NA",NA,NA,"-0.05(-0.10,0.00)","0.0677","1.0043",1192,1675,"",NA,"NA",NA,NA,"-0.15(-0.20,-0.09)","0.0002","1.0046",1265,2196,"",NA,"NA",NA,NA,"0.19(0.04,0.34)","0.0127","1.0097",1036,1962
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+PD+DB","popw_mean_rad+Matched_Pair+PA+PD+DB",3,9414,51,3,"0.00","1.71(1.24,2.21)","1.97(1.49,2.47)","2.09(1.60,2.60)","1.37(0.83,1.94)","0.0002","0.0002","0.0002","0.0002","1.0008","0.9999","1.0002","1.0010",1721,1630,1490,1356,2587,2538,2410,2488,"",NA,"NA",NA,NA,"-0.02(-0.07,0.03)","0.4918","1.0078",1140,1836,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.0685","1.0000",3666,3743,"0.19(0.03,0.35)","0.0156","1.0056",1081,1776
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+UN+PD","popw_mean_rad+Matched_Pair+OB+UN+PD",3,9414,51,3,"0.00","1.66(1.18,2.15)","1.88(1.38,2.38)","2.01(1.51,2.50)","1.40(0.85,1.94)","0.0002","0.0002","0.0002","0.0002","1.0027","1.0037","1.0040","1.0040",1480,1418,1380,1292,2262,2334,2577,2001,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.08(0.04,0.13)","0.0006","1.0058",1301,2327,"-0.11(-0.16,-0.05)","0.0002","1.0030",1250,2068,"0.00(-0.00,0.00)","0.1210","1.0012",3635,3380,"",NA,"NA",NA,NA
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+UN+DB","popw_mean_rad+Matched_Pair+OB+UN+DB",3,9414,51,3,"0.00","1.67(1.18,2.16)","1.88(1.40,2.37)","1.95(1.46,2.43)","1.24(0.74,1.75)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0015","1.0016","1.0018",2090,1889,1714,1617,2965,2504,2626,2653,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.04(-0.10,0.03)","0.2635","1.0043",1604,2333,"-0.13(-0.19,-0.07)","0.0002","1.0027",1504,1991,"",NA,"NA",NA,NA,"0.36(0.18,0.54)","0.0002","1.0051",1754,2515
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+PD+DB","popw_mean_rad+Matched_Pair+OB+PD+DB",3,9414,51,3,"0.00","1.69(1.20,2.19)","1.93(1.44,2.43)","2.03(1.53,2.52)","1.27(0.72,1.81)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0010","1.0012","1.0013",2527,2275,2198,2023,2748,2793,3049,2948,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.02(-0.09,0.05)","0.5409","1.0034",1703,2479,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.1131","1.0013",4239,3677,"0.27(0.10,0.45)","0.0023","1.0036",2106,2878
"X60_X84_Y87.0","Suicide","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_UN+PD+DB","popw_mean_rad+Matched_Pair+UN+PD+DB",3,9414,51,3,"0.00","1.64(1.16,2.11)","1.83(1.34,2.33)","1.88(1.38,2.37)","1.12(0.57,1.67)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0021","1.0035","1.0025",2021,1803,1730,1604,2992,3179,2585,2476,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.13(-0.19,-0.07)","0.0002","1.0017",1599,2243,"0.00(-0.00,0.00)","0.0885","1.0018",3917,3776,"0.32(0.20,0.43)","0.0002","1.0021",1611,2415
