ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
J40_J47_J60_J70_J84_D86_C34,CRD,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"4.50(2.79,6.17)","4.05(2.33,5.74)","-0.10(-1.84,1.55)","-8.41(-10.11,-6.79)",0.0002,0.0002,0.9084,0.0002,1.0015,1.0030,1.0023,1.0018,2389,2112,2309,2036,3048,3064,3328,2649,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"J40_J47_J60_J70_J84_D86_C34","CRD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_SM+DB","popw_mean_rad+Matched_Pair+SM+DB",2,9414,51,3,"0.00","4.45(3.07,5.83)","6.20(4.82,7.58)","6.30(4.93,7.68)","5.41(4.04,6.81)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0017","1.0008","1.0012",2144,2065,1955,1802,3089,3101,2986,2883,"5.44(5.28,5.59)","0.0002","1.0048",1489,2636,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.05(-0.41,0.30)","0.7784","1.0019",1844,2585
"J40_J47_J60_J70_J84_D86_C34","CRD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+OB","popw_mean_rad+Matched_Pair+PA+OB",2,9414,51,3,"0.00","5.70(4.13,7.25)","6.56(4.91,8.19)","4.50(2.82,6.19)","1.35(-0.25,2.97)","0.0002","0.0002","0.0002","0.1073","1.0006","1.0247","1.0438","1.0023",1919,248,99,2112,2742,2202,1852,2923,"",NA,"NA",NA,NA,"-1.18(-1.69,-0.50)","0.0002","1.6397",10,79,"1.99(1.44,2.73)","0.0002","1.6382",10,72,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","CRD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+UN","popw_mean_rad+Matched_Pair+PA+UN",2,9414,51,3,"0.00","5.50(3.95,7.07)","6.50(4.91,8.09)","4.11(2.50,5.73)","-0.21(-1.85,1.39)","0.0002","0.0002","0.0002","0.8100","1.0023","1.0024","1.0012","1.0025",2852,2626,2439,2374,3006,2629,3292,3013,"",NA,"NA",NA,NA,"-3.14(-3.29,-3.00)","0.0002","1.0021",3041,3567,"",NA,"NA",NA,NA,"-1.51(-1.72,-1.30)","0.0002","1.0029",2637,2774,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","CRD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+PD","popw_mean_rad+Matched_Pair+PA+PD",2,9414,51,3,"0.00","6.17(4.62,7.68)","7.54(5.90,9.18)","5.53(3.90,7.14)","1.39(-0.42,3.13)","0.0002","0.0002","0.0002","0.1273","1.0006","1.0002","1.0007","1.0007",3108,2684,2820,2758,3342,2955,3243,3423,"",NA,"NA",NA,NA,"-2.62(-2.76,-2.48)","0.0002","1.0012",3507,3201,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.01(-0.01,-0.00)","0.0223","1.0004",4817,4107,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","CRD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+DB","popw_mean_rad+Matched_Pair+PA+DB",2,9414,51,3,"0.00","6.10(4.52,7.64)","7.45(5.91,9.02)","5.44(3.84,6.98)","1.03(-0.63,2.70)","0.0002","0.0002","0.0002","0.2152","1.0013","1.0006","1.0013","1.0020",2794,2470,2845,2526,2875,3170,3315,3112,"",NA,"NA",NA,NA,"-2.81(-3.02,-2.61)","0.0002","1.0046",2043,2542,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.54(-1.15,0.05)","0.0764","1.0026",2148,2765
"J40_J47_J60_J70_J84_D86_C34","CRD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+UN","popw_mean_rad+Matched_Pair+OB+UN",2,9414,51,3,"0.00","4.66(3.10,6.27)","4.87(3.24,6.51)","2.32(0.69,3.91)","-1.05(-2.70,0.58)","0.0002","0.0002","0.0031","0.2110","1.0014","1.0024","1.0011","1.0028",2330,1959,2119,1839,2948,3408,3196,2881,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.87(2.72,3.01)","0.0002","1.0071",1488,2413,"-0.29(-0.48,-0.10)","0.0040","1.0034",1553,2436,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","CRD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+PD","popw_mean_rad+Matched_Pair+OB+PD",2,9414,51,3,"0.00","4.76(3.14,6.34)","5.05(3.41,6.70)","2.59(0.92,4.23)","-0.87(-2.68,0.94)","0.0002","0.0002","0.0006","0.3456","1.0009","1.0010","1.0007","1.0005",1981,1849,1789,1672,2774,2901,2869,2236,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.81(2.67,2.95)","0.0002","1.0071",1094,1446,"",NA,"NA",NA,NA,"0.00(-0.00,0.01)","0.9154","1.0016",3395,3610,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","CRD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+DB","popw_mean_rad+Matched_Pair+OB+DB",2,9414,51,3,"0.00","4.71(3.03,6.31)","5.06(3.40,6.70)","2.68(1.05,4.32)","-0.54(-2.26,1.20)","0.0002","0.0002","0.0015","0.5426","1.0012","1.0026","1.0039","1.0022",1937,1976,1835,1505,2530,2727,2753,2612,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.92(2.69,3.16)","0.0002","1.0008",1282,1879,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.40(-1.02,0.21)","0.2160","1.0015",1547,2527
"J40_J47_J60_J70_J84_D86_C34","CRD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+PD","popw_mean_rad+Matched_Pair+UN+PD",2,9414,51,3,"0.00","5.51(3.84,7.18)","6.03(4.30,7.75)","3.08(1.40,4.81)","-2.31(-4.27,-0.46)","0.0002","0.0002","0.0006","0.0156","1.0020","1.0029","1.0049","1.0025",2010,1896,1605,1594,2630,2951,2895,2436,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.47(0.26,0.67)","0.0002","1.0017",1367,2215,"-0.03(-0.03,-0.02)","0.0002","1.0023",3967,3819,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","CRD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+DB","popw_mean_rad+Matched_Pair+UN+DB",2,9414,51,3,"0.00","4.98(3.31,6.66)","4.45(2.74,6.15)","0.08(-1.57,1.78)","-8.08(-9.77,-6.42)","0.0002","0.0002","0.9271","0.0002","1.0031","1.0026","1.0030","1.0026",1824,1849,1810,1701,2698,2845,2628,2378,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.13(-0.33,0.07)","0.2097","1.0049",1399,2336,"",NA,"NA",NA,NA,"5.99(5.58,6.41)","0.0002","1.0013",1995,3039
