ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
N00_N29_C64_C65,CKD,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"2.19(1.70,2.70)","2.66(2.15,3.17)","2.38(1.88,2.87)","1.51(1.05,1.98)",0.0002,0.0002,0.0002,0.0002,1.0048,1.0059,1.0061,1.0072,1376,1339,1380,1257,2590,1884,2122,2348,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PD+DB","popw_mean_rad+Matched_Pair+PD+DB",2,9414,51,3,"0.00","2.31(1.85,2.77)","2.83(2.37,3.29)","2.54(2.08,3.00)","1.71(1.22,2.19)","0.0002","0.0002","0.0002","0.0002","1.0026","1.0030","1.0017","1.0029",2364,2180,2145,2138,3064,3008,3001,3004,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.6772","1.0006",4360,4138,"2.45(2.35,2.57)","0.0002","1.0040",2222,2916
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+OB","popw_mean_rad+Matched_Pair+SM+PA+OB",3,9414,51,3,"0.00","2.58(2.12,3.02)","3.69(3.22,4.14)","4.32(3.87,4.77)","5.30(4.86,5.74)","0.0002","0.0002","0.0002","0.0002","1.0024","1.0017","1.0006","1.0015",1897,1851,1700,1745,2814,2480,2800,2898,"0.43(0.38,0.48)","0.0002","1.0035",1911,2746,"-0.30(-0.35,-0.25)","0.0002","1.0048",1317,1821,"0.43(0.38,0.48)","0.0002","1.0008",1302,2063,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+UN","popw_mean_rad+Matched_Pair+SM+PA+UN",3,9414,51,3,"0.00","2.49(2.02,2.94)","3.62(3.15,4.10)","4.21(3.76,4.67)","4.93(4.47,5.38)","0.0002","0.0002","0.0002","0.0002","1.0018","1.0019","1.0019","1.0019",1874,2078,1910,1792,2819,2964,2912,2428,"0.58(0.53,0.63)","0.0002","1.0036",1654,2567,"-0.56(-0.61,-0.52)","0.0002","1.0048",1214,2165,"",NA,"NA",NA,NA,"-0.22(-0.28,-0.17)","0.0002","1.0030",1327,2249,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+PD","popw_mean_rad+Matched_Pair+SM+PA+PD",3,9414,51,3,"0.00","2.58(2.12,3.03)","3.75(3.27,4.21)","4.37(3.92,4.83)","5.00(4.52,5.48)","0.0002","0.0002","0.0002","0.0002","1.0045","1.0036","1.0042","1.0024",1890,1762,1645,1817,2637,2675,2285,2897,"0.58(0.52,0.63)","0.0002","1.0021",1326,2426,"-0.50(-0.55,-0.46)","0.0002","1.0017",1142,1857,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.3730","1.0003",4956,3867,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+DB","popw_mean_rad+Matched_Pair+SM+PA+DB",3,9414,51,3,"0.00","2.42(1.97,2.87)","3.35(2.90,3.82)","3.64(3.17,4.12)","3.80(3.33,4.27)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0041","1.0028","1.0016",2095,1932,1764,1707,2736,2784,1957,2260,"0.50(0.45,0.56)","0.0002","1.0004",2273,3039,"-0.18(-0.23,-0.12)","0.0002","1.0015",1549,2613,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.50(1.35,1.66)","0.0002","1.0022",1519,2350
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+UN","popw_mean_rad+Matched_Pair+SM+OB+UN",3,9414,51,3,"0.00","2.39(1.94,2.85)","3.35(2.89,3.79)","3.89(3.43,4.33)","4.95(4.50,5.39)","0.0002","0.0002","0.0002","0.0002","1.0025","1.0037","1.0030","1.0034",1603,1518,1475,1463,2232,2306,2420,2270,"0.53(0.47,0.58)","0.0002","1.0026",1783,2610,"",NA,"NA",NA,NA,"0.63(0.58,0.67)","0.0002","1.0040",1442,2085,"-0.08(-0.13,-0.03)","0.0015","1.0038",1549,2329,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+PD","popw_mean_rad+Matched_Pair+SM+OB+PD",3,9414,51,3,"0.00","2.37(1.92,2.84)","3.28(2.83,3.75)","3.76(3.30,4.22)","4.59(4.10,5.08)","0.0002","0.0002","0.0002","0.0002","1.0021","1.0017","1.0026","1.0029",2130,2030,1810,1815,3150,2708,2538,2460,"0.52(0.46,0.57)","0.0002","1.0018",1830,2087,"",NA,"NA",NA,NA,"0.65(0.60,0.70)","0.0002","1.0018",1416,2658,"",NA,"NA",NA,NA,"0.00(0.00,0.00)","0.0002","0.9998",3638,3763,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+DB","popw_mean_rad+Matched_Pair+SM+OB+DB",3,9414,51,3,"0.00","2.37(1.91,2.81)","3.24(2.77,3.68)","3.50(3.07,3.94)","3.80(3.34,4.26)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0041","1.0046","1.0049",2510,2114,1804,1620,3090,2815,3018,2596,"0.50(0.45,0.55)","0.0002","1.0015",2524,3511,"",NA,"NA",NA,NA,"0.20(0.14,0.27)","0.0002","1.0023",1804,2523,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.46(1.29,1.62)","0.0002","1.0022",2026,2833
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+UN+PD","popw_mean_rad+Matched_Pair+SM+UN+PD",3,9414,51,3,"0.00","2.30(1.83,2.78)","3.31(2.84,3.79)","3.88(3.41,4.35)","4.58(4.08,5.09)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0005","1.0017","1.0021",1983,2028,1796,1823,3088,3097,3052,2799,"0.89(0.84,0.94)","0.0002","1.0007",2351,3118,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.02(-0.04,0.07)","0.5109","1.0022",1535,2152,"-0.00(-0.00,-0.00)","0.0002","1.0009",4844,4325,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+UN+DB","popw_mean_rad+Matched_Pair+SM+UN+DB",3,9414,51,3,"0.00","2.18(1.71,2.64)","2.94(2.46,3.39)","3.04(2.58,3.50)","3.05(2.58,3.49)","0.0002","0.0002","0.0002","0.0002","1.0027","1.0036","1.0015","1.0019",1650,1504,1388,1287,2176,2755,2536,2264,"0.58(0.53,0.63)","0.0002","1.0012",2046,2863,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.19(-0.24,-0.14)","0.0002","1.0009",1572,2287,"",NA,"NA",NA,NA,"1.94(1.81,2.05)","0.0002","1.0012",1845,2779
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PD+DB","popw_mean_rad+Matched_Pair+SM+PD+DB",3,9414,51,3,"0.00","2.26(1.80,2.72)","3.04(2.59,3.50)","3.16(2.70,3.62)","3.00(2.50,3.49)","0.0002","0.0002","0.0002","0.0002","1.0033","1.0024","1.0038","1.0044",1518,1500,1403,1322,2579,2423,2388,2647,"0.57(0.52,0.62)","0.0002","1.0016",1496,2457,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(0.00,0.00)","0.0031","1.0010",3633,3224,"1.86(1.74,1.99)","0.0002","1.0028",1279,2247
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+UN","popw_mean_rad+Matched_Pair+PA+OB+UN",3,9414,51,3,"0.00","2.61(2.15,3.07)","3.57(3.09,4.03)","3.97(3.52,4.43)","4.73(4.29,5.18)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0010","1.0017","1.0010",2371,2595,2385,2322,3345,2886,3344,3450,"",NA,"NA",NA,NA,"-0.45(-0.50,-0.40)","0.0002","1.0020",1413,2149,"0.57(0.51,0.62)","0.0002","1.0025",1502,2187,"-0.18(-0.24,-0.13)","0.0002","1.0018",1602,2298,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+PD","popw_mean_rad+Matched_Pair+PA+OB+PD",3,9414,51,3,"0.00","2.63(2.15,3.08)","3.56(3.08,4.02)","3.92(3.46,4.38)","4.42(3.94,4.92)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0014","1.0006","1.0010",1878,1653,1581,1666,3165,2377,2850,2223,"",NA,"NA",NA,NA,"-0.40(-0.44,-0.35)","0.0002","1.0041",1078,1955,"0.61(0.55,0.66)","0.0002","1.0035",1051,2145,"",NA,"NA",NA,NA,"0.00(0.00,0.00)","0.0002","0.9995",4270,3862,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+DB","popw_mean_rad+Matched_Pair+PA+OB+DB",3,9414,51,3,"0.00","2.56(2.09,3.01)","3.40(2.90,3.87)","3.58(3.09,4.05)","3.74(3.22,4.22)","0.0002","0.0002","0.0002","0.0002","1.0018","1.0023","1.0025","1.0031",2233,2098,1936,1832,2347,2647,2676,2327,"",NA,"NA",NA,NA,"-0.27(-0.32,-0.22)","0.0002","1.0024",1655,2433,"0.34(0.28,0.41)","0.0002","1.0028",1848,2705,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.14(0.95,1.32)","0.0002","1.0025",2113,2702
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+UN+PD","popw_mean_rad+Matched_Pair+PA+UN+PD",3,9414,51,3,"0.00","2.72(2.28,3.20)","3.74(3.29,4.22)","4.09(3.64,4.55)","4.33(3.85,4.81)","0.0002","0.0002","0.0002","0.0002","1.0019","1.0025","1.0013","1.0019",2169,2050,1905,1948,2729,2982,2783,2891,"",NA,"NA",NA,NA,"-0.79(-0.83,-0.75)","0.0002","1.0029",1656,2342,"",NA,"NA",NA,NA,"-0.20(-0.26,-0.15)","0.0002","1.0028",1258,2021,"-0.00(-0.00,0.00)","0.2281","1.0002",4300,3803,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+UN+DB","popw_mean_rad+Matched_Pair+PA+UN+DB",3,9414,51,3,"0.00","2.39(1.93,2.85)","3.12(2.65,3.59)","3.07(2.61,3.53)","2.74(2.28,3.20)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0008","1.0006","1.0006",2052,1718,1721,1479,2636,2542,2765,2148,"",NA,"NA",NA,NA,"-0.40(-0.45,-0.35)","0.0002","1.0012",1326,2053,"",NA,"NA",NA,NA,"-0.24(-0.30,-0.19)","0.0002","1.0031",1470,2366,"",NA,"NA",NA,NA,"1.74(1.60,1.89)","0.0002","1.0008",1324,2127
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+PD+DB","popw_mean_rad+Matched_Pair+PA+PD+DB",3,9414,51,3,"0.00","2.49(2.04,2.96)","3.25(2.78,3.71)","3.22(2.77,3.71)","2.75(2.24,3.26)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0027","1.0021","1.0028",1995,1910,1677,1494,2744,2707,2435,2211,"",NA,"NA",NA,NA,"-0.34(-0.39,-0.30)","0.0002","1.0018",1456,2026,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.0635","0.9996",4165,3925,"1.73(1.57,1.88)","0.0002","1.0024",1299,1580
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+UN+PD","popw_mean_rad+Matched_Pair+OB+UN+PD",3,9414,51,3,"0.00","2.43(1.98,2.91)","3.16(2.68,3.64)","3.37(2.92,3.85)","3.93(3.43,4.41)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0016","1.0016","1.0012",1686,1555,1398,1528,2594,2316,2179,2097,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.91(0.87,0.95)","0.0002","1.0068",1183,1855,"-0.02(-0.07,0.03)","0.4397","1.0092",953,1644,"0.00(0.00,0.00)","0.0002","1.0009",3481,3323,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+UN+DB","popw_mean_rad+Matched_Pair+OB+UN+DB",3,9414,51,3,"0.00","2.34(1.86,2.82)","2.97(2.51,3.45)","2.91(2.44,3.38)","2.85(2.37,3.35)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0013","1.0013","1.0025",2174,1871,1952,1775,2832,2712,2877,2299,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.43(0.37,0.50)","0.0002","1.0024",1737,2227,"-0.13(-0.18,-0.08)","0.0002","1.0022",1599,2173,"",NA,"NA",NA,NA,"1.61(1.43,1.78)","0.0002","1.0020",1889,2647
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+PD+DB","popw_mean_rad+Matched_Pair+OB+PD+DB",3,9414,51,3,"0.00","2.36(1.91,2.82)","2.98(2.53,3.45)","2.91(2.46,3.39)","2.69(2.17,3.21)","0.0002","0.0002","0.0002","0.0002","1.0028","1.0017","1.0022","1.0029",2361,2304,2066,1959,2911,2886,2777,3045,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.46(0.40,0.53)","0.0002","1.0019",1683,2180,"",NA,"NA",NA,NA,"0.00(0.00,0.00)","0.0006","1.0005",3915,3248,"1.53(1.35,1.70)","0.0002","1.0008",2150,2995
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_UN+PD+DB","popw_mean_rad+Matched_Pair+UN+PD+DB",3,9414,51,3,"0.00","2.22(1.76,2.68)","2.70(2.23,3.17)","2.34(1.87,2.80)","1.48(0.99,1.98)","0.0002","0.0002","0.0002","0.0002","1.0036","1.0039","1.0034","1.0042",2412,2234,1950,2006,2686,2640,2710,2826,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.13(-0.18,-0.07)","0.0002","1.0059",1719,2438,"0.00(-0.00,0.00)","0.7059","1.0007",4189,4036,"2.54(2.43,2.66)","0.0002","1.0031",1921,2812
