ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
N00_N29_C64_C65,CKD,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"2.19(1.70,2.70)","2.66(2.15,3.17)","2.38(1.88,2.87)","1.51(1.05,1.98)",0.0002,0.0002,0.0002,0.0002,1.0048,1.0059,1.0061,1.0072,1376,1339,1380,1257,2590,1884,2122,2348,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_SM+DB","popw_mean_rad+Matched_Pair+SM+DB",2,9414,51,3,"0.00","2.31(1.85,2.74)","3.14(2.68,3.59)","3.32(2.86,3.77)","3.33(2.89,3.78)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0034","1.0060","1.0046",1651,1425,1347,1294,2968,2551,2581,2294,"0.56(0.51,0.61)","0.0002","1.0017",1711,2596,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.82(1.71,1.94)","0.0002","1.0014",1735,2716
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+OB","popw_mean_rad+Matched_Pair+PA+OB",2,9414,51,3,"0.00","2.71(2.25,3.18)","3.71(3.25,4.19)","4.15(3.70,4.62)","4.88(4.43,5.34)","0.0002","0.0002","0.0002","0.0002","1.0024","1.0017","1.0027","1.0024",1516,1548,1421,1331,2338,2639,2190,2154,"",NA,"NA",NA,NA,"-0.39(-0.44,-0.34)","0.0002","1.0033",988,1676,"0.58(0.53,0.63)","0.0002","1.0051",921,1431,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+UN","popw_mean_rad+Matched_Pair+PA+UN",2,9414,51,3,"0.00","2.71(2.24,3.18)","3.71(3.23,4.18)","4.03(3.59,4.47)","4.21(3.75,4.65)","0.0002","0.0002","0.0002","0.0002","1.0051","1.0052","1.0044","1.0041",1667,1729,1571,1658,2595,2620,2449,2463,"",NA,"NA",NA,NA,"-0.79(-0.83,-0.76)","0.0002","1.0033",1645,2736,"",NA,"NA",NA,NA,"-0.21(-0.26,-0.15)","0.0002","1.0034",1206,2041,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+PD","popw_mean_rad+Matched_Pair+PA+PD",2,9414,51,3,"0.00","2.83(2.38,3.28)","3.89(3.41,4.36)","4.28(3.83,4.75)","4.50(3.99,5.00)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0015","1.0020","1.0021",2365,2184,2089,2127,3153,2981,3161,2992,"",NA,"NA",NA,NA,"-0.73(-0.77,-0.69)","0.0002","1.0014",2001,2819,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.00(-0.00,0.00)","0.1760","1.0008",4742,3466,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+DB","popw_mean_rad+Matched_Pair+PA+DB",2,9414,51,3,"0.00","2.52(2.06,2.98)","3.30(2.84,3.78)","3.32(2.85,3.77)","2.95(2.51,3.40)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0017","1.0021","1.0023",1616,1549,1434,1322,2617,2447,2664,2319,"",NA,"NA",NA,NA,"-0.34(-0.39,-0.29)","0.0002","1.0062",1023,2300,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.71(1.56,1.86)","0.0002","1.0081",1056,2074
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+UN","popw_mean_rad+Matched_Pair+OB+UN",2,9414,51,3,"0.00","2.49(2.02,2.95)","3.28(2.79,3.74)","3.57(3.11,4.02)","4.31(3.85,4.77)","0.0002","0.0002","0.0002","0.0002","1.0055","1.0052","1.0048","1.0041",1733,1745,1613,1614,2519,2746,2898,2845,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.88(0.84,0.92)","0.0002","1.0024",1548,2463,"-0.02(-0.07,0.03)","0.4180","1.0055",1255,2088,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+PD","popw_mean_rad+Matched_Pair+OB+PD",2,9414,51,3,"0.00","2.44(1.99,2.90)","3.18(2.70,3.65)","3.40(2.95,3.87)","3.96(3.47,4.45)","0.0002","0.0002","0.0002","0.0002","0.9998","1.0003","1.0003","1.0006",1920,1850,1710,1729,2901,2590,3014,2450,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.90(0.86,0.95)","0.0002","1.0031",1427,2049,"",NA,"NA",NA,NA,"0.00(0.00,0.00)","0.0006","0.9994",3370,3890,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+DB","popw_mean_rad+Matched_Pair+OB+DB",2,9414,51,3,"0.00","2.45(1.99,2.89)","3.13(2.66,3.59)","3.13(2.67,3.57)","3.09(2.62,3.57)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0009","1.0016","1.0015",2143,2110,2034,1751,2779,2870,2607,2661,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.43(0.37,0.49)","0.0002","1.0014",1530,2007,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.53(1.35,1.69)","0.0002","1.0011",1935,2649
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+PD","popw_mean_rad+Matched_Pair+UN+PD",2,9414,51,3,"0.00","2.57(2.07,3.05)","3.35(2.86,3.84)","3.43(2.90,3.92)","3.33(2.77,3.84)","0.0002","0.0002","0.0002","0.0002","1.0025","1.0025","1.0031","1.0042",2041,1996,1825,1865,2793,2802,2674,2594,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.24(0.18,0.29)","0.0002","1.0024",1675,2503,"-0.01(-0.01,-0.01)","0.0002","1.0002",5045,3922,"",NA,"NA",NA,NA
"N00_N29_C64_C65","CKD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+DB","popw_mean_rad+Matched_Pair+UN+DB",2,9414,51,3,"0.00","2.22(1.77,2.69)","2.71(2.22,3.18)","2.36(1.91,2.83)","1.53(1.08,1.97)","0.0002","0.0002","0.0002","0.0002","1.0041","1.0033","1.0029","1.0040",2576,2410,2281,2109,3371,3076,3214,3167,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.13(-0.18,-0.08)","0.0002","1.0035",1749,2793,"",NA,"NA",NA,NA,"2.54(2.43,2.65)","0.0002","1.0018",2519,2893
