ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
C00_C97,Cancer,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"9.00(7.00,11.12)","11.07(9.04,13.08)","8.33(6.37,10.34)","2.88(0.99,4.92)",0.0002,0.0002,0.0002,0.0031,1.0024,1.0001,1.0006,1.0012,2490,2544,2460,2505,2651,3061,3047,2720,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_SM+DB","popw_mean_rad+Matched_Pair+SM+DB",2,9414,51,3,"0.00","9.46(7.69,11.18)","13.39(11.61,15.06)","14.39(12.62,16.11)","15.85(14.06,17.61)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0016","1.0008","1.0037",2367,2198,2188,2146,2890,3431,2803,3155,"4.94(4.74,5.14)","0.0002","1.0047",1584,2496,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.98(2.51,3.46)","0.0002","1.0025",1621,2932
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+OB","popw_mean_rad+Matched_Pair+PA+OB",2,9414,51,3,"0.00","9.93(8.00,11.85)","13.00(11.04,14.90)","12.52(10.63,14.41)","13.40(11.47,15.33)","0.0002","0.0002","0.0002","0.0002","1.0033","1.0051","1.0023","1.0022",1793,1506,1652,1524,2508,2418,2843,2295,"",NA,"NA",NA,NA,"-0.08(-0.19,0.03)","0.1768","1.0051",741,1459,"3.56(3.40,3.72)","0.0002","1.0052",796,1970,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+UN","popw_mean_rad+Matched_Pair+PA+UN",2,9414,51,3,"0.00","9.97(8.15,11.78)","13.55(11.68,15.46)","12.60(10.69,14.55)","11.16(9.24,12.98)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0007","1.0005","1.0007",2552,2515,2406,2362,2817,2855,3142,2755,"",NA,"NA",NA,NA,"-3.21(-3.39,-3.03)","0.0002","1.0015",2530,2713,"",NA,"NA",NA,NA,"-1.56(-1.81,-1.31)","0.0002","1.0022",2186,2873,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+PD","popw_mean_rad+Matched_Pair+PA+PD",2,9414,51,3,"0.00","10.44(8.58,12.28)","14.22(12.30,16.10)","13.54(11.65,15.44)","11.71(9.59,13.79)","0.0002","0.0002","0.0002","0.0002","1.0018","1.0012","1.0018","1.0016",3153,2869,2664,2646,3163,3159,3176,2996,"",NA,"NA",NA,NA,"-2.71(-2.89,-2.54)","0.0002","1.0016",3564,3126,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.01)","0.6792","0.9996",4709,3552,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+DB","popw_mean_rad+Matched_Pair+PA+DB",2,9414,51,3,"0.00","9.93(8.03,11.80)","12.76(10.75,14.69)","10.82(8.85,12.68)","7.21(5.08,9.23)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0015","1.0015","1.0031",2326,1934,1725,1533,2509,2808,2841,2642,"",NA,"NA",NA,NA,"-1.22(-1.52,-0.93)","0.0002","1.0144",777,1355,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"5.39(4.59,6.21)","0.0002","1.0113",904,1490
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+UN","popw_mean_rad+Matched_Pair+OB+UN",2,9414,51,3,"0.00","9.67(7.78,11.62)","12.57(10.60,14.49)","11.90(10.04,13.78)","12.78(10.91,14.67)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0010","1.0027","1.0026",2103,2032,1828,1729,2977,3224,2565,2684,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.66(3.49,3.84)","0.0002","1.0048",1108,1675,"-0.37(-0.59,-0.16)","0.0006","1.0016",1430,2768,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+PD","popw_mean_rad+Matched_Pair+OB+PD",2,9414,51,3,"0.00","9.33(7.48,11.25)","11.92(10.04,13.85)","10.89(9.06,12.83)","10.36(8.24,12.52)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0011","1.0002","1.0000",2944,2769,2455,2352,3220,3403,3392,3336,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.74(3.57,3.91)","0.0002","1.0014",1375,2419,"",NA,"NA",NA,NA,"0.02(0.01,0.02)","0.0002","1.0003",4123,3552,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+DB","popw_mean_rad+Matched_Pair+OB+DB",2,9414,51,3,"0.00","9.89(8.06,11.70)","12.68(10.80,14.53)","11.62(9.73,13.45)","11.24(9.23,13.21)","0.0002","0.0002","0.0002","0.0002","1.0019","1.0016","1.0009","1.0012",2129,2027,2041,1822,3227,2778,2737,2246,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.85(2.58,3.11)","0.0002","1.0016",1481,2199,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.54(1.83,3.25)","0.0002","1.0021",1759,2581
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+PD","popw_mean_rad+Matched_Pair+UN+PD",2,9414,51,3,"0.00","9.69(7.72,11.69)","12.56(10.57,14.66)","10.80(8.72,12.86)","7.76(5.56,9.96)","0.0002","0.0002","0.0002","0.0002","1.0028","1.0004","1.0012","1.0018",2279,2120,2067,2058,3023,2726,2859,2850,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.40(0.17,0.64)","0.0006","1.0012",1972,2390,"-0.02(-0.03,-0.02)","0.0002","1.0008",3953,3677,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+DB","popw_mean_rad+Matched_Pair+UN+DB",2,9414,51,3,"0.00","9.39(7.46,11.39)","11.18(9.18,13.13)","8.00(6.02,9.91)","2.67(0.75,4.56)","0.0002","0.0002","0.0002","0.0073","1.0035","1.0043","1.0055","1.0027",1849,1709,1645,1545,2746,2320,2653,2179,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.53(-0.78,-0.29)","0.0002","1.0020",1291,2309,"",NA,"NA",NA,NA,"8.61(8.10,9.12)","0.0002","1.0039",1552,2802
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PD+DB","popw_mean_rad+Matched_Pair+PD+DB",2,9414,51,3,"0.00","9.60(7.73,11.51)","11.45(9.50,13.41)","8.38(6.44,10.39)","2.82(0.68,4.97)","0.0002","0.0002","0.0002","0.0119","1.0011","1.0015","1.0025","1.0020",1676,1611,1545,1526,2411,2555,2134,2302,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.01)","0.1952","1.0020",2283,3164,"8.48(7.94,8.98)","0.0002","1.0093",819,1552
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+OB","popw_mean_rad+Matched_Pair+SM+PA+OB",3,9414,51,3,"0.00","9.63(7.91,11.38)","13.93(12.13,15.74)","15.68(13.88,17.48)","18.85(17.00,20.63)","0.0002","0.0002","0.0002","0.0002","1.0019","1.0017","1.0008","1.0005",3273,3264,2898,2984,3257,3508,3491,3209,"4.85(4.63,5.07)","0.0002","1.0027",2304,3015,"-0.17(-0.28,-0.07)","0.0010","1.0024",2046,3110,"0.95(0.76,1.14)","0.0002","1.0050",1851,2721,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+UN","popw_mean_rad+Matched_Pair+SM+PA+UN",3,9414,51,3,"0.00","9.39(7.63,11.13)","13.50(11.69,15.26)","14.97(13.21,16.70)","17.74(15.95,19.51)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0006","0.9999","1.0014",2054,1955,1923,1750,2776,2489,2343,2533,"5.81(5.63,5.99)","0.0002","1.0026",1961,2335,"-0.29(-0.40,-0.18)","0.0002","1.0032",1036,1343,"",NA,"NA",NA,NA,"-1.07(-1.28,-0.86)","0.0002","1.0044",1465,2161,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+PD","popw_mean_rad+Matched_Pair+SM+PA+PD",3,9414,51,3,"0.00","9.54(7.80,11.31)","13.66(11.89,15.43)","15.10(13.30,16.83)","16.76(14.86,18.71)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0017","1.0027","1.0018",2243,2125,2026,1802,2479,3126,2828,2592,"5.60(5.42,5.78)","0.0002","1.0046",1649,2876,"-0.29(-0.40,-0.18)","0.0002","1.0050",1180,2159,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0002","1.0012",4084,4058,"",NA,"NA",NA,NA
