ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
C00_C97,Cancer,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"9.00(7.00,11.12)","11.07(9.04,13.08)","8.33(6.37,10.34)","2.88(0.99,4.92)",0.0002,0.0002,0.0002,0.0031,1.0024,1.0001,1.0006,1.0012,2490,2544,2460,2505,2651,3061,3047,2720,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+DB","popw_mean_rad+Matched_Pair+SM+PA+DB",3,9414,51,3,"0.00","9.47(7.71,11.19)","13.42(11.68,15.14)","14.46(12.75,16.29)","15.98(14.17,17.94)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0041","1.0031","1.0030",2719,2374,2343,2280,3361,2620,2884,3004,"4.94(4.75,5.14)","0.0002","1.0001",2390,2984,"-0.04(-0.14,0.07)","0.4893","1.0030",1601,2501,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.92(2.42,3.42)","0.0002","1.0029",1617,2801
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+UN","popw_mean_rad+Matched_Pair+SM+OB+UN",3,9414,51,3,"0.00","8.91(7.18,10.64)","12.76(11.01,14.54)","14.08(12.32,15.84)","17.39(15.68,19.17)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0001","1.0014","1.0013",2015,2168,1911,1985,2666,3012,2654,3149,"5.06(4.84,5.28)","0.0002","1.0015",1628,2127,"",NA,"NA",NA,NA,"1.15(0.97,1.34)","0.0002","1.0001",1387,2316,"-1.21(-1.41,-1.00)","0.0002","1.0020",1767,2417,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+PD","popw_mean_rad+Matched_Pair+SM+OB+PD",3,9414,51,3,"0.00","8.95(7.21,10.72)","12.78(11.01,14.50)","13.92(12.16,15.67)","15.66(13.74,17.59)","0.0002","0.0002","0.0002","0.0002","1.0025","1.0015","1.0019","1.0017",1634,1367,1435,1361,2916,2680,2278,2002,"4.84(4.62,5.06)","0.0002","1.0029",1565,2545,"",NA,"NA",NA,NA,"1.14(0.95,1.34)","0.0002","1.0010",1289,1904,"",NA,"NA",NA,NA,"0.02(0.01,0.02)","0.0002","1.0001",3023,3575,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+DB","popw_mean_rad+Matched_Pair+SM+OB+DB",3,9414,51,3,"0.00","9.44(7.74,11.18)","13.40(11.68,15.08)","14.52(12.80,16.23)","16.33(14.53,18.08)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0011","1.0010","1.0011",2776,2484,2375,2130,3118,2931,2904,2787,"4.85(4.63,5.06)","0.0002","1.0020",2321,2894,"",NA,"NA",NA,NA,"0.28(0.01,0.55)","0.0414","1.0036",1871,2561,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.46(1.79,3.14)","0.0002","1.0012",2374,3058
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+UN+PD","popw_mean_rad+Matched_Pair+SM+UN+PD",3,9414,51,3,"0.00","8.76(7.03,10.57)","12.49(10.65,14.33)","13.58(11.79,15.46)","15.35(13.46,17.29)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0004","1.0004","1.0023",2578,2352,2154,2024,3656,2986,3315,3154,"5.88(5.70,6.07)","0.0002","1.0015",2104,3083,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.02(-1.22,-0.82)","0.0002","1.0008",1974,2886,"0.01(0.00,0.01)","0.0048","1.0010",5385,3802,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+UN+DB","popw_mean_rad+Matched_Pair+SM+UN+DB",3,9414,51,3,"0.00","8.90(7.17,10.64)","12.41(10.64,14.16)","12.97(11.23,14.70)","14.42(12.66,16.12)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0021","1.0025","1.0023",1999,1909,1692,1468,3057,3232,2555,2643,"5.17(4.97,5.37)","0.0002","1.0015",2009,2507,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.37(-1.58,-1.17)","0.0002","1.0047",1333,2345,"",NA,"NA",NA,NA,"3.66(3.17,4.13)","0.0002","1.0023",1582,2525
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PD+DB","popw_mean_rad+Matched_Pair+SM+PD+DB",3,9414,51,3,"0.00","9.03(7.28,10.75)","12.55(10.85,14.38)","13.06(11.33,14.88)","13.11(11.14,15.06)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0008","1.0016","1.0010",2296,2119,2024,1906,2939,2594,2740,2422,"4.97(4.78,5.17)","0.0002","1.0035",1777,2658,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.02(0.01,0.02)","0.0002","1.0021",4528,4389,"3.27(2.81,3.75)","0.0002","1.0054",1638,2602
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+UN","popw_mean_rad+Matched_Pair+PA+OB+UN",3,9414,51,3,"0.00","9.81(7.82,11.68)","12.77(10.84,14.71)","12.18(10.28,14.14)","13.14(11.25,15.08)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0041","1.0024","1.0027",2369,2133,2202,2088,3078,2681,3363,2976,"",NA,"NA",NA,NA,"-0.09(-0.21,0.03)","0.1331","1.0114",692,1224,"3.65(3.47,3.82)","0.0002","1.0100",1251,2332,"-0.38(-0.62,-0.15)","0.0023","1.0033",1656,2386,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+PD","popw_mean_rad+Matched_Pair+PA+OB+PD",3,9414,51,3,"0.00","9.51(7.63,11.38)","12.19(10.24,14.12)","11.21(9.30,13.15)","10.71(8.58,12.89)","0.0002","0.0002","0.0002","0.0002","1.0021","1.0012","1.0020","1.0011",2022,1989,1776,1881,2693,3024,3018,2629,"",NA,"NA",NA,NA,"-0.15(-0.27,-0.04)","0.0060","1.0017",1060,2343,"3.73(3.56,3.90)","0.0002","1.0029",1388,2134,"",NA,"NA",NA,NA,"0.02(0.01,0.02)","0.0002","1.0000",3417,3476,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+DB","popw_mean_rad+Matched_Pair+PA+OB+DB",3,9414,51,3,"0.00","9.81(7.91,11.66)","12.54(10.61,14.43)","11.44(9.50,13.36)","10.89(8.87,12.94)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0023","1.0013","1.0009",2301,2458,2089,1783,3451,2675,2500,2654,"",NA,"NA",NA,NA,"0.06(-0.06,0.17)","0.3231","1.0038",1001,2149,"2.81(2.56,3.09)","0.0002","1.0031",1673,3104,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.69(1.92,3.45)","0.0002","1.0011",1758,3137
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+UN+PD","popw_mean_rad+Matched_Pair+PA+UN+PD",3,9414,51,3,"0.00","9.94(8.06,11.86)","13.45(11.54,15.38)","12.44(10.48,14.34)","10.79(8.75,12.85)","0.0002","0.0002","0.0002","0.0002","1.0007","0.9999","1.0000","1.0008",3304,2960,2924,2901,3237,3399,3283,3286,"",NA,"NA",NA,NA,"-3.23(-3.42,-3.04)","0.0002","1.0009",2895,2875,"",NA,"NA",NA,NA,"-1.56(-1.81,-1.31)","0.0002","1.0015",2580,3016,"0.00(-0.00,0.01)","0.3951","0.9999",5281,4006,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+UN+DB","popw_mean_rad+Matched_Pair+PA+UN+DB",3,9414,51,3,"0.00","9.59(7.68,11.48)","12.38(10.47,14.28)","10.39(8.45,12.32)","7.33(5.30,9.37)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0014","1.0010","1.0017",2767,2789,2469,2193,3378,3365,3126,2777,"",NA,"NA",NA,NA,"-1.91(-2.20,-1.62)","0.0002","1.0017",1145,2010,"",NA,"NA",NA,NA,"-1.34(-1.60,-1.09)","0.0002","1.0009",2366,2929,"",NA,"NA",NA,NA,"4.60(3.85,5.35)","0.0002","1.0020",1328,2239
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+PD+DB","popw_mean_rad+Matched_Pair+PA+PD+DB",3,9414,51,3,"0.00","9.85(7.93,11.74)","12.51(10.51,14.47)","10.44(8.40,12.43)","6.34(4.10,8.53)","0.0002","0.0002","0.0002","0.0002","1.0018","1.0033","1.0015","1.0033",2462,1982,2057,1817,2998,2650,2512,2702,"",NA,"NA",NA,NA,"-1.25(-1.54,-0.97)","0.0002","1.0052",1074,1599,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(-0.00,0.01)","0.0623","1.0005",3866,3456,"5.45(4.67,6.26)","0.0002","1.0033",1148,1786
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+UN+PD","popw_mean_rad+Matched_Pair+OB+UN+PD",3,9414,51,3,"0.00","9.21(7.28,11.15)","11.72(9.80,13.68)","10.56(8.65,12.56)","10.07(7.94,12.18)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0014","1.0014","1.0009",2555,2520,2338,2261,2701,3224,3066,2637,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.83(3.65,4.01)","0.0002","1.0019",1432,2315,"-0.38(-0.61,-0.15)","0.0015","1.0028",1448,2043,"0.02(0.01,0.02)","0.0002","1.0002",4062,3947,"",NA,"NA",NA,NA
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+UN+DB","popw_mean_rad+Matched_Pair+OB+UN+DB",3,9414,51,3,"0.00","9.70(7.84,11.57)","12.33(10.45,14.19)","11.06(9.23,12.88)","10.62(8.72,12.49)","0.0002","0.0002","0.0002","0.0002","1.0041","1.0037","1.0024","1.0032",2450,2056,2103,1806,3289,3243,3341,3036,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.89(2.62,3.17)","0.0002","1.0031",1559,2609,"-0.50(-0.73,-0.27)","0.0002","1.0035",1800,2991,"",NA,"NA",NA,NA,"2.79(2.01,3.57)","0.0002","1.0010",1759,2572
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+PD+DB","popw_mean_rad+Matched_Pair+OB+PD+DB",3,9414,51,3,"0.00","9.38(7.57,11.21)","11.73(9.93,13.59)","10.16(8.24,12.06)","8.32(6.25,10.41)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0030","1.0045","1.0040",2326,2019,1836,1693,2865,2753,2847,2392,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.00(2.73,3.26)","0.0002","1.0040",1285,2176,"",NA,"NA",NA,NA,"0.02(0.01,0.02)","0.0002","1.0018",3823,3694,"2.61(1.88,3.31)","0.0002","1.0037",1615,2302
"C00_C97","Cancer","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_UN+PD+DB","popw_mean_rad+Matched_Pair+UN+PD+DB",3,9414,51,3,"0.00","9.31(7.39,11.20)","11.01(9.07,13.00)","7.71(5.75,9.74)","2.08(-0.05,4.35)","0.0002","0.0002","0.0002","0.0577","1.0018","1.0039","1.0015","1.0014",2366,2098,2065,2034,2770,2941,2830,2753,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.52(-0.78,-0.27)","0.0006","1.0038",1514,2156,"0.00(-0.00,0.01)","0.2714","1.0022",3609,3968,"8.69(8.16,9.21)","0.0002","1.0069",1282,2539
