ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
G20_G30_G12.2_F01_F03,NDD,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"7.78(6.53,9.06)","11.13(9.87,12.39)","12.42(11.18,13.62)","12.97(11.73,14.17)",0.0002,0.0002,0.0002,0.0002,1.0027,1.0021,1.0026,1.0025,1568,1555,1538,1377,3044,2985,3188,2861,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PD+DB","popw_mean_rad+Matched_Pair+PD+DB",2,9414,51,3,"0.00","7.65(6.36,8.87)","10.93(9.68,12.19)","12.14(10.83,13.40)","12.45(11.03,13.80)","0.0002","0.0002","0.0002","0.0002","1.0036","1.0034","1.0056","1.0058",1757,1380,1455,1283,2454,2543,2300,2303,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.01)","0.1914","1.0018",3026,3326,"-0.28(-0.59,0.03)","0.0735","1.0058",1426,2705
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+OB","popw_mean_rad+Matched_Pair+SM+PA+OB",3,9414,51,3,"0.00","7.18(5.94,8.46)","10.61(9.33,11.88)","12.22(10.96,13.52)","13.40(12.09,14.76)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0012","1.0013","1.0008",2387,2243,2123,2236,3145,3311,3021,2951,"0.92(0.77,1.08)","0.0002","1.0009",2091,2890,"0.40(0.31,0.49)","0.0002","1.0037",1629,2381,"-0.06(-0.20,0.08)","0.4051","1.0009",1622,2460,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+UN","popw_mean_rad+Matched_Pair+SM+PA+UN",3,9414,51,3,"0.00","6.83(5.56,8.07)","10.04(8.79,11.32)","11.49(10.25,12.79)","12.85(11.55,14.14)","0.0002","0.0002","0.0002","0.0002","1.0024","1.0029","1.0035","1.0036",2382,2471,2354,2329,3552,3493,3072,3733,"1.07(0.93,1.21)","0.0002","1.0016",2913,3393,"0.33(0.24,0.42)","0.0002","1.0022",2142,2889,"",NA,"NA",NA,NA,"-0.88(-1.03,-0.73)","0.0002","1.0004",2162,3062,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+PD","popw_mean_rad+Matched_Pair+SM+PA+PD",3,9414,51,3,"0.00","7.08(5.82,8.34)","10.39(9.06,11.72)","11.89(10.62,13.19)","12.74(11.27,14.18)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0026","1.0024","1.0015",2270,2078,1965,2126,3103,3042,2982,3263,"0.91(0.78,1.05)","0.0002","1.0018",2693,3173,"0.39(0.30,0.48)","0.0002","1.0029",2176,2808,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0160","1.0004",5309,3991,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+DB","popw_mean_rad+Matched_Pair+SM+PA+DB",3,9414,51,3,"0.00","7.29(6.00,8.62)","10.83(9.50,12.14)","12.67(11.34,13.99)","14.23(12.84,15.53)","0.0002","0.0002","0.0002","0.0002","1.0021","1.0019","1.0020","1.0013",2181,1980,1890,1727,3176,3061,3131,2920,"1.04(0.90,1.19)","0.0002","1.0014",1888,2711,"0.32(0.22,0.41)","0.0002","1.0027",1470,2407,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.93(-1.30,-0.56)","0.0002","1.0048",1484,2030
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+UN","popw_mean_rad+Matched_Pair+SM+OB+UN",3,9414,51,3,"0.00","7.22(5.97,8.46)","10.57(9.30,11.81)","12.17(10.92,13.46)","13.75(12.47,15.09)","0.0002","0.0002","0.0002","0.0002","1.0033","1.0022","1.0036","1.0026",1927,1660,1611,1550,2798,2600,2625,2563,"1.03(0.88,1.19)","0.0002","1.0024",1758,2542,"",NA,"NA",NA,NA,"-0.10(-0.24,0.03)","0.1535","1.0022",1472,2429,"-0.96(-1.11,-0.81)","0.0002","1.0004",1558,2233,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+PD","popw_mean_rad+Matched_Pair+SM+OB+PD",3,9414,51,3,"0.00","7.47(6.16,8.75)","10.94(9.64,12.28)","12.57(11.30,13.87)","13.44(12.04,14.85)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0028","1.0008","1.0025",1790,1558,1659,1640,2727,2160,2722,2658,"0.89(0.72,1.05)","0.0002","1.0012",1391,2024,"",NA,"NA",NA,NA,"-0.15(-0.29,-0.00)","0.0477","1.0012",1124,1818,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0006","1.0012",3235,3618,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+DB","popw_mean_rad+Matched_Pair+SM+OB+DB",3,9414,51,3,"0.00","7.71(6.48,8.98)","11.54(10.29,12.80)","13.80(12.55,15.12)","16.33(14.97,17.65)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0009","1.0008","1.0022",2222,1962,2055,1659,3123,2502,2643,2144,"0.90(0.74,1.06)","0.0002","1.0024",1963,2610,"",NA,"NA",NA,NA,"0.43(0.23,0.62)","0.0002","1.0026",1608,2120,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-2.19(-2.68,-1.70)","0.0002","1.0029",2072,2797
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+UN+PD","popw_mean_rad+Matched_Pair+SM+UN+PD",3,9414,51,3,"0.00","7.00(5.75,8.24)","10.19(8.90,11.48)","11.61(10.30,12.88)","12.68(11.21,14.08)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0025","1.0022","1.0026",2276,2054,1908,1981,3132,3049,2455,2780,"1.02(0.88,1.15)","0.0002","1.0018",2425,3055,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.96(-1.12,-0.81)","0.0002","1.0036",1711,2783,"0.01(0.00,0.01)","0.0002","1.0015",5583,4034,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+UN+DB","popw_mean_rad+Matched_Pair+SM+UN+DB",3,9414,51,3,"0.00","7.24(5.94,8.50)","10.71(9.45,11.99)","12.51(11.23,13.76)","14.44(13.11,15.74)","0.0002","0.0002","0.0002","0.0002","1.0030","1.0033","1.0053","1.0052",2077,1841,1698,1614,2759,2629,2614,2782,"1.15(1.00,1.30)","0.0002","1.0036",1798,2623,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.88(-1.04,-0.73)","0.0002","1.0037",1540,2569,"",NA,"NA",NA,NA,"-1.02(-1.36,-0.67)","0.0002","1.0011",1481,2495
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PD+DB","popw_mean_rad+Matched_Pair+SM+PD+DB",3,9414,51,3,"0.00","7.54(6.24,8.84)","11.16(9.85,12.43)","13.09(11.77,14.39)","14.61(13.14,16.13)","0.0002","0.0002","0.0002","0.0002","1.0028","1.0029","1.0040","1.0023",1555,1524,1338,1190,2302,2664,2409,1985,"1.04(0.89,1.19)","0.0002","1.0042",1409,2186,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0165","1.0007",3059,3760,"-1.33(-1.68,-0.98)","0.0002","1.0051",1287,2062
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+UN","popw_mean_rad+Matched_Pair+PA+OB+UN",3,9414,51,3,"0.00","6.96(5.68,8.23)","9.95(8.70,11.26)","11.00(9.70,12.29)","11.81(10.52,13.12)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0021","1.0029","1.0019",2282,2155,2202,2172,3132,2374,2940,2764,"",NA,"NA",NA,NA,"0.32(0.23,0.41)","0.0002","1.0043",1564,2611,"0.52(0.40,0.64)","0.0002","1.0014",1597,2783,"-0.75(-0.90,-0.60)","0.0002","1.0020",1989,2793,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+PD","popw_mean_rad+Matched_Pair+PA+OB+PD",3,9414,51,3,"0.00","7.17(5.88,8.44)","10.28(8.96,11.57)","11.39(10.04,12.69)","11.75(10.30,13.19)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0022","1.0034","1.0017",2579,2338,2419,2349,3194,3346,2806,3326,"",NA,"NA",NA,NA,"0.36(0.27,0.45)","0.0002","1.0019",1755,2503,"0.43(0.31,0.56)","0.0002","1.0028",1734,2610,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0223","1.0014",5306,3814,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+OB+DB","popw_mean_rad+Matched_Pair+PA+OB+DB",3,9414,51,3,"0.00","7.40(6.10,8.66)","10.79(9.47,12.08)","12.41(11.08,13.73)","14.02(12.60,15.39)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0020","1.0018","1.0014",1876,1676,1618,1497,2557,2583,2767,2484,"",NA,"NA",NA,NA,"0.27(0.17,0.37)","0.0002","1.0081",1038,2135,"0.84(0.65,1.02)","0.0002","1.0014",1484,2357,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.65(-2.19,-1.13)","0.0002","1.0018",1546,2353
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+UN+PD","popw_mean_rad+Matched_Pair+PA+UN+PD",3,9414,51,3,"0.00","7.19(5.90,8.44)","10.18(8.87,11.50)","11.07(9.69,12.44)","11.19(9.76,12.71)","0.0002","0.0002","0.0002","0.0002","1.0051","1.0039","1.0045","1.0044",2015,1845,1797,1736,2986,2317,2563,2641,"",NA,"NA",NA,NA,"0.20(0.10,0.29)","0.0002","1.0023",1565,1666,"",NA,"NA",NA,NA,"-0.61(-0.76,-0.47)","0.0002","1.0024",1532,2474,"-0.00(-0.00,0.00)","0.9321","1.0011",4645,3771,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+UN+DB","popw_mean_rad+Matched_Pair+PA+UN+DB",3,9414,51,3,"0.00","7.08(5.82,8.31)","10.00(8.67,11.26)","10.78(9.51,12.08)","10.79(9.44,12.06)","0.0002","0.0002","0.0002","0.0002","1.0032","1.0011","1.0013","1.0009",2258,2284,2136,2071,2713,2844,2865,2969,"",NA,"NA",NA,NA,"0.26(0.17,0.36)","0.0002","1.0039",1423,2231,"",NA,"NA",NA,NA,"-0.66(-0.82,-0.51)","0.0002","1.0014",1892,2706,"",NA,"NA",NA,NA,"0.52(0.18,0.88)","0.0023","1.0025",1394,2661
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_PA+PD+DB","popw_mean_rad+Matched_Pair+PA+PD+DB",3,9414,51,3,"0.00","7.32(6.07,8.62)","10.44(9.11,11.78)","11.45(10.09,12.78)","11.48(10.01,13.01)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0013","1.0012","1.0008",2270,2190,2084,1996,2788,2616,2845,2378,"",NA,"NA",NA,NA,"0.30(0.20,0.40)","0.0002","1.0049",1284,1760,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.6180","0.9999",4803,4225,"0.20(-0.16,0.54)","0.2668","1.0023",1623,2475
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+UN+PD","popw_mean_rad+Matched_Pair+OB+UN+PD",3,9414,51,3,"0.00","7.13(5.85,8.39)","10.11(8.83,11.40)","11.13(9.86,12.38)","11.63(10.22,13.06)","0.0002","0.0002","0.0002","0.0002","1.0035","1.0042","1.0034","1.0019",1450,1432,1409,1485,3125,2435,2619,2624,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.45(0.33,0.57)","0.0002","1.0050",1215,2044,"-0.81(-0.96,-0.66)","0.0002","1.0047",1118,2187,"0.01(0.00,0.01)","0.0010","1.0006",3782,3730,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+UN+DB","popw_mean_rad+Matched_Pair+OB+UN+DB",3,9414,51,3,"0.00","7.35(6.09,8.59)","10.66(9.39,11.94)","12.25(10.99,13.51)","14.14(12.80,15.47)","0.0002","0.0002","0.0002","0.0002","1.0025","1.0018","1.0021","1.0025",1871,1699,1688,1419,2662,2723,2342,2549,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.89(0.70,1.08)","0.0002","1.0032",1234,1927,"-0.73(-0.87,-0.58)","0.0002","1.0050",1536,2403,"",NA,"NA",NA,NA,"-1.77(-2.30,-1.29)","0.0002","1.0029",1487,2508
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_OB+PD+DB","popw_mean_rad+Matched_Pair+OB+PD+DB",3,9414,51,3,"0.00","7.53(6.27,8.80)","10.97(9.69,12.24)","12.65(11.30,13.97)","14.15(12.67,15.62)","0.0002","0.0002","0.0002","0.0002","1.0034","1.0036","1.0032","1.0028",1552,1429,1474,1366,2888,2582,2373,2383,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.93(0.74,1.11)","0.0002","1.0033",1166,1874,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0003",3186,4184,"-2.14(-2.62,-1.66)","0.0002","1.0020",1553,2226
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_UN+PD+DB","popw_mean_rad+Matched_Pair+UN+PD+DB",3,9414,51,3,"0.00","7.31(6.04,8.56)","10.33(9.06,11.59)","11.24(9.94,12.58)","11.40(9.93,12.90)","0.0002","0.0002","0.0002","0.0002","1.0047","1.0048","1.0032","1.0047",1688,1428,1423,1341,2716,2163,2116,2288,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.70(-0.86,-0.55)","0.0002","1.0019",1292,1709,"0.00(-0.00,0.01)","0.2343","1.0009",2939,3774,"0.15(-0.18,0.48)","0.3743","1.0012",1407,1761
