ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
G20_G30_G12.2_F01_F03,NDD,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"7.78(6.53,9.06)","11.13(9.87,12.39)","12.42(11.18,13.62)","12.97(11.73,14.17)",0.0002,0.0002,0.0002,0.0002,1.0027,1.0021,1.0026,1.0025,1568,1555,1538,1377,3044,2985,3188,2861,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_SM+DB","popw_mean_rad+Matched_Pair+SM+DB",2,9414,51,3,"0.00","7.67(6.43,8.94)","11.42(10.14,12.67)","13.49(12.25,14.74)","15.46(14.16,16.72)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0013","1.0010","1.0014",2323,2152,2139,2046,3123,2776,2862,2882,"1.02(0.87,1.17)","0.0002","1.0015",1614,2714,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.42(-1.78,-1.09)","0.0002","1.0050",1458,2706
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+OB","popw_mean_rad+Matched_Pair+PA+OB",2,9414,51,3,"0.00","7.25(5.99,8.58)","10.45(9.14,11.75)","11.68(10.39,12.98)","12.39(11.09,13.71)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0021","1.0028","1.0018",2160,1875,1719,2014,2860,3012,2828,2557,"",NA,"NA",NA,NA,"0.38(0.29,0.47)","0.0002","1.0023",1776,2355,"0.39(0.28,0.51)","0.0002","1.0030",1450,2464,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+UN","popw_mean_rad+Matched_Pair+PA+UN",2,9414,51,3,"0.00","7.19(5.95,8.44)","10.19(8.92,11.44)","11.06(9.78,12.33)","11.17(9.86,12.48)","0.0002","0.0002","0.0002","0.0002","1.0019","1.0021","1.0027","1.0038",1963,1912,1791,1646,2699,2872,2468,2806,"",NA,"NA",NA,NA,"0.20(0.11,0.29)","0.0002","1.0037",1273,1787,"",NA,"NA",NA,NA,"-0.61(-0.76,-0.46)","0.0002","1.0040",1499,2872,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+PD","popw_mean_rad+Matched_Pair+PA+PD",2,9414,51,3,"0.00","7.39(6.04,8.72)","10.55(9.21,11.93)","11.59(10.23,12.94)","11.68(10.20,13.17)","0.0002","0.0002","0.0002","0.0002","1.0025","1.0033","1.0021","1.0036",2118,1966,1890,1881,3090,3110,2930,2612,"",NA,"NA",NA,NA,"0.27(0.19,0.36)","0.0002","1.0032",1644,2568,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.7763","0.9999",4738,4146,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+DB","popw_mean_rad+Matched_Pair+PA+DB",2,9414,51,3,"0.00","7.35(6.11,8.61)","10.51(9.27,11.78)","11.54(10.27,12.84)","11.66(10.34,12.97)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0007","1.0006","1.0010",2529,2369,2445,2265,3166,3545,3411,3218,"",NA,"NA",NA,NA,"0.30(0.20,0.39)","0.0002","1.0055",1281,2253,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.18(-0.16,0.53)","0.2876","1.0025",1383,2662
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+UN","popw_mean_rad+Matched_Pair+OB+UN",2,9414,51,3,"0.00","7.31(6.06,8.59)","10.46(9.18,11.70)","11.63(10.34,12.88)","12.66(11.40,13.91)","0.0002","0.0002","0.0002","0.0002","1.0017","1.0023","1.0020","1.0025",1529,1438,1206,1230,2415,2385,2181,2234,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.38(0.26,0.50)","0.0002","1.0047",1215,1879,"-0.81(-0.97,-0.66)","0.0002","1.0029",1088,1694,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+PD","popw_mean_rad+Matched_Pair+OB+PD",2,9414,51,3,"0.00","7.55(6.27,8.81)","10.79(9.45,12.08)","12.02(10.69,13.33)","12.44(11.01,13.87)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0029","1.0020","1.0013",1651,1333,1434,1473,2163,2421,1995,2080,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.29(0.17,0.41)","0.0002","1.0047",1262,2112,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0019","1.0010",2785,3510,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+DB","popw_mean_rad+Matched_Pair+OB+DB",2,9414,51,3,"0.00","7.69(6.43,8.92)","11.30(10.06,12.58)","13.17(11.90,14.42)","15.19(13.87,16.51)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0021","1.0027","1.0052",1832,1800,1509,1371,2831,2480,2499,2013,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.86(0.68,1.04)","0.0002","1.0061",1347,2220,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-2.15(-2.64,-1.68)","0.0002","1.0026",1766,2629
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+PD","popw_mean_rad+Matched_Pair+UN+PD",2,9414,51,3,"0.00","7.32(6.06,8.60)","10.37(9.05,11.70)","11.32(10.02,12.65)","11.51(10.07,12.97)","0.0002","0.0002","0.0002","0.0002","1.0045","1.0056","1.0052","1.0054",1469,1377,1356,1398,2455,2531,2500,2527,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.68(-0.83,-0.54)","0.0002","1.0062",1152,2042,"0.00(-0.00,0.01)","0.3522","1.0013",4043,3897,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+DB","popw_mean_rad+Matched_Pair+UN+DB",2,9414,51,3,"0.00","7.39(6.13,8.65)","10.47(9.23,11.73)","11.46(10.22,12.71)","11.84(10.62,13.10)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0019","1.0018","1.0024",1655,1653,1832,1732,2447,2560,2545,2875,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.71(-0.85,-0.55)","0.0002","1.0034",1447,2463,"",NA,"NA",NA,NA,"0.09(-0.23,0.41)","0.6051","1.0028",1469,2344
