ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
I00_I99,CVD,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"14.38(11.23,17.59)","17.94(14.65,21.15)","11.81(8.57,15.02)","3.50(0.27,6.65)",0.0002,0.0002,0.0002,0.0365,1.0017,1.0017,1.0023,1.0013,2169,2475,2456,1926,3085,2984,3353,2906,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_SM+DB","popw_mean_rad+Matched_Pair+SM+DB",2,9414,51,3,"0.00","13.61(10.87,16.43)","19.47(16.64,22.36)","17.95(15.23,20.67)","19.36(16.48,22.20)","0.0002","0.0002","0.0002","0.0002","1.0017","1.0022","1.0009","1.0010",3008,2614,2671,2397,3998,3224,3661,2883,"7.09(6.76,7.42)","0.0002","1.0054",1523,2225,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"9.69(8.93,10.48)","0.0002","1.0019",1961,2999
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+OB","popw_mean_rad+Matched_Pair+PA+OB",2,9414,51,3,"0.00","15.80(12.86,18.76)","21.59(18.56,24.57)","20.22(17.20,23.30)","25.09(22.02,28.14)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0019","1.0008","1.0025",2226,2065,2079,1825,2720,3110,2806,2829,"",NA,"NA",NA,NA,"-0.89(-1.06,-0.74)","0.0002","1.0112",511,1282,"7.07(6.81,7.33)","0.0002","1.0082",764,2033,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+UN","popw_mean_rad+Matched_Pair+PA+UN",2,9414,51,3,"0.00","16.08(13.21,18.96)","22.81(19.95,25.74)","20.60(17.67,23.45)","20.82(17.92,23.84)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0020","1.0013","1.0013",3293,3113,3249,3191,3286,3265,3654,3353,"",NA,"NA",NA,NA,"-6.87(-7.17,-6.58)","0.0002","1.0009",3106,3633,"",NA,"NA",NA,NA,"-2.48(-2.90,-2.09)","0.0002","1.0008",2478,2719,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+PD","popw_mean_rad+Matched_Pair+PA+PD",2,9414,51,3,"0.00","16.56(13.66,19.52)","23.55(20.52,26.60)","21.42(18.40,24.38)","20.48(17.14,23.75)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0015","1.0007","1.0004",3512,3327,3049,3234,3606,3016,3415,3141,"",NA,"NA",NA,NA,"-6.15(-6.43,-5.87)","0.0002","1.0008",2954,3118,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0502","1.0005",4159,3316,"",NA,"NA",NA,NA
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PA+DB","popw_mean_rad+Matched_Pair+PA+DB",2,9414,51,3,"0.00","16.21(13.16,19.24)","21.31(18.27,24.37)","16.67(13.46,19.74)","12.37(9.06,15.67)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0005","1.0027","1.0037",2472,2261,2111,1599,2746,3116,2778,2126,"",NA,"NA",NA,NA,"-2.69(-3.16,-2.20)","0.0002","1.0132",620,1103,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"12.33(11.03,13.62)","0.0002","1.0104",698,1500
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+UN","popw_mean_rad+Matched_Pair+OB+UN",2,9414,51,3,"0.00","13.95(10.95,16.94)","19.10(16.17,22.09)","16.90(13.93,19.97)","20.12(17.15,23.20)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0015","1.0023","1.0026",3164,3150,2806,2440,3301,3659,3205,3152,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"6.85(6.59,7.11)","0.0002","1.0050",1108,2023,"-0.10(-0.46,0.26)","0.5876","1.0018",2226,2996,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+PD","popw_mean_rad+Matched_Pair+OB+PD",2,9414,51,3,"0.00","13.52(10.54,16.42)","18.12(15.17,21.08)","15.23(12.18,18.26)","16.43(13.20,19.73)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0010","1.0005","1.0008",3352,3241,3156,3166,3510,3261,3894,3711,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"6.99(6.74,7.24)","0.0002","1.0055",892,1970,"",NA,"NA",NA,NA,"0.02(0.02,0.03)","0.0002","1.0018",4072,3693,"",NA,"NA",NA,NA
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_OB+DB","popw_mean_rad+Matched_Pair+OB+DB",2,9414,51,3,"0.00","14.76(11.63,17.65)","19.24(16.20,22.27)","15.41(12.49,18.36)","14.80(11.69,17.88)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0025","1.0007","1.0014",2676,2730,2589,2334,3224,3180,3299,3000,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"4.42(4.02,4.82)","0.0002","1.0019",1423,2471,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"8.69(7.48,9.88)","0.0002","1.0016",2196,2943
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+PD","popw_mean_rad+Matched_Pair+UN+PD",2,9414,51,3,"0.00","15.38(12.16,18.64)","20.68(17.38,24.03)","16.61(13.28,19.87)","12.97(9.36,16.64)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0017","1.0021","1.0018",2452,2216,1975,1802,2769,2830,2812,2533,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.51(1.10,1.92)","0.0002","1.0015",1393,2464,"-0.05(-0.06,-0.04)","0.0002","1.0006",3018,2906,"",NA,"NA",NA,NA
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_UN+DB","popw_mean_rad+Matched_Pair+UN+DB",2,9414,51,3,"0.00","16.30(13.27,19.35)","19.72(16.56,22.87)","13.09(9.98,16.25)","5.38(2.34,8.52)","0.0002","0.0002","0.0002","0.0010","1.0008","1.0012","1.0022","1.0029",2507,2194,2085,2040,3264,3148,2939,2970,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.07(-0.32,0.47)","0.7021","1.0097",1140,2151,"",NA,"NA",NA,NA,"18.95(18.14,19.75)","0.0002","1.0032",1347,2495
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_PD+DB","popw_mean_rad+Matched_Pair+PD+DB",2,9414,51,3,"0.00","16.10(13.15,19.06)","19.16(16.18,22.27)","12.05(8.97,15.12)","3.04(-0.21,6.37)","0.0002","0.0002","0.0002","0.0685","1.0007","1.0008","1.0007","1.0002",2975,2884,2778,2768,3368,3524,3223,3408,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0060","0.9999",3765,3591,"19.32(18.50,20.14)","0.0002","1.0064",1004,2198
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+OB","popw_mean_rad+Matched_Pair+SM+PA+OB",3,9414,51,3,"0.00","15.33(12.57,18.09)","22.85(20.03,25.58)","24.54(21.73,27.32)","32.91(30.04,35.65)","0.0002","0.0002","0.0002","0.0002","0.9998","1.0017","1.0024","1.0005",2308,2298,2107,2064,3078,3604,3035,3170,"7.25(6.88,7.63)","0.0002","1.0021",1763,2508,"-1.25(-1.40,-1.10)","0.0002","1.0081",889,1968,"3.09(2.79,3.40)","0.0002","1.0055",1355,1835,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+UN","popw_mean_rad+Matched_Pair+SM+PA+UN",3,9414,51,3,"0.00","15.27(12.43,18.09)","22.68(19.79,25.50)","23.83(21.01,26.69)","30.34(27.41,33.25)","0.0002","0.0002","0.0002","0.0002","1.0032","1.0027","1.0055","1.0018",2335,1936,2062,1960,3200,2655,2833,2560,"9.93(9.59,10.26)","0.0002","1.0076",618,974,"-1.28(-1.54,-1.09)","0.0002","1.0190",230,393,"",NA,"NA",NA,NA,"-1.22(-1.59,-0.85)","0.0002","1.0060",844,1253,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+PD","popw_mean_rad+Matched_Pair+SM+PA+PD",3,9414,51,3,"0.00","15.42(12.59,18.16)","22.66(19.71,25.54)","23.58(20.68,26.45)","28.32(25.15,31.62)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0015","1.0018","1.0029",1784,1820,1742,1738,2664,2793,2915,2897,"9.75(9.45,10.05)","0.0002","1.0019",855,1940,"-1.31(-1.49,-1.14)","0.0002","1.0151",326,594,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.02(0.01,0.03)","0.0002","1.0021",2933,3367,"",NA,"NA",NA,NA
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+PA+DB","popw_mean_rad+Matched_Pair+SM+PA+DB",3,9414,51,3,"0.00","15.33(12.64,18.06)","21.98(19.20,24.68)","21.54(18.69,24.45)","24.87(21.88,27.86)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0009","1.0019","1.0018",1932,1877,1772,1609,2727,3072,2462,2666,"7.62(7.29,7.95)","0.0002","1.0022",1375,1955,"-0.87(-1.02,-0.73)","0.0002","1.0060",853,1693,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"8.82(8.02,9.62)","0.0002","1.0018",1251,2011
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+UN","popw_mean_rad+Matched_Pair+SM+OB+UN",3,9414,51,3,"0.00","12.54(9.67,15.40)","18.76(15.92,21.60)","18.94(16.14,21.81)","25.51(22.67,28.41)","0.0002","0.0002","0.0002","0.0002","1.0017","1.0015","1.0020","1.0040",2351,2086,1978,1594,2834,2515,2915,3073,"7.34(6.97,7.71)","0.0002","1.0012",1756,2744,"",NA,"NA",NA,NA,"3.22(2.93,3.53)","0.0002","1.0025",1240,2450,"-1.64(-1.98,-1.30)","0.0002","1.0030",1666,2418,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","CVD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+3_SM+OB+PD","popw_mean_rad+Matched_Pair+SM+OB+PD",3,9414,51,3,"0.00","12.71(9.92,15.44)","18.84(15.91,21.58)","18.75(15.80,21.60)","23.29(20.19,26.52)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0026","1.0012","1.0016",1791,1742,1713,1550,2790,2729,2730,2805,"7.04(6.65,7.42)","0.0002","1.0098",937,1979,"",NA,"NA",NA,NA,"3.33(2.97,3.68)","0.0002","1.0039",670,1088,"",NA,"NA",NA,NA,"0.02(0.01,0.03)","0.0002","1.0021",1503,2964,"",NA,"NA",NA,NA
