ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+UN+PD","0.00","5.19(3.15,7.29)","11.92(9.45,14.27)","10.38(7.55,13.27)","0.0002","0.0002","0.0002","1.0016","1.0016","1.0008",3388,2645,2917,3684,3281,3784,"4.78(4.55,5.01)","0.0002","1.0008",2588,3002,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.88(-2.14,-1.61)","0.0002","1.0007",2870,3404,"0.00(-0.00,0.01)","0.5484","0.9999",5846,3773,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+UN+DB","0.00","5.50(3.50,7.48)","12.66(10.31,15.10)","12.28(9.12,15.55)","0.0002","0.0002","0.0002","1.0009","1.0006","1.0016",2575,1942,1870,3360,3309,2898,"4.86(4.61,5.10)","0.0002","1.0018",2526,3408,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.85(-2.11,-1.58)","0.0002","1.0005",2114,3065,"",NA,"NA",NA,NA,"-0.72(-1.38,-0.03)","0.0385","1.0010",2264,3327
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+PD+DB","0.00","3.19(1.18,5.39)","8.15(5.70,10.69)","6.44(3.02,9.79)","0.0019","0.0002","0.0002","1.0005","1.0003","1.0003",2600,1950,1798,3296,2556,2677,"4.62(4.38,4.87)","0.0002","1.0017",2484,2881,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(-0.00,0.01)","0.0585","1.0001",5352,3882,"-1.27(-1.94,-0.60)","0.0002","1.0011",2264,2903
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+PA+OB+UN","0.00","10.35(8.11,12.55)","20.62(18.03,23.24)","13.28(9.74,16.80)","0.0002","0.0002","0.0002","1.0010","1.0025","1.0012",2974,2379,2535,3562,3236,3347,"",NA,"NA",NA,NA,"-0.08(-0.21,0.04)","0.1935","1.0017",2612,2806,"2.56(2.34,2.77)","0.0002","1.0010",2416,3440,"-1.31(-1.62,-1.01)","0.0002","1.0013",2349,2910,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+PA+OB+PD","0.00","8.63(6.30,10.92)","17.08(14.49,19.77)","8.62(5.16,12.05)","0.0002","0.0002","0.0002","1.0034","1.0012","1.0012",2912,2270,2034,3265,3226,2885,"",NA,"NA",NA,NA,"-0.12(-0.26,0.02)","0.1002","1.0015",1959,2465,"2.30(2.07,2.54)","0.0002","1.0011",2132,2781,"",NA,"NA",NA,NA,"-0.00(-0.01,0.01)","0.8121","1.0002",4164,3760,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+PA+OB+DB","0.00","9.59(7.28,11.93)","19.63(16.93,22.31)","14.81(10.92,18.67)","0.0002","0.0002","0.0002","1.0017","1.0007","1.0012",4072,3306,2989,3944,3865,3709,"",NA,"NA",NA,NA,"-0.15(-0.27,-0.02)","0.0235","1.0006",2802,3756,"3.06(2.76,3.37)","0.0002","1.0009",3057,3538,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-3.43(-4.45,-2.44)","0.0002","1.0012",2896,3089
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+PA+UN+PD","0.00","11.56(9.33,13.85)","22.76(20.07,25.47)","19.21(15.61,22.89)","0.0002","0.0002","0.0002","1.0025","1.0036","1.0042",2102,1810,1649,2599,2430,2525,"",NA,"NA",NA,NA,"-1.58(-1.90,-1.26)","0.0002","1.0028",1252,2099,"",NA,"NA",NA,NA,"-1.98(-2.31,-1.65)","0.0002","1.0008",2191,2664,"-0.02(-0.03,-0.01)","0.0002","1.0014",3090,3476,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+PA+UN+DB","0.00","10.65(8.26,13.05)","21.03(18.10,23.94)","14.26(10.18,18.38)","0.0002","0.0002","0.0002","1.0033","1.0045","1.0044",2294,1802,1676,2883,2831,2539,"",NA,"NA",NA,NA,"0.22(0.09,0.35)","0.0006","1.0044",1297,2715,"",NA,"NA",NA,NA,"-0.79(-1.11,-0.46)","0.0002","1.0057",1447,2357,"",NA,"NA",NA,NA,"4.64(3.88,5.39)","0.0002","1.0032",1594,2296
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+PA+PD+DB","0.00","10.45(8.10,12.79)","20.91(18.13,23.74)","15.22(11.27,19.14)","0.0002","0.0002","0.0002","0.9999","1.0006","1.0009",2321,1752,1480,3222,2911,2632,"",NA,"NA",NA,NA,"0.36(0.22,0.50)","0.0002","1.0017",1467,2374,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.03(-0.03,-0.02)","0.0002","0.9999",4841,3765,"3.38(2.61,4.14)","0.0002","1.0023",1550,2799
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+OB+UN+PD","0.00","10.66(8.33,12.93)","21.36(18.70,23.92)","14.57(11.09,17.86)","0.0002","0.0002","0.0002","1.0009","1.0016","1.0030",2690,2196,2131,3412,2983,2839,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.45(2.23,2.66)","0.0002","1.0037",1433,2687,"-1.36(-1.66,-1.06)","0.0002","1.0017",1891,2559,"-0.01(-0.01,0.00)","0.0581","1.0001",5011,3878,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+OB+UN+DB","0.00","11.20(8.97,13.44)","23.26(20.63,25.78)","19.79(16.19,23.38)","0.0002","0.0002","0.0002","1.0006","1.0003","1.0007",3512,2907,2795,3718,3674,3408,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.18(2.89,3.47)","0.0002","1.0031",2548,3168,"-1.29(-1.58,-1.00)","0.0002","1.0018",2696,3148,"",NA,"NA",NA,NA,"-3.16(-4.16,-2.18)","0.0002","1.0010",2805,3596
