ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
G20_G30_G12.2_F01_F03,2011_2015,10,SVI,0.00,"1.81(-0.18,3.80)","3.86(1.69,5.99)","-0.98(-3.53,1.57)",0.0760,0.0006,0.4509,1.0008,1.0005,1.0001,2355,2041,1925,3012,2509,3097,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM","0.00","0.62(-1.36,2.61)","1.64(-0.62,3.97)","-3.68(-6.36,-0.90)","0.5497","0.1568","0.0085","1.0027","1.0026","1.0008",3093,2635,2669,3312,3776,3406,"0.56(0.34,0.77)","0.0002","1.0013",2572,3130,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+PA","0.00","1.69(-0.12,3.56)","5.88(3.88,7.93)","3.81(1.33,6.28)","0.0731","0.0002","0.0031","1.0016","1.0030","1.0032",2417,1709,1829,3518,2241,2387,"",NA,"NA",NA,NA,"0.83(0.72,0.95)","0.0002","1.0040",1583,2593,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+OB","0.00","1.54(-0.34,3.55)","3.35(1.14,5.51)","-2.11(-4.81,0.60)","0.1110","0.0023","0.1318","1.0003","1.0015","1.0016",3019,2324,2210,3146,3176,3085,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.19(-0.00,0.37)","0.0510","1.0017",1359,2437,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+UN","0.00","3.75(1.87,5.62)","8.53(6.33,10.66)","5.88(3.22,8.54)","0.0002","0.0002","0.0002","1.0007","1.0019","1.0033",2121,1763,1797,2792,2457,3037,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.81(-2.09,-1.52)","0.0002","1.0194",352,256,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+PD","0.00","1.40(-0.53,3.28)","3.52(1.49,5.56)","-0.76(-3.29,1.64)","0.1439","0.0010","0.5555","1.0017","1.0025","1.0032",2349,2029,1981,3247,3170,3144,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.02(0.02,0.03)","0.0002","1.0035",9681,3780,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+DB","0.00","1.72(-0.22,3.66)","3.68(1.39,5.94)","-1.48(-4.63,1.73)","0.0810","0.0031","0.3718","1.0006","1.0009","1.0011",2466,2137,1804,3225,3151,2669,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.17(-0.48,0.82)","0.6138","1.0023",1291,2058
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+PA","0.00","0.89(-1.14,2.82)","4.30(2.06,6.52)","1.83(-0.98,4.49)","0.3835","0.0002","0.1973","1.0020","1.0016","1.0007",3324,2579,2314,3518,2993,3485,"0.37(0.16,0.59)","0.0010","1.0018",2566,3507,"0.81(0.69,0.93)","0.0002","1.0024",2064,2886,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+OB","0.00","0.64(-1.36,2.63)","1.72(-0.56,4.00)","-3.13(-5.89,-0.32)","0.5243","0.1318","0.0277","1.0030","1.0029","1.0022",2095,1868,1691,3130,2926,2303,"0.69(0.41,0.97)","0.0002","1.0043",1754,2650,"",NA,"NA",NA,NA,"-0.19(-0.43,0.05)","0.1248","1.0042",1160,1652,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+UN","0.00","2.54(0.62,4.50)","5.72(3.38,8.06)","2.28(-0.51,5.18)","0.0090","0.0002","0.1210","1.0018","1.0031","1.0023",2025,1667,1733,3042,2728,2411,"0.83(0.60,1.06)","0.0002","1.0039",908,1853,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.68(-1.94,-1.42)","0.0002","1.0043",1368,2460,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+PD","0.00","-0.77(-2.81,1.26)","-0.47(-2.77,1.90)","-5.42(-8.13,-2.66)","0.4459","0.6917","0.0002","1.0025","1.0034","1.0018",3188,2433,2411,3402,3092,2767,"0.96(0.73,1.18)","0.0002","1.0022",1769,2130,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.03(0.03,0.04)","0.0002","1.0004",5975,3855,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+DB","0.00","0.82(-1.16,2.87)","2.16(-0.12,4.62)","-2.29(-5.50,0.97)","0.4397","0.0656","0.1823","1.0015","1.0015","1.0032",1625,1228,1057,2648,1759,1596,"0.63(0.38,0.86)","0.0002","1.0026",2355,2820,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.52(-1.20,0.17)","0.1443","1.0030",1345,2359
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+PA+OB","0.00","1.85(-0.10,3.83)","6.23(4.00,8.50)","4.60(1.65,7.52)","0.0669","0.0002","0.0027","0.9997","1.0004","1.0013",3099,2530,2456,3459,3432,3252,"",NA,"NA",NA,NA,"0.85(0.73,0.96)","0.0002","1.0024",2687,2781,"-0.10(-0.28,0.08)","0.2664","1.0015",2559,3064,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+PA+UN","0.00","4.28(2.36,6.14)","11.23(9.03,13.38)","11.53(8.81,14.19)","0.0002","0.0002","0.0002","1.0052","1.0047","1.0038",2238,1887,1999,3053,2870,3249,"",NA,"NA",NA,NA,"0.90(0.79,1.02)","0.0002","1.0062",1426,2232,"",NA,"NA",NA,NA,"-1.59(-1.82,-1.36)","0.0002","1.0016",1967,2971,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+PA+PD","0.00","1.48(-0.39,3.44)","5.45(3.37,7.61)","3.40(0.96,6.05)","0.1268","0.0002","0.0052","1.0009","1.0014","1.0009",2633,2369,2121,3365,3204,2880,"",NA,"NA",NA,NA,"0.74(0.62,0.86)","0.0002","1.0007",1988,2789,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0002","1.0017",6085,3625,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+PA+DB","0.00","1.91(-0.10,3.87)","6.42(4.13,8.68)","5.03(1.60,8.38)","0.0644","0.0002","0.0019","1.0001","1.0004","1.0013",2326,1655,1469,3144,2781,2606,"",NA,"NA",NA,NA,"0.84(0.73,0.95)","0.0002","1.0024",1770,2499,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.34(-0.96,0.27)","0.2685","1.0014",1624,2258
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+OB+UN","0.00","3.75(1.80,5.63)","8.29(5.85,10.65)","5.19(1.58,8.81)","0.0002","0.0002","0.0027","1.0040","1.0551","1.1703",1432,80,24,2402,1348,175,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.11(-0.29,0.51)","0.7809","1.2964",16,98,"-1.73(-2.04,-1.40)","0.0002","1.1816",23,164,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+OB+PD","0.00","0.46(-1.50,2.37)","1.71(-0.48,3.89)","-4.35(-7.09,-1.66)","0.6522","0.1239","0.0023","1.0009","1.0030","1.0040",2767,2159,1786,3896,3135,3027,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.57(0.37,0.76)","0.0002","1.0041",1638,2701,"",NA,"NA",NA,NA,"0.03(0.03,0.04)","0.0002","1.0012",5408,3801,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+OB+DB","0.00","1.70(-0.37,3.69)","3.78(1.43,6.08)","-1.12(-4.48,2.28)","0.1048","0.0019","0.5039","1.0012","1.0031","1.0038",3178,2435,2160,3246,3254,2801,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.29(0.02,0.55)","0.0260","1.0015",2212,2646,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.51(-1.41,0.38)","0.2789","1.0018",2153,2806
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+UN+PD","0.00","3.30(1.37,5.14)","7.73(5.51,9.90)","5.15(2.53,7.74)","0.0002","0.0002","0.0002","1.0032","1.0058","1.0063",1462,1190,1238,2281,1927,2289,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.54(-1.85,-1.21)","0.0002","1.0307",190,539,"0.02(0.01,0.02)","0.0002","1.0064",1247,2635,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+UN+DB","0.00","3.98(2.07,5.91)","9.33(6.94,11.63)","7.81(4.27,11.17)","0.0006","0.0002","0.0002","1.0005","1.0014","1.0017",1942,1303,1023,2554,1977,1963,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.82(-2.08,-1.56)","0.0002","1.0022",1612,2215,"",NA,"NA",NA,NA,"-0.63(-1.36,0.13)","0.1119","1.0036",766,1845
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+PD+DB","0.00","0.81(-1.15,2.76)","2.18(-0.05,4.38)","-3.69(-6.81,-0.43)","0.3997","0.0564","0.0265","1.0010","1.0018","1.0031",3511,2420,1845,3586,3419,3046,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.03(0.02,0.03)","0.0002","1.0009",6502,3342,"0.90(0.25,1.57)","0.0073","1.0060",1295,2608
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+PA+OB","0.00","0.89(-1.11,2.88)","4.53(2.24,6.79)","3.59(0.75,6.44)","0.3639","0.0002","0.0140","1.0007","1.0022","1.0019",3038,2376,2221,3225,3417,3215,"0.74(0.46,1.03)","0.0002","1.0018",2829,3105,"0.86(0.74,0.97)","0.0002","1.0030",2306,3068,"-0.50(-0.73,-0.27)","0.0002","1.0020",2722,3110,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+PA+UN","0.00","3.02(1.02,4.91)","8.79(6.49,11.15)","8.61(5.73,11.50)","0.0031","0.0002","0.0002","1.0002","1.0012","1.0013",2796,2381,2206,2905,3347,3127,"0.72(0.50,0.94)","0.0002","1.0056",2449,2644,"0.87(0.75,0.99)","0.0002","1.0024",2038,2895,"",NA,"NA",NA,NA,"-1.77(-2.03,-1.52)","0.0002","1.0005",1890,2555,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+PA+PD","0.00","-0.09(-2.03,1.88)","2.39(0.16,4.65)","-0.38(-3.12,2.37)","0.9371","0.0340","0.7930","1.0009","1.0009","1.0014",3367,2604,2582,3070,3071,3093,"0.67(0.44,0.90)","0.0002","1.0016",2756,3243,"0.66(0.53,0.77)","0.0002","1.0025",2683,2998,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.02(0.01,0.03)","0.0002","1.0000",5105,4056,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+PA+DB","0.00","1.21(-0.78,3.20)","5.23(2.85,7.56)","4.37(1.04,7.64)","0.2281","0.0002","0.0065","1.0004","1.0013","1.0022",3176,2327,2288,3510,2898,3289,"0.50(0.27,0.73)","0.0002","1.0014",2946,2950,"0.83(0.71,0.95)","0.0002","1.0013",2689,2997,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.91(-1.59,-0.26)","0.0098","1.0024",2881,3287
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+OB+UN","0.00","2.62(0.71,4.53)","5.92(3.59,8.26)","2.81(-0.19,6.16)","0.0065","0.0002","0.0652","1.0018","1.0077","1.0158",2046,634,256,2093,1610,230,"0.87(0.58,1.14)","0.0002","1.0008",2112,2334,"",NA,"NA",NA,NA,"-0.11(-0.49,0.16)","0.4918","1.0309",148,95,"-1.70(-2.00,-1.42)","0.0002","1.0214",218,168,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+OB+PD","0.00","-0.77(-2.76,1.15)","-0.50(-2.82,1.80)","-5.77(-8.59,-2.91)","0.4651","0.6688","0.0002","1.0043","1.0051","1.0048",2366,1930,1343,3387,2844,2404,"0.87(0.59,1.13)","0.0002","1.0022",2509,3308,"",NA,"NA",NA,NA,"0.12(-0.11,0.36)","0.3097","1.0045",1508,2436,"",NA,"NA",NA,NA,"0.03(0.03,0.04)","0.0002","1.0000",4153,3663,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+OB+DB","0.00","0.75(-1.20,2.73)","1.99(-0.39,4.39)","-2.52(-5.65,0.75)","0.4734","0.1023","0.1243","1.0006","1.0010","1.0013",3213,2329,2214,3590,3040,3479,"0.69(0.41,0.97)","0.0002","1.0025",2836,3512,"",NA,"NA",NA,NA,"-0.13(-0.44,0.18)","0.4343","1.0019",2205,2736,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.29(-1.17,0.61)","0.5288","1.0012",2533,3276
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+UN+PD","0.00","1.13(-0.73,3.07)","3.42(1.11,5.76)","0.11(-2.60,2.97)","0.2606","0.0027","0.9325","1.0015","1.0015","1.0018",2451,1926,1990,3351,2979,2622,"1.16(0.93,1.39)","0.0002","1.0021",1706,3022,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.48(-1.74,-1.23)","0.0002","1.0023",1676,2859,"0.03(0.02,0.03)","0.0002","1.0002",4608,4260,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+UN+DB","0.00","2.66(0.69,4.64)","6.00(3.56,8.54)","2.96(-0.53,6.66)","0.0090","0.0002","0.0898","1.0035","1.0150","1.0205",1976,609,319,2608,1617,466,"0.84(0.59,1.07)","0.0002","1.0072",974,1311,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.69(-1.97,-1.41)","0.0002","1.0106",572,937,"",NA,"NA",NA,NA,"-0.22(-1.01,0.52)","0.5751","1.0210",306,419
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+SM+PD+DB","0.00","-0.82(-2.77,1.16)","-0.49(-2.88,1.91)","-5.41(-8.64,-2.15)","0.4301","0.6896","0.0015","1.0023","1.0033","1.0031",2284,1768,1699,2794,2421,2597,"0.96(0.72,1.20)","0.0002","1.0011",2388,2969,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.03(0.03,0.04)","0.0002","1.0010",4951,3509,"-0.03(-0.71,0.63)","0.9446","1.0025",1911,3103
"G20_G30_G12.2_F01_F03","2011_2015",10,"SVI+PA+OB+UN","0.00","4.06(2.12,5.96)","10.77(8.49,12.99)","10.51(7.50,13.44)","0.0002","0.0002","0.0002","1.0023","1.0024","1.0018",2645,1875,1940,3061,2851,2804,"",NA,"NA",NA,NA,"0.88(0.77,1.00)","0.0002","1.0015",2202,2631,"0.17(-0.00,0.35)","0.0527","1.0006",2768,3453,"-1.64(-1.89,-1.39)","0.0002","1.0015",2154,2813,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
