ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
X60_X84_Y87.0,2011_2015,10,SVI,0.00,"2.28(1.66,2.90)","3.56(2.88,4.23)","2.80(2.01,3.60)",0.0002,0.0002,0.0002,1.0011,1.0015,1.0015,3424,2971,3078,2865,2620,3266,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"X60_X84_Y87.0","2011_2015",10,"SVI+SM","0.00","1.28(0.65,1.91)","1.63(0.91,2.35)","0.32(-0.54,1.16)","0.0002","0.0002","0.4751","1.0006","1.0004","1.0010",3034,2369,2401,3466,3618,3405,"0.48(0.41,0.56)","0.0002","1.0012",2038,2997,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"SVI+PA","0.00","2.51(1.91,3.12)","4.18(3.48,4.88)","3.97(3.03,4.89)","0.0002","0.0002","0.0002","1.0020","1.0025","1.0029",3316,2425,2072,3511,3358,3282,"",NA,"NA",NA,NA,"0.15(0.09,0.21)","0.0002","1.0037",1812,2600,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"SVI+OB","0.00","2.42(1.82,3.03)","3.90(3.22,4.59)","3.60(2.72,4.50)","0.0002","0.0002","0.0002","1.0019","1.0043","1.0037",2069,1735,1696,2807,2822,2535,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.13(-0.19,-0.06)","0.0002","1.0039",1894,2371,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"SVI+UN","0.00","2.87(2.25,3.50)","4.77(4.06,5.49)","4.63(3.79,5.48)","0.0002","0.0002","0.0002","1.0006","1.0034","1.0025",2090,1786,1849,3085,2796,2882,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.38(-0.46,-0.30)","0.0002","1.0035",1560,2220,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"SVI+PD","0.00","2.28(1.66,2.89)","3.55(2.88,4.21)","2.80(2.02,3.57)","0.0002","0.0002","0.0002","1.0006","1.0016","1.0008",2927,2689,2660,3527,3134,3222,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.5993","1.0013",5180,4151,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"SVI+DB","0.00","2.72(2.09,3.34)","4.59(3.87,5.31)","5.11(4.04,6.18)","0.0002","0.0002","0.0002","1.0002","1.0006","1.0019",3334,2470,1931,3266,3097,2755,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.71(-0.92,-0.50)","0.0002","1.0041",1823,2491
"X60_X84_Y87.0","2011_2015",10,"SVI+SM+PA","0.00","1.46(0.86,2.09)","2.48(1.76,3.21)","2.47(1.56,3.40)","0.0002","0.0002","0.0002","1.0032","1.0036","1.0034",2328,1821,1657,2985,2636,2363,"0.69(0.61,0.76)","0.0002","1.0027",2062,2957,"0.39(0.33,0.46)","0.0002","1.0043",1652,2307,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"SVI+SM+OB","0.00","1.20(0.59,1.81)","1.76(1.07,2.47)","2.15(1.26,3.04)","0.0006","0.0002","0.0002","1.0004","1.0010","1.0016",2913,2313,2390,3042,3284,3084,"0.83(0.75,0.91)","0.0002","1.0007",2811,2914,"",NA,"NA",NA,NA,"-0.54(-0.62,-0.47)","0.0002","1.0046",2541,3125,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"SVI+SM+UN","0.00","1.92(1.30,2.55)","2.94(2.22,3.68)","2.31(1.41,3.22)","0.0002","0.0002","0.0002","1.0014","1.0012","1.0006",2454,1994,2076,3055,2492,3011,"0.54(0.47,0.60)","0.0002","1.0014",1896,2967,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.47(-0.55,-0.40)","0.0002","1.0014",1924,3095,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"SVI+SM+PD","0.00","0.93(0.30,1.57)","1.06(0.34,1.79)","-0.20(-1.08,0.66)","0.0060","0.0065","0.6547","1.0018","1.0034","1.0035",2595,1981,1990,3264,2786,2934,"0.60(0.51,0.68)","0.0002","1.0035",1682,2567,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0007",3915,3369,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"SVI+SM+DB","0.00","1.81(1.19,2.44)","3.00(2.25,3.75)","3.91(2.86,4.97)","0.0002","0.0002","0.0002","1.0010","1.0012","1.0036",2422,1722,1521,3106,2655,2518,"0.59(0.51,0.67)","0.0002","1.0004",2391,3073,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.20(-1.43,-0.97)","0.0002","1.0061",1691,2526
"X60_X84_Y87.0","2011_2015",10,"SVI+PA+OB","0.00","2.54(1.92,3.15)","4.24(3.53,4.94)","4.15(3.24,5.06)","0.0002","0.0002","0.0002","1.0012","1.0014","1.0013",2855,2401,2432,3682,3279,3189,"",NA,"NA",NA,NA,"0.12(0.06,0.19)","0.0006","1.0017",2167,2513,"-0.06(-0.14,0.01)","0.0948","1.0017",2543,3344,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"SVI+PA+UN","0.00","2.98(2.35,3.59)","5.08(4.35,5.81)","5.25(4.28,6.21)","0.0002","0.0002","0.0002","1.0008","1.0011","1.0013",2615,1974,1870,3370,3015,2629,"",NA,"NA",NA,NA,"0.09(0.03,0.15)","0.0015","1.0023",1767,2729,"",NA,"NA",NA,NA,"-0.35(-0.43,-0.27)","0.0002","1.0021",1828,3109,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"SVI+PA+PD","0.00","2.59(1.98,3.22)","4.33(3.62,5.06)","4.18(3.28,5.12)","0.0002","0.0002","0.0002","1.0018","1.0033","1.0020",2559,1908,1670,3019,2904,2735,"",NA,"NA",NA,NA,"0.18(0.11,0.24)","0.0002","1.0022",1543,2539,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.00(-0.00,0.00)","0.0614","1.0015",3393,3599,"",NA,"NA",NA,NA
