ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
K70_K76_C22,2011_2015,10,SVI,0.00,"3.58(2.89,4.29)","7.31(6.52,8.08)","10.71(9.79,11.63)",0.0002,0.0002,0.0002,1.0004,1.0010,1.0013,2956,2857,3216,3759,3246,3628,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"K70_K76_C22","2011_2015",10,"SVI+SM","0.00","2.47(1.72,3.20)","5.14(4.27,5.97)","8.01(6.99,9.00)","0.0002","0.0002","0.0002","1.0001","1.0010","1.0012",3987,3233,3079,3831,3916,3568,"0.54(0.46,0.63)","0.0002","1.0011",3230,3626,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"SVI+PA","0.00","3.51(2.79,4.22)","7.15(6.32,7.95)","10.43(9.37,11.47)","0.0002","0.0002","0.0002","1.0005","1.0014","1.0010",3304,2596,2264,3628,3499,3204,"",NA,"NA",NA,NA,"-0.04(-0.10,0.03)","0.2702","1.0014",1977,2356,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"SVI+OB","0.00","3.35(2.61,4.09)","6.78(5.98,7.58)","9.57(8.49,10.59)","0.0002","0.0002","0.0002","1.0019","1.0022","1.0012",2471,2018,1826,2680,2738,2875,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.17(0.10,0.25)","0.0002","1.0022",1794,2475,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"SVI+UN","0.00","3.84(3.10,4.59)","7.86(7.03,8.68)","11.54(10.53,12.55)","0.0002","0.0002","0.0002","1.0018","1.0019","1.0020",2790,2321,2384,2945,2859,3154,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.16(-0.26,-0.07)","0.0010","1.0050",1762,2192,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"SVI+PD","0.00","3.55(2.83,4.28)","7.29(6.52,8.09)","10.73(9.80,11.65)","0.0002","0.0002","0.0002","0.9999","1.0003","1.0009",3405,3243,2997,3550,3359,3319,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.3955","1.0011",5003,3980,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"SVI+DB","0.00","2.88(2.17,3.61)","5.66(4.79,6.48)","7.09(5.81,8.32)","0.0002","0.0002","0.0002","0.9996","1.0012","1.0016",3724,2699,2149,3818,3405,2948,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.04(0.79,1.29)","0.0002","1.0028",1800,2789
"K70_K76_C22","2011_2015",10,"SVI+SM+PA","0.00","2.55(1.83,3.26)","5.49(4.67,6.31)","8.83(7.76,9.91)","0.0002","0.0002","0.0002","1.0008","1.0027","1.0019",2799,2230,2030,3334,3010,3015,"0.60(0.51,0.69)","0.0002","1.0005",2596,3055,"0.15(0.07,0.22)","0.0002","1.0014",2062,2820,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"SVI+SM+OB","0.00","2.46(1.74,3.18)","5.20(4.39,6.02)","8.51(7.43,9.56)","0.0002","0.0002","0.0002","1.0000","1.0005","1.0004",3500,2672,2562,3926,3467,3283,"0.63(0.53,0.73)","0.0002","1.0013",3679,3509,"",NA,"NA",NA,NA,"-0.15(-0.23,-0.05)","0.0023","1.0015",3179,3454,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"SVI+SM+UN","0.00","2.85(2.13,3.58)","5.97(5.12,6.82)","9.22(8.17,10.28)","0.0002","0.0002","0.0002","1.0013","1.0031","1.0028",2558,1968,1974,3325,2930,2930,"0.59(0.50,0.67)","0.0002","1.0026",2141,3011,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.30(-0.39,-0.20)","0.0002","1.0021",2165,2531,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"SVI+SM+PD","0.00","2.09(1.36,2.83)","4.54(3.67,5.36)","7.47(6.45,8.48)","0.0002","0.0002","0.0002","1.0024","1.0019","1.0028",2839,2307,2252,3512,3368,3190,"0.66(0.57,0.75)","0.0002","1.0054",2070,2987,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0009",4304,3468,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"SVI+SM+DB","0.00","2.13(1.40,2.84)","4.31(3.40,5.20)","5.95(4.65,7.24)","0.0002","0.0002","0.0002","1.0010","1.0010","1.0015",2471,1862,1613,3018,2768,2735,"0.48(0.39,0.56)","0.0002","1.0000",2742,3438,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.67(0.41,0.92)","0.0002","1.0031",2035,2646
"K70_K76_C22","2011_2015",10,"SVI+PA+OB","0.00","3.39(2.65,4.13)","6.90(6.05,7.74)","9.75(8.60,10.85)","0.0002","0.0002","0.0002","1.0001","1.0012","1.0004",3606,2891,2834,3382,3440,3335,"",NA,"NA",NA,NA,"0.04(-0.04,0.11)","0.3172","1.0015",2595,3466,"0.19(0.11,0.27)","0.0002","1.0002",2959,3321,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"SVI+PA+UN","0.00","3.79(3.05,4.49)","7.68(6.80,8.53)","11.16(10.06,12.27)","0.0002","0.0002","0.0002","1.0014","1.0028","1.0034",2306,1997,1883,3033,2848,2912,"",NA,"NA",NA,NA,"-0.06(-0.13,0.01)","0.0769","1.0038",1636,2212,"",NA,"NA",NA,NA,"-0.18(-0.27,-0.09)","0.0002","1.0040",1936,2647,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
