ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
N00_N29_C64_C65,2011_2015,10,SVI,0.00,"2.24(1.65,2.83)","4.40(3.75,5.06)","7.98(7.19,8.78)",0.0002,0.0002,0.0002,1.0020,1.0023,1.0025,1904,1723,1779,2825,2745,2790,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"N00_N29_C64_C65","2011_2015",10,"SVI+SM","0.00","1.43(0.79,2.06)","2.83(2.11,3.54)","5.93(5.05,6.79)","0.0002","0.0002","0.0002","1.0028","1.0029","1.0026",2374,1874,1760,3186,2844,2357,"0.39(0.32,0.46)","0.0002","1.0028",2187,3233,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"SVI+PA","0.00","1.92(1.30,2.55)","3.56(2.85,4.28)","6.36(5.41,7.29)","0.0002","0.0002","0.0002","1.0002","1.0009","1.0018",2479,1732,1599,3786,2495,2426,"",NA,"NA",NA,NA,"-0.20(-0.26,-0.14)","0.0002","1.0019",1769,2614,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"SVI+OB","0.00","1.80(1.18,2.40)","3.37(2.67,4.07)","5.60(4.63,6.54)","0.0002","0.0002","0.0002","1.0014","1.0024","1.0022",1849,1409,1358,2629,2389,2140,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.35(0.29,0.41)","0.0002","1.0051",1441,2269,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"SVI+UN","0.00","2.77(2.16,3.41)","5.49(4.81,6.18)","9.62(8.76,10.48)","0.0002","0.0002","0.0002","1.0015","1.0020","1.0025",2231,1798,1902,2931,2130,2552,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.33(-0.41,-0.25)","0.0002","1.0008",1661,2447,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"SVI+PD","0.00","2.30(1.67,2.89)","4.47(3.81,5.12)","7.94(7.16,8.74)","0.0002","0.0002","0.0002","1.0008","1.0005","1.0002",2090,1898,1874,2909,3107,2779,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.00(-0.00,-0.00)","0.0002","1.0004",4829,3486,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"SVI+DB","0.00","1.54(0.94,2.16)","2.74(2.01,3.48)","4.17(3.09,5.27)","0.0002","0.0002","0.0002","1.0008","1.0027","1.0038",2500,1765,1468,3301,2925,2564,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.10(0.88,1.31)","0.0002","1.0040",1422,2521
"N00_N29_C64_C65","2011_2015",10,"SVI+SM+PA","0.00","1.37(0.76,1.99)","2.63(1.90,3.36)","5.47(4.49,6.38)","0.0006","0.0002","0.0002","1.0022","1.0028","1.0020",1955,1574,1562,3191,2696,2443,"0.35(0.28,0.43)","0.0002","1.0023",2021,3049,"-0.08(-0.14,-0.01)","0.0219","1.0017",1654,2381,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"SVI+SM+OB","0.00","1.44(0.84,2.06)","2.73(2.02,3.44)","5.14(4.22,6.06)","0.0002","0.0002","0.0002","1.0038","1.0028","1.0022",1832,1679,1585,2869,2492,1994,"0.26(0.17,0.34)","0.0002","1.0041",1829,2753,"",NA,"NA",NA,NA,"0.22(0.14,0.29)","0.0002","1.0062",1542,2128,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"SVI+SM+UN","0.00","1.98(1.36,2.62)","3.94(3.24,4.67)","7.66(6.73,8.60)","0.0002","0.0002","0.0002","1.0058","1.0068","1.0062",2313,1879,1901,2948,2646,2966,"0.44(0.37,0.51)","0.0002","1.0013",2745,3376,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.40(-0.48,-0.33)","0.0002","1.0025",1884,3072,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"SVI+SM+PD","0.00","1.42(0.79,2.04)","2.81(2.06,3.56)","5.91(4.99,6.79)","0.0002","0.0002","0.0002","1.0020","1.0028","1.0035",1883,1535,1477,2917,2388,2470,"0.39(0.32,0.47)","0.0002","1.0044",1674,2515,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.9758","1.0028",3710,3478,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"SVI+SM+DB","0.00","1.06(0.42,1.68)","1.88(1.11,2.63)","3.46(2.38,4.55)","0.0015","0.0002","0.0002","1.0002","1.0010","1.0020",1866,1350,1311,2745,2245,2247,"0.32(0.24,0.39)","0.0002","1.0013",1991,3038,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.81(0.59,1.04)","0.0002","1.0029",1534,2547
"N00_N29_C64_C65","2011_2015",10,"SVI+PA+OB","0.00","1.75(1.14,2.36)","3.22(2.52,3.91)","5.36(4.42,6.33)","0.0002","0.0002","0.0002","1.0008","1.0010","1.0029",2078,1743,1809,3273,2731,2715,"",NA,"NA",NA,NA,"-0.05(-0.12,0.02)","0.1373","1.0034",1412,2383,"0.32(0.25,0.39)","0.0002","1.0008",1747,2658,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
