ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"C00_C97","2011_2015",10,"SVI+PA+OB","0.00","10.25(7.61,12.92)","21.37(18.44,24.36)","23.48(19.64,27.47)","0.0002","0.0002","0.0002","1.0036","1.0047","1.0035",2425,2033,1756,2670,2385,2538,"",NA,"NA",NA,NA,"0.70(0.55,0.84)","0.0002","1.0017",1885,2639,"2.30(2.06,2.55)","0.0002","1.0014",1770,1884,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+PA+UN","0.00","13.25(10.62,15.76)","27.45(24.35,30.50)","35.36(31.24,39.38)","0.0002","0.0002","0.0002","1.0027","1.0035","1.0046",1974,1612,1451,2567,2025,1986,"",NA,"NA",NA,NA,"-0.71(-1.08,-0.32)","0.0006","1.0181",505,1129,"",NA,"NA",NA,NA,"-2.16(-2.56,-1.73)","0.0002","1.0072",1383,2411,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+PA+PD","0.00","13.62(10.90,16.30)","29.73(26.84,32.71)","40.99(37.50,44.56)","0.0002","0.0002","0.0002","1.0010","1.0016","1.0028",2904,2084,1745,3313,3288,2667,"",NA,"NA",NA,NA,"1.32(1.15,1.47)","0.0002","1.0096",581,1174,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.02(-0.03,-0.01)","0.0002","1.0004",6208,3742,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+PA+DB","0.00","9.92(7.19,12.60)","19.75(16.66,22.82)","18.71(14.19,23.27)","0.0002","0.0002","0.0002","1.0017","1.0009","1.0015",2568,1930,1653,2678,2900,2320,"",NA,"NA",NA,NA,"0.94(0.81,1.08)","0.0002","1.0058",1505,2723,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"6.57(5.74,7.44)","0.0002","1.0025",1554,2629
"C00_C97","2011_2015",10,"SVI+OB+UN","0.00","12.52(9.85,15.24)","23.52(20.45,26.57)","22.94(19.07,26.66)","0.0002","0.0002","0.0002","1.0005","1.0005","1.0012",2977,2493,2327,3397,3546,3489,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.18(2.93,3.43)","0.0002","1.0087",1071,1634,"-1.80(-2.14,-1.45)","0.0002","1.0023",2116,2935,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+OB+PD","0.00","9.26(6.52,11.96)","17.50(14.55,20.38)","15.44(11.75,19.20)","0.0002","0.0002","0.0002","0.9997","1.0002","1.0002",3099,2227,1805,3593,3018,2526,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.11(2.87,3.35)","0.0002","1.0015",1209,2120,"",NA,"NA",NA,NA,"0.03(0.03,0.04)","0.0002","1.0004",4699,3839,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+OB+DB","0.00","10.02(7.32,12.75)","17.99(14.93,21.09)","14.68(10.31,18.99)","0.0002","0.0002","0.0002","1.0019","1.0011","1.0016",2688,2015,1827,3183,2710,2265,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.48(2.13,2.83)","0.0002","1.0024",1910,2843,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.48(0.24,2.72)","0.0198","1.0027",1893,2750
"C00_C97","2011_2015",10,"SVI+UN+PD","0.00","14.05(11.42,16.70)","29.76(26.88,32.71)","39.41(35.81,42.88)","0.0002","0.0002","0.0002","1.0030","1.0033","1.0015",2060,1830,1899,2870,2746,2586,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.95(-2.33,-1.58)","0.0002","1.0021",1699,2612,"-0.02(-0.02,-0.01)","0.0010","1.0018",3570,3110,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+UN+DB","0.00","12.03(9.36,14.66)","23.24(20.17,26.45)","23.33(18.79,27.97)","0.0002","0.0002","0.0002","1.0014","1.0024","1.0033",1751,1377,1203,2445,2425,1837,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.96(-2.35,-1.58)","0.0002","1.0025",1329,1975,"",NA,"NA",NA,NA,"5.71(4.71,6.72)","0.0002","1.0027",1017,1662
"C00_C97","2011_2015",10,"SVI+PD+DB","0.00","9.81(7.07,12.50)","17.37(14.13,20.67)","13.68(7.84,19.05)","0.0002","0.0002","0.0002","1.0026","1.0094","1.0263",2262,619,215,2749,1204,284,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0123","1.0190",289,669,"6.63(5.12,8.52)","0.0002","1.0405",129,136
