COUNTY_FIPS,Cluster_EQI
12127,B
12129,B
12131,B
12133,B
13001,A
13003,A
13005,A
13007,A
13009,B
13011,A
13013,C
13015,C
13017,A
13019,A
13021,C
13023,A
13025,A
13027,A
13029,C
13031,C
13033,A
13035,B
13037,A
13039,C
13043,A
13045,C
13047,C
13049,A
13051,C
13053,A
13055,A
13057,C
13059,B
13061,A
13063,B
13065,A
13067,C
13069,A
13071,A
13073,C
13075,A
13077,C
13079,B
13081,C
13083,C
13085,B
13087,B
13089,C
13091,A
13093,A
13095,B
13097,C
13099,B
13101,A
13103,A
13105,B
13107,A
13109,A
13111,B
13113,C
13115,C
13117,C
13119,B
13121,C
13123,A
13125,A
13127,B
13129,C
13131,A
13133,C
13135,C
13137,C
13139,C
13141,A
13143,B
13145,C
13147,B
13149,A
13151,C
13153,C
13155,A
13157,C
13159,A
13161,A
13163,A
13165,A
13167,A
13169,B
13171,B
13173,A
13175,B
13177,B
13179,A
13181,A
13183,A
13185,C
13187,B
13189,B
13191,A
13193,A
13195,A
13197,A
13199,A
13201,A
13205,A
13207,C
13209,A
13211,C
13213,A
13215,B
13217,C
13219,C
13221,A
13223,B
13225,B
13227,B
13229,A
13231,A
13233,B
13235,B
13237,C
13239,A
13241,B
13243,A
13245,C
13247,C
13249,A
13251,A
13253,A
13255,B
13257,B
13259,A
13261,B
13263,A
13265,A
13267,A
13269,A
13271,A
13273,B
13275,B
13277,B
13279,A
13281,B
13283,A
13285,B
13287,A
13289,A
13291,A
13293,B
13295,B
13297,C
13299,B
13301,A
13303,A
13305,B
13307,A
13309,A
13311,C
13313,C
13315,A
13317,B
13319,A
13321,A
15001,A
15003,B
15005,A
15007,A
15009,A
16001,C
16003,A
16005,C
16007,A
16009,A
16011,C
16013,C
16015,A
16017,C
16019,C
16021,C
16023,A
16025,A
16027,C
16029,C
16031,C
16033,A
16035,B
16037,A
16039,C
16041,B
16043,A
16045,B
16047,A
16049,A
16051,C
16053,C
16055,C
16057,C
16059,B
16061,B
16063,A
16065,C
16067,C
16069,C
16071,B
16073,A
16075,C
16077,A
16079,A
16081,B
16083,C
16085,C
16087,C
17001,C
17003,A
17005,B
17007,C
17009,B
17011,C
17013,A
17015,C
17017,C
17019,C
17021,C
17023,C
17025,A
17027,C
17029,C
17031,C
17033,C
17035,A
17037,C
17039,C
17041,C
17043,C
17045,C
17047,A
17049,C
17051,C
17053,C
17055,B
17057,C
17059,A
17061,C
17063,C
17065,B
17067,C
17069,A
17071,C
17073,C
17075,C
17077,C
17079,B
17081,B
17083,C
17085,C
17087,A
17089,C
17091,C
17093,C
17095,C
17097,C
17099,C
17101,C
17103,C
17105,C
17107,C
17109,C
17111,C
17113,C
17115,C
17117,C
17119,C
17121,C
17123,C
17125,C
17127,C
17129,C
17131,C
17133,B
17135,C
17137,C
17139,C
17141,C
17143,C
17145,B
17147,C
17149,C
17151,A
17153,A
17155,C
17157,C
17159,C
17161,C
17163,B
17165,B
17167,C
17169,C
17171,C
17173,C
17175,C
17177,C
17179,C
17181,C
17183,C
17185,C
17187,C
17189,B
17191,C
17193,B
17195,C
17197,C
17199,C
17201,C
17203,C
18001,C
18003,C
18005,C
18007,C
18009,C
18011,C
18013,C
18015,C
18017,C
18019,C
18021,C
18023,C
18025,A
18027,C
18029,C
18031,C
18033,B
18035,C
18037,C
18039,C
18041,C
18043,C
18045,C
18047,C
18049,C
18051,C
18053,C
18055,C
18057,C
18059,C
18061,C
18063,C
18065,C
18067,C
18069,C
18071,C
18073,C
18075,C
18077,C
18079,C
18081,C
18083,C
18085,C
18087,C
18089,C
18091,C
18093,C
18095,C
18097,C
18099,C
18101,A
18103,C
18105,C
18107,C
18109,C
18111,C
18113,C
18115,C
18117,C
18119,A
18121,C
18123,C
18125,C
18127,C
18129,C
18131,C
18133,C
18135,C
18137,C
18139,C
18141,B
18143,C
18145,C
18147,C
18149,C
18151,C
18153,C
18155,A
18157,C
18159,C
18161,C
18163,C
18165,C
18167,C
18169,C
18171,A
18173,C
18175,C
18177,C
18179,C
18181,C
18183,C
19001,B
19003,B
19005,C
19007,B
19009,B
19011,C
19013,C
19015,B
19017,C
19019,B
19021,B
19023,B
19025,B
19027,C
19029,C
19031,C
19033,B
19035,C
19037,C
19039,B
19041,B
19043,C
19045,C
19047,C
19049,C
19051,B
19053,B
19055,C
19057,B
19059,C
19061,C
19063,C
19065,C
19067,C
19069,C
19071,C
19073,B
19075,C
19077,B
19079,C
19081,B
19083,C
19085,C
19087,C
19089,C
19091,C
19093,B
19095,C
19097,C
19099,B
19101,B
19103,C
19105,C
19107,C
19109,C
19111,C
19113,C
19115,C
19117,B
19119,B
19121,B
19123,C
19125,C
19127,C
19129,B
19131,B
19133,C
19135,B
19137,B
19139,C
19141,B
19143,B
19145,B
19147,B
19149,C
19151,C
19153,C
19155,C
19157,B
19159,B
19161,B
19163,C
19165,C
19167,B
19169,C
19171,B
19173,B
19175,B
