Method,k,Silhouette_Score
K-means,3,0.223940008309927
K-means,4,0.21265191757154026
K-means,5,0.2217685964119616
K-means,6,0.22617913065214182
K-means,7,0.22462033178721275
K-means,8,0.22244364893259047
K-means,9,0.20895583233825937
K-means,10,0.20135734674025366
Agglomerative,3,0.19617722449664354
Agglomerative,4,0.1560100093801362
Agglomerative,5,0.1731130547325711
Agglomerative,6,0.17871784732616472
Agglomerative,7,0.17904777448563888
Agglomerative,8,0.18557432357876785
Agglomerative,9,0.1788573791999427
Agglomerative,10,0.18206645796319826
Birch,3,0.1930836570505931
Birch,4,0.17401872868530271
Birch,5,0.1615241265727485
Birch,6,0.15348121975208795
Birch,7,0.1393375048396395
Birch,8,0.1314608290900346
Birch,9,0.1318718070853121
Birch,10,0.10577313387832551
