Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C56,Ovary Cancer,Ovarian,EQI Quintile,National,72743,1518958033,4.5134,0.0168,4.4806,4.5463,4.51 ± 0.02
2006-2010,C56,Ovary Cancer,Ovarian,EQI Quintile,Q1 (best),2451,54149792,3.9899,0.0811,3.8335,4.1511,3.99 ± 0.08
2006-2010,C56,Ovary Cancer,Ovarian,EQI Quintile,Q2,4777,96778284,4.0468,0.059,3.9329,4.1632,4.05 ± 0.06
2006-2010,C56,Ovary Cancer,Ovarian,EQI Quintile,Q3,8921,180414358,4.3528,0.0463,4.2629,4.4441,4.35 ± 0.05
2006-2010,C56,Ovary Cancer,Ovarian,EQI Quintile,Q4,13194,260777432,4.5906,0.0402,4.5126,4.6696,4.59 ± 0.04
2006-2010,C56,Ovary Cancer,Ovarian,EQI Quintile,Q5 (worst),43400,926838167,4.6254,0.0224,4.582,4.6691,4.63 ± 0.02
2006-2010,C61,Prostate Cancer,Prostate,EQI Quintile,National,142530,1518958033,9.0287,0.024,8.9818,9.0756,9.03 ± 0.02
2006-2010,C61,Prostate Cancer,Prostate,EQI Quintile,Q1 (best),5837,54149792,9.745,0.128,9.4966,9.9983,9.75 ± 0.13
2006-2010,C61,Prostate Cancer,Prostate,EQI Quintile,Q2,10792,96778284,9.133,0.0881,8.9615,9.3069,9.13 ± 0.09
2006-2010,C61,Prostate Cancer,Prostate,EQI Quintile,Q3,18988,180414358,9.3435,0.0679,9.2111,9.4774,9.34 ± 0.07
2006-2010,C61,Prostate Cancer,Prostate,EQI Quintile,Q4,26389,260777432,9.2475,0.0571,9.1362,9.3597,9.25 ± 0.06
2006-2010,C61,Prostate Cancer,Prostate,EQI Quintile,Q5 (worst),80524,926838167,8.8326,0.0313,8.7717,8.8938,8.83 ± 0.03
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,EQI Quintile,National,64034,1518958033,3.9703,0.0158,3.9396,4.0012,3.97 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,EQI Quintile,Q1 (best),2450,54149792,3.9717,0.0808,3.816,4.1321,3.97 ± 0.08
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,EQI Quintile,Q2,4966,96778284,4.1811,0.0597,4.0656,4.299,4.18 ± 0.06
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,EQI Quintile,Q3,8737,180414358,4.2402,0.0456,4.1517,4.33,4.24 ± 0.05
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,EQI Quintile,Q4,12122,260777432,4.2025,0.0384,4.128,4.278,4.20 ± 0.04
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,EQI Quintile,Q5 (worst),35759,926838167,3.8221,0.0204,3.7826,3.862,3.82 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,EQI Quintile,National,101990,1518958033,6.4321,0.0202,6.3927,6.4717,6.43 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,EQI Quintile,Q1 (best),3560,54149792,5.8832,0.0992,5.6915,6.0797,5.88 ± 0.10
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,EQI Quintile,Q2,7389,96778284,6.3049,0.0738,6.162,6.4504,6.30 ± 0.07
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,EQI Quintile,Q3,13260,180414358,6.5454,0.0571,6.4345,6.6578,6.55 ± 0.06
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,EQI Quintile,Q4,18668,260777432,6.5635,0.0483,6.4696,6.6583,6.56 ± 0.05
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,EQI Quintile,Q5 (worst),59113,926838167,6.4265,0.0266,6.3748,6.4785,6.43 ± 0.03
2006-2010,C91_C95,Leukemia,Leukemia,EQI Quintile,National,110573,1518958033,7.0051,0.0212,6.9639,7.0466,7.01 ± 0.02
2006-2010,C91_C95,Leukemia,Leukemia,EQI Quintile,Q1 (best),3997,54149792,6.6731,0.1062,6.4678,6.8833,6.67 ± 0.11
2006-2010,C91_C95,Leukemia,Leukemia,EQI Quintile,Q2,7903,96778284,6.8072,0.0772,6.6579,6.9589,6.81 ± 0.08
2006-2010,C91_C95,Leukemia,Leukemia,EQI Quintile,Q3,14144,180414358,7.03,0.0594,6.9146,7.1468,7.03 ± 0.06
2006-2010,C91_C95,Leukemia,Leukemia,EQI Quintile,Q4,20041,260777432,7.093,0.0504,6.9951,7.1918,7.09 ± 0.05
2006-2010,C91_C95,Leukemia,Leukemia,EQI Quintile,Q5 (worst),64488,926838167,7.0269,0.0278,6.9728,7.0814,7.03 ± 0.03
