Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
Liver cancer,"7,343 (0.06‰)",5.06 ± 0.06,"9,443 (0.08‰)",6.01 ± 0.06,"11,164 (0.10‰)",6.60 ± 0.06,"9,750 (0.11‰)",8.59 ± 0.09
Alcoholic,"5,899 (0.05‰)",4.43 ± 0.06,"7,279 (0.06‰)",5.31 ± 0.06,"9,953 (0.09‰)",7.29 ± 0.08,"10,408 (0.12‰)",12.45 ± 0.13
Non-alcoholic,"2,180 (0.02‰)",1.58 ± 0.03,"3,198 (0.03‰)",2.12 ± 0.04,"3,831 (0.03‰)",2.44 ± 0.04,"3,685 (0.04‰)",3.48 ± 0.06
HRS,244 (0.00‰),0.18 ± 0.01,286 (0.00‰),0.19 ± 0.01,265 (0.00‰),0.18 ± 0.01,226 (0.00‰),0.23 ± 0.02
RUCC (Thinly populated),,,,,,,,
CLD,"5,131 (0.22‰)",16.14 ± 0.23,"6,337 (0.27‰)",18.89 ± 0.25,"7,825 (0.33‰)",22.68 ± 0.27,"7,624 (0.43‰)",35.37 ± 0.44
Non-cancer CLD,"3,595 (0.15‰)",11.53 ± 0.20,"4,437 (0.19‰)",13.59 ± 0.21,"5,494 (0.23‰)",16.65 ± 0.24,"5,551 (0.31‰)",27.28 ± 0.40
Liver cancer,"1,536 (0.06‰)",4.61 ± 0.12,"1,900 (0.08‰)",5.31 ± 0.12,"2,331 (0.10‰)",6.02 ± 0.13,"2,073 (0.12‰)",8.10 ± 0.20
Toxic & chronic,"1,446 (0.06‰)",4.49 ± 0.12,"1,823 (0.08‰)",5.41 ± 0.13,"2,062 (0.09‰)",5.87 ± 0.14,"2,045 (0.11‰)",9.20 ± 0.22
Alcoholic,"1,216 (0.05‰)",4.10 ± 0.12,"1,401 (0.06‰)",4.59 ± 0.13,"2,050 (0.09‰)",6.81 ± 0.16,"2,204 (0.12‰)",12.36 ± 0.28
Non-alcoholic,394 (0.02‰),1.24 ± 0.06,642 (0.03‰),1.91 ± 0.08,754 (0.03‰),2.18 ± 0.08,787 (0.04‰),3.35 ± 0.13
HRS,34 (0.00‰),0.10 ± 0.02,61 (0.00‰),0.18 ± 0.02,61 (0.00‰),0.19 ± 0.03,49 (0.00‰),0.24 ± 0.04
Köppen-Geiger Climate Zone (koppen_major: A),,,,,,,,
CLD,"7,034 (0.20‰)",16.64 ± 0.20,"8,278 (0.22‰)",17.33 ± 0.19,"8,827 (0.23‰)",16.55 ± 0.18,"7,204 (0.23‰)",19.04 ± 0.24
Non-cancer CLD,"4,514 (0.13‰)",10.86 ± 0.16,"5,164 (0.14‰)",11.05 ± 0.16,"5,352 (0.14‰)",10.43 ± 0.15,"4,453 (0.14‰)",12.53 ± 0.20
Liver cancer,"2,520 (0.07‰)",5.78 ± 0.12,"3,114 (0.08‰)",6.28 ± 0.11,"3,475 (0.09‰)",6.12 ± 0.11,"2,751 (0.09‰)",6.51 ± 0.13
Toxic & chronic,"1,920 (0.05‰)",4.51 ± 0.10,"2,138 (0.06‰)",4.46 ± 0.10,"2,083 (0.05‰)",3.90 ± 0.09,"1,628 (0.05‰)",4.18 ± 0.11
Alcoholic,"1,557 (0.04‰)",3.89 ± 0.10,"1,824 (0.05‰)",4.06 ± 0.10,"2,245 (0.06‰)",4.60 ± 0.10,"1,947 (0.06‰)",6.09 ± 0.14
Non-alcoholic,595 (0.02‰),1.42 ± 0.06,738 (0.02‰),1.55 ± 0.06,613 (0.02‰),1.14 ± 0.05,505 (0.02‰),1.28 ± 0.06
HRS,56 (0.00‰),0.14 ± 0.02,78 (0.00‰),0.17 ± 0.02,46 (0.00‰),0.10 ± 0.01,38 (0.00‰),0.11 ± 0.02
Köppen-Geiger Climate Zone (Dry),,,,,,,,
CLD,"29,110 (0.22‰)",22.00 ± 0.13,"38,088 (0.26‰)",25.23 ± 0.13,"45,874 (0.30‰)",27.17 ± 0.13,"44,046 (0.35‰)",37.76 ± 0.19
Non-cancer CLD,"21,513 (0.16‰)",16.18 ± 0.11,"27,772 (0.19‰)",18.49 ± 0.11,"33,112 (0.22‰)",19.95 ± 0.11,"33,060 (0.26‰)",29.17 ± 0.17
Alcoholic,"9,878 (0.07‰)",7.33 ± 0.07,"13,570 (0.09‰)",9.07 ± 0.08,"16,858 (0.11‰)",10.40 ± 0.08,"16,818 (0.13‰)",15.61 ± 0.12
Liver cancer,"7,597 (0.06‰)",5.83 ± 0.07,"10,316 (0.07‰)",6.75 ± 0.07,"12,762 (0.08‰)",7.22 ± 0.06,"10,986 (0.09‰)",8.59 ± 0.09
Toxic & chronic,"6,594 (0.05‰)",5.03 ± 0.06,"8,352 (0.06‰)",5.53 ± 0.06,"10,081 (0.07‰)",5.90 ± 0.06,"10,599 (0.08‰)",8.89 ± 0.09
Non-alcoholic,"3,128 (0.02‰)",2.36 ± 0.04,"3,928 (0.03‰)",2.60 ± 0.04,"3,992 (0.03‰)",2.34 ± 0.04,"3,580 (0.03‰)",2.92 ± 0.05
HRS,280 (0.00‰),0.21 ± 0.01,256 (0.00‰),0.17 ± 0.01,279 (0.00‰),0.17 ± 0.01,219 (0.00‰),0.19 ± 0.01
Köppen-Geiger Climate Zone (Temperate),,,,,,,,
CLD,"186,295 (0.19‰)",18.07 ± 0.04,"233,124 (0.23‰)",20.24 ± 0.04,"271,768 (0.26‰)",21.52 ± 0.04,"250,336 (0.30‰)",29.10 ± 0.06
Non-cancer CLD,"126,517 (0.13‰)",12.24 ± 0.03,"154,624 (0.15‰)",13.52 ± 0.03,"181,431 (0.17‰)",14.64 ± 0.04,"172,581 (0.20‰)",20.79 ± 0.05
Liver cancer,"59,778 (0.06‰)",5.83 ± 0.02,"78,500 (0.08‰)",6.72 ± 0.02,"90,337 (0.09‰)",6.88 ± 0.02,"77,755 (0.09‰)",8.31 ± 0.03
Toxic & chronic,"48,433 (0.05‰)",4.71 ± 0.02,"58,999 (0.06‰)",5.14 ± 0.02,"65,478 (0.06‰)",5.16 ± 0.02,"62,130 (0.07‰)",7.11 ± 0.03
Alcoholic,"45,696 (0.05‰)",4.38 ± 0.02,"56,742 (0.06‰)",4.99 ± 0.02,"73,660 (0.07‰)",6.11 ± 0.02,"73,013 (0.09‰)",9.45 ± 0.04
Non-alcoholic,"17,327 (0.02‰)",1.68 ± 0.01,"23,461 (0.02‰)",2.04 ± 0.01,"25,100 (0.02‰)",1.99 ± 0.01,"22,587 (0.03‰)",2.51 ± 0.02
HRS,"1,476 (0.00‰)",0.14 ± 0.00,"1,624 (0.00‰)",0.14 ± 0.00,"1,486 (0.00‰)",0.12 ± 0.00,"1,175 (0.00‰)",0.14 ± 0.00
Köppen-Geiger Climate Zone (Continental),,,,,,,,
CLD,"67,215 (0.18‰)",15.86 ± 0.06,"81,125 (0.21‰)",17.68 ± 0.06,"95,537 (0.24‰)",19.61 ± 0.07,"88,544 (0.29‰)",27.41 ± 0.10
Non-cancer CLD,"46,249 (0.12‰)",10.95 ± 0.05,"54,877 (0.14‰)",12.09 ± 0.05,"65,444 (0.17‰)",13.75 ± 0.06,"62,575 (0.20‰)",20.26 ± 0.08
Liver cancer,"20,966 (0.05‰)",4.91 ± 0.03,"26,248 (0.07‰)",5.58 ± 0.03,"30,093 (0.08‰)",5.86 ± 0.03,"25,969 (0.08‰)",7.16 ± 0.05
Toxic & chronic,"18,233 (0.05‰)",4.31 ± 0.03,"20,827 (0.05‰)",4.53 ± 0.03,"22,184 (0.06‰)",4.49 ± 0.03,"20,785 (0.07‰)",6.29 ± 0.05
Alcoholic,"15,899 (0.04‰)",3.78 ± 0.03,"20,019 (0.05‰)",4.50 ± 0.03,"27,373 (0.07‰)",6.01 ± 0.04,"27,816 (0.09‰)",9.82 ± 0.06
Non-alcoholic,"5,726 (0.02‰)",1.35 ± 0.02,"7,661 (0.02‰)",1.66 ± 0.02,"9,102 (0.02‰)",1.84 ± 0.02,"8,316 (0.03‰)",2.40 ± 0.03
HRS,565 (0.00‰),0.13 ± 0.01,589 (0.00‰),0.13 ± 0.01,604 (0.00‰),0.12 ± 0.01,502 (0.00‰),0.16 ± 0.01
Köppen-Geiger Climate Zone (koppen_major: E),,,,,,,,
CLD,5 (0.06‰),8.87 ± 4.38,13 (0.14‰),18.98 ± 6.10,13 (0.14‰),15.28 ± 4.36,23 (0.29‰),34.18 ± 7.23
Non-cancer CLD,3 (0.03‰),5.97 ± 3.78,9 (0.10‰),12.95 ± 4.91,12 (0.13‰),14.00 ± 4.16,19 (0.24‰),27.98 ± 6.48
Liver cancer,2 (0.02‰),2.90 ± 2.21,4 (0.04‰),6.03 ± 3.61,1 (0.01‰),1.29 ± 1.29,4 (0.05‰),6.21 ± 3.19
