Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
Liver,"10,443 (0.06‰)",5.89 ± 0.06,"13,871 (0.07‰)",6.83 ± 0.06,"16,185 (0.08‰)",7.09 ± 0.06,,
Pancreatic,"18,968 (0.11‰)",11.04 ± 0.08,"21,660 (0.12‰)",11.08 ± 0.08,"25,060 (0.13‰)",11.27 ± 0.07,,
Lung,"85,540 (0.48‰)",49.73 ± 0.17,"85,553 (0.46‰)",43.70 ± 0.15,"78,695 (0.41‰)",35.18 ± 0.13,,
Breast,"22,056 (0.12‰)",12.66 ± 0.09,"22,608 (0.12‰)",11.60 ± 0.08,"24,131 (0.13‰)",11.19 ± 0.07,,
Ovarian,"7,580 (0.04‰)",4.38 ± 0.05,"7,557 (0.04‰)",3.87 ± 0.05,"7,443 (0.04‰)",3.39 ± 0.04,,
Prostate,"15,611 (0.09‰)",9.47 ± 0.08,"15,471 (0.08‰)",8.18 ± 0.07,"18,112 (0.09‰)",8.34 ± 0.06,,
Kidney,"7,153 (0.04‰)",4.12 ± 0.05,"7,842 (0.04‰)",3.99 ± 0.05,"8,018 (0.04‰)",3.63 ± 0.04,,
NHL,"10,552 (0.06‰)",6.24 ± 0.06,"10,709 (0.06‰)",5.63 ± 0.06,"11,000 (0.06‰)",5.09 ± 0.05,,
Leukemia,"11,636 (0.07‰)",6.88 ± 0.06,"12,153 (0.07‰)",6.42 ± 0.06,"12,740 (0.07‰)",5.96 ± 0.05,,
County Economic Typology (Services),,,,,,,,
Cancer,"1,180,078 (1.81‰)",170.11 ± 0.16,"1,210,731 (1.78‰)",155.76 ± 0.14,"1,228,584 (1.74‰)",140.45 ± 0.13,,
Colorectal,"111,444 (0.17‰)",16.01 ± 0.05,"108,288 (0.16‰)",13.90 ± 0.04,"108,941 (0.15‰)",12.54 ± 0.04,,
Liver,"40,902 (0.06‰)",5.81 ± 0.03,"51,904 (0.08‰)",6.51 ± 0.03,"58,009 (0.08‰)",6.47 ± 0.03,,
Pancreatic,"75,637 (0.12‰)",10.88 ± 0.04,"84,858 (0.12‰)",10.86 ± 0.04,"95,516 (0.14‰)",10.82 ± 0.04,,
Lung,"313,768 (0.48‰)",45.42 ± 0.08,"303,548 (0.45‰)",39.04 ± 0.07,"272,166 (0.39‰)",30.76 ± 0.06,,
Breast,"89,640 (0.14‰)",12.81 ± 0.04,"90,342 (0.13‰)",11.63 ± 0.04,"91,678 (0.13‰)",10.67 ± 0.04,,
Ovarian,"31,681 (0.05‰)",4.54 ± 0.03,"30,900 (0.05‰)",3.96 ± 0.02,"30,456 (0.04‰)",3.49 ± 0.02,,
Prostate,"61,269 (0.09‰)",8.86 ± 0.04,"60,345 (0.09‰)",7.75 ± 0.03,"66,843 (0.09‰)",7.57 ± 0.03,,
Kidney,"25,332 (0.04‰)",3.64 ± 0.02,"27,029 (0.04‰)",3.46 ± 0.02,"26,923 (0.04‰)",3.08 ± 0.02,,
NHL,"43,048 (0.07‰)",6.24 ± 0.03,"42,389 (0.06‰)",5.52 ± 0.03,"42,309 (0.06‰)",4.88 ± 0.02,,
Leukemia,"46,660 (0.07‰)",6.81 ± 0.03,"48,438 (0.07‰)",6.37 ± 0.03,"48,842 (0.07‰)",5.72 ± 0.03,,
County Economic Typology (Nonspecialized),,,,,,,,
Cancer,"652,343 (1.80‰)",178.34 ± 0.22,"686,534 (1.81‰)",166.08 ± 0.20,"709,327 (1.80‰)",152.22 ± 0.18,,
Colorectal,"61,118 (0.17‰)",16.74 ± 0.07,"61,548 (0.16‰)",14.93 ± 0.06,"63,775 (0.16‰)",13.84 ± 0.06,,
Liver,"21,070 (0.06‰)",5.62 ± 0.04,"28,114 (0.07‰)",6.54 ± 0.04,"33,267 (0.08‰)",6.88 ± 0.04,,
Pancreatic,"39,477 (0.11‰)",10.76 ± 0.05,"44,760 (0.12‰)",10.76 ± 0.05,"51,433 (0.13‰)",10.90 ± 0.05,,
Lung,"186,335 (0.51‰)",50.90 ± 0.12,"185,364 (0.49‰)",44.55 ± 0.10,"171,023 (0.43‰)",36.06 ± 0.09,,
Breast,"46,526 (0.13‰)",12.55 ± 0.06,"47,758 (0.13‰)",11.53 ± 0.05,"49,451 (0.13‰)",10.79 ± 0.05,,
Ovarian,"16,538 (0.05‰)",4.48 ± 0.04,"16,304 (0.04‰)",3.93 ± 0.03,"15,999 (0.04‰)",3.43 ± 0.03,,
Prostate,"32,265 (0.09‰)",9.11 ± 0.05,"32,223 (0.08‰)",8.01 ± 0.05,"36,503 (0.09‰)",7.97 ± 0.04,,
Kidney,"15,431 (0.04‰)",4.18 ± 0.03,"17,286 (0.05‰)",4.15 ± 0.03,"17,728 (0.04‰)",3.79 ± 0.03,,
NHL,"23,470 (0.06‰)",6.52 ± 0.04,"23,467 (0.06‰)",5.80 ± 0.04,"23,755 (0.06‰)",5.20 ± 0.03,,
Leukemia,"25,700 (0.07‰)",7.15 ± 0.04,"27,126 (0.07‰)",6.76 ± 0.04,"27,078 (0.07‰)",6.02 ± 0.04,,
EQI Quintile (Q1 (best)),,,,,,,,
Cancer,"108,639 (2.01‰)",176.80 ± 0.54,"113,057 (2.03‰)",165.66 ± 0.50,"116,624 (2.07‰)",154.94 ± 0.46,,
Colorectal,"10,756 (0.20‰)",17.64 ± 0.17,"10,970 (0.20‰)",16.23 ± 0.16,"11,479 (0.20‰)",15.49 ± 0.15,,
Liver,"3,687 (0.07‰)",5.95 ± 0.10,"4,475 (0.08‰)",6.43 ± 0.10,"5,481 (0.10‰)",7.12 ± 0.10,,
Pancreatic,"6,410 (0.12‰)",10.41 ± 0.13,"7,220 (0.13‰)",10.52 ± 0.12,"8,283 (0.15‰)",10.87 ± 0.12,,
Lung,"32,246 (0.60‰)",51.60 ± 0.29,"31,982 (0.57‰)",45.92 ± 0.26,"29,885 (0.53‰)",38.68 ± 0.23,,
Breast,"7,187 (0.13‰)",11.82 ± 0.14,"7,315 (0.13‰)",10.97 ± 0.13,"7,443 (0.13‰)",10.29 ± 0.12,,
Ovarian,"2,451 (0.05‰)",3.99 ± 0.08,"2,383 (0.04‰)",3.51 ± 0.07,"2,275 (0.04‰)",3.06 ± 0.07,,
Prostate,"5,837 (0.11‰)",9.75 ± 0.13,"5,710 (0.10‰)",8.43 ± 0.11,"6,315 (0.11‰)",8.25 ± 0.10,,
Kidney,"2,450 (0.05‰)",3.97 ± 0.08,"2,743 (0.05‰)",3.99 ± 0.08,"2,897 (0.05‰)",3.88 ± 0.07,,
NHL,"3,560 (0.07‰)",5.88 ± 0.10,"3,651 (0.07‰)",5.44 ± 0.09,"3,674 (0.07‰)",4.91 ± 0.08,,
Leukemia,"3,997 (0.07‰)",6.67 ± 0.11,"4,105 (0.07‰)",6.19 ± 0.10,"4,271 (0.08‰)",5.82 ± 0.09,,
EQI Quintile (Q2),,,,,,,,
Cancer,"216,142 (2.23‰)",182.78 ± 0.40,"223,627 (2.25‰)",171.63 ± 0.37,"230,706 (2.26‰)",159.40 ± 0.34,,
Colorectal,"20,130 (0.21‰)",17.12 ± 0.12,"20,606 (0.21‰)",15.97 ± 0.11,"20,980 (0.21‰)",14.84 ± 0.11,,
Liver,"6,587 (0.07‰)",5.56 ± 0.07,"8,873 (0.09‰)",6.72 ± 0.07,"10,719 (0.10‰)",7.26 ± 0.07,,
Pancreatic,"12,604 (0.13‰)",10.57 ± 0.09,"14,103 (0.14‰)",10.69 ± 0.09,"15,990 (0.16‰)",10.90 ± 0.09,,
Lung,"67,763 (0.70‰)",56.38 ± 0.22,"67,196 (0.68‰)",50.55 ± 0.20,"62,533 (0.61‰)",42.01 ± 0.17,,
Breast,"13,659 (0.14‰)",11.79 ± 0.10,"14,035 (0.14‰)",11.11 ± 0.10,"14,698 (0.14‰)",10.65 ± 0.09,,
Ovarian,"4,777 (0.05‰)",4.05 ± 0.06,"4,651 (0.05‰)",3.60 ± 0.05,"4,641 (0.05‰)",3.24 ± 0.05,,
Prostate,"10,792 (0.11‰)",9.13 ± 0.09,"10,343 (0.10‰)",7.84 ± 0.08,"11,245 (0.11‰)",7.52 ± 0.07,,
Kidney,"4,966 (0.05‰)",4.18 ± 0.06,"5,468 (0.05‰)",4.18 ± 0.06,"5,763 (0.06‰)",3.97 ± 0.05,,
NHL,"7,389 (0.08‰)",6.30 ± 0.07,"7,074 (0.07‰)",5.46 ± 0.07,"7,209 (0.07‰)",4.97 ± 0.06,,
Leukemia,"7,903 (0.08‰)",6.81 ± 0.08,"8,234 (0.08‰)",6.47 ± 0.07,"8,482 (0.08‰)",6.00 ± 0.07,,
EQI Quintile (Q3),,,,,,,,
Cancer,"374,287 (2.07‰)",182.78 ± 0.30,"388,915 (2.08‰)",171.00 ± 0.28,"400,430 (2.08‰)",157.54 ± 0.25,,
Colorectal,"35,238 (0.20‰)",17.26 ± 0.09,"34,934 (0.19‰)",15.48 ± 0.08,"35,936 (0.19‰)",14.42 ± 0.08,,
Liver,"11,615 (0.06‰)",5.60 ± 0.05,"15,371 (0.08‰)",6.59 ± 0.05,"18,205 (0.09‰)",6.95 ± 0.05,,
Pancreatic,"22,094 (0.12‰)",10.74 ± 0.07,"25,072 (0.13‰)",10.92 ± 0.07,"28,550 (0.15‰)",11.08 ± 0.07,,
Lung,"111,382 (0.62‰)",53.93 ± 0.16,"110,903 (0.59‰)",48.11 ± 0.15,"102,764 (0.53‰)",39.51 ± 0.12,,
Breast,"25,274 (0.14‰)",12.43 ± 0.08,"25,791 (0.14‰)",11.54 ± 0.07,"26,709 (0.14‰)",10.91 ± 0.07,,
Ovarian,"8,921 (0.05‰)",4.35 ± 0.05,"8,753 (0.05‰)",3.86 ± 0.04,"8,583 (0.04‰)",3.40 ± 0.04,,
Prostate,"18,988 (0.11‰)",9.34 ± 0.07,"18,435 (0.10‰)",8.10 ± 0.06,"20,384 (0.11‰)",7.90 ± 0.06,,
Kidney,"8,737 (0.05‰)",4.24 ± 0.05,"9,378 (0.05‰)",4.10 ± 0.04,"9,773 (0.05‰)",3.84 ± 0.04,,
NHL,"13,260 (0.07‰)",6.55 ± 0.06,"13,017 (0.07‰)",5.80 ± 0.05,"12,986 (0.07‰)",5.15 ± 0.05,,
Leukemia,"14,144 (0.08‰)",7.03 ± 0.06,"14,860 (0.08‰)",6.69 ± 0.06,"15,121 (0.08‰)",6.12 ± 0.05,,
EQI Quintile (Q4),,,,,,,,
Cancer,"523,453 (2.01‰)",182.68 ± 0.25,"542,328 (2.00‰)",171.12 ± 0.24,"552,022 (1.98‰)",156.93 ± 0.21,,
Colorectal,"49,860 (0.19‰)",17.39 ± 0.08,"48,722 (0.18‰)",15.45 ± 0.07,"49,173 (0.18‰)",14.21 ± 0.07,,
Liver,"16,217 (0.06‰)",5.59 ± 0.04,"21,594 (0.08‰)",6.63 ± 0.05,"24,858 (0.09‰)",6.86 ± 0.04,,
Pancreatic,"31,885 (0.12‰)",11.08 ± 0.06,"35,748 (0.13‰)",11.20 ± 0.06,"40,038 (0.14‰)",11.26 ± 0.06,,
Lung,"150,338 (0.58‰)",52.32 ± 0.14,"149,769 (0.55‰)",46.85 ± 0.12,"137,060 (0.49‰)",38.18 ± 0.10,,
Breast,"37,259 (0.14‰)",13.02 ± 0.07,"36,941 (0.14‰)",11.79 ± 0.06,"38,075 (0.14‰)",11.12 ± 0.06,,
Ovarian,"13,194 (0.05‰)",4.59 ± 0.04,"12,810 (0.05‰)",4.06 ± 0.04,"12,075 (0.04‰)",3.45 ± 0.03,,
Prostate,"26,389 (0.10‰)",9.25 ± 0.06,"25,505 (0.09‰)",8.05 ± 0.05,"28,243 (0.10‰)",7.97 ± 0.05,,
Kidney,"12,122 (0.05‰)",4.20 ± 0.04,"13,005 (0.05‰)",4.07 ± 0.04,"13,230 (0.05‰)",3.75 ± 0.03,,
NHL,"18,668 (0.07‰)",6.56 ± 0.05,"18,770 (0.07‰)",6.00 ± 0.04,"18,377 (0.07‰)",5.28 ± 0.04,,
Leukemia,"20,041 (0.08‰)",7.09 ± 0.05,"20,930 (0.08‰)",6.74 ± 0.05,"21,129 (0.08‰)",6.16 ± 0.04,,
EQI Quintile (Q5 (worst)),,,,,,,,
Cancer,"1,602,736 (1.73‰)",172.40 ± 0.14,"1,658,459 (1.71‰)",158.35 ± 0.12,"1,694,041 (1.69‰)",143.80 ± 0.11,,
Colorectal,"149,123 (0.16‰)",16.00 ± 0.04,"146,388 (0.15‰)",13.94 ± 0.04,"147,886 (0.15‰)",12.62 ± 0.03,,
Liver,"53,291 (0.06‰)",5.60 ± 0.02,"68,599 (0.07‰)",6.33 ± 0.02,"78,137 (0.08‰)",6.43 ± 0.02,,
Pancreatic,"102,139 (0.11‰)",10.98 ± 0.03,"114,817 (0.12‰)",10.92 ± 0.03,"131,296 (0.13‰)",11.05 ± 0.03,,
Lung,"429,781 (0.46‰)",46.58 ± 0.07,"419,344 (0.43‰)",40.13 ± 0.06,"379,829 (0.38‰)",31.93 ± 0.05,,
Breast,"122,013 (0.13‰)",12.88 ± 0.04,"123,506 (0.13‰)",11.68 ± 0.03,"125,707 (0.13‰)",10.78 ± 0.03,,
Ovarian,"43,400 (0.05‰)",4.63 ± 0.02,"42,450 (0.04‰)",4.03 ± 0.02,"41,394 (0.04‰)",3.50 ± 0.02,,
Prostate,"80,524 (0.09‰)",8.83 ± 0.03,"80,021 (0.08‰)",7.76 ± 0.03,"90,415 (0.09‰)",7.73 ± 0.03,,
Kidney,"35,759 (0.04‰)",3.82 ± 0.02,"38,623 (0.04‰)",3.66 ± 0.02,"38,611 (0.04‰)",3.27 ± 0.02,,
NHL,"59,113 (0.06‰)",6.43 ± 0.03,"58,684 (0.06‰)",5.70 ± 0.02,"59,095 (0.06‰)",5.11 ± 0.02,,
Leukemia,"64,488 (0.07‰)",7.03 ± 0.03,"67,032 (0.07‰)",6.56 ± 0.03,"66,919 (0.07‰)",5.85 ± 0.02,,
