Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
CRD,"38,960 (1.64‰)",115.45 ± 0.59,"41,467 (1.76‰)",114.94 ± 0.57,"41,082 (1.76‰)",105.49 ± 0.53,"31,472 (1.76‰)",116.22 ± 0.71
Lung cancer,"18,612 (0.78‰)",55.14 ± 0.41,"18,546 (0.79‰)",51.32 ± 0.38,"16,886 (0.72‰)",43.33 ± 0.34,"12,562 (0.70‰)",48.08 ± 0.47
COPD,"16,304 (0.69‰)",48.19 ± 0.38,"18,502 (0.78‰)",51.16 ± 0.38,"19,827 (0.85‰)",50.63 ± 0.36,"15,495 (0.86‰)",55.74 ± 0.48
ILD,"1,534 (0.06‰)",4.59 ± 0.12,"1,739 (0.07‰)",4.87 ± 0.12,"1,857 (0.08‰)",4.79 ± 0.11,"1,575 (0.09‰)",5.52 ± 0.15
Asthma,283 (0.01‰),0.89 ± 0.05,289 (0.01‰),0.92 ± 0.06,264 (0.01‰),0.82 ± 0.05,216 (0.01‰),0.99 ± 0.07
Pneumoconiosis,215 (0.01‰),0.64 ± 0.04,212 (0.01‰),0.59 ± 0.04,185 (0.01‰),0.47 ± 0.04,168 (0.01‰),0.58 ± 0.05
Köppen-Geiger Climate Zone (koppen_major: A),,,,,,,,
CRD,"33,071 (0.94‰)",73.08 ± 0.40,"33,984 (0.91‰)",65.52 ± 0.36,"33,823 (0.86‰)",56.99 ± 0.31,"24,660 (0.78‰)",53.20 ± 0.36
Lung cancer,"16,769 (0.48‰)",37.87 ± 0.29,"16,278 (0.44‰)",32.31 ± 0.26,"14,725 (0.38‰)",25.52 ± 0.21,"10,816 (0.34‰)",24.54 ± 0.25
COPD,"11,984 (0.34‰)",25.84 ± 0.24,"13,086 (0.35‰)",24.50 ± 0.22,"14,247 (0.36‰)",23.31 ± 0.20,"9,671 (0.31‰)",19.81 ± 0.21
ILD,"1,809 (0.05‰)",3.99 ± 0.09,"2,048 (0.05‰)",3.96 ± 0.09,"2,358 (0.06‰)",3.96 ± 0.08,"2,116 (0.07‰)",4.37 ± 0.10
