Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C91_C95,Leukemia,Leukemia,County Economic Typology,National,110590,1519222147,7.0053,0.0212,6.964,7.0467,7.01 ± 0.02
2006-2010,F01,Vascular Dementia (VD),VD,County Economic Typology,Farming,535,20793236,2.0099,0.0872,1.8432,2.1877,2.01 ± 0.09
2006-2010,F01,Vascular Dementia (VD),VD,County Economic Typology,Mining,377,14617184,2.5647,0.1322,2.3123,2.8372,2.56 ± 0.13
2006-2010,F01,Vascular Dementia (VD),VD,County Economic Typology,Manufacturing,9699,294175065,2.9308,0.0298,2.8728,2.9897,2.93 ± 0.03
2006-2010,F01,Vascular Dementia (VD),VD,County Economic Typology,Government,5774,176788820,3.5538,0.0468,3.4628,3.6467,3.55 ± 0.05
2006-2010,F01,Vascular Dementia (VD),VD,County Economic Typology,Services,19803,650908678,2.7807,0.0198,2.7421,2.8197,2.78 ± 0.02
2006-2010,F01,Vascular Dementia (VD),VD,County Economic Typology,Nonspecialized,9994,361939164,2.8333,0.0284,2.778,2.8894,2.83 ± 0.03
2006-2010,F01,Vascular Dementia (VD),VD,County Economic Typology,National,46182,1519222147,2.8873,0.0135,2.861,2.9137,2.89 ± 0.01
2006-2010,F03,Unspecified Dementia (UD),UD,County Economic Typology,Farming,5124,20793236,19.1296,0.2681,18.6094,19.6607,19.13 ± 0.27
2006-2010,F03,Unspecified Dementia (UD),UD,County Economic Typology,Mining,3756,14617184,25.5053,0.4165,24.6961,26.3343,25.51 ± 0.42
2006-2010,F03,Unspecified Dementia (UD),UD,County Economic Typology,Manufacturing,88340,294175065,26.5701,0.0896,26.3952,26.7459,26.57 ± 0.09
2006-2010,F03,Unspecified Dementia (UD),UD,County Economic Typology,Government,43590,176788820,26.8279,0.1287,26.5766,27.0809,26.83 ± 0.13
2006-2010,F03,Unspecified Dementia (UD),UD,County Economic Typology,Services,169509,650908678,23.6703,0.0577,23.5577,23.7832,23.67 ± 0.06
2006-2010,F03,Unspecified Dementia (UD),UD,County Economic Typology,Nonspecialized,93494,361939164,26.4445,0.0866,26.2752,26.6145,26.44 ± 0.09
2006-2010,F03,Unspecified Dementia (UD),UD,County Economic Typology,National,403813,1519222147,25.1477,0.0397,25.0702,25.2254,25.15 ± 0.04
2006-2010,G10,Huntington's Disease (HD),HD,County Economic Typology,Farming,68,20793236,0.2822,0.0345,0.2191,0.3577,0.28 ± 0.03
2006-2010,G10,Huntington's Disease (HD),HD,County Economic Typology,Mining,47,14617184,0.2964,0.0439,0.2178,0.3941,0.30 ± 0.04
2006-2010,G10,Huntington's Disease (HD),HD,County Economic Typology,Manufacturing,1058,294175065,0.3233,0.0101,0.3041,0.3434,0.32 ± 0.01
2006-2010,G10,Huntington's Disease (HD),HD,County Economic Typology,Government,532,176788820,0.2947,0.0129,0.2702,0.3208,0.29 ± 0.01
2006-2010,G10,Huntington's Disease (HD),HD,County Economic Typology,Services,1613,650908678,0.2312,0.0058,0.2201,0.2428,0.23 ± 0.01
2006-2010,G10,Huntington's Disease (HD),HD,County Economic Typology,Nonspecialized,1091,361939164,0.2874,0.0088,0.2706,0.305,0.29 ± 0.01
2006-2010,G10,Huntington's Disease (HD),HD,County Economic Typology,National,4409,1519222147,0.2713,0.0041,0.2634,0.2795,0.27 ± 0.00
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,County Economic Typology,Farming,423,20793236,1.7303,0.0845,1.5693,1.9033,1.73 ± 0.08
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,County Economic Typology,Mining,276,14617184,1.6989,0.1033,1.5044,1.9116,1.70 ± 0.10
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,County Economic Typology,Manufacturing,6842,294175065,2.0681,0.0252,2.0194,2.1177,2.07 ± 0.03
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,County Economic Typology,Government,3439,176788820,1.9793,0.0341,1.9137,2.0466,1.98 ± 0.03
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,County Economic Typology,Services,12727,650908678,1.8424,0.0164,1.8106,1.8747,1.84 ± 0.02
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,County Economic Typology,Nonspecialized,7476,361939164,2.0292,0.0236,1.9834,2.0757,2.03 ± 0.02
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),ALS,County Economic Typology,National,31183,1519222147,1.9437,0.0111,1.9221,1.9654,1.94 ± 0.01
2006-2010,G20,Parkinson's Disease (PD),PD,County Economic Typology,Farming,1507,20793236,5.8893,0.1522,5.5956,6.1943,5.89 ± 0.15
2006-2010,G20,Parkinson's Disease (PD),PD,County Economic Typology,Mining,925,14617184,6.1759,0.2034,5.7842,6.587,6.18 ± 0.20
2006-2010,G20,Parkinson's Disease (PD),PD,County Economic Typology,Manufacturing,21765,294175065,6.7337,0.0457,6.6445,6.8238,6.73 ± 0.05
2006-2010,G20,Parkinson's Disease (PD),PD,County Economic Typology,Government,10887,176788820,6.8005,0.0653,6.6734,6.9295,6.80 ± 0.07
2006-2010,G20,Parkinson's Disease (PD),PD,County Economic Typology,Services,43509,650908678,6.3243,0.0304,6.265,6.384,6.32 ± 0.03
2006-2010,G20,Parkinson's Disease (PD),PD,County Economic Typology,Nonspecialized,23280,361939164,6.7174,0.0441,6.6314,6.8042,6.72 ± 0.04
2006-2010,G20,Parkinson's Disease (PD),PD,County Economic Typology,National,101873,1519222147,6.5383,0.0205,6.4982,6.5786,6.54 ± 0.02
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,County Economic Typology,Farming,14283,20793236,53.861,0.4522,52.9812,54.7516,53.86 ± 0.45
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,County Economic Typology,Mining,9581,14617184,64.7826,0.6627,63.4918,66.093,64.78 ± 0.66
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,County Economic Typology,Manufacturing,218719,294175065,66.1539,0.1418,65.877,66.4318,66.15 ± 0.14
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,County Economic Typology,Government,105857,176788820,65.2079,0.2008,64.8157,65.6019,65.21 ± 0.20
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,County Economic Typology,Services,399922,650908678,56.2846,0.0893,56.1103,56.4593,56.28 ± 0.09
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,County Economic Typology,Nonspecialized,226647,361939164,64.2792,0.1353,64.0148,64.5444,64.28 ± 0.14
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),NDD,County Economic Typology,National,975009,1519222147,61.0519,0.062,60.9308,61.1732,61.05 ± 0.06
2006-2010,G30,Alzheimer's Disease (AD),AD,County Economic Typology,Farming,6694,20793236,25.1019,0.3078,24.5041,25.7105,25.10 ± 0.31
2006-2010,G30,Alzheimer's Disease (AD),AD,County Economic Typology,Mining,4247,14617184,28.8377,0.4429,27.9769,29.7183,28.84 ± 0.44
2006-2010,G30,Alzheimer's Disease (AD),AD,County Economic Typology,Manufacturing,92073,294175065,27.8512,0.092,27.6716,28.0317,27.85 ± 0.09
2006-2010,G30,Alzheimer's Disease (AD),AD,County Economic Typology,Government,42167,176788820,26.0463,0.127,25.7983,26.2962,26.05 ± 0.13
2006-2010,G30,Alzheimer's Disease (AD),AD,County Economic Typology,Services,154374,650908678,21.6669,0.0553,21.559,21.7753,21.67 ± 0.06
2006-2010,G30,Alzheimer's Disease (AD),AD,County Economic Typology,Nonspecialized,92403,361939164,26.2549,0.0865,26.0859,26.4247,26.25 ± 0.09
2006-2010,G30,Alzheimer's Disease (AD),AD,County Economic Typology,National,391958,1519222147,24.5349,0.0393,24.4582,24.6119,24.53 ± 0.04
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,County Economic Typology,Farming,12353,20793236,46.2414,0.4174,45.4295,47.0641,46.24 ± 0.42
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,County Economic Typology,Mining,8380,14617184,56.9078,0.6222,55.6958,58.1395,56.91 ± 0.62
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,County Economic Typology,Manufacturing,190112,294175065,57.3521,0.1318,57.0946,57.6105,57.35 ± 0.13
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,County Economic Typology,Government,91531,176788820,56.4281,0.1868,56.0631,56.7948,56.43 ± 0.19
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,County Economic Typology,Services,343686,650908678,48.1179,0.0823,47.9571,48.279,48.12 ± 0.08
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,County Economic Typology,Nonspecialized,195891,361939164,55.5327,0.1257,55.287,55.7791,55.53 ± 0.13
2006-2010,G30_F01_F03,Dementia (AD+VD+UD),Dementia,County Economic Typology,National,841953,1519222147,52.5699,0.0574,52.4577,52.6823,52.57 ± 0.06
2006-2010,I00-I99,I00-I99,I00_I99,County Economic Typology,Farming,66766,20793230,260.3609,1.014,258.3897,262.3434,260.36 ± 1.01
2006-2010,I00-I99,I00-I99,I00_I99,County Economic Typology,Mining,45959,14617184,297.8309,1.3978,295.1142,300.5665,297.83 ± 1.40
2006-2010,I00-I99,I00-I99,I00_I99,County Economic Typology,Manufacturing,881658,294175065,266.8511,0.2854,266.2944,267.4087,266.85 ± 0.29
2006-2010,I00-I99,I00-I99,I00_I99,County Economic Typology,Government,422798,176788820,252.2597,0.3901,251.4999,253.0212,252.26 ± 0.39
