Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
GRTI,480 (0.02‰),1.43 ± 0.07,205 (0.01‰),0.59 ± 0.04,262 (0.01‰),0.68 ± 0.04,255 (0.01‰),0.91 ± 0.06
Climate Zone (Dry),,,,,,,,
CKD,"28,112 (0.17‰)",16.56 ± 0.10,"26,052 (0.14‰)",13.28 ± 0.08,"32,962 (0.17‰)",14.54 ± 0.08,"29,026 (0.18‰)",16.81 ± 0.10
Non-cancer CKD,"21,654 (0.13‰)",12.81 ± 0.09,"21,131 (0.12‰)",10.75 ± 0.07,"25,089 (0.13‰)",11.09 ± 0.07,"22,387 (0.14‰)",12.86 ± 0.09
RF,"15,367 (0.09‰)",9.09 ± 0.07,"15,913 (0.09‰)",8.10 ± 0.06,"18,417 (0.10‰)",8.13 ± 0.06,"15,736 (0.10‰)",9.02 ± 0.07
Kidney cancer,"6,458 (0.04‰)",3.74 ± 0.05,"4,921 (0.02‰)",2.53 ± 0.04,"7,873 (0.04‰)",3.46 ± 0.04,"6,639 (0.04‰)",3.95 ± 0.05
GRTI,"2,387 (0.01‰)",1.42 ± 0.03,"1,058 (0.01‰)",0.54 ± 0.02,"1,361 (0.01‰)",0.61 ± 0.02,"1,477 (0.01‰)",0.86 ± 0.02
Climate Zone (Temperate),,,,,,,,
CKD,"198,511 (0.21‰)",20.01 ± 0.05,"193,880 (0.19‰)",17.47 ± 0.04,"234,321 (0.22‰)",18.66 ± 0.04,"197,779 (0.23‰)",20.82 ± 0.05
Non-cancer CKD,"158,563 (0.16‰)",16.05 ± 0.04,"164,412 (0.16‰)",14.78 ± 0.04,"189,799 (0.18‰)",15.17 ± 0.04,"160,645 (0.19‰)",16.84 ± 0.04
RF,"110,746 (0.12‰)",11.20 ± 0.03,"122,334 (0.12‰)",11.00 ± 0.03,"136,597 (0.13‰)",10.91 ± 0.03,"112,494 (0.13‰)",11.78 ± 0.04
Kidney cancer,"39,948 (0.04‰)",3.96 ± 0.02,"29,468 (0.03‰)",2.70 ± 0.02,"44,522 (0.04‰)",3.50 ± 0.02,"37,134 (0.04‰)",3.98 ± 0.02
GRTI,"16,188 (0.02‰)",1.64 ± 0.01,"5,703 (0.01‰)",0.52 ± 0.01,"7,639 (0.01‰)",0.62 ± 0.01,"7,799 (0.01‰)",0.82 ± 0.01
Climate Zone (Continental),,,,,,,,
CKD,"86,370 (0.23‰)",20.14 ± 0.07,"82,133 (0.21‰)",17.67 ± 0.06,"93,567 (0.24‰)",18.57 ± 0.06,"76,279 (0.25‰)",20.52 ± 0.08
Non-cancer CKD,"68,973 (0.18‰)",16.04 ± 0.06,"69,473 (0.18‰)",14.85 ± 0.06,"75,906 (0.19‰)",15.07 ± 0.06,"61,701 (0.20‰)",16.45 ± 0.07
RF,"48,230 (0.13‰)",11.25 ± 0.05,"51,891 (0.13‰)",11.09 ± 0.05,"54,951 (0.14‰)",10.90 ± 0.05,"43,519 (0.14‰)",11.59 ± 0.06
Kidney cancer,"17,397 (0.05‰)",4.10 ± 0.03,"12,660 (0.03‰)",2.82 ± 0.03,"17,661 (0.05‰)",3.51 ± 0.03,"14,578 (0.05‰)",4.07 ± 0.04
GRTI,"7,112 (0.02‰)",1.64 ± 0.02,"2,416 (0.01‰)",0.52 ± 0.01,"3,237 (0.01‰)",0.65 ± 0.01,"3,459 (0.01‰)",0.93 ± 0.02
EQI Cluster (Low-burden),,,,,,,,
CKD,"22,559 (0.28‰)",24.81 ± 0.17,"22,355 (0.27‰)",22.46 ± 0.15,"26,130 (0.32‰)",23.97 ± 0.15,"21,589 (0.33‰)",27.90 ± 0.20
Non-cancer CKD,"18,352 (0.23‰)",20.33 ± 0.15,"19,256 (0.23‰)",19.43 ± 0.14,"21,357 (0.26‰)",19.65 ± 0.14,"17,555 (0.27‰)",22.51 ± 0.18
RF,"13,189 (0.16‰)",14.58 ± 0.13,"14,133 (0.17‰)",14.24 ± 0.12,"14,873 (0.18‰)",13.66 ± 0.11,"11,808 (0.18‰)",15.10 ± 0.15
Kidney cancer,"4,207 (0.05‰)",4.48 ± 0.07,"3,099 (0.03‰)",3.03 ± 0.05,"4,773 (0.06‰)",4.31 ± 0.06,"4,034 (0.06‰)",5.39 ± 0.09
GRTI,"1,590 (0.02‰)",1.78 ± 0.04,631 (0.01‰),0.64 ± 0.03,813 (0.01‰),0.75 ± 0.03,849 (0.01‰),1.09 ± 0.04
EQI Cluster (Mixed-burden),,,,,,,,
CKD,"96,384 (0.22‰)",19.77 ± 0.06,"92,683 (0.21‰)",17.19 ± 0.06,"106,288 (0.23‰)",17.75 ± 0.06,"88,929 (0.24‰)",19.56 ± 0.07
Non-cancer CKD,"77,519 (0.18‰)",15.90 ± 0.06,"78,792 (0.18‰)",14.58 ± 0.05,"86,093 (0.19‰)",14.38 ± 0.05,"72,470 (0.19‰)",15.83 ± 0.06
RF,"54,760 (0.13‰)",11.25 ± 0.05,"58,932 (0.13‰)",10.91 ± 0.05,"61,834 (0.13‰)",10.33 ± 0.04,"49,997 (0.13‰)",10.90 ± 0.05
Kidney cancer,"18,865 (0.04‰)",3.88 ± 0.03,"13,891 (0.03‰)",2.61 ± 0.02,"20,195 (0.04‰)",3.37 ± 0.02,"16,459 (0.04‰)",3.74 ± 0.03
GRTI,"7,176 (0.02‰)",1.46 ± 0.02,"2,453 (0.01‰)",0.46 ± 0.01,"3,535 (0.01‰)",0.60 ± 0.01,"3,637 (0.01‰)",0.80 ± 0.01
EQI Cluster (High-burden),,,,,,,,
CKD,"195,949 (0.19‰)",19.29 ± 0.04,"188,759 (0.18‰)",16.63 ± 0.04,"230,252 (0.21‰)",17.96 ± 0.04,"193,844 (0.22‰)",20.08 ± 0.05
Non-cancer CKD,"154,945 (0.15‰)",15.31 ± 0.04,"158,526 (0.15‰)",13.90 ± 0.04,"184,920 (0.17‰)",14.48 ± 0.03,"155,789 (0.18‰)",16.07 ± 0.04
RF,"107,544 (0.11‰)",10.63 ± 0.03,"118,240 (0.11‰)",10.37 ± 0.03,"134,493 (0.12‰)",10.52 ± 0.03,"110,760 (0.13‰)",11.41 ± 0.04
Kidney cancer,"41,004 (0.04‰)",3.98 ± 0.02,"30,233 (0.02‰)",2.73 ± 0.02,"45,332 (0.04‰)",3.49 ± 0.02,"38,055 (0.04‰)",4.01 ± 0.02
GRTI,"17,058 (0.02‰)",1.68 ± 0.01,"6,134 (0.01‰)",0.54 ± 0.01,"7,943 (0.01‰)",0.63 ± 0.01,"8,303 (0.01‰)",0.86 ± 0.01
Land Use Cluster (Natural),,,,,,,,
CKD,"110,961 (0.19‰)",18.98 ± 0.06,"107,216 (0.18‰)",16.30 ± 0.05,"131,604 (0.21‰)",17.60 ± 0.05,"112,824 (0.22‰)",19.99 ± 0.06
Non-cancer CKD,"86,920 (0.15‰)",14.97 ± 0.05,"89,326 (0.15‰)",13.56 ± 0.05,"103,801 (0.17‰)",13.95 ± 0.04,"89,555 (0.18‰)",15.80 ± 0.05
RF,"60,735 (0.11‰)",10.45 ± 0.04,"66,081 (0.11‰)",10.03 ± 0.04,"74,221 (0.12‰)",9.97 ± 0.04,"62,323 (0.12‰)",10.98 ± 0.05
Kidney cancer,"24,041 (0.04‰)",4.01 ± 0.03,"17,890 (0.03‰)",2.74 ± 0.02,"27,803 (0.04‰)",3.65 ± 0.02,"23,269 (0.05‰)",4.19 ± 0.03
GRTI,"9,288 (0.02‰)",1.61 ± 0.02,"3,793 (0.01‰)",0.58 ± 0.01,"5,030 (0.01‰)",0.68 ± 0.01,"5,271 (0.01‰)",0.93 ± 0.01
Land Use Cluster (Water-sensitive),,,,,,,,
CKD,"58,101 (0.23‰)",19.28 ± 0.08,"56,872 (0.22‰)",16.78 ± 0.07,"66,181 (0.25‰)",17.45 ± 0.07,"54,609 (0.25‰)",19.12 ± 0.09
Non-cancer CKD,"46,580 (0.19‰)",15.45 ± 0.07,"48,140 (0.19‰)",14.20 ± 0.07,"53,780 (0.20‰)",14.17 ± 0.06,"44,073 (0.20‰)",15.29 ± 0.08
RF,"32,780 (0.13‰)",10.89 ± 0.06,"36,470 (0.14‰)",10.75 ± 0.06,"39,145 (0.15‰)",10.30 ± 0.05,"30,976 (0.14‰)",10.72 ± 0.06
Kidney cancer,"11,521 (0.05‰)",3.83 ± 0.04,"8,732 (0.03‰)",2.59 ± 0.03,"12,401 (0.05‰)",3.28 ± 0.03,"10,536 (0.05‰)",3.82 ± 0.04
GRTI,"4,717 (0.02‰)",1.56 ± 0.02,"1,474 (0.01‰)",0.44 ± 0.01,"2,041 (0.01‰)",0.54 ± 0.01,"2,138 (0.01‰)",0.75 ± 0.02
Land Use Cluster (Agricultural),,,,,,,,
CKD,"59,244 (0.23‰)",21.53 ± 0.09,"57,965 (0.22‰)",19.18 ± 0.08,"68,305 (0.25‰)",20.55 ± 0.08,"56,777 (0.26‰)",22.70 ± 0.10
Non-cancer CKD,"46,781 (0.18‰)",17.01 ± 0.08,"48,938 (0.19‰)",16.13 ± 0.07,"54,938 (0.20‰)",16.57 ± 0.07,"45,494 (0.21‰)",18.05 ± 0.09
RF,"32,320 (0.13‰)",11.77 ± 0.07,"35,842 (0.14‰)",11.80 ± 0.06,"38,778 (0.14‰)",11.69 ± 0.06,"31,151 (0.14‰)",12.34 ± 0.07
Kidney cancer,"12,463 (0.05‰)",4.52 ± 0.04,"9,027 (0.03‰)",3.05 ± 0.03,"13,367 (0.05‰)",3.98 ± 0.03,"11,283 (0.05‰)",4.66 ± 0.05
GRTI,"4,978 (0.02‰)",1.80 ± 0.03,"1,684 (0.01‰)",0.56 ± 0.01,"2,210 (0.01‰)",0.68 ± 0.01,"2,311 (0.01‰)",0.92 ± 0.02
Land Use Cluster (Urban),,,,,,,,
CKD,"86,586 (0.20‰)",19.95 ± 0.07,"81,744 (0.18‰)",17.18 ± 0.06,"96,580 (0.20‰)",18.18 ± 0.06,"80,152 (0.21‰)",20.16 ± 0.07
Non-cancer CKD,"70,535 (0.16‰)",16.27 ± 0.06,"70,170 (0.15‰)",14.64 ± 0.06,"79,851 (0.17‰)",15.06 ± 0.05,"66,692 (0.18‰)",16.71 ± 0.07
RF,"49,658 (0.11‰)",11.48 ± 0.05,"52,912 (0.11‰)",11.06 ± 0.05,"59,056 (0.12‰)",11.13 ± 0.05,"48,115 (0.13‰)",12.05 ± 0.06
Kidney cancer,"16,051 (0.04‰)",3.68 ± 0.03,"11,574 (0.02‰)",2.54 ± 0.02,"16,729 (0.04‰)",3.13 ± 0.02,"13,460 (0.04‰)",3.44 ± 0.03
GRTI,"6,841 (0.02‰)",1.57 ± 0.02,"2,267 (0.00‰)",0.48 ± 0.01,"3,010 (0.01‰)",0.57 ± 0.01,"3,069 (0.01‰)",0.77 ± 0.01
County Economic Typology (Farming),,,,,,,,
CKD,"5,385 (0.26‰)",21.24 ± 0.29,"4,646 (0.22‰)",17.21 ± 0.25,"5,455 (0.26‰)",19.15 ± 0.26,"4,753 (0.28‰)",23.81 ± 0.36
Non-cancer CKD,"4,254 (0.20‰)",16.66 ± 0.26,"3,921 (0.19‰)",14.49 ± 0.23,"4,265 (0.20‰)",14.95 ± 0.23,"3,721 (0.22‰)",18.43 ± 0.32
RF,"3,036 (0.15‰)",11.89 ± 0.22,"2,874 (0.14‰)",10.63 ± 0.20,"3,006 (0.14‰)",10.51 ± 0.19,"2,546 (0.15‰)",12.63 ± 0.26
Kidney cancer,"1,131 (0.05‰)",4.58 ± 0.14,725 (0.03‰),2.71 ± 0.10,"1,190 (0.06‰)",4.21 ± 0.12,"1,032 (0.06‰)",5.39 ± 0.18
GRTI,391 (0.02‰),1.53 ± 0.08,155 (0.01‰),0.57 ± 0.05,211 (0.01‰),0.75 ± 0.05,217 (0.01‰),1.07 ± 0.08
County Economic Typology (Mining),,,,,,,,
CKD,"4,016 (0.27‰)",25.82 ± 0.41,"3,870 (0.26‰)",23.05 ± 0.37,"4,426 (0.30‰)",24.22 ± 0.37,"3,752 (0.32‰)",28.74 ± 0.49
Non-cancer CKD,"3,183 (0.22‰)",20.68 ± 0.37,"3,332 (0.22‰)",19.86 ± 0.35,"3,516 (0.24‰)",19.35 ± 0.33,"3,058 (0.26‰)",23.29 ± 0.44
RF,"2,212 (0.15‰)",14.34 ± 0.31,"2,415 (0.16‰)",14.43 ± 0.30,"2,395 (0.16‰)",13.15 ± 0.27,"2,013 (0.17‰)",15.33 ± 0.36
Kidney cancer,833 (0.06‰),5.13 ± 0.18,538 (0.03‰),3.19 ± 0.14,910 (0.06‰),4.87 ± 0.16,694 (0.06‰),5.45 ± 0.22
GRTI,270 (0.02‰),1.77 ± 0.11,102 (0.01‰),0.61 ± 0.06,137 (0.01‰),0.76 ± 0.07,136 (0.01‰),1.04 ± 0.09
County Economic Typology (Manufacturing),,,,,,,,
CKD,"72,625 (0.25‰)",22.05 ± 0.08,"70,912 (0.24‰)",19.62 ± 0.07,"83,546 (0.27‰)",21.07 ± 0.07,"68,327 (0.28‰)",23.15 ± 0.09
Non-cancer CKD,"58,418 (0.20‰)",17.79 ± 0.07,"60,617 (0.20‰)",16.75 ± 0.07,"68,012 (0.22‰)",17.20 ± 0.07,"55,417 (0.23‰)",18.67 ± 0.08
RF,"40,334 (0.14‰)",12.29 ± 0.06,"44,324 (0.15‰)",12.24 ± 0.06,"48,012 (0.16‰)",12.14 ± 0.06,"37,965 (0.16‰)",12.75 ± 0.07
Kidney cancer,"14,207 (0.05‰)",4.26 ± 0.04,"10,295 (0.03‰)",2.87 ± 0.03,"15,534 (0.05‰)",3.87 ± 0.03,"12,910 (0.05‰)",4.49 ± 0.04
GRTI,"5,963 (0.02‰)",1.81 ± 0.02,"1,961 (0.01‰)",0.55 ± 0.01,"2,581 (0.01‰)",0.66 ± 0.01,"2,814 (0.01‰)",0.95 ± 0.02
County Economic Typology (Government),,,,,,,,
CKD,"34,850 (0.20‰)",20.72 ± 0.11,"33,613 (0.18‰)",17.75 ± 0.10,"40,897 (0.21‰)",18.93 ± 0.09,"34,970 (0.22‰)",21.34 ± 0.12
Non-cancer CKD,"27,691 (0.16‰)",16.59 ± 0.10,"28,399 (0.15‰)",14.95 ± 0.09,"32,876 (0.17‰)",15.30 ± 0.09,"28,134 (0.18‰)",17.10 ± 0.11
RF,"19,311 (0.11‰)",11.55 ± 0.08,"20,743 (0.11‰)",10.92 ± 0.08,"23,299 (0.12‰)",10.84 ± 0.07,"19,575 (0.13‰)",11.87 ± 0.09
Kidney cancer,"7,159 (0.04‰)",4.13 ± 0.05,"5,214 (0.02‰)",2.80 ± 0.04,"8,021 (0.04‰)",3.63 ± 0.04,"6,836 (0.04‰)",4.24 ± 0.05
GRTI,"2,824 (0.02‰)",1.71 ± 0.03,"1,107 (0.01‰)",0.59 ± 0.02,"1,524 (0.01‰)",0.72 ± 0.02,"1,569 (0.01‰)",0.96 ± 0.02
County Economic Typology (Services),,,,,,,,
CKD,"123,406 (0.19‰)",17.70 ± 0.05,"117,347 (0.17‰)",15.07 ± 0.04,"138,763 (0.20‰)",15.84 ± 0.04,"117,036 (0.21‰)",17.74 ± 0.05
Non-cancer CKD,"98,073 (0.15‰)",14.07 ± 0.05,"98,508 (0.14‰)",12.59 ± 0.04,"111,837 (0.16‰)",12.76 ± 0.04,"95,035 (0.17‰)",14.32 ± 0.05
RF,"69,162 (0.11‰)",9.94 ± 0.04,"75,135 (0.11‰)",9.61 ± 0.04,"83,302 (0.12‰)",9.50 ± 0.03,"68,766 (0.12‰)",10.36 ± 0.04
Kidney cancer,"25,333 (0.04‰)",3.64 ± 0.02,"18,839 (0.02‰)",2.48 ± 0.02,"26,926 (0.04‰)",3.08 ± 0.02,"22,001 (0.04‰)",3.42 ± 0.02
