Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
RUCC (Thinly populated),,,,,,,,
Cancer,"59,473 (2.50‰)",177.73 ± 0.74,"60,796 (2.58‰)",170.69 ± 0.71,"60,972 (2.61‰)",159.67 ± 0.67,"48,950 (2.73‰)",188.25 ± 0.93
Lung,"18,612 (0.78‰)",55.14 ± 0.41,"18,546 (0.79‰)",51.32 ± 0.38,"16,886 (0.72‰)",43.33 ± 0.34,"12,562 (0.70‰)",48.08 ± 0.47
Colorectal,"6,024 (0.25‰)",18.08 ± 0.24,"5,757 (0.24‰)",16.33 ± 0.22,"5,809 (0.25‰)",15.62 ± 0.21,"4,593 (0.26‰)",18.71 ± 0.30
Breast,"3,649 (0.15‰)",11.09 ± 0.19,"3,640 (0.15‰)",10.53 ± 0.18,"3,549 (0.15‰)",9.70 ± 0.17,"3,013 (0.17‰)",12.39 ± 0.25
Pancreatic,"3,480 (0.15‰)",10.33 ± 0.18,"3,892 (0.17‰)",10.87 ± 0.18,"4,247 (0.18‰)",11.04 ± 0.17,"3,734 (0.21‰)",14.36 ± 0.26
Prostate,"3,353 (0.14‰)",9.87 ± 0.17,"3,080 (0.13‰)",8.50 ± 0.15,"3,281 (0.14‰)",8.31 ± 0.15,"2,812 (0.16‰)",9.50 ± 0.19
Köppen-Geiger Climate Zone (koppen_major: A),,,,,,,,
Cancer,"66,758 (1.90‰)",151.18 ± 0.59,"69,354 (1.86‰)",138.77 ± 0.53,"70,788 (1.81‰)",125.07 ± 0.48,"57,416 (1.82‰)",134.88 ± 0.60
Lung,"16,769 (0.48‰)",37.87 ± 0.29,"16,278 (0.44‰)",32.31 ± 0.26,"14,725 (0.38‰)",25.52 ± 0.21,"10,816 (0.34‰)",24.54 ± 0.25
Colorectal,"6,607 (0.19‰)",14.90 ± 0.18,"6,568 (0.18‰)",13.10 ± 0.16,"6,826 (0.17‰)",12.13 ± 0.15,"5,477 (0.17‰)",13.43 ± 0.19
Breast,"4,828 (0.14‰)",11.21 ± 0.16,"4,926 (0.13‰)",10.21 ± 0.15,"4,993 (0.13‰)",9.21 ± 0.13,"4,191 (0.13‰)",10.64 ± 0.17
Pancreatic,"4,675 (0.13‰)",10.45 ± 0.15,"5,214 (0.14‰)",10.30 ± 0.14,"5,916 (0.15‰)",10.35 ± 0.14,"5,195 (0.16‰)",12.08 ± 0.18
Prostate,"3,688 (0.11‰)",7.96 ± 0.13,"3,813 (0.10‰)",7.22 ± 0.12,"4,108 (0.10‰)",6.79 ± 0.11,"3,501 (0.11‰)",7.20 ± 0.13
Köppen-Geiger Climate Zone (Dry),,,,,,,,
Cancer,"202,418 (1.50‰)",159.66 ± 0.36,"219,055 (1.52‰)",148.51 ± 0.32,"234,767 (1.54‰)",137.51 ± 0.29,"198,199 (1.57‰)",154.01 ± 0.36
Lung,"51,268 (0.38‰)",40.45 ± 0.18,"51,226 (0.36‰)",34.63 ± 0.15,"47,588 (0.31‰)",27.51 ± 0.13,"35,216 (0.28‰)",26.48 ± 0.15
