Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C61,Prostate Cancer,Prostate,RUCC,Non-metropolitan urbanized,9830,91640982,9.1834,0.0929,9.0027,9.3668,9.18 ± 0.09
2006-2010,C61,Prostate Cancer,Prostate,RUCC,Less urbanized,14110,114771138,9.6681,0.0816,9.5092,9.829,9.67 ± 0.08
2006-2010,C61,Prostate Cancer,Prostate,RUCC,Thinly populated,3335,23771547,9.8229,0.1705,9.4923,10.1621,9.82 ± 0.17
2006-2010,C61,Prostate Cancer,Prostate,RUCC,National,142538,1519147926,9.0284,0.024,8.9816,9.0754,9.03 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,RUCC,Metropolitan urbanized,51358,1288964259,3.8753,0.0172,3.8419,3.909,3.88 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,RUCC,Non-metropolitan urbanized,4739,91640982,4.3852,0.0641,4.2612,4.5118,4.39 ± 0.06
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,RUCC,Less urbanized,6535,114771138,4.5046,0.0562,4.396,4.6152,4.50 ± 0.06
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,RUCC,Thinly populated,1404,23771547,4.19,0.1129,3.9737,4.4151,4.19 ± 0.11
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,RUCC,National,64036,1519147926,3.97,0.0158,3.9394,4.0009,3.97 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,RUCC,Metropolitan urbanized,83129,1288964259,6.3793,0.0222,6.336,6.4228,6.38 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,RUCC,Non-metropolitan urbanized,7289,91640982,6.8549,0.0808,6.6984,7.0141,6.85 ± 0.08
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,RUCC,Less urbanized,9564,114771138,6.6659,0.0687,6.5329,6.8008,6.67 ± 0.07
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,RUCC,Thinly populated,2020,23771547,6.0647,0.1363,5.8031,6.3351,6.06 ± 0.14
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,RUCC,National,102002,1519147926,6.4322,0.0202,6.3928,6.4718,6.43 ± 0.02
2006-2010,C91_C95,Leukemia,Leukemia,RUCC,Metropolitan urbanized,90376,1288964259,6.9571,0.0233,6.9118,7.0026,6.96 ± 0.02
2006-2010,C91_C95,Leukemia,Leukemia,RUCC,Non-metropolitan urbanized,7623,91640982,7.2126,0.0832,7.0515,7.3763,7.21 ± 0.08
2006-2010,C91_C95,Leukemia,Leukemia,RUCC,Less urbanized,10384,114771138,7.2964,0.0723,7.1567,7.4381,7.30 ± 0.07
2006-2010,C91_C95,Leukemia,Leukemia,RUCC,Thinly populated,2204,23771547,6.6381,0.1429,6.3638,6.9211,6.64 ± 0.14
2006-2010,C91_C95,Leukemia,Leukemia,RUCC,National,110587,1519147926,7.0054,0.0212,6.9641,7.0468,7.01 ± 0.02
2006-2010,F01,Vascular Dementia (VD),VD,RUCC,Metropolitan urbanized,39130,1288964259,2.9894,0.0151,2.9599,3.0192,2.99 ± 0.02
2006-2010,F01,Vascular Dementia (VD),VD,RUCC,Non-metropolitan urbanized,3024,91640982,2.7815,0.0507,2.6833,2.8825,2.78 ± 0.05
2006-2010,F01,Vascular Dementia (VD),VD,RUCC,Less urbanized,3342,114771138,2.2672,0.0393,2.1909,2.3453,2.27 ± 0.04
