Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C00_C97,All-site Cancer,Cancer,Census Region,Northeast,552311,274502288,175.0283,0.2371,174.567,175.4905,175.03 ± 0.24
2006-2010,C00_C97,All-site Cancer,Cancer,Census Region,Midwest,661223,330927436,182.7108,0.2261,182.2707,183.1518,182.71 ± 0.23
2006-2010,C00_C97,All-site Cancer,Cancer,Census Region,South,1048346,555088977,181.3804,0.1782,181.0333,181.7279,181.38 ± 0.18
2006-2010,C00_C97,All-site Cancer,Cancer,Census Region,West,548904,352143278,161.2149,0.2193,160.7887,161.6419,161.21 ± 0.22
2006-2010,C00_C97,All-site Cancer,Cancer,Census Region,National,2810784,1512661979,176.1299,0.1056,175.9241,176.336,176.13 ± 0.11
2006-2010,C18_C21,Colorectal Cancer,Colorectal,Census Region,Northeast,52973,274502288,16.6521,0.0728,16.5106,16.7945,16.65 ± 0.07
2006-2010,C18_C21,Colorectal Cancer,Colorectal,Census Region,Midwest,62455,330927436,17.1633,0.0691,17.029,17.2985,17.16 ± 0.07
2006-2010,C18_C21,Colorectal Cancer,Colorectal,Census Region,South,97260,555088977,16.8851,0.0545,16.7792,16.9916,16.89 ± 0.05
2006-2010,C18_C21,Colorectal Cancer,Colorectal,Census Region,West,50957,352143278,14.9621,0.0668,14.8325,15.0926,14.96 ± 0.07
2006-2010,C18_C21,Colorectal Cancer,Colorectal,Census Region,National,263645,1512661979,16.5107,0.0323,16.4478,16.5739,16.51 ± 0.03
2006-2010,C22,Liver Cancer,Liver,Census Region,Northeast,17245,274502288,5.4356,0.0417,5.3548,5.5173,5.44 ± 0.04
2006-2010,C22,Liver Cancer,Liver,Census Region,Midwest,18110,330927436,4.9344,0.0369,4.8627,5.0068,4.93 ± 0.04
2006-2010,C22,Liver Cancer,Liver,Census Region,South,34105,555088977,5.7721,0.0315,5.711,5.8337,5.77 ± 0.03
2006-2010,C22,Liver Cancer,Liver,Census Region,West,21359,352143278,6.0905,0.0421,6.009,6.1727,6.09 ± 0.04
2006-2010,C22,Liver Cancer,Liver,Census Region,National,90819,1512661979,5.5849,0.0187,5.5486,5.6213,5.58 ± 0.02
2006-2010,C25,Pancreatic Cancer,Pancreatic,Census Region,Northeast,36033,274502288,11.3776,0.0603,11.2604,11.4957,11.38 ± 0.06
2006-2010,C25,Pancreatic Cancer,Pancreatic,Census Region,Midwest,40622,330927436,11.183,0.0558,11.0745,11.2923,11.18 ± 0.06
2006-2010,C25,Pancreatic Cancer,Pancreatic,Census Region,South,62044,555088977,10.723,0.0433,10.6388,10.8077,10.72 ± 0.04
2006-2010,C25,Pancreatic Cancer,Pancreatic,Census Region,West,35539,352143278,10.422,0.0557,10.314,10.531,10.42 ± 0.06
2006-2010,C25,Pancreatic Cancer,Pancreatic,Census Region,National,174238,1512661979,10.8897,0.0262,10.8386,10.9409,10.89 ± 0.03
2006-2010,C34,Lung Cancer,Lung,Census Region,Northeast,147076,274502288,46.9172,0.123,46.6777,47.1576,46.92 ± 0.12
2006-2010,C34,Lung Cancer,Lung,Census Region,Midwest,190089,330927436,52.78,0.1217,52.543,53.0178,52.78 ± 0.12
2006-2010,C34,Lung Cancer,Lung,Census Region,South,313833,555088977,53.8981,0.0968,53.7097,54.087,53.90 ± 0.10
2006-2010,C34,Lung Cancer,Lung,Census Region,West,136238,352143278,40.347,0.1101,40.133,40.5618,40.35 ± 0.11
2006-2010,C34,Lung Cancer,Lung,Census Region,National,787236,1512661979,49.3533,0.0559,49.2444,49.4625,49.35 ± 0.06
2006-2010,C50,Breast Cancer,Breast,Census Region,Northeast,41408,274502288,13.0774,0.0648,12.9517,13.204,13.08 ± 0.06
2006-2010,C50,Breast Cancer,Breast,Census Region,Midwest,47455,330927436,13.0355,0.0603,12.9185,13.1533,13.04 ± 0.06
2006-2010,C50,Breast Cancer,Breast,Census Region,South,74475,555088977,12.8005,0.0472,12.7087,12.8928,12.80 ± 0.05
2006-2010,C50,Breast Cancer,Breast,Census Region,West,40944,352143278,11.7672,0.0586,11.6535,11.8817,11.77 ± 0.06
2006-2010,C50,Breast Cancer,Breast,Census Region,National,204282,1512661979,12.6924,0.0283,12.6375,12.7476,12.69 ± 0.03
2006-2010,C56,Ovary Cancer,Ovarian,Census Region,Northeast,14923,274502288,4.7104,0.0388,4.6351,4.7865,4.71 ± 0.04
2006-2010,C56,Ovary Cancer,Ovarian,Census Region,Midwest,16678,330927436,4.5969,0.0358,4.5274,4.6672,4.60 ± 0.04
2006-2010,C56,Ovary Cancer,Ovarian,Census Region,South,25412,555088977,4.3838,0.0277,4.3301,4.4381,4.38 ± 0.03
2006-2010,C56,Ovary Cancer,Ovarian,Census Region,West,15436,352143278,4.468,0.0363,4.3977,4.539,4.47 ± 0.04
2006-2010,C56,Ovary Cancer,Ovarian,Census Region,National,72449,1512661979,4.513,0.0169,4.4802,4.5459,4.51 ± 0.02
2006-2010,C61,Prostate Cancer,Prostate,Census Region,Northeast,27184,274502288,8.4494,0.0516,8.3492,8.5504,8.45 ± 0.05
2006-2010,C61,Prostate Cancer,Prostate,Census Region,Midwest,32572,330927436,8.9587,0.0499,8.8616,9.0565,8.96 ± 0.05
2006-2010,C61,Prostate Cancer,Prostate,Census Region,South,51363,555088977,9.2166,0.0408,9.1371,9.2967,9.22 ± 0.04
2006-2010,C61,Prostate Cancer,Prostate,Census Region,West,30597,352143278,9.2861,0.0533,9.1823,9.3908,9.29 ± 0.05
2006-2010,C61,Prostate Cancer,Prostate,Census Region,National,141716,1512661979,9.0137,0.024,8.9668,9.0608,9.01 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Census Region,Northeast,11382,274502288,3.5964,0.0339,3.5306,3.6631,3.60 ± 0.03
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Census Region,Midwest,15811,330927436,4.3498,0.0348,4.2823,4.4182,4.35 ± 0.03
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Census Region,South,24001,555088977,4.1233,0.0268,4.0713,4.1758,4.12 ± 0.03
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Census Region,West,12553,352143278,3.65,0.0328,3.5864,3.7144,3.65 ± 0.03
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Census Region,National,63747,1512661979,3.9682,0.0158,3.9375,3.9992,3.97 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,Census Region,Northeast,20145,274502288,6.386,0.0453,6.2981,6.4748,6.39 ± 0.05
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,Census Region,Midwest,24871,330927436,6.9043,0.044,6.8187,6.9906,6.90 ± 0.04
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,Census Region,South,35820,555088977,6.3062,0.0335,6.241,6.3718,6.31 ± 0.03
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,Census Region,West,20787,352143278,6.1803,0.0432,6.0966,6.2649,6.18 ± 0.04
