Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
Climate Zone (Dry),,,,,,,,
NDD,"96,621 (0.57‰)",57.91 ± 0.19,"122,066 (0.67‰)",61.77 ± 0.18,"133,827 (0.70‰)",58.65 ± 0.16,"112,417 (0.71‰)",59.55 ± 0.18
Dementia,"82,011 (0.48‰)",49.16 ± 0.17,"103,913 (0.57‰)",52.40 ± 0.16,"111,064 (0.58‰)",48.53 ± 0.15,"91,314 (0.58‰)",48.18 ± 0.16
PD,"11,220 (0.07‰)",6.79 ± 0.06,"14,140 (0.08‰)",7.34 ± 0.06,"18,743 (0.10‰)",8.36 ± 0.06,"17,699 (0.11‰)",9.28 ± 0.07
ALS,"3,004 (0.02‰)",1.74 ± 0.03,"3,578 (0.02‰)",1.80 ± 0.03,"3,519 (0.02‰)",1.53 ± 0.03,"2,996 (0.02‰)",1.82 ± 0.03
HD,386 (0.00‰),0.22 ± 0.01,435 (0.00‰),0.23 ± 0.01,501 (0.00‰),0.23 ± 0.01,408 (0.00‰),0.27 ± 0.01
Climate Zone (Temperate),,,,,,,,
NDD,"601,229 (0.63‰)",61.38 ± 0.08,"798,608 (0.79‰)",71.91 ± 0.08,"877,216 (0.84‰)",70.50 ± 0.08,"683,128 (0.81‰)",68.17 ± 0.08
Dementia,"518,507 (0.54‰)",52.88 ± 0.07,"697,230 (0.69‰)",62.60 ± 0.08,"746,151 (0.71‰)",59.87 ± 0.07,"561,722 (0.66‰)",55.99 ± 0.08
PD,"61,368 (0.06‰)",6.39 ± 0.03,"76,539 (0.08‰)",7.12 ± 0.03,"106,167 (0.10‰)",8.69 ± 0.03,"100,127 (0.12‰)",9.83 ± 0.03
ALS,"18,753 (0.02‰)",1.86 ± 0.01,"21,799 (0.02‰)",1.92 ± 0.01,"21,490 (0.02‰)",1.67 ± 0.01,"18,449 (0.02‰)",2.02 ± 0.02
HD,"2,601 (0.00‰)",0.25 ± 0.01,"3,040 (0.00‰)",0.27 ± 0.01,"3,408 (0.00‰)",0.28 ± 0.00,"2,830 (0.00‰)",0.34 ± 0.01
Climate Zone (Continental),,,,,,,,
NDD,"277,557 (0.73‰)",62.52 ± 0.12,"356,317 (0.92‰)",73.74 ± 0.13,"400,900 (1.02‰)",77.84 ± 0.12,"306,853 (0.99‰)",77.81 ± 0.14
Dementia,"237,796 (0.62‰)",53.14 ± 0.11,"310,117 (0.80‰)",63.61 ± 0.12,"344,953 (0.88‰)",66.56 ± 0.11,"256,968 (0.83‰)",64.89 ± 0.13
PD,"28,993 (0.08‰)",6.81 ± 0.04,"34,383 (0.09‰)",7.54 ± 0.04,"44,550 (0.11‰)",9.00 ± 0.04,"40,220 (0.13‰)",10.11 ± 0.05
ALS,"9,354 (0.02‰)",2.24 ± 0.02,"10,238 (0.03‰)",2.24 ± 0.02,"9,671 (0.02‰)",1.92 ± 0.02,"8,255 (0.03‰)",2.36 ± 0.03
HD,"1,414 (0.00‰)",0.34 ± 0.01,"1,579 (0.00‰)",0.35 ± 0.01,"1,726 (0.00‰)",0.37 ± 0.01,"1,410 (0.00‰)",0.46 ± 0.01
Climate Zone (Unclassified),,,,,,,,
NDD,"4,089 (0.62‰)",59.75 ± 0.94,"4,892 (0.73‰)",70.62 ± 1.02,"4,812 (0.73‰)",67.87 ± 0.99,"3,414 (0.67‰)",64.81 ± 1.12
Dementia,"3,672 (0.56‰)",53.40 ± 0.89,"4,391 (0.66‰)",63.09 ± 0.97,"4,236 (0.64‰)",59.54 ± 0.93,"2,961 (0.58‰)",56.20 ± 1.04
PD,299 (0.05‰),4.55 ± 0.26,347 (0.05‰),5.26 ± 0.29,466 (0.07‰),6.82 ± 0.32,365 (0.07‰),6.85 ± 0.36
ALS,101 (0.02‰),1.55 ± 0.16,133 (0.02‰),1.98 ± 0.17,92 (0.01‰),1.27 ± 0.14,74 (0.01‰),1.47 ± 0.18
HD,17 (0.00‰),0.25 ± 0.06,21 (0.00‰),0.30 ± 0.07,18 (0.00‰),0.24 ± 0.06,14 (0.00‰),0.29 ± 0.08
EQI Cluster (Low-burden),,,,,,,,
NDD,"49,616 (0.61‰)",56.46 ± 0.25,"66,381 (0.81‰)",68.55 ± 0.27,"75,753 (0.92‰)",69.87 ± 0.25,"60,892 (0.94‰)",71.36 ± 0.29
Dementia,"43,218 (0.53‰)",49.38 ± 0.24,"58,583 (0.71‰)",60.65 ± 0.25,"65,329 (0.79‰)",60.33 ± 0.24,"51,469 (0.80‰)",60.18 ± 0.27
PD,"4,595 (0.06‰)",5.18 ± 0.08,"5,764 (0.07‰)",5.91 ± 0.08,"8,544 (0.10‰)",7.82 ± 0.08,"7,849 (0.12‰)",8.99 ± 0.10
ALS,"1,537 (0.02‰)",1.61 ± 0.04,"1,754 (0.02‰)",1.70 ± 0.04,"1,567 (0.02‰)",1.41 ± 0.04,"1,330 (0.02‰)",1.80 ± 0.05
HD,266 (0.00‰),0.29 ± 0.02,280 (0.00‰),0.30 ± 0.02,313 (0.00‰),0.31 ± 0.02,244 (0.00‰),0.40 ± 0.03
EQI Cluster (Mixed-burden),,,,,,,,
NDD,"281,594 (0.66‰)",56.59 ± 0.11,"364,594 (0.82‰)",65.46 ± 0.11,"394,203 (0.86‰)",64.02 ± 0.10,"309,327 (0.83‰)",62.19 ± 0.11
Dementia,"241,579 (0.56‰)",48.33 ± 0.10,"316,373 (0.71‰)",56.42 ± 0.10,"333,706 (0.73‰)",53.88 ± 0.09,"253,995 (0.68‰)",50.75 ± 0.10
PD,"30,137 (0.07‰)",6.21 ± 0.04,"36,745 (0.08‰)",6.88 ± 0.04,"49,140 (0.11‰)",8.22 ± 0.04,"45,738 (0.12‰)",9.15 ± 0.04
ALS,"8,667 (0.02‰)",1.80 ± 0.02,"10,018 (0.02‰)",1.87 ± 0.02,"9,903 (0.02‰)",1.66 ± 0.02,"8,326 (0.02‰)",1.96 ± 0.02
HD,"1,211 (0.00‰)",0.26 ± 0.01,"1,458 (0.00‰)",0.29 ± 0.01,"1,454 (0.00‰)",0.26 ± 0.01,"1,268 (0.00‰)",0.34 ± 0.01
EQI Cluster (High-burden),,,,,,,,
NDD,"648,149 (0.64‰)",64.09 ± 0.08,"850,705 (0.81‰)",74.36 ± 0.08,"946,529 (0.87‰)",74.55 ± 0.08,"735,327 (0.84‰)",73.05 ± 0.09
Dementia,"557,070 (0.55‰)",54.94 ± 0.07,"740,516 (0.70‰)",64.46 ± 0.08,"807,159 (0.74‰)",63.42 ± 0.07,"607,296 (0.69‰)",60.30 ± 0.08
PD,"67,136 (0.07‰)",6.82 ± 0.03,"82,884 (0.08‰)",7.55 ± 0.03,"112,202 (0.10‰)",9.05 ± 0.03,"104,776 (0.12‰)",10.23 ± 0.03
ALS,"21,003 (0.02‰)",2.05 ± 0.01,"23,968 (0.02‰)",2.07 ± 0.01,"23,283 (0.02‰)",1.77 ± 0.01,"20,106 (0.02‰)",2.15 ± 0.02
HD,"2,940 (0.00‰)",0.28 ± 0.01,"3,337 (0.00‰)",0.29 ± 0.01,"3,885 (0.00‰)",0.31 ± 0.01,"3,149 (0.00‰)",0.37 ± 0.01
EQI Cluster (Unclassified),,,,,,,,
NDD,137 (0.52‰),77.36 ± 6.63,203 (0.61‰),69.94 ± 4.93,270 (0.64‰),64.35 ± 3.94,266 (0.74‰),64.02 ± 3.96
Dementia,119 (0.45‰),68.19 ± 6.26,179 (0.54‰),62.14 ± 4.66,210 (0.50‰),50.64 ± 3.51,205 (0.57‰),49.21 ± 3.45
PD,12 (0.05‰),6.73 ± 1.94,16 (0.05‰),5.29 ± 1.33,40 (0.09‰),9.64 ± 1.54,48 (0.13‰),11.93 ± 1.75
ALS,5 (0.02‰),2.12 ± 0.97,8 (0.02‰),2.51 ± 0.91,19 (0.04‰),3.79 ± 0.89,12 (0.03‰),2.70 ± 0.83
HD,1 (0.00‰),0.32 ± 0.32,0 (0.00‰),0.00 ± 0.00,1 (0.00‰),0.27 ± 0.27,1 (0.00‰),0.18 ± 0.18
Land Use Cluster (Natural),,,,,,,,
NDD,"367,657 (0.64‰)",64.40 ± 0.11,"479,039 (0.80‰)",73.60 ± 0.11,"537,058 (0.87‰)",73.32 ± 0.10,"434,671 (0.87‰)",73.35 ± 0.11
Dementia,"316,160 (0.55‰)",55.41 ± 0.10,"416,386 (0.70‰)",63.91 ± 0.10,"456,688 (0.74‰)",62.37 ± 0.09,"359,206 (0.72‰)",60.64 ± 0.10
PD,"37,959 (0.07‰)",6.74 ± 0.03,"46,936 (0.08‰)",7.38 ± 0.03,"64,697 (0.10‰)",8.91 ± 0.04,"61,933 (0.12‰)",10.20 ± 0.04
ALS,"11,777 (0.02‰)",1.96 ± 0.02,"13,706 (0.02‰)",2.02 ± 0.02,"13,462 (0.02‰)",1.74 ± 0.02,"11,647 (0.02‰)",2.13 ± 0.02
HD,"1,761 (0.00‰)",0.29 ± 0.01,"2,011 (0.00‰)",0.30 ± 0.01,"2,211 (0.00‰)",0.30 ± 0.01,"1,885 (0.00‰)",0.39 ± 0.01
Land Use Cluster (Water-sensitive),,,,,,,,
NDD,"180,858 (0.72‰)",58.67 ± 0.14,"235,137 (0.91‰)",66.86 ± 0.14,"254,278 (0.95‰)",64.58 ± 0.13,"201,321 (0.93‰)",63.82 ± 0.14
Dementia,"155,432 (0.62‰)",50.20 ± 0.13,"204,435 (0.79‰)",57.73 ± 0.13,"215,527 (0.80‰)",54.42 ± 0.12,"165,093 (0.77‰)",52.02 ± 0.13
PD,"19,075 (0.08‰)",6.32 ± 0.05,"23,449 (0.09‰)",6.94 ± 0.05,"31,630 (0.12‰)",8.24 ± 0.05,"30,073 (0.14‰)",9.44 ± 0.06
ALS,"5,707 (0.02‰)",1.92 ± 0.03,"6,449 (0.02‰)",1.93 ± 0.02,"6,275 (0.02‰)",1.67 ± 0.02,"5,414 (0.03‰)",2.05 ± 0.03
HD,644 (0.00‰),0.22 ± 0.01,804 (0.00‰),0.26 ± 0.01,846 (0.00‰),0.25 ± 0.01,741 (0.00‰),0.32 ± 0.01
Land Use Cluster (Agricultural),,,,,,,,
NDD,"182,362 (0.71‰)",65.19 ± 0.15,"235,962 (0.89‰)",76.53 ± 0.16,"267,077 (0.99‰)",79.78 ± 0.16,"205,932 (0.93‰)",77.55 ± 0.17
Dementia,"156,460 (0.61‰)",55.64 ± 0.14,"204,910 (0.78‰)",66.07 ± 0.15,"228,261 (0.84‰)",67.91 ± 0.14,"170,597 (0.77‰)",64.03 ± 0.16
PD,"19,057 (0.07‰)",7.04 ± 0.05,"23,404 (0.09‰)",7.92 ± 0.05,"31,283 (0.12‰)",9.60 ± 0.05,"28,968 (0.13‰)",10.79 ± 0.06
ALS,"5,896 (0.02‰)",2.16 ± 0.03,"6,578 (0.02‰)",2.17 ± 0.03,"6,290 (0.02‰)",1.87 ± 0.02,"5,396 (0.02‰)",2.27 ± 0.03
HD,949 (0.00‰),0.35 ± 0.01,"1,070 (0.00‰)",0.37 ± 0.01,"1,243 (0.00‰)",0.40 ± 0.01,971 (0.00‰),0.46 ± 0.02
Land Use Cluster (Urban),,,,,,,,
NDD,"248,560 (0.56‰)",56.77 ± 0.11,"331,691 (0.72‰)",68.06 ± 0.12,"358,318 (0.75‰)",67.17 ± 0.11,"263,870 (0.69‰)",63.37 ± 0.12
Dementia,"213,884 (0.48‰)",48.62 ± 0.11,"289,873 (0.63‰)",59.08 ± 0.11,"305,907 (0.64‰)",57.03 ± 0.10,"218,052 (0.57‰)",52.22 ± 0.11
PD,"25,780 (0.06‰)",6.11 ± 0.04,"31,617 (0.07‰)",6.86 ± 0.04,"42,313 (0.09‰)",8.27 ± 0.04,"37,436 (0.10‰)",8.96 ± 0.05
