Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
NDD,"67,558 (0.70‰)",58.42 ± 0.22,"87,359 (0.88‰)",66.97 ± 0.23,"95,892 (0.94‰)",64.94 ± 0.21,"78,628 (0.94‰)",65.58 ± 0.24
Dementia,"58,665 (0.61‰)",50.78 ± 0.21,"76,678 (0.77‰)",58.71 ± 0.21,"81,821 (0.80‰)",55.30 ± 0.19,"65,460 (0.78‰)",54.28 ± 0.21
PD,"6,577 (0.07‰)",5.66 ± 0.07,"8,019 (0.08‰)",6.19 ± 0.07,"11,550 (0.11‰)",7.85 ± 0.07,"11,051 (0.13‰)",9.09 ± 0.09
ALS,"2,017 (0.02‰)",1.70 ± 0.04,"2,296 (0.02‰)",1.76 ± 0.04,"2,147 (0.02‰)",1.50 ± 0.03,"1,800 (0.02‰)",1.83 ± 0.05
HD,299 (0.00‰),0.27 ± 0.02,366 (0.00‰),0.31 ± 0.02,374 (0.00‰),0.29 ± 0.02,317 (0.00‰),0.38 ± 0.02
EQI Quintile (Q3),,,,,,,,
NDD,"121,247 (0.67‰)",59.89 ± 0.17,"157,561 (0.84‰)",69.40 ± 0.18,"170,659 (0.89‰)",67.19 ± 0.16,"134,604 (0.85‰)",65.12 ± 0.18
Dementia,"104,290 (0.58‰)",51.47 ± 0.16,"137,239 (0.73‰)",60.30 ± 0.16,"144,581 (0.75‰)",56.84 ± 0.15,"110,244 (0.70‰)",53.15 ± 0.16
PD,"12,677 (0.07‰)",6.33 ± 0.06,"15,334 (0.08‰)",6.89 ± 0.06,"21,161 (0.11‰)",8.40 ± 0.06,"20,160 (0.13‰)",9.57 ± 0.07
ALS,"3,719 (0.02‰)",1.81 ± 0.03,"4,354 (0.02‰)",1.91 ± 0.03,"4,262 (0.02‰)",1.67 ± 0.03,"3,612 (0.02‰)",2.02 ± 0.04
HD,561 (0.00‰),0.28 ± 0.01,634 (0.00‰),0.30 ± 0.01,655 (0.00‰),0.28 ± 0.01,588 (0.00‰),0.38 ± 0.02
EQI Quintile (Q4),,,,,,,,
NDD,"180,028 (0.69‰)",62.32 ± 0.15,"232,666 (0.86‰)",72.66 ± 0.15,"253,468 (0.91‰)",72.12 ± 0.14,"197,980 (0.87‰)",70.35 ± 0.16
Dementia,"154,867 (0.59‰)",53.43 ± 0.14,"202,657 (0.75‰)",63.01 ± 0.14,"216,196 (0.77‰)",61.33 ± 0.13,"163,536 (0.72‰)",57.96 ± 0.14
PD,"18,648 (0.07‰)",6.60 ± 0.05,"22,703 (0.08‰)",7.32 ± 0.05,"30,134 (0.11‰)",8.74 ± 0.05,"28,399 (0.12‰)",9.91 ± 0.06
ALS,"5,676 (0.02‰)",1.99 ± 0.03,"6,293 (0.02‰)",1.99 ± 0.03,"6,001 (0.02‰)",1.69 ± 0.02,"5,161 (0.02‰)",2.06 ± 0.03
HD,837 (0.00‰),0.30 ± 0.01,"1,013 (0.00‰)",0.33 ± 0.01,"1,137 (0.00‰)",0.36 ± 0.01,884 (0.00‰),0.41 ± 0.01
EQI Quintile (Q5),,,,,,,,
NDD,"579,795 (0.63‰)",62.20 ± 0.08,"762,486 (0.79‰)",72.31 ± 0.08,"848,289 (0.85‰)",72.74 ± 0.08,"653,839 (0.81‰)",70.90 ± 0.09
Dementia,"497,271 (0.54‰)",53.12 ± 0.08,"662,397 (0.68‰)",62.43 ± 0.08,"722,409 (0.72‰)",61.70 ± 0.07,"539,566 (0.67‰)",58.41 ± 0.08
PD,"61,045 (0.07‰)",6.78 ± 0.03,"75,406 (0.08‰)",7.53 ± 0.03,"101,174 (0.10‰)",8.97 ± 0.03,"93,220 (0.12‰)",10.00 ± 0.03
ALS,"18,882 (0.02‰)",2.03 ± 0.01,"21,770 (0.02‰)",2.08 ± 0.01,"21,376 (0.02‰)",1.79 ± 0.01,"18,332 (0.02‰)",2.15 ± 0.02
HD,"2,597 (0.00‰)",0.27 ± 0.01,"2,913 (0.00‰)",0.27 ± 0.01,"3,330 (0.00‰)",0.29 ± 0.01,"2,721 (0.00‰)",0.35 ± 0.01
EQI Quintile (Unclassified),,,,,,,,
NDD,137 (0.52‰),77.36 ± 6.63,203 (0.61‰),69.94 ± 4.93,270 (0.64‰),64.35 ± 3.94,266 (0.74‰),64.02 ± 3.96
Dementia,119 (0.45‰),68.19 ± 6.26,179 (0.54‰),62.14 ± 4.66,210 (0.50‰),50.64 ± 3.51,205 (0.57‰),49.21 ± 3.45
PD,12 (0.05‰),6.73 ± 1.94,16 (0.05‰),5.29 ± 1.33,40 (0.09‰),9.64 ± 1.54,48 (0.13‰),11.93 ± 1.75
ALS,5 (0.02‰),2.12 ± 0.97,8 (0.02‰),2.51 ± 0.91,19 (0.04‰),3.79 ± 0.89,12 (0.03‰),2.70 ± 0.83
HD,1 (0.00‰),0.32 ± 0.32,0 (0.00‰),0.00 ± 0.00,1 (0.00‰),0.27 ± 0.27,1 (0.00‰),0.18 ± 0.18
