ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
"C18_C21","2006_2010","2016_2020",10,"EQI_Water+SM+PA+OB","0.00","-1.58(-2.21,-0.93)","-0.05(-0.69,0.59)","-0.07(-0.73,0.59)","0.08(-0.60,0.77)","0.0002","0.8713","0.8409","0.8180","1.0012","1.0009","1.0009","1.0028",2860,2324,2384,2408,3574,3514,2956,2993,"0.39(0.33,0.46)","0.0002","1.0007",4037,3864,"-0.19(-0.25,-0.13)","0.0002","1.0005",3091,3489,"0.11(0.05,0.18)","0.0002","1.0007",3776,4004
"C18_C21","2006_2010","2016_2020",10,"EQI_Land+SM+PA+OB","0.00","0.51(-0.00,1.04)","1.00(0.49,1.53)","0.83(0.29,1.39)","1.46(0.85,2.08)","0.0506","0.0002","0.0027","0.0002","1.0004","1.0007","1.0009","1.0011",3715,3399,3112,3344,3760,4106,4012,3378,"0.39(0.33,0.46)","0.0002","1.0007",4037,3864,"-0.19(-0.25,-0.13)","0.0002","1.0005",3091,3489,"0.11(0.05,0.18)","0.0002","1.0007",3776,4004
"C18_C21","2006_2010","2016_2020",10,"EQI_Built+SM+PA+OB","0.00","0.14(-0.43,0.73)","-0.09(-0.70,0.52)","-0.44(-1.04,0.15)","-0.83(-1.46,-0.20)","0.6367","0.7721","0.1623","0.0085","0.9999","1.0008","1.0003","1.0004",2922,2490,2588,2573,3657,3411,3457,3475,"0.39(0.33,0.46)","0.0002","1.0007",4037,3864,"-0.19(-0.25,-0.13)","0.0002","1.0005",3091,3489,"0.11(0.05,0.18)","0.0002","1.0007",3776,4004
"C18_C21","2006_2010","2016_2020",10,"EQI_Social+SM+PA+OB","0.00","-0.97(-1.49,-0.44)","-0.82(-1.44,-0.21)","-0.80(-1.51,-0.07)","-3.01(-3.78,-2.22)","0.0002","0.0098","0.0273","0.0002","1.0009","1.0008","1.0011","1.0005",2798,2723,2702,2778,3430,3197,3321,3182,"0.39(0.33,0.46)","0.0002","1.0007",4037,3864,"-0.19(-0.25,-0.13)","0.0002","1.0005",3091,3489,"0.11(0.05,0.18)","0.0002","1.0007",3776,4004
"C18_C21","2006_2010","2021_2024",15,"EQI+SM+PA+OB","0.00","1.45(0.65,2.26)","1.83(1.00,2.65)","0.78(-0.08,1.61)","0.40(-0.46,1.26)","0.0010","0.0002","0.0773","0.3735","0.9995","0.9998","0.9995","1.0001",3499,2985,2764,2641,3342,3674,3628,3477,"0.50(0.41,0.58)","0.0002","1.0008",5180,3587,"-0.14(-0.20,-0.08)","0.0006","1.0039",3436,3460,"0.15(0.07,0.23)","0.0002","1.0032",3558,3225
"C18_C21","2006_2010","2021_2024",15,"EQI_Air+SM+PA+OB","0.00","-0.10(-0.83,0.62)","0.31(-0.48,1.13)","0.05(-0.73,0.85)","0.22(-0.60,1.06)","0.7934","0.4601","0.9100","0.6080","1.0006","1.0017","1.0004","1.0007",3171,2843,2691,2621,3941,3533,3370,3598,"0.56(0.48,0.65)","0.0002","1.0008",4392,3587,"-0.23(-0.30,-0.16)","0.0002","1.0013",3064,3352,"0.18(0.10,0.27)","0.0002","1.0013",3859,3720
"C18_C21","2006_2010","2021_2024",15,"EQI_Water+SM+PA+OB","0.00","-1.10(-1.95,-0.25)","0.12(-0.79,1.05)","0.39(-0.52,1.34)","0.63(-0.33,1.60)","0.0090","0.7938","0.3910","0.1989","1.0003","1.0005","0.9998","1.0009",2908,2506,2439,2425,3664,3160,3119,2989,"0.56(0.48,0.65)","0.0002","1.0008",4392,3587,"-0.23(-0.30,-0.16)","0.0002","1.0013",3064,3352,"0.18(0.10,0.27)","0.0002","1.0013",3859,3720
"C18_C21","2006_2010","2021_2024",15,"EQI_Land+SM+PA+OB","0.00","1.08(0.41,1.75)","1.25(0.55,1.92)","1.09(0.36,1.82)","1.93(1.13,2.69)","0.0023","0.0019","0.0060","0.0002","1.0006","1.0010","1.0011","1.0014",4060,3746,3400,3589,4050,3505,3650,3577,"0.56(0.48,0.65)","0.0002","1.0008",4392,3587,"-0.23(-0.30,-0.16)","0.0002","1.0013",3064,3352,"0.18(0.10,0.27)","0.0002","1.0013",3859,3720
"C18_C21","2006_2010","2021_2024",15,"EQI_Built+SM+PA+OB","0.00","0.24(-0.49,0.97)","-0.25(-1.02,0.53)","-0.38(-1.18,0.40)","-1.55(-2.35,-0.76)","0.5168","0.5259","0.3306","0.0002","1.0001","1.0004","1.0005","1.0001",3338,2868,2914,2779,3821,3427,3445,2891,"0.56(0.48,0.65)","0.0002","1.0008",4392,3587,"-0.23(-0.30,-0.16)","0.0002","1.0013",3064,3352,"0.18(0.10,0.27)","0.0002","1.0013",3859,3720
"C18_C21","2006_2010","2021_2024",15,"EQI_Social+SM+PA+OB","0.00","-0.85(-1.53,-0.17)","-0.79(-1.61,0.04)","-1.73(-2.65,-0.78)","-3.07(-4.11,-2.01)","0.0148","0.0623","0.0002","0.0002","1.0005","1.0009","1.0007","1.0007",3310,2849,2805,2721,3539,3740,3589,3589,"0.56(0.48,0.65)","0.0002","1.0008",4392,3587,"-0.23(-0.30,-0.16)","0.0002","1.0013",3064,3352,"0.18(0.10,0.27)","0.0002","1.0013",3859,3720
