ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
"I20_I25","2000_2005","2011_2015",10,"EQI_Social+SM+PA+OB","0.00","0.00(-3.05,2.92)","-3.50(-6.78,-0.21)","-5.39(-8.86,-1.79)","-7.04(-11.16,-2.97)","0.9960","0.0402","0.0022","0.0007","1.0009","1.0002","1.0014","1.0005",2691,2427,2080,1940,2651,2855,2924,2710,"3.82(3.40,4.24)","0.0002","0.9997",2717,2449,"-0.61(-0.78,-0.44)","0.0002","0.9998",2210,2823,"1.05(0.71,1.39)","0.0002","1.0012",3116,3219
"I20_I25","2000_2005","2016_2020",15,"EQI+SM+PA+OB","0.00","7.23(4.26,10.19)","6.02(2.99,9.07)","5.89(2.55,9.17)","5.18(1.27,8.84)","0.0002","0.0002","0.0002","0.0077","1.0011","1.0006","1.0004","1.0004",3735,2996,2723,2381,3174,3155,3028,2943,"3.67(3.28,4.06)","0.0002","1.0015",3041,2790,"-0.62(-0.77,-0.47)","0.0002","1.0004",2532,3172,"1.14(0.80,1.47)","0.0002","1.0004",2691,2807
"I20_I25","2000_2005","2016_2020",15,"EQI_Air+SM+PA+OB","0.00","3.52(0.45,6.67)","6.39(3.14,9.65)","6.12(2.73,9.37)","5.22(1.49,8.76)","0.0212","0.0002","0.0002","0.0062","0.9999","0.9997","1.0004","0.9999",3113,2986,2582,2746,3196,3276,3428,3090,"3.51(3.11,3.91)","0.0002","1.0001",3882,3365,"-0.56(-0.73,-0.40)","0.0002","1.0008",2782,3018,"1.05(0.70,1.39)","0.0002","1.0005",3466,3169
"I20_I25","2000_2005","2016_2020",15,"EQI_Water+SM+PA+OB","0.00","-1.23(-5.21,2.51)","0.53(-3.28,4.32)","1.08(-2.89,4.96)","0.88(-3.10,4.87)","0.5351","0.7851","0.5856","0.6926","1.0017","1.0014","1.0027","1.0032",2809,2466,2501,2484,2890,2804,2990,3089,"3.51(3.11,3.91)","0.0002","1.0001",3882,3365,"-0.56(-0.73,-0.40)","0.0002","1.0008",2782,3018,"1.05(0.70,1.39)","0.0002","1.0005",3466,3169
"I20_I25","2000_2005","2016_2020",15,"EQI_Land+SM+PA+OB","0.00","1.15(-1.83,4.08)","1.81(-1.32,4.92)","2.40(-1.01,5.83)","4.23(0.59,7.83)","0.4436","0.2552","0.1697","0.0237","1.0004","1.0008","1.0003","1.0004",4182,3647,3288,3139,3195,3588,3475,3216,"3.51(3.11,3.91)","0.0002","1.0001",3882,3365,"-0.56(-0.73,-0.40)","0.0002","1.0008",2782,3018,"1.05(0.70,1.39)","0.0002","1.0005",3466,3169
"I20_I25","2000_2005","2016_2020",15,"EQI_Built+SM+PA+OB","0.00","4.54(1.56,7.48)","7.44(4.50,10.53)","6.84(3.77,9.97)","7.51(4.21,10.92)","0.0027","0.0002","0.0002","0.0002","1.0016","1.0003","1.0000","1.0003",3784,3370,3122,3008,2944,3070,3039,3076,"3.51(3.11,3.91)","0.0002","1.0001",3882,3365,"-0.56(-0.73,-0.40)","0.0002","1.0008",2782,3018,"1.05(0.70,1.39)","0.0002","1.0005",3466,3169
"I20_I25","2000_2005","2016_2020",15,"EQI_Social+SM+PA+OB","0.00","0.71(-2.12,3.56)","-3.30(-6.43,-0.05)","-5.52(-9.04,-1.94)","-7.64(-11.79,-3.70)","0.6331","0.0472","0.0027","0.0002","1.0015","1.0016","1.0010","1.0015",3501,3094,2733,2527,3234,2766,2714,2713,"3.51(3.11,3.91)","0.0002","1.0001",3882,3365,"-0.56(-0.73,-0.40)","0.0002","1.0008",2782,3018,"1.05(0.70,1.39)","0.0002","1.0005",3466,3169
"I20_I25","2000_2005","2021_2024",20,"EQI+SM+PA+OB","0.00","6.23(2.72,9.65)","5.88(2.41,9.39)","2.94(-0.82,6.62)","4.13(-0.13,8.47)","0.0002","0.0002","0.1202","0.0592","0.9993","1.0006","1.0001","0.9998",4262,3263,2893,2666,3509,3332,3031,3144,"4.56(4.09,5.03)","0.0002","1.0007",3485,3014,"-0.87(-1.04,-0.70)","0.0002","0.9998",2633,3071,"1.30(0.90,1.70)","0.0002","1.0002",3131,2991
"I20_I25","2000_2005","2021_2024",20,"EQI_Air+SM+PA+OB","0.00","3.43(0.01,6.97)","6.54(2.97,9.96)","5.78(2.20,9.47)","3.89(-0.19,7.93)","0.0497","0.0002","0.0017","0.0632","1.0009","1.0006","1.0014","1.0016",3123,2815,2523,2396,3138,3225,2934,2930,"4.33(3.83,4.82)","0.0002","1.0002",2689,2500,"-0.73(-0.92,-0.54)","0.0002","1.0024",1952,2292,"1.17(0.77,1.59)","0.0002","1.0000",2828,3002
"I20_I25","2000_2005","2021_2024",20,"EQI_Water+SM+PA+OB","0.00","-3.98(-8.13,0.19)","0.59(-3.61,4.89)","1.39(-3.05,5.60)","2.00(-2.47,6.51)","0.0652","0.8000","0.5096","0.3812","1.0004","1.0003","0.9999","1.0000",2614,2334,2303,2265,3051,2956,2993,2671,"4.33(3.83,4.82)","0.0002","1.0002",2689,2500,"-0.73(-0.92,-0.54)","0.0002","1.0024",1952,2292,"1.17(0.77,1.59)","0.0002","1.0000",2828,3002
