ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
"J43_J44","2000_2005","2011_2015",10,"EQI_Social+SM+PA+OB","0.00","1.89(0.30,3.47)","1.23(-0.52,2.97)","0.75(-1.13,2.61)","1.51(-0.78,3.75)","0.0202","0.1717","0.4416","0.1972","1.0026","1.0039","1.0064","1.0072",1542,1243,1051,933,2521,2100,2024,1706,"2.84(2.66,3.03)","0.0002","1.0021",1975,2361,"-0.37(-0.48,-0.26)","0.0002","1.0072",1192,1906,"-0.38(-0.54,-0.22)","0.0002","1.0015",1944,2595
"J43_J44","2000_2005","2016_2020",15,"EQI+SM+PA+OB","0.00","3.28(1.76,4.80)","3.89(2.28,5.47)","3.85(2.10,5.53)","3.37(1.32,5.36)","0.0002","0.0002","0.0002","0.0007","1.0022","1.0022","1.0040","1.0031",2286,1922,1591,1531,2861,2853,2641,2294,"2.96(2.78,3.14)","0.0002","1.0011",2339,2942,"-0.39(-0.49,-0.30)","0.0002","1.0018",1721,2378,"-0.21(-0.37,-0.05)","0.0112","1.0014",1968,2815
"J43_J44","2000_2005","2016_2020",15,"EQI_Air+SM+PA+OB","0.00","2.12(0.51,3.78)","3.24(1.54,4.94)","4.16(2.39,5.99)","2.63(0.73,4.59)","0.0107","0.0002","0.0002","0.0067","1.0001","0.9999","1.0009","1.0003",1491,1355,1186,1127,2435,2079,2017,1852,"2.92(2.73,3.11)","0.0002","1.0010",2217,2625,"-0.39(-0.50,-0.28)","0.0002","1.0004",1409,2116,"-0.26(-0.42,-0.10)","0.0027","0.9999",2404,2831
"J43_J44","2000_2005","2016_2020",15,"EQI_Water+SM+PA+OB","0.00","0.57(-1.47,2.59)","-0.07(-2.18,2.01)","2.05(-0.01,4.12)","2.29(0.08,4.54)","0.5846","0.9515","0.0527","0.0442","1.0017","1.0023","1.0017","1.0008",1054,961,965,953,1985,1892,1845,1696,"2.92(2.73,3.11)","0.0002","1.0010",2217,2625,"-0.39(-0.50,-0.28)","0.0002","1.0004",1409,2116,"-0.26(-0.42,-0.10)","0.0027","0.9999",2404,2831
"J43_J44","2000_2005","2016_2020",15,"EQI_Land+SM+PA+OB","0.00","-0.83(-2.33,0.59)","-1.12(-2.69,0.43)","-0.99(-2.75,0.85)","0.14(-1.72,2.06)","0.2557","0.1627","0.2732","0.8980","1.0008","1.0016","1.0012","1.0018",2144,1743,1485,1447,2754,2768,2192,2267,"2.92(2.73,3.11)","0.0002","1.0010",2217,2625,"-0.39(-0.50,-0.28)","0.0002","1.0004",1409,2116,"-0.26(-0.42,-0.10)","0.0027","0.9999",2404,2831
"J43_J44","2000_2005","2016_2020",15,"EQI_Built+SM+PA+OB","0.00","2.41(0.97,3.78)","3.22(1.72,4.61)","3.22(1.67,4.73)","2.19(0.52,3.82)","0.0002","0.0002","0.0002","0.0127","1.0023","1.0015","1.0024","1.0024",2231,1911,1764,1611,2828,2604,2707,2352,"2.92(2.73,3.11)","0.0002","1.0010",2217,2625,"-0.39(-0.50,-0.28)","0.0002","1.0004",1409,2116,"-0.26(-0.42,-0.10)","0.0027","0.9999",2404,2831
"J43_J44","2000_2005","2016_2020",15,"EQI_Social+SM+PA+OB","0.00","2.03(0.55,3.59)","0.35(-1.36,2.01)","-0.31(-2.16,1.52)","-0.57(-2.75,1.60)","0.0072","0.6726","0.7606","0.6126","1.0005","1.0003","1.0001","1.0004",1861,1443,1217,1164,2654,2195,2225,1883,"2.92(2.73,3.11)","0.0002","1.0010",2217,2625,"-0.39(-0.50,-0.28)","0.0002","1.0004",1409,2116,"-0.26(-0.42,-0.10)","0.0027","0.9999",2404,2831
"J43_J44","2000_2005","2021_2024",20,"EQI+SM+PA+OB","0.00","4.26(2.42,6.14)","1.84(-0.05,3.77)","1.30(-0.68,3.38)","-0.71(-3.06,1.60)","0.0002","0.0537","0.2042","0.5501","1.0019","1.0023","1.0022","1.0034",2639,2170,1773,1825,2989,2579,2465,2405,"3.43(3.20,3.66)","0.0002","1.0014",2639,2992,"-0.54(-0.64,-0.43)","0.0002","1.0027",1579,2310,"-0.25(-0.45,-0.06)","0.0102","1.0031",2324,2669
"J43_J44","2000_2005","2021_2024",20,"EQI_Air+SM+PA+OB","0.00","2.43(0.49,4.42)","3.31(1.33,5.30)","3.01(0.96,5.16)","-0.20(-2.48,2.08)","0.0132","0.0007","0.0047","0.8615","1.0016","1.0013","1.0007","1.0005",2118,1720,1613,1647,2896,2247,2117,2511,"3.33(3.12,3.55)","0.0002","1.0000",2450,3083,"-0.51(-0.63,-0.39)","0.0002","1.0020",1801,2443,"-0.30(-0.49,-0.10)","0.0022","1.0010",2433,2731
"J43_J44","2000_2005","2021_2024",20,"EQI_Water+SM+PA+OB","0.00","0.62(-1.83,2.99)","-1.04(-3.50,1.42)","2.62(0.02,5.06)","1.50(-1.21,4.14)","0.6116","0.4191","0.0492","0.2687","1.0016","1.0010","1.0017","1.0009",1549,1435,1343,1361,2483,2416,2179,2177,"3.33(3.12,3.55)","0.0002","1.0000",2450,3083,"-0.51(-0.63,-0.39)","0.0002","1.0020",1801,2443,"-0.30(-0.49,-0.10)","0.0022","1.0010",2433,2731
