ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
"K70","2000_2005","2011_2015",10,"EQI_Social+SM+PA+OB","0.00","-0.59(-0.94,-0.25)","-1.02(-1.42,-0.63)","-0.85(-1.30,-0.41)","-1.38(-1.89,-0.84)","0.0007","0.0002","0.0002","0.0002","1.0009","1.0017","1.0012","1.0013",1962,1632,1508,1436,2994,2276,2341,2352,"0.30(0.26,0.35)","0.0002","1.0010",2886,3109,"0.11(0.07,0.15)","0.0002","1.0033",1452,2204,"-0.00(-0.04,0.04)","0.9635","1.0012",2589,2728
"K70","2000_2005","2016_2020",15,"EQI+SM+PA+OB","0.00","1.57(1.11,2.02)","2.57(2.10,3.04)","2.67(2.15,3.20)","3.07(2.47,3.65)","0.0002","0.0002","0.0002","0.0002","1.0004","1.0023","1.0018","1.0017",2224,1931,1687,1738,2806,2456,2538,2447,"0.45(0.39,0.50)","0.0002","1.0007",2308,2592,"0.02(-0.03,0.06)","0.4376","1.0008",1694,2356,"-0.00(-0.06,0.05)","0.8975","1.0004",2439,2877
"K70","2000_2005","2016_2020",15,"EQI_Air+SM+PA+OB","0.00","2.33(1.81,2.83)","2.08(1.55,2.58)","1.92(1.39,2.46)","1.75(1.16,2.34)","0.0002","0.0002","0.0002","0.0002","1.0020","1.0029","1.0031","1.0016",1627,1473,1238,1224,2258,2038,2016,1956,"0.45(0.39,0.51)","0.0002","1.0017",2466,2591,"0.12(0.07,0.17)","0.0002","1.0016",1362,2232,"-0.01(-0.07,0.04)","0.6451","1.0019",2378,2798
"K70","2000_2005","2016_2020",15,"EQI_Water+SM+PA+OB","0.00","0.61(0.01,1.21)","1.11(0.50,1.74)","1.54(0.94,2.15)","1.39(0.73,2.07)","0.0447","0.0007","0.0002","0.0002","1.0030","1.0039","1.0041","1.0036",1546,1418,1408,1418,2158,2005,1988,2144,"0.45(0.39,0.51)","0.0002","1.0017",2466,2591,"0.12(0.07,0.17)","0.0002","1.0016",1362,2232,"-0.01(-0.07,0.04)","0.6451","1.0019",2378,2798
"K70","2000_2005","2016_2020",15,"EQI_Land+SM+PA+OB","0.00","0.66(0.23,1.10)","0.34(-0.11,0.82)","0.15(-0.38,0.68)","0.56(0.00,1.15)","0.0032","0.1517","0.5811","0.0492","1.0016","1.0019","1.0023","1.0026",2435,2022,1656,1568,2606,2370,1933,1785,"0.45(0.39,0.51)","0.0002","1.0017",2466,2591,"0.12(0.07,0.17)","0.0002","1.0016",1362,2232,"-0.01(-0.07,0.04)","0.6451","1.0019",2378,2798
"K70","2000_2005","2016_2020",15,"EQI_Built+SM+PA+OB","0.00","0.63(0.21,1.04)","1.32(0.89,1.76)","1.92(1.48,2.35)","2.50(2.02,2.99)","0.0017","0.0002","0.0002","0.0002","1.0000","0.9998","1.0012","1.0009",2580,2257,2058,1999,2923,2547,2249,2486,"0.45(0.39,0.51)","0.0002","1.0017",2466,2591,"0.12(0.07,0.17)","0.0002","1.0016",1362,2232,"-0.01(-0.07,0.04)","0.6451","1.0019",2378,2798
"K70","2000_2005","2016_2020",15,"EQI_Social+SM+PA+OB","0.00","-0.86(-1.32,-0.41)","-1.44(-1.95,-0.93)","-1.41(-1.99,-0.86)","-1.50(-2.16,-0.86)","0.0002","0.0002","0.0002","0.0002","1.0025","1.0023","1.0030","1.0041",2008,1635,1405,1414,2640,2366,2125,1899,"0.45(0.39,0.51)","0.0002","1.0017",2466,2591,"0.12(0.07,0.17)","0.0002","1.0016",1362,2232,"-0.01(-0.07,0.04)","0.6451","1.0019",2378,2798
"K70","2000_2005","2021_2024",20,"EQI+SM+PA+OB","0.00","2.55(1.82,3.30)","4.09(3.30,4.89)","4.22(3.34,5.10)","4.48(3.49,5.45)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0047","1.0049","1.0057",2199,1826,1432,1478,2563,2503,2566,2301,"0.84(0.75,0.94)","0.0002","1.0014",2481,2767,"0.05(-0.02,0.12)","0.1812","1.0032",1623,2083,"-0.01(-0.09,0.08)","0.8720","0.9997",2287,2662
"K70","2000_2005","2021_2024",20,"EQI_Air+SM+PA+OB","0.00","4.03(3.22,4.87)","3.39(2.51,4.27)","3.34(2.40,4.23)","2.67(1.66,3.67)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0029","1.0028","1.0041",1581,1242,1195,1149,2247,2070,2187,1998,"0.82(0.72,0.91)","0.0002","1.0012",2345,2600,"0.17(0.10,0.24)","0.0002","1.0019",1235,1899,"-0.02(-0.11,0.06)","0.5681","1.0016",1874,2352
"K70","2000_2005","2021_2024",20,"EQI_Water+SM+PA+OB","0.00","0.51(-0.45,1.51)","1.27(0.26,2.32)","1.48(0.48,2.56)","1.97(0.87,3.09)","0.3107","0.0147","0.0027","0.0002","1.0035","1.0017","1.0004","1.0006",1322,1085,1087,1121,2231,1993,1762,1681,"0.82(0.72,0.91)","0.0002","1.0012",2345,2600,"0.17(0.10,0.24)","0.0002","1.0019",1235,1899,"-0.02(-0.11,0.06)","0.5681","1.0016",1874,2352
