COUNTY_FIPS,RUCC,EQI_Air,EQI_Water,EQI_Land,EQI_Built,EQI_Social,Cluster
05013,4,-0.3748,0.4718,-1.3352,-1.7624,-1.0047,0
05015,3,-0.4426,0.9108,-0.2708,1.0615,-0.6545,2
05017,3,-0.3969,0.8486,0.5906,0.3291,-1.6055,2
05019,3,-0.3259,0.0717,-1.3371,0.2942,-0.2424,0
05021,3,-0.2179,0.8513,0.4638,-0.341,-1.0445,2
05023,3,-0.441,-0.039,-0.9814,0.4708,-0.3128,0
05025,1,-0.8213,0.866,-1.3729,-2.3093,-0.3881,0
05027,3,0.33,0.8767,-1.3376,0.5894,-0.8894,2
05029,3,-0.6559,-0.0248,-0.2894,0.6528,-0.4304,2
05031,1,0.289,-0.0513,0.265,0.6294,-0.1558,0
05033,1,0.0547,0.8594,-0.2181,-0.4628,-0.1882,0
05035,1,1.0434,0.8333,0.6951,-0.0888,-0.6553,2
05037,3,-0.1692,0.8941,0.5442,0.3172,-0.8334,2
05039,3,-0.5917,-0.1575,-1.4107,0.0025,-1.0527,0
05041,3,-0.6965,0.8043,0.6918,-0.2406,-1.5177,0
05043,3,-0.5347,0.8391,-0.2526,0.8541,-0.8467,2
05045,1,0.0606,-0.0297,-0.5441,0.1652,0.507,0
05047,1,-0.7834,0.061,0.0078,-0.654,-0.4368,0
05049,4,-1.0123,0.851,-0.6532,-1.628,-0.6932,0
05051,1,0.0754,-0.0582,-0.0502,1.063,0.0342,2
05053,1,-0.032,-0.517,-1.6026,-1.2633,0.1332,0
05055,3,0.1682,0.0768,0.3547,0.0422,-0.0756,2
05057,3,0.0672,0.8579,-0.4258,0.4376,-0.6669,2
05059,3,0.1442,-0.0124,-0.7587,-0.3771,-0.3316,0
05061,3,-0.2992,0.8525,-0.6823,-0.1493,-0.6562,0
05063,3,0.0388,0.0926,-0.2575,0.07,-0.0365,2
05065,4,-0.8287,0.8405,-1.0295,-1.0792,-0.584,2
05067,3,-0.1858,0.8884,-0.0153,-0.0858,-0.9913,2
05069,1,0.452,0.8779,-0.1363,0.8547,-0.6911,0
05071,3,-0.8356,0.8221,-0.2198,-0.3601,-0.8802,0
05073,4,-0.3827,0.873,-0.7161,-1.5378,-1.446,0
05075,3,-0.4793,-0.0625,0.2116,0.1017,-0.8967,0
05077,3,-0.2646,0.5218,0.35,-0.6672,-2.0659,0
05079,1,-0.6028,0.8469,-0.0033,-1.9909,-0.9085,0
05081,3,0.0275,0.085,-0.2696,0.115,-0.5854,2
05083,3,-0.7755,0.069,-0.0099,-0.0794,-0.5637,0
05085,1,0.0465,0.8865,-0.0062,-0.5276,0.4944,0
05087,1,-0.9619,-0.5907,-0.0664,-1.459,-0.6004,0
05089,4,-0.8598,0.8281,-0.3948,-0.7288,-0.5377,2
05091,1,1.0965,0.8144,-0.5482,-0.5491,-0.4766,0
05093,2,0.5105,0.8563,0.9211,0.1901,-1.3941,0
05095,3,-1.1993,0.9125,0.2498,0.3344,-1.4309,0
05097,4,-1.3937,0.8478,-0.3316,-0.3577,-1.0093,2
