Domain,R_squared,F_statistic,F_p_value,Intercept,RUCC_coefficients,RUCC_p_values
EQI_Air,0.5163402711953247,1116.3216163994975,0.0,0.7557858585858572,"{'C(RUCC)[T.2]': -0.27169019295119695, 'C(RUCC)[T.3]': -0.9549116376226954, 'C(RUCC)[T.4]': -1.9028598884365806}","{'C(RUCC)[T.2]': 8.046412221056222e-10, 'C(RUCC)[T.3]': 1.320008450865471e-192, 'C(RUCC)[T.4]': 0.0}"
EQI_Water,0.016043533346226657,17.049725881427094,5.5446650966838373e-11,0.05173351698806025,"{'C(RUCC)[T.2]': 0.059105801897390904, 'C(RUCC)[T.3]': 0.013795850339607044, 'C(RUCC)[T.4]': -0.29283321848059496}","{'C(RUCC)[T.2]': 0.3472845882387178, 'C(RUCC)[T.3]': 0.7473943368356687, 'C(RUCC)[T.4]': 2.0739775581487195e-09}"
EQI_Land,0.00602125629169703,6.334367847942828,0.0002801454075941953,0.08938218549127594,"{'C(RUCC)[T.2]': -0.016106024500564906, 'C(RUCC)[T.3]': -0.15828888992942658, 'C(RUCC)[T.4]': -0.16107755862560125}","{'C(RUCC)[T.2]': 0.7988532259611608, 'C(RUCC)[T.3]': 0.00023990709952915456, 'C(RUCC)[T.4]': 0.0010167220349908757}"
EQI_Built,0.17784289198368597,226.19081223980726,7.63108466918678e-133,0.2132835629017392,"{'C(RUCC)[T.2]': 0.349699099636974, 'C(RUCC)[T.3]': -0.11744456384603015, 'C(RUCC)[T.4]': -0.9828413240957622}","{'C(RUCC)[T.2]': 1.3118857660935828e-09, 'C(RUCC)[T.3]': 0.0027227957242476394, 'C(RUCC)[T.4]': 2.0188801966785718e-100}"
EQI_Social,0.20479626757832137,269.30033365441983,1.6102161864805366e-155,0.5941919191919223,"{'C(RUCC)[T.2]': -0.5713733433405559, 'C(RUCC)[T.3]': -0.9101621741494383, 'C(RUCC)[T.4]': -1.071556396803845}","{'C(RUCC)[T.2]': 1.16629627705978e-23, 'C(RUCC)[T.3]': 7.957491718375865e-114, 'C(RUCC)[T.4]': 4.240275340210415e-121}"
