Cancer_Type,Period,Population,Deaths,RUCC1_CR,RUCC1_AAMR,RUCC2_CR,RUCC2_AAMR,RUCC3_CR,RUCC3_AAMR,RUCC4_CR,RUCC4_AAMR
C76-C80,2011-2015,1546317878.0,173798,12.33 ± 0.14,9.24 ± 0.03,14.33 ± 0.21,10.40 ± 0.09,17.68 ± 0.26,11.39 ± 0.09,24.65 ± 1.03,13.42 ± 0.26
C76-C80,2016-2020,1598493675.0,182990,12.68 ± 0.15,8.58 ± 0.02,15.08 ± 0.24,9.97 ± 0.08,18.42 ± 0.27,10.85 ± 0.09,26.13 ± 1.38,12.40 ± 0.24
C81-C96,2006-2010,1501634121.0,273028,19.13 ± 0.16,17.12 ± 0.04,21.29 ± 0.29,17.51 ± 0.12,24.65 ± 0.26,17.92 ± 0.11,29.20 ± 0.80,19.07 ± 0.28
C81-C96,2011-2015,1564947728.0,281860,19.21 ± 0.17,15.88 ± 0.03,21.46 ± 0.30,16.58 ± 0.11,24.48 ± 0.24,16.82 ± 0.11,29.37 ± 0.91,17.76 ± 0.26
C81-C96,2016-2020,1615700973.0,284684,19.00 ± 0.15,14.28 ± 0.03,21.04 ± 0.28,15.00 ± 0.10,24.42 ± 0.26,15.37 ± 0.10,29.55 ± 0.74,16.28 ± 0.24
C91-C95,2006-2010,1438768637.0,105249,7.56 ± 0.08,6.89 ± 0.02,9.28 ± 0.15,7.12 ± 0.08,11.48 ± 0.27,8.20 ± 0.09,12.27 ± 0.52,9.64 ± 0.34
C91-C95,2011-2015,1504394556.0,109795,7.76 ± 0.08,6.46 ± 0.02,9.45 ± 0.15,6.79 ± 0.07,11.45 ± 0.23,7.71 ± 0.08,15.17 ± 4.73,8.58 ± 0.29
C91-C95,2016-2020,1559426381.0,110702,7.62 ± 0.08,5.78 ± 0.02,9.41 ± 0.16,6.22 ± 0.07,11.29 ± 0.25,6.96 ± 0.08,15.57 ± 1.84,8.21 ± 0.25
C97,2006-2010,1137490803.0,15401,1.71 ± 0.05,nan ± 0.00,3.00 ± 0.28,2.07 ± 0.07,0.67 ± 0.06,4.04 ± 0.34,0.00 ± 0.00,N/A
C97,2011-2015,1199826629.0,16246,1.60 ± 0.05,nan ± 0.00,3.70 ± 0.50,2.04 ± 0.06,24.30 ± 11.40,3.46 ± 0.26,0.00 ± 0.00,N/A
C97,2016-2020,1302328779.0,19996,1.93 ± 0.06,nan ± 0.00,5.57 ± 0.55,2.01 ± 0.05,8.95 ± 3.65,3.70 ± 0.16,0.28 ± 0.06,3.60 ± 0.76
