Cancer_Type,Period,Population,RUCC_Population,D_Population,Deaths,RUCC_Deaths,D_Death,AAMR,RUCC1_AAMR,RUCC2_AAMR,RUCC3_AAMR,RUCC4_AAMR,CR,RUCC1_CR,RUCC2_CR,RUCC3_CR,RUCC4_CR
C00-C97,2006-2010,1519222152,1518816990,-0.03,2830603,2830088,-0.02,176.66 ± 0.11,172.32 ± 0.12,183.52 ± 0.39,186.33 ± 0.36,180.42 ± 0.72,186.32 ± 0.11,198.64 ± 1.44,218.42 ± 2.70,237.45 ± 1.53,262.45 ± 2.39
C00-C97,2011-2015,1581910672,1581463656,-0.03,2931825,2931161,-0.02,163.55 ± 0.1,158.49 ± 0.11,173.47 ± 0.36,176.87 ± 0.34,171.97 ± 0.69,185.33 ± 0.11,201.54 ± 1.48,222.94 ± 2.84,242.18 ± 1.57,265.64 ± 2.54
C00-C97,2016-2020,1633737771,1633199117,-0.03,2998371,2997617,-0.03,149.39 ± 0.09,144.00 ± 0.10,161.62 ± 0.34,165.63 ± 0.32,160.10 ± 0.65,183.53 ± 0.11,203.26 ± 1.49,225.65 ± 2.77,245.92 ± 1.67,265.39 ± 2.46
C15-C26,2006-2010,1519222152,1516418038,-0.18,687471,686312,-0.17,42.73 ± 0.05,42.22 ± 0.06,42.45 ± 0.19,42.70 ± 0.17,42.56 ± 0.36,45.25 ± 0.05,46.34 ± 0.34,50.97 ± 0.63,56.49 ± 0.38,64.35 ± 0.84
C15-C26,2011-2015,1581910672,1579084129,-0.18,741318,740150,-0.16,41.07 ± 0.05,40.35 ± 0.05,41.62 ± 0.18,42.01 ± 0.16,41.55 ± 0.35,46.86 ± 0.05,49.09 ± 0.35,54.04 ± 0.70,59.92 ± 0.42,66.77 ± 0.82
C15-C26,2016-2020,1633737771,1631524495,-0.14,799968,798936,-0.13,39.65 ± 0.05,38.69 ± 0.05,41.30 ± 0.17,41.82 ± 0.16,41.25 ± 0.34,48.97 ± 0.05,52.44 ± 0.38,58.28 ± 0.69,64.26 ± 0.47,72.51 ± 0.93
C18-C21,2006-2010,1519222152,1503774304,-1.02,265472,262635,-1.07,16.56 ± 0.03,15.89 ± 0.04,16.80 ± 0.12,17.96 ± 0.11,18.93 ± 0.27,17.47 ± 0.03,18.25 ± 0.17,20.86 ± 0.29,24.99 ± 0.25,29.30 ± 0.74
C18-C21,2011-2015,1581910672,1564915710,-1.07,261977,258988,-1.14,14.63 ± 0.03,13.96 ± 0.03,15.40 ± 0.11,16.64 ± 0.11,17.26 ± 0.26,16.56 ± 0.03,17.59 ± 0.17,20.69 ± 0.31,24.62 ± 0.25,28.86 ± 0.83
C18-C21,2016-2020,1633737771,1617425348,-1.0,265767,262875,-1.09,13.38 ± 0.03,12.67 ± 0.03,14.27 ± 0.10,15.60 ± 0.10,16.56 ± 0.25,16.27 ± 0.03,17.59 ± 0.16,20.70 ± 0.27,24.70 ± 0.25,29.69 ± 0.85
C25,2006-2010,1519222152,1477534871,-2.74,175323,170713,-2.63,10.91 ± 0.03,10.84 ± 0.03,10.54 ± 0.09,11.20 ± 0.09,12.60 ± 0.28,11.54 ± 0.03,11.91 ± 0.11,13.35 ± 0.19,15.65 ± 0.21,19.75 ± 1.04
C25,2011-2015,1581910672,1545848690,-2.28,197171,192860,-2.19,10.93 ± 0.02,10.80 ± 0.03,10.67 ± 0.09,11.32 ± 0.09,12.38 ± 0.25,12.46 ± 0.03,13.03 ± 0.12,14.56 ± 0.20,16.93 ± 0.22,23.06 ± 0.98
C25,2016-2020,1633737771,1604493930,-1.79,224344,220392,-1.76,11.06 ± 0.02,10.85 ± 0.03,11.13 ± 0.09,11.58 ± 0.09,12.03 ± 0.23,13.73 ± 0.03,14.60 ± 0.13,16.32 ± 0.23,19.08 ± 0.23,23.39 ± 1.00
C30-C39,2006-2010,1519222152,1516517780,-0.18,816024,815026,-0.12,50.91 ± 0.06,47.10 ± 0.06,53.86 ± 0.21,54.95 ± 0.19,54.78 ± 0.40,53.71 ± 0.06,61.31 ± 0.59,66.91 ± 1.11,75.61 ± 0.68,88.04 ± 1.17
C30-C39,2011-2015,1581910672,1578741069,-0.2,803972,802861,-0.14,44.6 ± 0.05,40.17 ± 0.05,48.28 ± 0.19,50.07 ± 0.18,51.21 ± 0.38,50.82 ± 0.06,59.91 ± 0.61,65.92 ± 1.11,75.11 ± 0.68,88.74 ± 1.26
C30-C39,2016-2020,1633737771,1630131090,-0.22,737757,736558,-0.16,36.15 ± 0.04,32.19 ± 0.04,40.21 ± 0.17,42.10 ± 0.16,43.70 ± 0.34,45.16 ± 0.05,54.80 ± 0.58,60.56 ± 1.02,70.77 ± 0.69,83.41 ± 1.26
C34,2006-2010,1519222152,1516356575,-0.19,792213,791195,-0.13,49.48 ± 0.06,45.67 ± 0.06,52.29 ± 0.21,53.41 ± 0.19,53.29 ± 0.40,52.15 ± 0.06,59.61 ± 0.58,65.01 ± 1.09,73.75 ± 0.66,85.81 ± 1.14
C34,2011-2015,1581910672,1578729784,-0.2,779812,778715,-0.14,43.27 ± 0.05,39.00 ± 0.05,46.77 ± 0.19,48.64 ± 0.17,49.83 ± 0.37,49.3 ± 0.06,58.19 ± 0.59,63.95 ± 1.09,73.14 ± 0.67,86.36 ± 1.25
C34,2016-2020,1633737771,1629844314,-0.24,712487,711241,-0.17,34.93 ± 0.04,31.01 ± 0.04,38.82 ± 0.16,40.70 ± 0.15,42.36 ± 0.34,43.61 ± 0.05,53.02 ± 0.57,58.61 ± 0.99,68.65 ± 0.66,80.95 ± 1.22
C50,2006-2010,1519222152,1484844869,-2.26,205719,201526,-2.04,12.73 ± 0.03,12.72 ± 0.03,11.82 ± 0.10,12.55 ± 0.10,13.54 ± 0.28,13.54 ± 0.03,13.87 ± 0.11,14.79 ± 0.20,17.01 ± 0.20,20.89 ± 1.23
C50,2011-2015,1581910672,1546115057,-2.26,207921,203692,-2.03,11.6 ± 0.03,11.49 ± 0.03,11.22 ± 0.09,11.66 ± 0.09,13.11 ± 0.27,13.14 ± 0.03,13.53 ± 0.11,15.09 ± 0.23,16.96 ± 0.22,20.67 ± 0.82
C50,2016-2020,1633737771,1598534978,-2.15,212925,208681,-1.99,10.83 ± 0.02,10.68 ± 0.03,10.51 ± 0.09,11.00 ± 0.09,11.35 ± 0.24,13.03 ± 0.03,13.70 ± 0.11,14.92 ± 0.20,17.14 ± 0.21,20.30 ± 1.05
C51-C58,2006-2010,1519222152,1455911581,-4.17,139987,134519,-3.91,8.7 ± 0.02,8.66 ± 0.03,8.54 ± 0.08,9.20 ± 0.09,10.50 ± 0.30,9.21 ± 0.02,9.34 ± 0.09,11.01 ± 0.15,12.74 ± 0.21,17.09 ± 1.97
C51-C58,2011-2015,1581910672,1521440548,-3.82,148985,143577,-3.63,8.31 ± 0.02,8.26 ± 0.02,8.10 ± 0.08,8.72 ± 0.09,9.95 ± 0.29,9.42 ± 0.02,9.63 ± 0.09,11.26 ± 0.15,13.01 ± 0.22,14.89 ± 1.22
C51-C58,2016-2020,1633737771,1573212123,-3.7,159907,154505,-3.38,8.03 ± 0.02,7.97 ± 0.02,7.97 ± 0.08,8.35 ± 0.08,8.52 ± 0.27,9.79 ± 0.02,10.07 ± 0.09,11.44 ± 0.15,13.44 ± 0.22,14.40 ± 1.05
C60-C63,2006-2010,1519222152,1469915729,-3.25,145867,140739,-3.52,9.23 ± 0.02,8.94 ± 0.03,9.05 ± 0.09,10.21 ± 0.09,11.41 ± 0.26,9.6 ± 0.03,9.72 ± 0.11,11.89 ± 0.20,14.72 ± 0.29,19.38 ± 1.02
C60-C63,2011-2015,1581910672,1525268657,-3.58,143697,138349,-3.72,8.1 ± 0.02,7.82 ± 0.02,8.08 ± 0.08,9.05 ± 0.08,10.06 ± 0.25,9.08 ± 0.02,9.33 ± 0.10,11.66 ± 0.21,14.47 ± 0.28,19.07 ± 1.86
C60-C63,2016-2020,1633737771,1585593148,-2.95,160892,155889,-3.11,8.04 ± 0.02,7.76 ± 0.02,7.99 ± 0.07,8.87 ± 0.08,9.72 ± 0.23,9.85 ± 0.02,10.23 ± 0.10,12.43 ± 0.22,15.22 ± 0.31,18.17 ± 0.93
C61,2006-2010,1519222152,1469060945,-3.3,142586,137476,-3.58,9.03 ± 0.02,8.73 ± 0.03,8.81 ± 0.08,9.97 ± 0.09,11.25 ± 0.27,9.39 ± 0.02,9.50 ± 0.10,11.68 ± 0.20,14.58 ± 0.30,19.19 ± 1.14
C61,2011-2015,1581910672,1523194299,-3.71,140089,134691,-3.85,7.89 ± 0.02,7.62 ± 0.02,7.86 ± 0.08,8.78 ± 0.08,9.81 ± 0.25,8.86 ± 0.02,9.12 ± 0.10,11.43 ± 0.21,14.19 ± 0.29,19.51 ± 1.94
C61,2016-2020,1633737771,1582488719,-3.14,156692,151544,-3.29,7.8 ± 0.02,7.54 ± 0.02,7.74 ± 0.07,8.62 ± 0.08,9.50 ± 0.23,9.59 ± 0.02,9.98 ± 0.10,12.14 ± 0.22,14.96 ± 0.32,17.95 ± 1.08
C64-C68,2006-2010,1519222152,1460976064,-3.83,138318,132906,-3.91,8.67 ± 0.02,8.31 ± 0.03,9.07 ± 0.09,9.88 ± 0.09,10.82 ± 0.29,9.1 ± 0.02,9.57 ± 0.10,11.89 ± 0.18,13.99 ± 0.22,17.72 ± 1.00
C64-C68,2011-2015,1581910672,1533287827,-3.07,151567,146759,-3.17,8.49 ± 0.02,8.10 ± 0.02,8.84 ± 0.08,9.78 ± 0.08,10.72 ± 0.26,9.58 ± 0.02,10.29 ± 0.10,12.34 ± 0.18,15.10 ± 0.22,19.77 ± 1.36
C64-C68,2016-2020,1633737771,1586936843,-2.86,158342,153469,-3.08,7.89 ± 0.02,7.45 ± 0.02,8.75 ± 0.08,9.52 ± 0.08,10.13 ± 0.25,9.69 ± 0.02,10.60 ± 0.11,13.01 ± 0.20,15.31 ± 0.21,19.18 ± 1.21
