ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Interaction_Q5,Interaction_P_Value,Q1,Q2,Q3,Q4,Q5
C61,2000_2005,2006_2010,5,EQI_Unbalanced,"-0.02(-1.81,1.73)",0.989,0.00,"-0.65(-1.55,0.30)","-0.59(-1.49,0.31)","-0.55(-1.51,0.40)","-0.92(-2.09,0.27)"
"C61","2000_2005","2006_2010",5,"EQI_Disadvantaged","-0.04(-10.18,10.37)","0.988","0.00","0.68(-0.06,1.45)","0.82(0.01,1.65)*","1.07(-0.55,2.72)","-0.95(-11.10,9.49)"
"C61","2000_2005","2006_2010",5,"Air_Unbalanced","-0.21(-1.48,1.02)","0.741","0.00","-0.20(-1.40,1.03)","-1.01(-2.10,0.13)","-0.67(-1.71,0.37)","-0.85(-1.94,0.21)"
"C61","2000_2005","2006_2010",5,"Air_Disadvantaged","2.21(0.63,3.83)**","0.006","0.00","0.73(-0.15,1.64)","0.82(-0.06,1.71)","0.73(-0.24,1.76)","1.57(0.09,3.02)*"
"C61","2000_2005","2006_2010",5,"Built_Unbalanced","1.04(-0.33,2.44)","0.142","0.00","1.00(-0.12,2.10)","1.09(-0.03,2.17)","0.71(-0.30,1.73)","0.74(-0.29,1.79)"
"C61","2000_2005","2006_2010",5,"Built_Disadvantaged","0.56(-1.38,2.49)","0.580","0.00","0.94(0.19,1.70)*","1.27(0.33,2.20)**","1.43(0.23,2.60)*","0.27(-1.45,1.93)"
"C61","2000_2005","2006_2010",5,"Water_Unbalanced","0.05(-10.11,9.87)","0.981","0.00","-0.18(-0.94,0.60)","0.17(-3.82,4.06)","1.00(-8.70,11.09)","1.11(-9.39,11.11)"
"C61","2000_2005","2006_2010",5,"Water_Disadvantaged","0.33(-2.77,3.34)","0.809","0.00","0.44(-0.69,1.60)","0.26(-0.94,1.47)","2.03(0.80,3.28)***","1.39(0.02,2.72)*"
"C61","2000_2005","2006_2010",5,"Land_Unbalanced","-0.70(-2.06,0.66)","0.305","0.00","-0.45(-1.49,0.58)","0.01(-0.99,1.03)","-0.02(-1.06,1.03)","-0.55(-1.66,0.55)"
"C61","2000_2005","2006_2010",5,"Land_Disadvantaged","-0.09(-1.94,1.77)","0.927","0.00","0.44(-0.33,1.22)","0.05(-0.86,1.00)","0.32(-0.93,1.60)","0.06(-1.64,1.78)"
"C61","2000_2005","2006_2010",5,"Social_Unbalanced","-0.87(-2.33,0.52)","0.220","0.00","-0.90(-1.94,0.14)","-1.67(-2.73,-0.63)**","-0.90(-2.04,0.18)","-1.55(-2.70,-0.44)**"
"C61","2000_2005","2006_2010",5,"Social_Disadvantaged","0.50(-1.25,2.24)","0.588","0.00","-0.58(-1.32,0.16)","-0.60(-1.54,0.34)","-0.26(-1.49,0.99)","-0.17(-1.67,1.38)"
"C61","2000_2005","2011_2015",10,"EQI_Unbalanced","-1.63(-3.09,-0.07)*","0.039","0.00","0.18(-0.71,1.07)","-0.46(-1.33,0.38)","-0.82(-1.71,0.04)","-0.90(-1.99,0.22)"
"C61","2000_2005","2011_2015",10,"EQI_Disadvantaged","0.03(-9.65,10.05)","0.986","0.00","0.68(-0.02,1.36)","0.05(-0.71,0.80)","0.79(-0.73,2.36)","0.76(-9.01,10.97)"
"C61","2000_2005","2011_2015",10,"Air_Unbalanced","-1.43(-2.58,-0.30)*","0.012","0.00","-1.85(-3.01,-0.72)**","-1.72(-2.82,-0.68)**","-1.83(-2.84,-0.85)***","-2.04(-3.08,-1.05)***"
"C61","2000_2005","2011_2015",10,"Air_Disadvantaged","1.09(-0.42,2.56)","0.162","0.00","0.86(0.02,1.69)*","0.40(-0.41,1.17)","0.56(-0.34,1.44)","0.47(-0.86,1.84)"
"C61","2000_2005","2011_2015",10,"Built_Unbalanced","0.34(-0.93,1.63)","0.597","0.00","-0.16(-1.13,0.84)","0.42(-0.55,1.41)","-0.01(-0.93,0.92)","0.36(-0.60,1.32)"
"C61","2000_2005","2011_2015",10,"Built_Disadvantaged","0.65(-1.18,2.50)","0.492","0.00","1.10(0.40,1.78)**","0.95(0.11,1.81)*","1.22(0.16,2.23)*","0.67(-0.94,2.29)"
"C61","2000_2005","2011_2015",10,"Water_Unbalanced","-0.02(-9.73,9.67)","0.995","0.00","-0.53(-1.24,0.18)","0.04(-3.44,3.78)","0.51(-9.94,10.63)","0.50(-9.67,10.41)"
"C61","2000_2005","2011_2015",10,"Water_Disadvantaged","0.17(-2.65,2.85)","0.901","0.00","-0.19(-1.27,0.87)","-0.62(-1.78,0.50)","0.31(-0.84,1.46)","0.69(-0.56,1.96)"
"C61","2000_2005","2011_2015",10,"Land_Unbalanced","0.45(-0.75,1.71)","0.490","0.00","0.04(-0.85,0.94)","-0.30(-1.22,0.62)","0.32(-0.59,1.24)","0.58(-0.37,1.59)"
"C61","2000_2005","2011_2015",10,"Land_Disadvantaged","0.89(-0.92,2.67)","0.333","0.00","-0.23(-0.96,0.50)","-0.27(-1.12,0.57)","-0.19(-1.39,0.91)","1.02(-0.66,2.66)"
"C61","2000_2005","2011_2015",10,"Social_Unbalanced","-0.32(-1.59,1.05)","0.620","0.00","-0.24(-1.20,0.73)","-0.96(-1.90,0.02)","-0.66(-1.65,0.32)","-1.30(-2.32,-0.25)*"
"C61","2000_2005","2011_2015",10,"Social_Disadvantaged","-0.69(-2.42,1.01)","0.412","0.00","0.13(-0.59,0.86)","-1.52(-2.37,-0.66)***","-0.24(-1.37,0.90)","-1.68(-3.08,-0.26)*"
"C61","2006_2010","2011_2015",5,"EQI_Unbalanced","-1.23(-2.49,0.04)","0.060","0.00","-0.77(-1.64,0.09)","-1.00(-1.85,-0.16)*","-1.42(-2.41,-0.43)**","-1.78(-2.82,-0.68)**"
"C61","2006_2010","2011_2015",5,"EQI_Disadvantaged","0.49(-0.67,1.60)","0.402","0.00","0.98(0.04,1.86)*","0.62(-0.30,1.55)","0.15(-0.79,1.08)","-0.07(-1.04,0.88)"
"C61","2006_2010","2011_2015",5,"Air_Unbalanced","0.15(-1.00,1.29)","0.796","0.00","0.44(-0.53,1.41)","-0.35(-1.27,0.60)","0.01(-0.98,0.99)","-0.07(-1.10,1.02)"
"C61","2006_2010","2011_2015",5,"Air_Disadvantaged","0.82(-0.45,2.05)","0.182","0.00","0.86(0.00,1.73)*","0.45(-0.41,1.33)","0.61(-0.30,1.50)","0.60(-0.50,1.72)"
"C61","2006_2010","2011_2015",5,"Built_Unbalanced","-1.58(-2.75,-0.38)*","0.011","0.00","-1.49(-2.42,-0.60)**","-1.94(-2.88,-0.97)***","-1.63(-2.58,-0.69)***","-2.62(-3.63,-1.64)***"
"C61","2006_2010","2011_2015",5,"Built_Disadvantaged","1.11(-0.13,2.27)","0.080","0.00","1.69(0.47,2.87)*","1.52(0.39,2.61)**","0.58(-0.51,1.62)","0.07(-0.97,1.04)"
"C61","2006_2010","2011_2015",5,"Water_Unbalanced","0.04(-9.67,9.95)","0.987","0.00","0.01(-0.60,0.64)","-0.67(-3.05,1.75)","0.52(-1.86,2.95)","-0.03(-9.92,10.00)"
"C61","2006_2010","2011_2015",5,"Water_Disadvantaged","0.22(-1.54,2.04)","0.835","0.00","-1.19(-2.23,-0.16)*","-1.85(-2.95,-0.83)***","-0.33(-1.42,0.74)","0.14(-1.03,1.33)"
"C61","2006_2010","2011_2015",5,"Land_Unbalanced","-0.30(-1.43,0.85)","0.601","0.00","0.33(-0.61,1.24)","-0.01(-0.89,0.89)","0.11(-0.82,1.05)","0.36(-0.62,1.32)"
"C61","2006_2010","2011_2015",5,"Land_Disadvantaged","1.00(-0.21,2.20)","0.108","0.00","0.21(-0.53,0.99)","1.15(0.32,1.97)**","1.58(0.58,2.54)**","1.66(0.61,2.68)**"
"C61","2006_2010","2011_2015",5,"Social_Unbalanced","0.52(-0.78,1.83)","0.442","0.00","0.05(-0.76,0.85)","1.33(0.48,2.16)**","1.20(0.29,2.16)**","0.60(-0.35,1.58)"
"C61","2006_2010","2011_2015",5,"Social_Disadvantaged","0.43(-1.20,2.00)","0.593","0.00","0.75(-0.81,2.26)","0.85(-0.61,2.34)","2.13(0.66,3.61)**","0.51(-0.93,1.90)"
"C61","2006_2010","2016_2020",10,"EQI_Unbalanced","-0.39(-1.59,0.87)","0.531","0.00","-0.52(-1.38,0.34)","-1.14(-2.01,-0.25)*","-1.36(-2.37,-0.38)**","-1.62(-2.72,-0.55)**"
"C61","2006_2010","2016_2020",10,"EQI_Disadvantaged","-0.03(-1.19,1.14)","0.974","0.00","0.65(-0.30,1.60)","-0.58(-1.46,0.32)","-0.85(-1.76,0.05)","-1.26(-2.23,-0.31)**"
"C61","2006_2010","2016_2020",10,"Air_Unbalanced","-0.17(-1.35,0.98)","0.752","0.00","-0.43(-1.38,0.50)","-0.47(-1.40,0.51)","-0.10(-1.11,0.90)","-0.37(-1.38,0.67)"
"C61","2006_2010","2016_2020",10,"Air_Disadvantaged","0.18(-1.00,1.37)","0.742","0.00","0.89(0.08,1.74)*","0.60(-0.26,1.48)","0.72(-0.19,1.60)","-0.02(-1.07,0.98)"
