ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Interaction_Q5,Interaction_P_Value,Q1,Q2,Q3,Q4,Q5
"C34","2006_2010","2011_2015",5,"EQI_Unbalanced","-0.81(-3.74,2.22)","0.578","0.00","0.52(-1.59,2.64)","0.09(-2.11,2.31)","0.23(-2.24,2.72)","0.83(-1.96,3.63)"
"C34","2006_2010","2011_2015",5,"EQI_Disadvantaged","0.41(-2.26,3.09)","0.765","0.00","2.38(0.04,4.77)*","2.16(-0.16,4.54)","1.80(-0.56,4.20)","2.05(-0.45,4.52)"
"C34","2006_2010","2011_2015",5,"Air_Unbalanced","-0.73(-3.48,2.04)","0.607","0.00","0.71(-1.68,3.12)","-0.68(-3.00,1.71)","0.76(-1.67,3.23)","-0.28(-2.89,2.31)"
"C34","2006_2010","2011_2015",5,"Air_Disadvantaged","5.03(2.25,7.91)***","0.001","0.00","1.17(-0.90,3.24)","3.47(1.22,5.69)**","3.53(1.29,5.78)**","5.47(2.86,8.14)***"
"C34","2006_2010","2011_2015",5,"Built_Unbalanced","-0.89(-3.62,1.89)","0.513","0.00","-0.32(-2.50,1.85)","0.29(-2.03,2.65)","0.30(-2.01,2.60)","0.03(-2.45,2.53)"
"C34","2006_2010","2011_2015",5,"Built_Disadvantaged","-0.44(-3.22,2.38)","0.753","0.00","3.29(0.31,6.32)*","2.04(-0.73,4.82)","2.67(-0.06,5.37)","0.48(-2.05,3.09)"
"C34","2006_2010","2011_2015",5,"Water_Unbalanced","-0.02(-9.92,9.91)","0.997","0.00","-0.66(-2.28,0.99)","-0.53(-5.88,5.03)","-0.39(-5.71,5.06)","-1.76(-12.28,8.54)"
"C34","2006_2010","2011_2015",5,"Water_Disadvantaged","-1.66(-4.96,1.70)","0.321","0.00","-5.01(-7.55,-2.39)***","-3.09(-5.82,-0.41)*","-2.20(-4.82,0.46)","-3.40(-6.28,-0.54)*"
"C34","2006_2010","2011_2015",5,"Land_Unbalanced","0.42(-2.08,2.99)","0.736","0.00","0.66(-1.47,2.81)","2.69(0.64,4.81)**","2.37(0.14,4.59)*","1.26(-0.95,3.50)"
"C34","2006_2010","2011_2015",5,"Land_Disadvantaged","0.54(-2.23,3.33)","0.695","0.00","3.21(1.30,5.15)***","0.89(-1.11,2.92)","2.90(0.56,5.25)*","1.38(-1.09,3.81)"
"C34","2006_2010","2011_2015",5,"Social_Unbalanced","-0.29(-3.42,2.76)","0.861","0.00","-0.53(-2.33,1.27)","0.10(-1.83,2.04)","-0.22(-2.42,2.07)","-0.33(-2.83,2.19)"
"C34","2006_2010","2011_2015",5,"Social_Disadvantaged","-0.76(-4.11,2.64)","0.661","0.00","4.64(1.56,7.84)**","3.03(0.08,6.09)*","1.35(-1.62,4.31)","-0.79(-3.74,2.17)"
"C34","2006_2010","2016_2020",10,"EQI_Unbalanced","-1.61(-4.16,0.93)","0.221","0.00","0.14(-1.70,2.04)","0.17(-1.76,2.08)","-0.16(-2.24,1.96)","0.18(-2.18,2.52)"
"C34","2006_2010","2016_2020",10,"EQI_Disadvantaged","3.52(1.18,5.81)**","0.003","0.00","5.99(4.06,7.95)***","4.91(2.89,6.91)***","4.60(2.57,6.65)***","5.32(3.22,7.36)***"
"C34","2006_2010","2016_2020",10,"Air_Unbalanced","-0.70(-3.09,1.66)","0.566","0.00","0.67(-1.40,2.71)","-0.51(-2.57,1.55)","-0.46(-2.60,1.65)","-0.65(-2.88,1.57)"
"C34","2006_2010","2016_2020",10,"Air_Disadvantaged","3.28(0.79,5.80)**","0.009","0.00","1.72(-0.16,3.56)","2.61(0.65,4.58)**","2.34(0.37,4.29)*","3.32(1.00,5.59)**"
"C34","2006_2010","2016_2020",10,"Built_Unbalanced","-1.50(-3.87,0.93)","0.219","0.00","0.21(-1.67,2.12)","-0.52(-2.53,1.48)","-0.44(-2.39,1.49)","-0.25(-2.41,1.92)"
"C34","2006_2010","2016_2020",10,"Built_Disadvantaged","2.36(-0.06,4.80)","0.058","0.00","5.05(2.43,7.58)**","5.86(3.44,8.26)***","4.70(2.30,7.05)***","3.61(1.37,5.78)**"
"C34","2006_2010","2016_2020",10,"Water_Unbalanced","0.02(-9.70,9.76)","0.994","0.00","-0.00(-1.39,1.38)","-1.05(-5.87,3.93)","0.71(-3.88,5.31)","-0.50(-10.50,9.45)"
"C34","2006_2010","2016_2020",10,"Water_Disadvantaged","0.59(-2.44,3.69)","0.705","0.00","-3.48(-5.76,-1.17)**","-0.29(-2.64,2.10)","-1.03(-3.37,1.29)","0.07(-2.40,2.63)"
"C34","2006_2010","2016_2020",10,"Land_Unbalanced","0.86(-1.26,3.01)","0.431","0.00","0.70(-1.12,2.48)","2.25(0.45,4.06)*","1.91(-0.00,3.79)","1.98(0.14,3.85)*"
"C34","2006_2010","2016_2020",10,"Land_Disadvantaged","1.93(-0.59,4.39)","0.125","0.00","2.08(0.41,3.74)*","1.41(-0.30,3.16)","2.67(0.51,4.76)*","3.04(0.84,5.26)**"
"C34","2006_2010","2016_2020",10,"Social_Unbalanced","-0.66(-3.32,2.09)","0.641","0.00","0.66(-0.89,2.15)","1.97(0.27,3.67)*","2.37(0.49,4.20)*","1.87(-0.33,4.07)"
"C34","2006_2010","2016_2020",10,"Social_Disadvantaged","-1.24(-4.17,1.73)","0.408","0.00","4.05(1.35,6.77)**","4.08(1.45,6.77)**","2.31(-0.31,4.89)","1.29(-1.26,3.90)"
