ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Interaction_Q5,Interaction_P_Value,Q1,Q2,Q3,Q4,Q5
C25,2000_2005,2006_2010,5,EQI_Unbalanced,"0.10(-1.82,1.92)",0.908,0.00,"-0.01(-1.01,1.02)","-0.06(-1.01,0.90)","0.29(-0.69,1.27)","0.45(-0.72,1.64)"
"C25","2000_2005","2006_2010",5,"EQI_Disadvantaged","0.01(-9.72,9.61)","0.994","0.00","1.10(0.36,1.87)**","1.22(0.40,2.01)**","1.61(-0.03,3.27)","0.36(-9.35,10.16)"
"C25","2000_2005","2006_2010",5,"Air_Unbalanced","-1.13(-2.42,0.14)","0.083","0.00","1.18(-0.13,2.49)","0.51(-0.70,1.66)","0.37(-0.72,1.45)","0.88(-0.22,1.96)"
"C25","2000_2005","2006_2010",5,"Air_Disadvantaged","0.30(-1.26,1.94)","0.718","0.00","1.13(0.19,2.03)*","1.41(0.53,2.25)**","1.45(0.43,2.43)**","2.31(0.86,3.74)**"
"C25","2000_2005","2006_2010",5,"Built_Unbalanced","-0.17(-1.62,1.23)","0.823","0.00","0.55(-0.59,1.67)","0.69(-0.45,1.78)","1.03(-0.01,2.07)","0.77(-0.31,1.87)"
"C25","2000_2005","2006_2010",5,"Built_Disadvantaged","-0.10(-2.06,1.97)","0.915","0.00","1.02(0.25,1.77)*","0.96(0.04,1.87)*","1.35(0.21,2.52)*","0.84(-0.92,2.67)"
"C25","2000_2005","2006_2010",5,"Water_Unbalanced","0.02(-9.93,10.03)","0.990","0.00","-0.54(-1.36,0.26)","-1.28(-5.14,2.53)","0.81(-9.23,11.39)","0.39(-9.96,10.88)"
"C25","2000_2005","2006_2010",5,"Water_Disadvantaged","0.34(-2.68,3.40)","0.838","0.00","0.42(-0.81,1.64)","0.04(-1.26,1.26)","-0.15(-1.43,1.18)","0.71(-0.74,2.16)"
"C25","2000_2005","2006_2010",5,"Land_Unbalanced","0.24(-1.12,1.65)","0.739","0.00","0.91(-0.13,1.93)","0.68(-0.37,1.72)","0.54(-0.52,1.57)","-0.09(-1.18,0.99)"
"C25","2000_2005","2006_2010",5,"Land_Disadvantaged","0.49(-1.31,2.30)","0.592","0.00","-0.70(-1.46,0.07)","0.76(-0.23,1.70)","0.89(-0.40,2.20)","0.15(-1.51,1.76)"
"C25","2000_2005","2006_2010",5,"Social_Unbalanced","0.44(-1.04,1.85)","0.547","0.00","0.89(-0.22,1.94)","-0.34(-1.42,0.73)","0.09(-0.97,1.15)","0.62(-0.54,1.74)"
"C25","2000_2005","2006_2010",5,"Social_Disadvantaged","2.17(0.26,3.99)*","0.024","0.00","0.41(-0.35,1.16)","0.75(-0.21,1.70)","0.97(-0.30,2.24)","2.35(0.75,3.89)**"
"C25","2000_2005","2011_2015",10,"EQI_Unbalanced","-1.66(-3.35,0.04)","0.058","0.00","-0.77(-1.78,0.25)","-0.34(-1.33,0.66)","-0.49(-1.47,0.53)","-0.20(-1.44,1.03)"
"C25","2000_2005","2011_2015",10,"EQI_Disadvantaged","0.05(-9.54,9.36)","0.992","0.00","0.74(-0.04,1.50)","0.85(0.03,1.65)*","1.19(-0.53,2.80)","1.51(-8.02,10.99)"
"C25","2000_2005","2011_2015",10,"Air_Unbalanced","-2.30(-3.62,-1.01)**","0.001","0.00","-1.09(-2.48,0.29)","-1.10(-2.29,0.14)","-0.97(-2.09,0.11)","-0.59(-1.72,0.52)"
"C25","2000_2005","2011_2015",10,"Air_Disadvantaged","-0.06(-1.62,1.51)","0.951","0.00","0.61(-0.31,1.50)","1.39(0.53,2.24)**","1.41(0.44,2.38)**","1.64(0.30,3.03)*"
"C25","2000_2005","2011_2015",10,"Built_Unbalanced","-1.06(-2.51,0.38)","0.141","0.00","-0.14(-1.38,1.08)","-0.52(-1.70,0.66)","-1.02(-2.09,0.05)","-0.25(-1.41,0.85)"
"C25","2000_2005","2011_2015",10,"Built_Disadvantaged","-0.53(-2.49,1.48)","0.605","0.00","0.70(-0.09,1.49)","0.68(-0.27,1.62)","1.41(0.23,2.59)*","0.28(-1.49,2.06)"
"C25","2000_2005","2011_2015",10,"Water_Unbalanced","-0.01(-9.98,9.55)","0.991","0.00","-0.60(-1.31,0.14)","-0.36(-4.22,3.56)","1.23(-8.89,11.33)","1.20(-8.99,11.35)"
"C25","2000_2005","2011_2015",10,"Water_Disadvantaged","0.64(-2.30,3.64)","0.677","0.00","1.16(0.06,2.25)*","1.22(0.07,2.41)*","1.32(0.12,2.57)*","1.85(0.56,3.15)**"
"C25","2000_2005","2011_2015",10,"Land_Unbalanced","0.63(-0.70,1.98)","0.354","0.00","0.60(-0.45,1.62)","0.15(-0.85,1.13)","0.27(-0.69,1.22)","0.95(-0.09,2.01)"
"C25","2000_2005","2011_2015",10,"Land_Disadvantaged","0.00(-1.84,1.94)","1.000","0.00","-0.04(-0.82,0.78)","0.50(-0.42,1.42)","0.09(-1.15,1.35)","0.32(-1.38,2.10)"
"C25","2000_2005","2011_2015",10,"Social_Unbalanced","-0.15(-1.61,1.34)","0.830","0.00","-0.28(-1.39,0.83)","-0.45(-1.53,0.66)","-0.56(-1.67,0.53)","-0.49(-1.64,0.64)"
