ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Interaction_Q5,Interaction_P_Value,Q1,Q2,Q3,Q4,Q5
C50,2000_2005,2006_2010,5,EQI_Unbalanced,"0.19(-1.64,1.99)",0.828,0.00,"1.39(0.40,2.41)**","2.44(1.45,3.47)***","3.00(1.93,4.05)***","3.67(2.41,4.97)***"
"C50","2000_2005","2006_2010",5,"EQI_Disadvantaged","0.07(-10.27,10.46)","0.999","0.00","1.11(0.26,2.00)*","1.36(0.46,2.28)**","3.09(1.30,4.90)**","3.55(-6.88,13.80)"
"C50","2000_2005","2006_2010",5,"Air_Unbalanced","2.12(0.73,3.51)**","0.003","0.00","2.35(1.09,3.63)***","2.40(1.18,3.64)***","3.20(2.09,4.30)***","3.97(2.84,5.11)***"
"C50","2000_2005","2006_2010",5,"Air_Disadvantaged","2.17(0.47,3.85)*","0.013","0.00","1.87(0.87,2.87)***","2.65(1.62,3.60)***","3.09(1.97,4.19)***","4.02(2.50,5.59)***"
"C50","2000_2005","2006_2010",5,"Built_Unbalanced","2.60(1.11,4.05)***","0.001","0.00","0.87(-0.29,2.02)","2.73(1.59,3.89)***","2.70(1.63,3.79)***","3.59(2.48,4.70)***"
"C50","2000_2005","2006_2010",5,"Built_Disadvantaged","-0.16(-2.29,2.05)","0.873","0.00","0.93(0.08,1.79)*","1.16(0.11,2.16)*","1.98(0.71,3.26)**","0.83(-1.11,2.82)"
"C50","2000_2005","2006_2010",5,"Water_Unbalanced","0.01(-9.52,9.75)","0.989","0.00","0.40(-0.50,1.32)","0.40(-4.03,4.81)","0.90(-9.17,10.96)","0.76(-9.18,11.02)"
"C50","2000_2005","2006_2010",5,"Water_Disadvantaged","-0.96(-4.14,2.22)","0.554","0.00","-1.14(-2.54,0.23)","-0.54(-1.97,0.89)","-0.10(-1.59,1.35)","-0.20(-1.72,1.35)"
"C50","2000_2005","2006_2010",5,"Land_Unbalanced","-0.62(-2.16,0.94)","0.443","0.00","0.29(-0.83,1.45)","0.24(-0.91,1.43)","0.29(-0.82,1.42)","0.28(-0.96,1.56)"
"C50","2000_2005","2006_2010",5,"Land_Disadvantaged","0.13(-1.84,2.22)","0.901","0.00","0.66(-0.21,1.52)","0.79(-0.25,1.87)","0.53(-0.80,1.93)","1.02(-0.84,2.92)"
