ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Interaction_Q5,Interaction_P_Value,Q1,Q2,Q3,Q4,Q5
C30_C39,2000_2005,2006_2010,5,EQI_Unbalanced,"2.51(-0.73,5.84)",0.138,0.00,"1.41(-0.94,3.76)","1.68(-0.68,4.04)","2.78(0.34,5.24)*","5.60(2.79,8.62)***"
"C30_C39","2000_2005","2006_2010",5,"EQI_Disadvantaged","-0.06(-9.93,9.69)","0.991","0.00","5.71(3.88,7.56)***","5.02(3.09,6.98)***","5.01(1.46,8.50)**","3.03(-7.11,13.10)"
"C30_C39","2000_2005","2006_2010",5,"Air_Unbalanced","-0.55(-3.34,2.16)","0.719","0.00","3.87(0.97,6.67)*","2.92(0.14,5.65)*","5.60(3.07,8.18)***","6.19(3.54,8.69)***"
"C30_C39","2000_2005","2006_2010",5,"Air_Disadvantaged","2.28(-1.09,5.56)","0.187","0.00","6.95(4.74,9.11)***","10.76(8.53,12.82)***","10.21(7.80,12.49)***","9.02(5.90,12.13)***"
"C30_C39","2000_2005","2006_2010",5,"Built_Unbalanced","-0.52(-3.56,2.51)","0.731","0.00","2.08(-0.69,4.84)","-0.00(-2.70,2.73)","1.70(-0.83,4.30)","1.55(-1.06,4.24)"
"C30_C39","2000_2005","2006_2010",5,"Built_Disadvantaged","3.96(-0.32,8.26)","0.071","0.00","2.42(0.59,4.31)**","3.98(1.82,6.17)***","2.80(0.13,5.43)*","6.03(2.03,10.00)**"
"C30_C39","2000_2005","2006_2010",5,"Water_Unbalanced","0.05(-9.52,9.68)","0.994","0.00","0.14(-2.05,2.39)","1.94(-5.38,9.43)","1.37(-8.88,11.50)","1.77(-8.34,12.07)"
"C30_C39","2000_2005","2006_2010",5,"Water_Disadvantaged","0.28(-3.28,3.97)","0.891","0.00","-0.14(-3.27,2.91)","3.07(-0.09,6.22)","1.05(-2.18,4.25)","2.00(-1.46,5.44)"
"C30_C39","2000_2005","2006_2010",5,"Land_Unbalanced","1.69(-1.34,4.73)","0.277","0.00","-0.63(-2.97,1.70)","0.48(-1.97,2.92)","-0.58(-3.08,1.91)","0.35(-2.39,3.12)"
"C30_C39","2000_2005","2006_2010",5,"Land_Disadvantaged","-1.26(-5.04,2.55)","0.519","0.00","-2.30(-4.13,-0.47)*","-4.34(-6.57,-2.07)***","-2.20(-5.61,1.15)","-2.60(-6.34,1.07)"
"C30_C39","2000_2005","2006_2010",5,"Social_Unbalanced","1.97(-0.98,4.88)","0.191","0.00","0.94(-1.53,3.43)","-0.80(-3.18,1.57)","0.42(-2.05,2.83)","2.21(-0.33,4.73)"
"C30_C39","2000_2005","2006_2010",5,"Social_Disadvantaged","0.00(-3.73,3.57)","0.999","0.00","1.32(-0.52,3.22)","1.79(-0.50,4.02)","2.96(0.02,5.92)*","0.24(-3.14,3.64)"
"C30_C39","2000_2005","2011_2015",10,"EQI_Unbalanced","0.80(-2.45,4.04)","0.640","0.00","1.94(-0.18,4.11)","2.07(-0.03,4.18)","2.00(-0.23,4.24)","3.32(0.62,6.00)*"
"C30_C39","2000_2005","2011_2015",10,"EQI_Disadvantaged","0.01(-9.96,10.20)","0.998","0.00","5.57(3.93,7.24)***","4.79(3.01,6.56)***","6.06(2.79,9.36)***","2.53(-7.71,12.86)"
"C30_C39","2000_2005","2011_2015",10,"Air_Unbalanced","-0.96(-3.63,1.71)","0.484","0.00","3.74(1.06,6.43)**","4.35(1.79,6.92)***","4.76(2.39,7.16)***","4.63(2.16,7.08)***"
"C30_C39","2000_2005","2011_2015",10,"Air_Disadvantaged","3.15(0.02,6.30)*","0.050","0.00","7.78(5.75,9.77)***","11.29(9.36,13.22)***","10.56(8.41,12.75)***","8.73(5.82,11.64)***"
"C30_C39","2000_2005","2011_2015",10,"Built_Unbalanced","-0.01(-2.75,2.79)","0.990","0.00","2.81(0.26,5.33)*","3.39(0.89,5.92)**","3.67(1.31,6.03)**","2.97(0.54,5.42)*"
"C30_C39","2000_2005","2011_2015",10,"Built_Disadvantaged","3.71(-0.30,7.74)","0.064","0.00","3.72(2.08,5.35)***","5.46(3.41,7.52)***","3.80(1.40,6.25)**","6.68(2.99,10.45)***"
"C30_C39","2000_2005","2011_2015",10,"Water_Unbalanced","0.04(-9.72,9.64)","0.982","0.00","-0.64(-2.66,1.37)","1.23(-5.88,8.38)","1.41(-9.25,11.63)","1.47(-8.79,11.51)"
"C30_C39","2000_2005","2011_2015",10,"Water_Disadvantaged","1.36(-2.35,4.93)","0.455","0.00","1.41(-1.48,4.24)","3.52(0.54,6.46)*","1.98(-0.97,4.94)","2.79(-0.46,5.97)"
"C30_C39","2000_2005","2011_2015",10,"Land_Unbalanced","3.36(0.48,6.20)*","0.022","0.00","1.40(-0.80,3.65)","1.15(-1.19,3.48)","1.14(-1.30,3.60)","1.33(-1.28,3.89)"
"C30_C39","2000_2005","2011_2015",10,"Land_Disadvantaged","2.12(-1.57,5.61)","0.246","0.00","-2.15(-3.86,-0.41)*","-4.60(-6.63,-2.59)***","-0.66(-3.94,2.71)","0.09(-3.38,3.52)"
"C30_C39","2000_2005","2011_2015",10,"Social_Unbalanced","0.89(-1.84,3.56)","0.526","0.00","1.63(-0.63,3.94)","-1.42(-3.73,0.88)","-1.06(-3.35,1.32)","0.12(-2.26,2.53)"
"C30_C39","2000_2005","2011_2015",10,"Social_Disadvantaged","4.09(0.70,7.53)*","0.019","0.00","2.08(0.32,3.78)*","2.66(0.40,4.92)*","2.59(0.07,5.13)*","3.32(0.29,6.53)*"
"C30_C39","2006_2010","2011_2015",5,"EQI_Unbalanced","-0.98(-3.89,1.88)","0.516","0.00","0.61(-1.58,2.79)","0.02(-2.26,2.26)","0.08(-2.41,2.48)","0.65(-2.21,3.36)"
"C30_C39","2006_2010","2011_2015",5,"EQI_Disadvantaged","0.46(-2.33,3.11)","0.736","0.00","2.51(0.11,4.93)*","1.88(-0.66,4.41)","1.80(-0.63,4.22)","2.09(-0.48,4.60)"
"C30_C39","2006_2010","2011_2015",5,"Air_Unbalanced","-0.92(-3.66,1.76)","0.511","0.00","0.99(-1.37,3.34)","-0.43(-2.76,1.93)","0.99(-1.47,3.43)","-0.18(-2.70,2.36)"
