ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Interaction_Q5,Interaction_P_Value,Q1,Q2,Q3,Q4,Q5
C00_C97,2000_2005,2006_2010,5,EQI_Unbalanced,"0.34(-4.39,5.08)",0.892,0.00,"2.08(-1.69,5.92)","6.19(2.58,9.91)***","8.56(4.69,12.44)***","15.35(10.71,20.07)***"
"C00_C97","2000_2005","2006_2010",5,"EQI_Disadvantaged","0.07(-9.31,9.89)","0.988","0.00","5.76(2.59,8.90)***","3.61(0.22,6.96)*","9.86(3.97,15.66)***","15.08(5.20,25.26)**"
"C00_C97","2000_2005","2006_2010",5,"Air_Unbalanced","-1.09(-5.32,3.23)","0.620","0.00","7.58(3.13,12.17)**","6.19(1.67,10.72)**","10.94(6.76,15.08)***","14.69(10.45,19.03)***"
"C00_C97","2000_2005","2006_2010",5,"Air_Disadvantaged","-6.01(-11.27,-0.66)*","0.029","0.00","4.76(0.87,8.58)*","9.28(5.42,13.10)***","9.18(5.09,13.37)***","9.77(4.52,15.21)***"
"C00_C97","2000_2005","2006_2010",5,"Built_Unbalanced","2.21(-2.04,6.41)","0.304","0.00","8.22(4.03,12.40)***","7.74(3.61,11.99)***","10.39(6.47,14.23)***","13.29(9.14,17.29)***"
"C00_C97","2000_2005","2006_2010",5,"Built_Disadvantaged","-5.24(-11.56,0.91)","0.096","0.00","3.50(0.31,6.66)*","8.06(4.41,11.75)***","8.49(4.13,12.96)***","5.83(-0.46,12.02)"
"C00_C97","2000_2005","2006_2010",5,"Water_Unbalanced","0.02(-9.71,9.91)","0.999","0.00","1.85(-1.74,5.42)","7.64(-1.48,16.77)","9.02(-1.40,19.21)","11.15(0.62,21.42)*"
"C00_C97","2000_2005","2006_2010",5,"Water_Disadvantaged","-5.18(-10.02,-0.33)*","0.035","0.00","4.91(0.02,9.75)*","4.03(-0.76,8.85)","6.28(1.35,11.24)*","5.94(0.54,11.21)*"
"C00_C97","2000_2005","2006_2010",5,"Land_Unbalanced","-1.46(-5.83,3.01)","0.523","0.00","0.33(-3.36,4.11)","3.37(-0.56,7.44)","3.20(-0.78,7.28)","4.84(0.47,9.33)*"
"C00_C97","2000_2005","2006_2010",5,"Land_Disadvantaged","-6.50(-12.34,-0.62)*","0.030","0.00","-0.32(-3.53,2.93)","-0.09(-3.83,3.64)","-1.80(-7.16,3.67)","-0.20(-6.37,5.88)"
"C00_C97","2000_2005","2006_2010",5,"Social_Unbalanced","-3.85(-8.11,0.33)","0.073","0.00","-0.62(-4.46,3.20)","-3.55(-7.33,0.29)","-2.04(-5.91,1.82)","2.93(-1.12,7.02)"
"C00_C97","2000_2005","2006_2010",5,"Social_Disadvantaged","-4.63(-10.36,0.85)","0.104","0.00","-1.04(-4.15,2.08)","1.33(-2.44,5.28)","0.80(-3.86,5.45)","2.16(-3.38,7.56)"
"C00_C97","2000_2005","2011_2015",10,"EQI_Unbalanced","0.04(-4.74,4.85)","0.984","0.00","5.39(1.63,8.99)**","8.86(5.31,12.49)***","8.51(4.78,12.31)***","13.58(9.11,18.18)***"
"C00_C97","2000_2005","2011_2015",10,"EQI_Disadvantaged","0.01(-9.79,9.76)","0.999","0.00","6.14(3.10,9.19)***","4.96(1.68,8.29)**","12.22(6.56,17.79)***","13.55(3.30,23.76)**"
"C00_C97","2000_2005","2011_2015",10,"Air_Unbalanced","-2.25(-6.41,1.92)","0.291","0.00","7.87(3.35,12.30)**","8.04(3.72,12.42)***","10.13(5.92,14.22)***","12.54(8.30,16.69)***"
"C00_C97","2000_2005","2011_2015",10,"Air_Disadvantaged","-3.07(-8.23,2.07)","0.242","0.00","6.31(2.58,10.08)***","12.70(9.04,16.40)***","12.77(8.67,16.79)***","11.72(6.67,16.93)***"
"C00_C97","2000_2005","2011_2015",10,"Built_Unbalanced","-0.45(-4.59,3.79)","0.837","0.00","5.36(1.21,9.44)*","9.50(5.41,13.52)***","9.22(5.47,12.99)***","11.68(7.73,15.63)***"
"C00_C97","2000_2005","2011_2015",10,"Built_Disadvantaged","-2.04(-8.32,4.28)","0.519","0.00","6.19(3.17,9.14)***","9.09(5.52,12.58)***","10.20(5.85,14.56)***","10.09(3.84,16.39)**"
"C00_C97","2000_2005","2011_2015",10,"Water_Unbalanced","0.07(-9.86,9.71)","0.983","0.00","-0.28(-3.73,3.20)","5.65(-3.41,14.74)","7.77(-2.74,18.43)","9.39(-1.27,19.86)"
"C00_C97","2000_2005","2011_2015",10,"Water_Disadvantaged","-3.34(-7.99,1.39)","0.171","0.00","3.75(-0.82,8.29)","0.18(-4.60,4.97)","4.04(-0.69,8.88)","5.97(0.90,11.13)*"
"C00_C97","2000_2005","2011_2015",10,"Land_Unbalanced","1.32(-3.18,5.71)","0.539","0.00","3.27(-0.58,6.98)","2.97(-0.84,6.92)","4.09(0.17,7.96)*","5.70(1.37,10.02)*"
"C00_C97","2000_2005","2011_2015",10,"Land_Disadvantaged","-3.09(-8.88,2.65)","0.298","0.00","-1.14(-4.28,1.90)","-2.64(-6.41,1.05)","3.14(-2.25,8.41)","1.29(-4.50,7.20)"
"C00_C97","2000_2005","2011_2015",10,"Social_Unbalanced","-2.69(-6.87,1.52)","0.212","0.00","1.69(-2.12,5.45)","-1.76(-5.68,2.12)","-3.35(-7.20,0.41)","0.98(-3.13,5.05)"
