ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Interaction_Q5,Interaction_P_Value,Q1,Q2,Q3,Q4,Q5
C18_C21,2000_2005,2006_2010,5,EQI_Unbalanced,"-1.43(-3.67,0.76)",0.207,0.00,"-0.28(-1.59,1.00)","0.86(-0.41,2.09)","1.19(-0.14,2.50)","0.72(-0.79,2.26)"
"C18_C21","2000_2005","2006_2010",5,"EQI_Disadvantaged","0.02(-9.80,9.73)","0.991","0.00","2.14(1.15,3.15)***","1.73(0.68,2.74)**","2.61(0.47,4.71)*","2.17(-7.86,11.78)"
"C18_C21","2000_2005","2006_2010",5,"Air_Unbalanced","1.08(-0.56,2.71)","0.192","0.00","2.48(0.86,4.07)**","2.32(0.90,3.82)**","1.96(0.56,3.31)**","2.23(0.81,3.62)**"
"C18_C21","2000_2005","2006_2010",5,"Air_Disadvantaged","1.66(-0.34,3.68)","0.104","0.00","2.44(1.22,3.56)***","2.70(1.50,3.82)***","3.18(1.92,4.46)***","2.81(0.98,4.66)**"
"C18_C21","2000_2005","2006_2010",5,"Built_Unbalanced","-0.47(-2.29,1.32)","0.618","0.00","-0.76(-2.33,0.77)","-0.14(-1.62,1.35)","-0.36(-1.82,1.04)","-0.35(-1.84,1.08)"
"C18_C21","2000_2005","2006_2010",5,"Built_Disadvantaged","1.08(-1.31,3.62)","0.396","0.00","1.39(0.42,2.34)**","2.35(1.20,3.46)***","2.68(1.18,4.19)**","1.20(-0.98,3.43)"
"C18_C21","2000_2005","2006_2010",5,"Water_Unbalanced","-0.02(-9.39,9.56)","0.984","0.00","-0.48(-1.51,0.53)","-0.58(-5.59,4.29)","0.26(-9.59,10.01)","0.26(-9.53,10.36)"
"C18_C21","2000_2005","2006_2010",5,"Water_Disadvantaged","-0.99(-3.97,2.09)","0.526","0.00","-1.49(-3.03,0.05)","-0.20(-1.80,1.35)","0.39(-1.32,2.01)","-0.72(-2.45,1.00)"
"C18_C21","2000_2005","2006_2010",5,"Land_Unbalanced","0.31(-1.37,1.97)","0.724","0.00","0.97(-0.30,2.26)","0.42(-0.85,1.75)","1.07(-0.25,2.34)","1.38(0.02,2.77)*"
"C18_C21","2000_2005","2006_2010",5,"Land_Disadvantaged","1.29(-1.05,3.60)","0.278","0.00","0.87(-0.14,1.90)","-0.04(-1.20,1.11)","0.87(-0.80,2.58)","2.36(0.21,4.62)*"
"C18_C21","2000_2005","2006_2010",5,"Social_Unbalanced","-0.52(-2.26,1.17)","0.549","0.00","-2.11(-3.47,-0.75)**","-1.97(-3.28,-0.67)**","-2.16(-3.45,-0.87)**","-1.43(-2.84,-0.07)*"
"C18_C21","2000_2005","2006_2010",5,"Social_Disadvantaged","-0.48(-2.64,1.71)","0.654","0.00","1.17(0.17,2.17)*","0.21(-1.00,1.41)","-0.94(-2.45,0.64)","-1.38(-3.21,0.49)"
"C18_C21","2000_2005","2011_2015",10,"EQI_Unbalanced","-0.20(-2.29,1.88)","0.849","0.00","-1.32(-2.58,-0.01)*","-1.48(-2.74,-0.27)*","-1.74(-3.03,-0.47)**","-1.56(-3.02,-0.08)*"
"C18_C21","2000_2005","2011_2015",10,"EQI_Disadvantaged","-0.01(-9.66,9.61)","0.997","0.00","1.26(0.35,2.19)**","1.03(0.08,1.98)*","1.29(-0.55,3.17)","-1.37(-11.32,8.51)"
"C18_C21","2000_2005","2011_2015",10,"Air_Unbalanced","-0.52(-2.20,1.14)","0.546","0.00","-0.28(-1.95,1.32)","-0.26(-1.80,1.28)","-0.78(-2.20,0.62)","-1.03(-2.48,0.38)"
"C18_C21","2000_2005","2011_2015",10,"Air_Disadvantaged","2.47(0.63,4.29)**","0.008","0.00","1.96(0.87,3.03)**","2.44(1.38,3.49)***","2.19(1.03,3.36)***","1.96(0.31,3.58)*"
"C18_C21","2000_2005","2011_2015",10,"Built_Unbalanced","-0.33(-2.03,1.36)","0.703","0.00","0.08(-1.39,1.54)","0.44(-0.99,1.85)","-0.01(-1.34,1.28)","-0.09(-1.44,1.27)"
"C18_C21","2000_2005","2011_2015",10,"Built_Disadvantaged","0.90(-1.43,3.19)","0.438","0.00","1.54(0.66,2.43)**","1.34(0.27,2.41)*","2.65(1.32,4.03)***","1.14(-0.88,3.15)"
"C18_C21","2000_2005","2011_2015",10,"Water_Unbalanced","0.00(-9.86,9.78)","0.996","0.00","0.37(-0.56,1.29)","0.87(-3.77,5.48)","-0.06(-10.19,10.36)","-0.06(-10.20,10.01)"
"C18_C21","2000_2005","2011_2015",10,"Water_Disadvantaged","-1.91(-4.82,1.00)","0.204","0.00","-1.62(-3.14,-0.17)*","-1.55(-3.11,-0.03)*","-0.58(-2.16,0.99)","-1.97(-3.63,-0.33)*"
"C18_C21","2000_2005","2011_2015",10,"Land_Unbalanced","0.56(-1.06,2.15)","0.494","0.00","1.09(-0.07,2.24)","1.10(-0.10,2.30)","0.70(-0.45,1.88)","0.83(-0.42,2.10)"
"C18_C21","2000_2005","2011_2015",10,"Land_Disadvantaged","2.47(0.33,4.71)*","0.026","0.00","0.77(-0.13,1.69)","-0.26(-1.32,0.80)","-0.12(-1.55,1.35)","2.75(0.81,4.78)**"
"C18_C21","2000_2005","2011_2015",10,"Social_Unbalanced","-0.73(-2.34,0.85)","0.391","0.00","-1.34(-2.61,-0.08)*","-2.53(-3.76,-1.30)***","-2.73(-4.00,-1.50)***","-2.52(-3.81,-1.23)***"
"C18_C21","2000_2005","2011_2015",10,"Social_Disadvantaged","1.74(-0.23,3.74)","0.083","0.00","-1.37(-2.25,-0.45)**","-2.14(-3.22,-1.03)***","-1.62(-2.96,-0.23)*","-0.06(-1.76,1.65)"
"C18_C21","2006_2010","2011_2015",5,"EQI_Unbalanced","0.66(-0.98,2.31)","0.423","0.00","0.21(-0.92,1.34)","-0.17(-1.35,1.03)","-0.20(-1.46,1.07)","-0.36(-1.77,1.10)"
"C18_C21","2006_2010","2011_2015",5,"EQI_Disadvantaged","2.38(0.88,3.87)**","0.002","0.00","-0.35(-1.61,0.89)","0.72(-0.51,1.93)","-0.37(-1.61,0.86)","1.36(0.07,2.65)*"
"C18_C21","2006_2010","2011_2015",5,"Air_Unbalanced","1.51(0.02,3.00)*","0.048","0.00","0.41(-0.90,1.66)","-0.02(-1.27,1.22)","0.64(-0.62,1.93)","0.80(-0.54,2.14)"
"C18_C21","2006_2010","2011_2015",5,"Air_Disadvantaged","4.05(2.46,5.64)***","0.000","0.00","1.22(0.13,2.29)*","1.16(-0.01,2.31)","1.66(0.54,2.78)**","3.34(1.89,4.77)***"
"C18_C21","2006_2010","2011_2015",5,"Built_Unbalanced","-0.70(-2.26,0.86)","0.370","0.00","-1.01(-2.17,0.17)","-0.82(-2.08,0.47)","-0.95(-2.15,0.27)","-1.76(-3.08,-0.40)*"
"C18_C21","2006_2010","2011_2015",5,"Built_Disadvantaged","0.97(-0.59,2.54)","0.222","0.00","3.07(1.42,4.67)***","1.26(-0.24,2.73)","1.36(-0.12,2.83)","-0.09(-1.49,1.26)"
"C18_C21","2006_2010","2011_2015",5,"Water_Unbalanced","0.01(-9.50,9.45)","0.995","0.00","-0.07(-0.90,0.75)","-1.00(-4.18,2.26)","0.60(-2.53,3.65)","0.18(-9.52,9.94)"
"C18_C21","2006_2010","2011_2015",5,"Water_Disadvantaged","-0.75(-2.96,1.42)","0.500","0.00","-1.74(-3.11,-0.38)*","-1.65(-3.06,-0.25)*","-1.58(-3.02,-0.18)*","-0.58(-2.13,0.94)"
"C18_C21","2006_2010","2011_2015",5,"Land_Unbalanced","-0.64(-2.04,0.74)","0.376","0.00","0.19(-0.96,1.32)","0.09(-0.99,1.17)","0.30(-0.91,1.48)","0.44(-0.76,1.63)"
"C18_C21","2006_2010","2011_2015",5,"Land_Disadvantaged","0.80(-0.75,2.32)","0.300","0.00","0.23(-0.80,1.22)","-0.04(-1.12,1.04)","1.52(0.18,2.84)*","1.88(0.52,3.21)**"
"C18_C21","2006_2010","2011_2015",5,"Social_Unbalanced","0.48(-1.29,2.23)","0.595","0.00","0.29(-0.65,1.23)","1.01(-0.01,2.05)","1.61(0.42,2.82)**","2.58(1.23,3.97)***"
"C18_C21","2006_2010","2011_2015",5,"Social_Disadvantaged","-1.31(-3.32,0.76)","0.209","0.00","1.05(-0.73,2.88)","0.81(-0.97,2.63)","0.92(-0.84,2.72)","0.79(-0.92,2.56)"
"C18_C21","2006_2010","2016_2020",10,"EQI_Unbalanced","-1.24(-2.84,0.39)","0.139","0.00","-1.53(-2.72,-0.36)*","-1.97(-3.19,-0.77)***","-1.88(-3.20,-0.59)**","-2.12(-3.53,-0.68)**"
"C18_C21","2006_2010","2016_2020",10,"EQI_Disadvantaged","0.36(-1.13,1.83)","0.634","0.00","-0.10(-1.30,1.11)","1.22(-0.03,2.46)","-0.28(-1.50,0.95)","-0.52(-1.78,0.73)"
"C18_C21","2006_2010","2016_2020",10,"Air_Unbalanced","-0.23(-1.67,1.26)","0.739","0.00","-0.44(-1.71,0.81)","-0.80(-2.03,0.44)","-0.79(-2.03,0.47)","-0.67(-1.95,0.61)"
"C18_C21","2006_2010","2016_2020",10,"Air_Disadvantaged","0.83(-0.72,2.37)","0.296","0.00","-1.63(-2.71,-0.54)**","-0.87(-1.99,0.27)","0.37(-0.78,1.49)","0.38(-0.96,1.73)"
"C18_C21","2006_2010","2016_2020",10,"Built_Unbalanced","-2.23(-3.82,-0.64)**","0.004","0.00","-2.13(-3.35,-0.91)***","-2.38(-3.70,-1.07)***","-2.72(-3.98,-1.48)***","-3.01(-4.40,-1.64)***"
"C18_C21","2006_2010","2016_2020",10,"Built_Disadvantaged","2.22(0.71,3.70)**","0.003","0.00","2.50(1.01,4.02)***","2.63(1.20,4.05)***","1.82(0.42,3.18)*","1.44(0.18,2.69)*"
"C18_C21","2006_2010","2016_2020",10,"Water_Unbalanced","0.00(-9.84,9.74)","0.997","0.00","-0.01(-0.83,0.80)","-2.19(-5.25,0.82)","1.74(-1.15,4.61)","-0.32(-10.23,9.51)"
"C18_C21","2006_2010","2016_2020",10,"Water_Disadvantaged","-0.83(-2.97,1.36)","0.448","0.00","-1.61(-2.95,-0.28)*","-0.21(-1.56,1.14)","-0.48(-1.87,0.92)","-1.15(-2.64,0.35)"
"C18_C21","2006_2010","2016_2020",10,"Land_Unbalanced","-1.54(-2.99,-0.09)*","0.035","0.00","-0.47(-1.65,0.71)","-0.37(-1.48,0.73)","-0.36(-1.53,0.84)","-0.39(-1.60,0.84)"
"C18_C21","2006_2010","2016_2020",10,"Land_Disadvantaged","0.59(-0.92,2.13)","0.454","0.00","0.80(-0.19,1.82)","0.71(-0.37,1.78)","0.07(-1.20,1.32)","1.74(0.41,3.08)**"
"C18_C21","2006_2010","2016_2020",10,"Social_Unbalanced","-0.72(-2.47,1.01)","0.423","0.00","0.30(-0.67,1.25)","1.23(0.17,2.27)*","3.40(2.12,4.71)***","2.46(1.17,3.76)***"
"C18_C21","2006_2010","2016_2020",10,"Social_Disadvantaged","-1.84(-3.90,0.26)","0.088","0.00","0.93(-0.88,2.83)","1.93(0.12,3.75)*","1.59(-0.13,3.33)","1.34(-0.35,3.08)"
