ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Interaction_Q5,Interaction_P_Value,Q1,Q2,Q3,Q4,Q5
C76_C80,2000_2005,2006_2010,5,EQI_Unbalanced,"0.43(-1.46,2.38)",0.672,0.00,"-0.76(-1.77,0.29)","-0.16(-1.21,0.88)","-0.59(-1.66,0.46)","-0.79(-2.12,0.57)"
"C76_C80","2000_2005","2006_2010",5,"EQI_Disadvantaged","0.01(-9.90,9.94)","0.993","0.00","1.81(0.92,2.69)***","0.96(0.04,1.88)*","1.55(-0.25,3.34)","-1.21(-11.14,8.57)"
"C76_C80","2000_2005","2006_2010",5,"Air_Unbalanced","-0.89(-2.32,0.53)","0.233","0.00","-0.59(-1.91,0.78)","-0.85(-2.09,0.40)","-0.68(-1.86,0.49)","-0.34(-1.59,0.88)"
"C76_C80","2000_2005","2006_2010",5,"Air_Disadvantaged","0.65(-1.09,2.42)","0.456","0.00","2.25(1.25,3.23)***","2.45(1.48,3.40)***","2.71(1.59,3.79)***","1.20(-0.33,2.74)"
"C76_C80","2000_2005","2006_2010",5,"Built_Unbalanced","-1.34(-2.86,0.19)","0.086","0.00","-0.74(-1.94,0.47)","-1.04(-2.22,0.14)","-1.13(-2.26,-0.03)*","-0.38(-1.58,0.77)"
"C76_C80","2000_2005","2006_2010",5,"Built_Disadvantaged","2.92(0.71,5.12)**","0.009","0.00","1.73(0.91,2.55)***","2.90(1.88,3.92)***","3.11(1.84,4.40)***","3.89(1.92,5.87)***"
"C76_C80","2000_2005","2006_2010",5,"Water_Unbalanced","0.03(-9.38,9.69)","0.997","0.00","0.47(-0.44,1.38)","0.41(-3.81,4.67)","0.54(-9.50,10.48)","1.36(-8.38,11.59)"
"C76_C80","2000_2005","2006_2010",5,"Water_Disadvantaged","0.64(-2.19,3.53)","0.693","0.00","1.14(-0.50,2.65)","0.55(-1.18,2.12)","0.88(-0.85,2.46)","1.97(0.15,3.70)*"
"C76_C80","2000_2005","2006_2010",5,"Land_Unbalanced","0.79(-0.73,2.33)","0.321","0.00","0.01(-1.13,1.11)","-0.44(-1.59,0.69)","0.51(-0.65,1.69)","0.15(-1.10,1.47)"
"C76_C80","2000_2005","2006_2010",5,"Land_Disadvantaged","-2.04(-4.03,-0.08)*","0.043","0.00","-1.01(-1.90,-0.07)*","0.10(-0.96,1.17)","-1.17(-2.58,0.28)","-2.68(-4.51,-0.87)**"
"C76_C80","2000_2005","2006_2010",5,"Social_Unbalanced","-0.07(-1.62,1.47)","0.932","0.00","0.59(-0.54,1.75)","-0.12(-1.29,1.05)","-0.46(-1.70,0.69)","-0.48(-1.72,0.80)"
"C76_C80","2000_2005","2006_2010",5,"Social_Disadvantaged","0.15(-1.75,2.10)","0.882","0.00","-0.73(-1.61,0.15)","0.69(-0.36,1.77)","-1.29(-2.62,0.01)","-0.26(-1.91,1.38)"
"C76_C80","2000_2005","2011_2015",10,"EQI_Unbalanced","-0.97(-2.71,0.79)","0.274","0.00","-0.20(-1.22,0.80)","-0.11(-1.10,0.89)","-0.97(-2.00,0.08)","-1.53(-2.81,-0.28)*"
