ICD_Code,AAMR_Period,Lag,Sensitivity_Model,Smoking_Rate,uninsured_rate_2005,physician_density_per100k,forest_coverage,site_number_mean
C00_C97,2006_2010,5,Baseline,,,,,
"C00_C97","2006_2010",5,"Full","13.61(12.17,15.05)***","-16.73(-18.37,-15.04)***","1.28(0.23,2.35)*","1.01(-0.29,2.27)","1.23(0.30,2.16)**"
"C00_C97","2011_2015",10,"Baseline","","","","",""
"C00_C97","2011_2015",10,"Full","13.50(12.22,14.85)***","-15.13(-16.58,-13.75)***","1.08(0.18,1.99)*","1.59(0.46,2.79)**","0.98(0.17,1.81)*"
"C00_C97","2016_2020",15,"Baseline","","","","",""
"C00_C97","2016_2020",15,"Full","14.44(13.27,15.62)***","-14.91(-16.25,-13.56)***","0.71(-0.18,1.59)","-0.18(-1.27,0.90)","0.07(-0.73,0.89)"
