ICD_Code,AAMR_Period,Lag,Sensitivity_Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C00_C97,2006_2010,5,Baseline,0.00,"15.32(12.01,18.69)***","15.98(12.71,19.19)***","14.26(10.89,17.72)***","8.83(5.27,12.41)***",0.0002,0.0002,0.0002,0.0002,1.0000,0.9998,1.0033,1.0020,1930,1760,1580,1599,2323,2451,2421,2353
"C00_C97","2006_2010",5,"Full","0.00","11.55(8.56,14.59)***","11.06(7.98,14.11)***","9.17(5.82,12.49)***","8.73(4.77,12.72)***","0.0002","0.0002","0.0002","0.0002","1.0022","1.0047","1.0036","1.0039",1947,1868,1707,1639,2416,2268,2437,2242
"C00_C97","2011_2015",10,"Baseline","0.00","14.81(11.65,17.83)***","14.83(11.61,18.02)***","13.17(9.87,16.29)***","5.73(2.36,9.09)**","0.0002","0.0002","0.0002","0.0012","1.0020","1.0008","1.0006","1.0026",1743,1674,1554,1480,2550,2554,2337,2262
"C00_C97","2011_2015",10,"Full","0.00","11.35(8.59,14.17)***","10.64(7.81,13.43)***","9.56(6.47,12.70)***","7.21(3.55,10.86)***","0.0002","0.0002","0.0002","0.0007","1.0020","1.0017","1.0014","1.0012",1872,1452,1254,1123,2559,2227,1983,1908
"C00_C97","2016_2020",15,"Baseline","0.00","13.78(10.69,16.87)***","11.69(8.76,14.80)***","8.93(5.78,12.18)***","0.23(-3.04,3.64)","0.0002","0.0002","0.0002","0.8925","1.0020","1.0031","1.0028","1.0019",1631,1436,1323,1345,2145,2183,2176,2074
"C00_C97","2016_2020",15,"Full","0.00","9.82(7.18,12.52)***","7.63(5.06,10.25)***","5.66(2.83,8.56)***","3.10(-0.38,6.52)","0.0002","0.0002","0.0007","0.0822","1.0005","1.0016","1.0021","1.0033",2261,1927,1727,1729,2369,2469,2150,2202
