ICD_Code,AAMR_Period,Lag,Sensitivity_Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2006_2010,5,+Insurance,0.00,"7.97(5.91,10.03)***","11.59(9.55,13.60)***","14.92(12.75,17.18)***","18.54(16.28,20.85)***",0.0002,0.0002,0.0002,0.0002,1.0001,1.0014,1.0017,1.0015,2767,2519,2112,1982,3011,2870,2351,2773
"G20_G30_G12.2_F01_F03","2011_2015",10,"+Insurance","0.00","8.37(6.33,10.39)***","10.86(8.73,12.94)***","14.07(11.74,16.30)***","18.09(15.62,20.39)***","0.0002","0.0002","0.0002","0.0002","1.0025","1.0027","1.0036","1.0037",1847,1636,1467,1418,2549,2529,2074,2298
"G20_G30_G12.2_F01_F03","2016_2020",15,"+Insurance","0.00","6.69(4.58,8.79)***","7.73(5.60,9.80)***","10.31(8.16,12.51)***","13.09(10.78,15.45)***","0.0002","0.0002","0.0002","0.0002","1.0017","1.0018","1.0015","1.0021",1956,1726,1629,1564,2741,2372,2153,1925
