ICD_Code,AAMR_Period,Lag,Sensitivity_Model,Smoking_Rate,uninsured_rate_2005,physician_density_per100k,forest_coverage,site_number_mean
G20_G30_G12.2_F01_F03,2006_2010,5,+Doctor,,,"0.94(0.26,1.62)**",,
"G20_G30_G12.2_F01_F03","2011_2015",10,"+Doctor","","","0.51(-0.21,1.25)","",""
"G20_G30_G12.2_F01_F03","2016_2020",15,"+Doctor","","","0.57(-0.17,1.32)","",""
