ICD_Code,AAMR_Period,Lag,Sensitivity_Model,Smoking_Rate,uninsured_rate_2005,physician_density_per100k,forest_coverage,site_number_mean
C00_C97,2006_2010,5,+Forest,,,,"3.56(2.07,5.12)***",
"C00_C97","2011_2015",10,"+Forest","","","","4.20(2.86,5.56)***",""
"C00_C97","2016_2020",15,"+Forest","","","","2.52(1.21,3.83)***",""
